,s,t,o,h,l,c,v
0,ok,2002-02-17,23.39,23.39,19.6,19.99,23037131
1,ok,2002-02-18,20.35,20.35,18.61,18.79,7883787
2,ok,2002-02-19,18.3,19.29,18.14,18.59,5576575
3,ok,2002-02-20,19.32,19.55,19.0,19.11,2969620
4,ok,2002-02-21,19.22,19.65,18.52,19.51,1800434
5,ok,2002-02-24,20.51,20.51,19.22,19.29,1007816
6,ok,2002-02-25,19.44,19.92,19.33,19.65,1986026
7,ok,2002-02-26,19.81,20.87,19.72,20.12,7259550
8,ok,2002-02-27,20.73,21.09,18.38,18.7,9829900
9,ok,2002-02-28,18.92,19.55,18.84,19.15,2092155
10,ok,2002-03-03,19.43,19.95,19.32,19.51,1365098
11,ok,2002-03-04,19.92,20.51,19.69,20.42,3306796
12,ok,2002-03-05,20.68,21.04,20.19,20.32,4415480
13,ok,2002-03-06,20.68,20.68,20.17,20.26,1499685
14,ok,2002-03-07,20.37,20.4,19.69,19.78,606972
15,ok,2002-03-10,20.05,20.46,19.43,19.51,481821
16,ok,2002-03-11,19.55,19.58,18.89,18.97,713191
17,ok,2002-03-12,18.97,19.22,18.7,18.89,506035
18,ok,2002-03-13,18.92,19.11,18.5,18.68,672226
19,ok,2002-03-14,18.92,19.15,18.64,18.91,894291
20,ok,2002-03-17,19.38,19.38,18.73,18.82,859841
21,ok,2002-03-18,18.97,19.33,18.21,18.34,1121214
22,ok,2002-03-19,18.43,18.64,18.14,18.25,916823
23,ok,2002-03-20,18.3,18.47,18.21,18.3,381047
24,ok,2002-03-21,18.38,18.68,17.8,17.96,500588
25,ok,2002-03-25,18.37,18.37,17.53,17.57,421799
26,ok,2002-03-26,18.43,18.43,17.57,17.62,389359
27,ok,2002-03-27,17.67,17.74,17.13,17.37,548822
28,ok,2002-03-31,17.76,18.07,17.42,17.53,375717
29,ok,2002-04-01,17.56,17.57,16.7,16.8,890815
30,ok,2002-04-02,16.79,17.13,16.09,16.26,963279
31,ok,2002-04-03,16.63,17.79,16.45,17.39,1024325
32,ok,2002-04-04,17.57,17.87,17.15,17.22,616969
33,ok,2002-04-07,17.48,17.57,16.68,16.75,587369
34,ok,2002-04-08,17.08,17.56,16.9,17.02,734135
35,ok,2002-04-09,17.13,17.13,16.4,16.75,872606
36,ok,2002-04-10,17.08,17.84,17.08,17.37,1026824
37,ok,2002-04-11,17.29,17.31,16.85,17.02,811440
38,ok,2002-04-14,16.9,17.48,16.72,17.06,686079
39,ok,2002-04-15,17.13,17.31,17.02,17.06,459939
40,ok,2002-04-16,17.29,17.33,16.79,16.85,490639
41,ok,2002-04-17,17.08,17.11,16.8,16.9,279095
42,ok,2002-04-18,17.08,17.08,16.57,16.66,354132
43,ok,2002-04-21,17.03,17.03,16.47,16.54,465627
44,ok,2002-04-22,16.85,16.9,16.18,16.23,675270
45,ok,2002-04-23,16.31,16.63,16.31,16.57,339868
46,ok,2002-04-24,16.63,16.68,16.31,16.35,578121
47,ok,2002-04-25,16.29,16.54,16.09,16.18,719310
48,ok,2002-04-28,16.12,16.8,15.89,16.09,862413
49,ok,2002-04-29,16.04,16.23,15.72,15.77,593496
50,ok,2002-05-01,15.89,16.04,15.48,15.71,1156938
51,ok,2002-05-02,15.77,15.77,15.27,15.36,928165
52,ok,2002-05-05,15.55,15.59,15.23,15.32,1884499
53,ok,2002-05-06,15.23,15.41,15.23,15.35,1364177
54,ok,2002-05-07,15.44,15.53,15.32,15.44,2187582
55,ok,2002-05-08,15.98,16.79,15.55,16.14,1973454
56,ok,2002-05-09,16.7,17.26,16.26,16.4,2309800
57,ok,2002-05-12,16.16,16.68,16.14,16.24,589332
58,ok,2002-05-13,16.35,16.47,15.89,16.03,575909
59,ok,2002-05-14,16.09,16.16,15.59,15.75,751370
60,ok,2002-05-15,15.89,15.89,15.41,15.58,814902
61,ok,2002-05-16,15.44,15.69,15.44,15.64,1548102
62,ok,2002-05-19,15.35,15.53,14.96,15.17,1878709
63,ok,2002-05-20,14.96,15.1,14.54,14.9,2636766
64,ok,2002-05-21,14.92,15.91,14.87,15.18,732716
65,ok,2002-05-22,15.3,15.3,14.78,14.87,595717
66,ok,2002-05-23,15.1,15.32,14.92,15.08,600903
67,ok,2002-05-26,15.41,15.41,14.9,14.96,342934
68,ok,2002-05-27,15.1,15.1,14.71,14.81,1946747
69,ok,2002-05-28,14.69,15.1,14.54,14.6,794795
70,ok,2002-05-29,14.47,14.69,14.37,14.42,596755
71,ok,2002-05-30,14.65,14.67,14.24,14.51,279612
72,ok,2002-06-02,14.92,15.1,14.47,14.51,188113
73,ok,2002-06-03,14.87,15.1,14.42,14.82,1909335
74,ok,2002-06-04,15.1,15.21,14.65,14.71,541133
75,ok,2002-06-05,15.05,16.29,14.87,16.07,1642172
76,ok,2002-06-06,15.55,16.52,15.15,15.3,1270470
77,ok,2002-06-09,15.67,15.71,15.13,15.21,803839
78,ok,2002-06-10,15.59,15.89,15.44,15.53,531378
79,ok,2002-06-11,15.55,15.67,15.1,15.15,644044
80,ok,2002-06-12,15.46,15.46,14.71,14.78,693933
81,ok,2002-06-13,14.9,15.23,14.9,15.08,461566
82,ok,2002-06-16,16.23,17.34,15.77,16.09,2393536
83,ok,2002-06-17,16.26,16.38,15.62,15.77,914298
84,ok,2002-06-18,15.77,15.91,15.32,15.39,535106
85,ok,2002-06-19,15.3,15.59,15.23,15.46,398648
86,ok,2002-06-20,15.81,15.81,15.21,15.27,441685
87,ok,2002-06-23,15.32,15.36,15.08,15.21,723900
88,ok,2002-06-24,15.48,15.48,14.96,15.21,340116
89,ok,2002-06-25,15.3,15.3,14.92,15.01,299865
90,ok,2002-06-26,15.1,15.18,15.01,15.05,261682
91,ok,2002-06-27,15.72,15.72,15.1,15.32,347991
92,ok,2002-06-30,15.35,16.0,15.1,15.69,847377
93,ok,2002-07-01,15.1,16.04,15.1,16.0,676475
94,ok,2002-07-02,16.23,16.23,15.75,15.84,574662
95,ok,2002-07-03,16.12,16.34,15.89,16.23,1148300
96,ok,2002-07-04,15.8,15.98,15.32,15.41,903274
97,ok,2002-07-07,15.44,15.64,15.21,15.32,572055
98,ok,2002-07-08,15.46,15.48,15.08,15.13,657548
99,ok,2002-07-09,15.41,15.53,15.04,15.08,840244
100,ok,2002-07-10,15.32,15.32,14.65,14.69,1105676
101,ok,2002-07-11,14.96,14.96,14.4,14.47,1212941
102,ok,2002-07-14,14.42,14.59,14.26,14.33,613201
103,ok,2002-07-15,13.95,14.42,13.95,14.31,490166
104,ok,2002-07-16,14.24,14.4,14.0,14.09,490400
105,ok,2002-07-17,14.47,14.54,14.19,14.24,246820
106,ok,2002-07-18,14.37,14.4,14.19,14.24,273717
107,ok,2002-07-21,14.33,14.37,13.97,14.17,430723
108,ok,2002-07-22,14.19,14.19,13.77,14.02,485733
109,ok,2002-07-23,14.06,14.06,13.74,13.88,250129
110,ok,2002-07-24,14.19,14.42,14.05,14.06,393444
