,s,t,o,h,l,c,v
0,ok,2016-09-01,6.0,6.3,5.72,6.3,142930
1,ok,2016-09-05,6.4,6.4,6.4,6.4,9200
2,ok,2016-09-06,6.72,6.72,6.72,6.72,5800
3,ok,2016-09-07,6.74,7.05,6.74,7.05,8945
4,ok,2016-09-08,7.21,7.4,7.2,7.4,36010
5,ok,2016-09-11,7.5,7.77,7.03,7.22,67840
6,ok,2016-09-13,7.5,7.5,6.86,7.3,41925
7,ok,2016-09-14,7.26,7.26,6.92,7.24,14015
8,ok,2016-09-15,7.1,7.2,7.02,7.11,8660
9,ok,2016-09-18,7.2,7.3,7.2,7.2,43760
10,ok,2016-09-19,7.5,8.64,7.2,8.64,478770
11,ok,2016-09-20,8.9,10.3,8.4,9.6,995030
12,ok,2016-09-21,9.2,9.7,9.0,9.09,304315
13,ok,2016-09-22,9.01,9.35,8.5,8.94,128830
14,ok,2016-09-25,8.73,10.72,8.73,10.7,1452940
15,ok,2016-09-26,10.65,10.69,9.63,9.64,770480
16,ok,2016-09-27,9.6,9.97,9.2,9.22,224265
17,ok,2016-09-28,9.21,9.39,8.3,8.52,233395
18,ok,2016-09-29,8.35,9.35,7.93,9.14,330860
19,ok,2016-10-02,9.1,9.76,8.73,9.21,145980
20,ok,2016-10-03,9.3,9.4,9.1,9.21,169840
21,ok,2016-10-04,9.2,10.1,9.2,10.04,298890
22,ok,2016-10-05,10.14,10.38,10.0,10.06,256705
23,ok,2016-10-06,10.1,10.82,10.0,10.42,279475
24,ok,2016-10-09,10.6,11.3,10.6,11.0,255320
25,ok,2016-10-12,11.12,12.0,11.0,11.77,386915
26,ok,2016-10-13,12.03,12.35,12.0,12.23,330200
27,ok,2016-10-16,12.4,12.84,12.12,12.83,514320
28,ok,2016-10-17,12.9,13.39,12.4,13.28,488220
29,ok,2016-10-18,13.3,13.8,13.1,13.74,522110
30,ok,2016-10-19,13.74,14.1,13.7,13.93,301830
31,ok,2016-10-20,14.28,14.52,13.75,14.41,374710
32,ok,2016-10-23,14.78,14.9,14.32,14.4,749095
33,ok,2016-10-24,14.5,14.88,13.72,14.14,943930
34,ok,2016-10-25,14.2,14.53,13.8,13.91,290880
35,ok,2016-10-26,14.08,14.08,13.5,13.59,400950
36,ok,2016-10-27,13.4,13.6,12.92,12.92,166920
37,ok,2016-10-29,12.28,12.28,12.28,12.28,4950
38,ok,2016-10-31,11.67,11.67,11.67,11.67,6845
39,ok,2016-11-01,11.09,11.09,11.09,11.09,8625
40,ok,2016-11-02,10.54,10.54,10.54,10.54,41280
41,ok,2016-11-03,10.6,10.6,10.02,10.02,1945
42,ok,2016-11-06,9.6,10.2,9.48,9.61,520245
43,ok,2016-11-07,9.15,10.09,9.15,10.09,138445
44,ok,2016-11-08,9.59,9.59,9.59,9.59,3700
45,ok,2016-11-09,9.12,9.59,9.12,9.12,170835
46,ok,2016-11-10,9.0,9.0,8.67,8.67,8560
47,ok,2016-11-14,8.24,8.27,8.24,8.24,13865
48,ok,2016-11-15,8.59,8.59,7.83,7.83,4105
49,ok,2016-11-16,7.44,7.45,7.44,7.44,148830
50,ok,2016-11-17,7.07,7.6,7.07,7.14,340305
51,ok,2016-11-20,6.85,7.38,6.85,7.02,38155
52,ok,2016-11-21,7.28,7.28,7.02,7.27,5410
53,ok,2016-11-22,7.58,7.59,7.2,7.45,35590
54,ok,2016-11-23,7.66,7.66,7.26,7.36,34345
55,ok,2016-11-24,7.35,7.72,7.35,7.72,19650
56,ok,2016-11-27,7.8,8.1,7.8,8.1,20545
57,ok,2016-11-28,8.4,8.5,8.2,8.47,56730
58,ok,2016-11-29,8.72,8.89,8.4,8.75,46065
59,ok,2016-11-30,9.18,9.18,8.83,9.06,38125
60,ok,2016-12-01,8.8,9.0,8.75,8.83,27950
61,ok,2016-12-04,9.0,9.27,8.87,9.26,49345
62,ok,2016-12-05,9.22,9.72,9.22,9.72,33010
