,s,t,o,h,l,c,v
0,ok,2022-11-15,322.8,334.7,314.2,317.45,27437210
1,ok,2022-11-16,320.0,334.7,320.0,321.25,4548853
2,ok,2022-11-17,322.8,324.45,303.0,317.5,2754410
3,ok,2022-11-20,315.1,315.75,306.1,310.9,1119849
4,ok,2022-11-21,312.0,316.0,309.05,313.45,1194243
5,ok,2022-11-22,314.0,344.75,310.55,344.75,4006812
6,ok,2022-11-23,351.6,379.2,351.6,379.2,9697965
7,ok,2022-11-24,387.1,410.0,368.1,391.85,9386769
8,ok,2022-11-27,387.0,431.0,387.0,427.35,6560933
9,ok,2022-11-28,426.0,446.8,418.9,434.65,6168593
10,ok,2022-11-29,431.7,441.95,412.95,416.45,3126303
11,ok,2022-11-30,420.0,430.65,403.4,408.05,1318502
12,ok,2022-12-01,410.0,417.95,407.5,411.9,829068
13,ok,2022-12-04,414.0,415.45,396.0,398.3,552058
14,ok,2022-12-05,400.3,406.25,391.25,395.6,560446
15,ok,2022-12-06,410.0,415.35,405.0,412.65,2545980
16,ok,2022-12-07,412.45,415.5,403.0,407.1,957992
17,ok,2022-12-08,409.1,409.1,391.0,393.3,570979
18,ok,2022-12-11,394.6,398.95,391.0,394.6,415159
19,ok,2022-12-12,396.0,396.4,381.6,384.0,362195
20,ok,2022-12-13,385.0,403.2,380.3,390.25,1222965
21,ok,2022-12-14,388.7,397.95,385.05,387.45,432752
22,ok,2022-12-15,385.0,392.8,376.0,385.05,1353175
23,ok,2022-12-18,386.65,388.0,379.7,385.3,252839
24,ok,2022-12-19,380.05,384.9,378.85,380.2,161483
25,ok,2022-12-20,382.15,384.0,361.2,369.05,389627
26,ok,2022-12-21,369.05,373.85,351.25,363.3,435880
27,ok,2022-12-22,356.0,356.4,345.15,350.15,856994
28,ok,2022-12-25,347.0,367.65,347.0,367.65,210930
29,ok,2022-12-26,375.25,386.0,375.25,386.0,290085
30,ok,2022-12-27,405.0,405.3,400.0,405.3,499502
31,ok,2022-12-28,425.55,425.55,420.6,425.55,578705
32,ok,2022-12-29,446.8,446.8,405.4,436.2,1871999
33,ok,2023-01-01,436.2,444.25,417.15,421.3,476079
34,ok,2023-01-02,423.45,442.35,414.9,425.75,842251
35,ok,2023-01-03,427.85,429.0,412.3,414.85,343325
36,ok,2023-01-04,417.2,420.65,407.0,412.1,229665
37,ok,2023-01-05,412.65,421.9,405.25,409.2,257367
38,ok,2023-01-08,415.1,417.65,400.8,405.95,296782
39,ok,2023-01-09,405.0,405.0,391.1,393.25,252122
40,ok,2023-01-10,395.4,412.9,394.75,403.15,327706
41,ok,2023-01-11,404.0,423.3,398.6,423.3,716466
42,ok,2023-01-12,431.0,437.0,418.5,433.45,745337
43,ok,2023-01-15,431.45,431.85,418.5,421.6,214000
44,ok,2023-01-16,421.85,434.7,416.1,419.8,286514
45,ok,2023-01-17,421.95,424.45,417.5,418.7,124538
