,s,t,o,h,l,c,v
0,ok,2000-01-02,90.0,90.25,88.0,90.25,35800
1,ok,2000-01-03,97.3,97.5,86.1,97.5,193100
2,ok,2000-01-04,95.0,105.3,91.0,98.25,427200
3,ok,2000-01-05,101.4,104.9,99.0,100.6,196200
4,ok,2000-01-06,96.0,97.25,92.55,92.95,63800
5,ok,2000-01-09,95.0,100.35,89.0,93.55,182200
6,ok,2000-01-10,90.3,94.0,86.1,86.1,116200
7,ok,2000-01-11,85.0,90.85,85.0,89.3,76700
8,ok,2000-01-12,92.0,92.0,85.0,85.25,39700
9,ok,2000-01-13,84.5,85.75,80.5,81.75,42400
10,ok,2000-01-16,83.2,88.3,81.9,87.5,81800
11,ok,2000-01-17,89.0,89.0,83.05,84.45,80500
12,ok,2000-01-18,89.9,89.9,84.3,85.35,137600
13,ok,2000-01-19,83.1,83.1,78.55,78.55,29200
14,ok,2000-01-20,74.05,80.9,72.3,74.2,208500
15,ok,2000-01-23,73.3,74.8,71.0,72.25,89900
16,ok,2000-01-24,70.05,72.4,68.35,69.8,108500
17,ok,2000-01-26,72.0,72.0,69.5,70.65,74800
18,ok,2000-01-27,68.1,70.95,65.5,67.1,46600
19,ok,2000-01-30,67.0,67.65,64.0,64.9,48600
20,ok,2000-01-31,64.25,66.0,62.1,64.95,57600
21,ok,2000-02-01,68.5,70.15,66.85,70.15,53400
22,ok,2000-02-02,75.75,75.8,72.75,75.8,36100
23,ok,2000-02-03,79.0,81.9,76.15,81.9,77800
24,ok,2000-02-06,88.0,88.0,76.5,78.6,124800
25,ok,2000-02-07,75.2,79.95,75.1,77.05,74300
26,ok,2000-02-08,81.0,81.0,75.15,76.2,66900
27,ok,2000-02-09,78.95,78.95,73.0,73.6,20400
28,ok,2000-02-10,70.25,73.4,70.25,70.6,42500
29,ok,2000-02-13,66.05,69.45,66.05,66.75,27600
30,ok,2000-02-14,65.15,67.7,65.15,65.6,53900
31,ok,2000-02-15,66.5,70.85,66.5,70.85,16500
32,ok,2000-02-16,75.4,76.55,74.0,76.55,28200
33,ok,2000-02-17,78.9,78.9,72.0,73.7,52900
34,ok,2000-02-20,74.75,74.75,68.0,70.9,48700
35,ok,2000-02-21,70.0,70.0,68.0,68.6,46100
36,ok,2000-02-22,73.9,74.0,67.5,68.15,68200
