,s,t,o,h,l,c,v
0,ok,2010-07-25,41.95,42.45,34.0,40.8,63723
1,ok,2010-07-26,41.2,41.5,39.45,40.65,96875
2,ok,2010-07-27,40.95,41.95,39.5,40.8,70180
3,ok,2010-07-28,40.95,41.05,39.4,39.5,13723
4,ok,2010-07-29,39.5,40.5,39.0,39.85,45995
5,ok,2010-08-01,40.3,42.5,40.0,40.5,29391
6,ok,2010-08-02,41.7,41.7,40.15,40.25,8261
7,ok,2010-08-03,40.25,40.9,39.95,40.35,13891
8,ok,2010-08-04,40.15,41.5,40.05,40.1,54639
9,ok,2010-08-05,40.2,40.95,40.2,40.65,11311
10,ok,2010-08-08,41.6,41.6,40.15,40.7,11461
11,ok,2010-08-09,41.8,44.8,40.75,42.85,424427
12,ok,2010-08-10,43.9,43.9,40.8,41.55,29479
13,ok,2010-08-11,40.25,41.35,40.25,40.75,24858
14,ok,2010-08-12,40.2,41.5,40.0,40.25,22258
15,ok,2010-08-15,40.15,41.4,39.0,39.7,32085
16,ok,2010-08-16,39.55,40.35,39.3,39.7,8639
17,ok,2010-08-17,39.5,40.65,38.2,38.9,30913
18,ok,2010-08-18,39.0,39.7,38.3,38.55,20483
19,ok,2010-08-19,39.3,39.5,38.65,39.05,10477
20,ok,2010-08-22,38.7,39.8,38.6,39.25,26464
21,ok,2010-08-23,39.0,39.9,38.8,39.7,8398
22,ok,2010-08-24,39.0,39.8,38.3,38.9,22003
23,ok,2010-08-25,40.15,40.15,38.5,39.15,16470
24,ok,2010-08-26,38.5,39.4,38.25,38.3,10770
25,ok,2010-08-29,38.95,39.15,38.0,38.55,4391
26,ok,2010-08-30,38.0,39.5,36.75,37.15,14394
27,ok,2010-08-31,37.9,39.3,37.25,38.75,13508
28,ok,2010-09-01,39.0,39.35,38.25,39.05,21050
29,ok,2010-09-02,38.2,39.2,38.2,39.15,22487
30,ok,2010-09-05,39.6,42.0,39.0,40.5,626241
31,ok,2010-09-06,41.0,42.7,40.4,41.4,195698
32,ok,2010-09-07,41.4,41.5,40.1,40.55,33805
33,ok,2010-09-08,41.0,41.5,39.5,40.75,31645
34,ok,2010-09-12,42.45,44.4,42.0,43.85,525697
35,ok,2010-09-13,44.25,47.3,44.25,45.25,453410
36,ok,2010-09-14,46.9,46.9,44.25,44.9,86838
37,ok,2010-09-15,45.0,45.0,43.35,43.7,71108
38,ok,2010-09-16,43.15,44.0,42.75,43.8,51239
39,ok,2010-09-19,43.15,44.4,43.15,43.85,71817
40,ok,2010-09-20,44.45,44.45,40.75,41.95,71174
41,ok,2010-09-21,42.0,42.15,41.0,41.5,27249
42,ok,2010-09-22,40.0,41.85,40.0,41.5,12919
43,ok,2010-09-23,41.25,42.3,41.25,42.15,23468
44,ok,2010-09-26,42.95,43.0,41.15,41.45,45928
45,ok,2010-09-27,41.3,42.4,41.0,41.1,18597
