,s,t,o,h,l,c,v
0,ok,2000-01-02,14.49,14.89,14.15,14.89,657845
1,ok,2000-01-03,15.38,15.39,14.2,14.75,661635
2,ok,2000-01-04,14.3,14.38,13.6,13.81,647385
3,ok,2000-01-05,14.18,14.84,13.71,14.21,910565
4,ok,2000-01-06,13.4,14.3,13.3,13.48,514080
5,ok,2000-01-09,13.6,13.98,13.5,13.61,383830
6,ok,2000-01-10,13.6,14.17,13.4,13.59,917415
7,ok,2000-01-11,13.99,14.1,13.74,13.88,185060
8,ok,2000-01-12,14.29,14.29,13.61,13.66,282875
9,ok,2000-01-13,14.2,14.2,13.2,13.28,236745
10,ok,2000-01-16,13.6,13.6,13.01,13.37,136195
11,ok,2000-01-17,13.37,13.42,12.86,13.02,472015
12,ok,2000-01-18,13.22,14.04,13.22,13.85,468685
13,ok,2000-01-19,14.0,14.18,13.5,13.53,440545
14,ok,2000-01-20,13.15,13.6,13.15,13.44,232350
15,ok,2000-01-23,13.6,14.0,13.32,13.43,263015
16,ok,2000-01-24,14.0,14.38,13.64,13.79,875965
17,ok,2000-01-26,14.3,14.6,13.93,14.01,852650
18,ok,2000-01-27,14.4,14.5,13.56,13.66,376900
19,ok,2000-01-30,13.4,13.6,13.0,13.02,283745
20,ok,2000-01-31,12.83,13.0,12.66,12.74,431080
21,ok,2000-02-01,13.32,13.4,13.0,13.21,286890
22,ok,2000-02-02,13.39,13.39,13.05,13.08,94265
23,ok,2000-02-03,12.92,13.27,12.8,13.13,385990
24,ok,2000-02-06,13.0,13.14,12.7,12.92,194125
25,ok,2000-02-07,12.8,13.15,12.77,13.07,388235
26,ok,2000-02-08,13.6,13.6,12.93,13.28,284450
27,ok,2000-02-09,13.19,13.45,13.02,13.35,144310
28,ok,2000-02-10,13.08,13.2,12.9,12.94,177865
29,ok,2000-02-13,12.8,13.0,12.23,12.8,206025
30,ok,2000-02-14,13.4,13.4,12.66,12.86,292245
31,ok,2000-02-15,13.18,13.2,12.9,13.14,236830
32,ok,2000-02-16,13.01,13.48,13.0,13.26,165395
33,ok,2000-02-17,13.6,13.6,13.03,13.21,424735
34,ok,2000-02-20,13.4,13.5,12.8,12.85,152210
35,ok,2000-02-21,12.81,13.8,12.8,13.49,633700
36,ok,2000-02-22,13.7,13.85,13.0,13.01,311265
37,ok,2000-02-23,13.02,13.18,12.8,13.0,315670
38,ok,2000-02-24,12.8,13.18,12.62,12.96,141910
39,ok,2000-02-27,12.85,13.6,12.5,13.27,165355
40,ok,2000-02-28,13.2,13.75,12.22,12.38,308365
41,ok,2000-02-29,12.26,12.27,11.8,12.13,531785
42,ok,2000-03-01,12.1,12.29,11.93,12.01,734145
43,ok,2000-03-02,11.42,11.5,11.1,11.2,754260
44,ok,2000-03-05,10.65,11.72,10.34,10.4,201535
45,ok,2000-03-06,10.2,11.2,10.2,11.07,339665
46,ok,2000-03-07,11.0,11.0,10.2,10.23,419255
47,ok,2000-03-08,10.1,10.4,10.1,10.28,136545
48,ok,2000-03-09,10.1,10.56,10.0,10.31,852000
49,ok,2000-03-12,10.64,10.64,10.2,10.41,252055
50,ok,2000-03-13,10.2,10.48,9.68,10.16,809585
51,ok,2000-03-14,10.48,10.98,10.46,10.6,242675
52,ok,2000-03-15,10.65,10.66,10.19,10.2,210400
53,ok,2000-03-20,10.2,10.57,9.89,10.03,312000
54,ok,2000-03-21,10.13,10.36,9.98,10.0,64125
