,s,t,o,h,l,c,v
0,ok,2018-05-24,205.79,212.49,201.5,205.59,11004
1,ok,2018-05-27,205.0,213.5,201.63,208.1,10224
2,ok,2018-05-28,215.0,215.75,205.41,210.18,15260
3,ok,2018-05-29,211.25,229.93,211.25,224.16,199068
4,ok,2018-05-30,225.0,225.0,215.01,218.18,25904
5,ok,2018-05-31,220.0,220.0,211.25,211.86,18488
6,ok,2018-06-03,217.5,217.5,199.15,204.85,25380
7,ok,2018-06-04,209.5,209.5,192.5,194.55,35744
8,ok,2018-06-05,196.2,201.25,190.51,197.78,32860
9,ok,2018-06-06,202.0,205.0,197.5,203.55,24568
10,ok,2018-06-07,201.53,205.26,200.25,201.61,21884
11,ok,2018-06-10,204.99,209.0,203.51,204.31,21132
12,ok,2018-06-11,207.71,214.5,207.71,211.85,34424
13,ok,2018-06-12,208.0,221.0,207.0,219.84,30380
14,ok,2018-06-13,220.0,229.0,216.54,226.86,51148
15,ok,2018-06-14,228.93,233.75,221.25,227.18,73932
16,ok,2018-06-17,231.93,233.2,217.81,221.7,48012
17,ok,2018-06-18,266.04,266.04,246.5,252.48,1973896
18,ok,2018-06-19,254.75,257.5,245.05,248.29,565544
19,ok,2018-06-20,250.0,250.0,233.0,235.18,437496
20,ok,2018-06-21,233.75,238.16,230.83,233.14,206568
21,ok,2018-06-24,232.98,241.23,232.25,236.59,186944
22,ok,2018-06-25,237.24,237.89,233.41,234.34,72164
23,ok,2018-06-26,234.44,236.95,228.69,229.91,74840
24,ok,2018-06-27,230.0,232.5,225.5,226.59,93172
25,ok,2018-06-28,229.7,232.75,227.26,230.33,50464
26,ok,2018-07-01,230.33,238.75,230.33,232.83,71900
27,ok,2018-07-02,233.76,235.95,231.45,233.73,61920
28,ok,2018-07-03,233.73,239.75,232.91,237.03,88656
29,ok,2018-07-04,237.5,241.99,235.75,236.41,94888
30,ok,2018-07-05,236.95,243.75,236.5,242.68,100056
31,ok,2018-07-08,249.25,255.96,245.0,252.35,202876
32,ok,2018-07-09,255.0,259.74,252.78,257.01,138716
33,ok,2018-07-10,255.51,261.75,255.51,259.75,143684
34,ok,2018-07-11,262.0,285.5,260.78,273.43,735400
35,ok,2018-07-12,274.68,281.95,270.08,273.43,248868
36,ok,2018-07-15,279.75,282.48,267.3,269.28,123328
37,ok,2018-07-16,271.75,274.75,269.0,273.38,73568
38,ok,2018-07-17,276.0,278.75,272.1,274.13,87468
39,ok,2018-07-18,269.25,278.5,268.34,272.28,117008
40,ok,2018-07-19,270.79,275.75,270.78,274.36,61684
41,ok,2018-07-22,277.75,287.46,275.03,281.5,231372
42,ok,2018-07-23,287.5,295.68,285.0,292.19,345096
43,ok,2018-07-24,297.5,302.5,290.0,293.16,391972
44,ok,2018-07-25,295.0,296.24,285.65,291.14,181364
45,ok,2018-07-26,293.69,293.69,283.01,285.11,118900
46,ok,2018-07-29,285.25,299.75,284.56,295.58,328256
47,ok,2018-07-30,297.38,306.25,296.75,301.98,356820
48,ok,2018-07-31,306.36,306.38,291.33,294.21,323476
49,ok,2018-08-01,292.0,353.0,281.0,341.35,1168756
50,ok,2018-08-02,346.9,387.8,346.0,373.05,1131188
51,ok,2018-08-05,379.85,398.0,377.0,383.25,365371
52,ok,2018-08-06,386.0,389.4,361.1,365.55,201995
53,ok,2018-08-07,361.0,361.0,342.5,345.9,160505
54,ok,2018-08-08,351.0,374.1,346.65,363.85,296706
55,ok,2018-08-09,354.0,355.0,321.85,332.05,547293
56,ok,2018-08-12,324.95,325.0,303.1,307.6,332327
57,ok,2018-08-13,303.75,321.0,303.75,311.85,231672
58,ok,2018-08-15,312.5,318.25,307.55,309.15,124220
59,ok,2018-08-16,311.65,315.5,307.0,308.2,88834
60,ok,2018-08-19,309.7,312.0,303.55,304.65,98808
61,ok,2018-08-20,305.0,307.8,292.05,296.7,168790
62,ok,2018-08-22,298.7,301.4,292.0,293.35,107578
63,ok,2018-08-23,294.0,294.0,284.0,284.4,120800
64,ok,2018-08-26,286.6,309.6,280.8,301.85,380540
65,ok,2018-08-27,304.8,308.9,291.3,292.95,173804
66,ok,2018-08-28,293.0,302.0,291.35,295.5,105253
67,ok,2018-08-29,293.1,354.6,293.1,343.15,1845357
68,ok,2018-08-30,344.9,355.0,331.0,337.75,1263959
69,ok,2018-09-02,331.0,339.0,320.9,320.9,189751
70,ok,2018-09-03,321.1,323.95,306.3,309.15,173502
71,ok,2018-09-04,310.0,311.95,301.1,303.55,112992
72,ok,2018-09-05,313.0,318.7,312.0,318.7,99398
73,ok,2018-09-06,331.4,339.95,318.0,321.8,448545
74,ok,2018-09-09,321.4,334.3,315.2,321.35,196396
75,ok,2018-09-10,323.4,326.85,309.0,312.75,117570
76,ok,2018-09-11,312.0,317.0,308.0,309.9,85575
77,ok,2018-09-13,313.0,319.9,311.0,313.85,105466
78,ok,2018-09-16,313.75,313.75,308.65,309.65,48343
79,ok,2018-09-17,312.5,312.85,302.5,303.7,69174
80,ok,2018-09-18,305.15,307.25,295.0,297.05,117082
81,ok,2018-09-20,300.0,309.75,271.0,291.1,150072
82,ok,2018-09-23,285.3,298.9,280.05,281.8,94488
83,ok,2018-09-24,284.0,286.0,275.0,279.4,76232
84,ok,2018-09-25,284.0,287.7,279.4,282.85,59558
85,ok,2018-09-26,295.1,298.95,286.25,289.05,183649
86,ok,2018-09-27,292.9,292.9,265.25,268.95,123980
87,ok,2018-09-30,272.8,272.8,251.0,264.45,124159
88,ok,2018-10-02,265.8,277.0,260.0,265.35,103166
89,ok,2018-10-03,262.0,269.9,257.0,266.05,78613
90,ok,2018-10-04,263.5,265.2,253.0,255.6,67273
91,ok,2018-10-07,256.5,259.9,241.0,246.95,105827
92,ok,2018-10-08,250.0,252.0,236.15,238.55,97166
93,ok,2018-10-09,239.0,259.9,236.2,249.0,135503
94,ok,2018-10-10,241.0,247.0,235.0,242.35,108028
95,ok,2018-10-11,247.0,257.0,246.35,255.0,66255
96,ok,2018-10-14,257.5,266.0,251.15,263.55,86611
97,ok,2018-10-15,265.9,291.5,261.95,288.25,275385
98,ok,2018-10-16,295.0,295.0,271.0,273.0,195559
99,ok,2018-10-18,271.0,280.8,265.4,269.75,62893
100,ok,2018-10-21,272.1,277.85,256.35,260.85,45439
101,ok,2018-10-22,259.75,265.0,255.05,257.55,54804
102,ok,2018-10-23,262.0,265.0,256.85,261.95,31037
103,ok,2018-10-24,258.0,260.0,245.0,255.45,112303
