,s,t,o,h,l,c,v
0,ok,2000-01-02,33.76,33.92,32.76,33.27,104635
1,ok,2000-01-03,33.15,33.15,30.62,30.88,273826
2,ok,2000-01-04,29.17,32.09,29.17,30.0,1830364
3,ok,2000-01-05,30.17,32.0,30.17,31.69,714612
4,ok,2000-01-06,30.75,32.5,30.5,31.66,518218
5,ok,2000-01-09,31.67,32.88,31.67,32.08,626777
6,ok,2000-01-10,32.09,32.09,30.5,31.07,205334
7,ok,2000-01-11,31.67,31.83,31.25,31.5,69393
8,ok,2000-01-12,31.67,31.67,31.09,31.33,27563
9,ok,2000-01-13,31.5,31.83,31.09,31.2,226261
10,ok,2000-01-16,31.59,31.59,31.0,31.33,1602376
11,ok,2000-01-17,31.25,32.67,31.09,31.73,473748
12,ok,2000-01-18,31.78,32.49,31.25,31.41,493355
13,ok,2000-01-19,31.33,31.5,30.75,30.93,308865
14,ok,2000-01-20,31.05,31.05,30.59,30.78,71516
15,ok,2000-01-23,32.09,32.09,29.35,29.6,72416
16,ok,2000-01-24,29.17,30.0,28.75,29.05,628721
17,ok,2000-01-26,29.59,31.37,29.17,30.49,1628763
18,ok,2000-01-27,28.11,32.7,28.11,31.27,959172
19,ok,2000-01-30,30.83,32.09,30.83,31.85,373793
20,ok,2000-01-31,31.67,32.5,31.33,31.58,727404
21,ok,2000-02-01,32.0,34.09,31.88,33.36,2023771
22,ok,2000-02-02,33.34,33.76,30.69,31.82,1118920
23,ok,2000-02-03,32.75,32.75,30.61,30.91,299193
24,ok,2000-02-06,32.09,32.09,30.03,30.7,91171
25,ok,2000-02-07,30.81,30.83,28.4,29.49,411135
26,ok,2000-02-08,30.75,31.85,29.34,31.73,1579829
27,ok,2000-02-09,30.71,31.21,29.19,29.19,460081
28,ok,2000-02-10,29.99,30.0,26.86,27.31,298785
29,ok,2000-02-13,27.42,29.49,26.67,29.34,621749
30,ok,2000-02-14,31.5,31.5,27.0,27.75,319520
31,ok,2000-02-15,28.17,28.59,27.09,27.51,198230
32,ok,2000-02-16,27.5,27.71,26.83,27.31,164632
33,ok,2000-02-17,27.33,27.5,25.13,25.13,306921
34,ok,2000-02-20,24.19,25.83,24.19,24.5,515674
35,ok,2000-02-21,24.5,24.5,22.54,22.54,1146507
36,ok,2000-02-22,22.59,23.42,20.74,22.04,1335785
37,ok,2000-02-23,21.67,22.75,21.33,22.51,302397
38,ok,2000-02-24,22.67,22.92,22.36,22.51,480480
39,ok,2000-02-27,23.29,24.31,22.42,24.3,214153
40,ok,2000-02-28,26.17,26.25,22.51,22.86,459721
41,ok,2000-02-29,24.38,24.38,22.92,23.0,325304
42,ok,2000-03-01,22.92,24.17,21.17,21.43,310604
43,ok,2000-03-02,21.25,21.25,20.01,20.79,411255
44,ok,2000-03-05,20.79,20.92,19.13,19.13,549549
45,ok,2000-03-06,18.83,19.58,17.6,17.6,158848
46,ok,2000-03-07,16.5,17.33,16.25,16.33,430838
47,ok,2000-03-08,16.5,17.0,15.42,16.49,1275068
48,ok,2000-03-09,16.49,17.07,16.11,16.56,977591
49,ok,2000-03-12,16.58,17.09,16.25,16.57,387125
50,ok,2000-03-13,16.59,17.86,16.42,17.74,329060
51,ok,2000-03-14,18.13,19.16,17.85,18.63,2253115
52,ok,2000-03-15,18.75,18.92,17.92,18.58,121026
53,ok,2000-03-20,18.67,20.07,18.33,20.03,387749
54,ok,2000-03-21,20.0,21.5,19.92,21.29,469837
55,ok,2000-03-22,19.93,22.13,19.93,21.85,251399
56,ok,2000-03-23,21.17,21.68,20.11,20.43,323624
57,ok,2000-03-26,19.83,20.83,18.8,18.83,132617
58,ok,2000-03-27,19.09,20.33,18.33,20.33,151624
59,ok,2000-03-28,21.67,21.96,21.29,21.85,381473
60,ok,2000-03-29,21.25,21.33,20.45,20.99,757294
61,ok,2000-03-30,20.92,22.33,20.41,21.71,212209
62,ok,2000-04-02,22.25,23.45,22.03,23.45,162952
63,ok,2000-04-03,22.92,23.15,21.93,22.38,556640
64,ok,2000-04-04,22.18,22.49,20.85,21.61,203330
65,ok,2000-04-05,21.67,21.67,20.1,21.23,183243
66,ok,2000-04-06,21.67,22.92,21.67,22.73,234708
67,ok,2000-04-09,22.92,23.17,22.25,22.39,204026
68,ok,2000-04-11,22.26,22.5,21.67,21.8,127854
69,ok,2000-04-12,20.83,22.5,20.67,21.71,375053
70,ok,2000-04-16,20.03,21.67,20.03,20.61,220429
