,s,t,o,h,l,c,v
0,ok,2000-01-02,268.0,275.6,266.0,275.55,173475
1,ok,2000-01-03,275.0,275.0,260.0,261.0,129047
2,ok,2000-01-04,257.0,261.9,247.0,253.15,165269
3,ok,2000-01-05,263.9,273.4,246.0,273.4,176089
4,ok,2000-01-06,283.0,283.0,255.0,257.5,203941
5,ok,2000-01-09,262.3,269.45,258.2,265.8,137053
6,ok,2000-01-10,273.35,287.1,262.0,277.7,344955
7,ok,2000-01-11,292.9,292.9,272.0,277.85,148228
8,ok,2000-01-12,275.0,295.0,270.0,280.7,193552
9,ok,2000-01-13,285.0,285.0,270.25,275.55,97196
10,ok,2000-01-16,280.0,283.0,273.0,276.35,89695
11,ok,2000-01-17,280.95,280.95,265.0,267.4,165870
12,ok,2000-01-18,280.0,285.75,275.0,282.1,122432
13,ok,2000-01-19,285.0,304.7,284.8,304.7,108308
14,ok,2000-01-20,317.0,329.1,313.0,329.1,361322
15,ok,2000-01-23,340.0,349.0,306.1,316.5,467469
16,ok,2000-01-24,305.0,313.9,291.2,298.25,417560
17,ok,2000-01-26,305.0,322.15,302.0,322.15,232926
18,ok,2000-01-27,344.0,347.95,339.0,347.95,116193
19,ok,2000-01-30,369.9,372.0,335.0,343.15,465767
20,ok,2000-01-31,355.0,370.6,333.1,370.6,314344
21,ok,2000-02-01,398.8,400.25,398.8,400.25,80421
22,ok,2000-02-02,429.4,432.3,387.0,432.3,665204
23,ok,2000-02-03,452.0,460.0,401.0,420.3,851082
24,ok,2000-02-06,429.45,449.95,415.5,443.45,874093
25,ok,2000-02-07,446.95,446.95,417.0,425.5,472576
26,ok,2000-02-08,442.0,459.0,407.0,416.8,309724
27,ok,2000-02-09,405.1,419.0,400.0,408.3,165307
28,ok,2000-02-10,414.4,430.0,380.0,386.75,309912
29,ok,2000-02-13,378.5,392.0,361.05,374.45,299978
30,ok,2000-02-14,370.0,376.0,346.1,350.15,337318
31,ok,2000-02-15,360.0,378.2,354.0,378.2,195346
32,ok,2000-02-16,395.0,408.5,395.0,408.5,89252
33,ok,2000-02-17,419.0,419.0,384.05,390.55,304494
34,ok,2000-02-20,398.0,399.0,380.2,382.95,130624
35,ok,2000-02-21,392.4,393.0,353.0,358.1,266725
36,ok,2000-02-22,368.0,368.0,330.0,334.3,120596
37,ok,2000-02-23,320.0,349.0,320.0,324.85,91607
38,ok,2000-02-24,330.0,333.0,298.9,299.15,90581
39,ok,2000-02-27,295.0,319.5,286.0,317.95,140233
40,ok,2000-02-28,316.0,325.0,292.55,292.55,167420
41,ok,2000-02-29,293.0,312.4,275.0,302.7,197878
42,ok,2000-03-01,304.0,315.0,285.0,289.35,155294
43,ok,2000-03-02,280.7,285.0,266.2,266.2,78557
44,ok,2000-03-05,270.0,278.0,255.45,257.55,88420
45,ok,2000-03-06,255.0,258.0,236.95,237.3,155879
46,ok,2000-03-07,241.0,244.8,218.35,219.35,103050
47,ok,2000-03-08,212.0,219.8,201.8,203.7,75421
48,ok,2000-03-09,205.9,207.0,187.4,187.6,96318
49,ok,2000-03-12,188.0,195.85,185.25,188.7,96860
50,ok,2000-03-13,191.0,203.8,190.1,203.25,256216
51,ok,2000-03-14,214.0,219.55,207.0,219.55,193991
52,ok,2000-03-15,223.0,229.0,204.0,205.7,139193
53,ok,2000-03-20,201.0,210.0,189.25,191.65,176136
54,ok,2000-03-21,202.0,207.0,198.5,205.75,84331
55,ok,2000-03-22,208.9,214.0,195.2,196.95,73897
56,ok,2000-03-23,195.05,199.0,192.0,198.35,100708
57,ok,2000-03-26,204.5,214.25,200.0,213.9,173219
58,ok,2000-03-27,219.7,229.0,208.0,226.95,250052
59,ok,2000-03-28,230.0,238.0,216.0,220.7,299496
60,ok,2000-03-29,216.25,218.0,203.05,210.8,171460
61,ok,2000-03-30,207.0,217.5,203.05,214.6,144547
62,ok,2000-04-02,210.1,220.0,210.0,214.1,131227
63,ok,2000-04-03,210.0,210.0,197.0,197.0,181848
64,ok,2000-04-04,190.5,204.9,184.0,186.85,186667
65,ok,2000-04-05,190.0,193.7,177.0,185.8,128626
66,ok,2000-04-06,192.0,200.7,190.0,200.7,220867
67,ok,2000-04-09,205.25,216.8,205.25,215.7,237598
68,ok,2000-04-11,219.6,219.6,210.0,217.85,436083
69,ok,2000-04-12,212.1,214.0,205.0,207.55,262466
70,ok,2000-04-16,201.55,201.55,191.0,195.95,138302
71,ok,2000-04-17,201.0,208.9,199.35,200.5,99814
72,ok,2000-04-18,205.0,205.0,192.65,196.4,121475
73,ok,2000-04-19,190.5,195.0,180.7,189.25,174863
74,ok,2000-04-23,193.0,194.0,183.1,186.8,85167
75,ok,2000-04-24,184.15,184.5,177.25,183.05,107870
76,ok,2000-04-25,190.0,194.9,186.5,193.8,161161
77,ok,2000-04-26,190.15,191.95,185.0,186.45,93632
78,ok,2000-04-27,188.45,188.9,178.1,179.55,97886
79,ok,2000-05-01,178.1,178.1,158.0,158.25,280542
80,ok,2000-05-02,150.0,153.0,145.0,151.05,134898
81,ok,2000-05-03,153.25,160.0,150.0,158.4,107517
82,ok,2000-05-04,165.9,165.9,155.8,159.05,149472
83,ok,2000-05-07,159.95,162.0,152.0,153.2,102194
84,ok,2000-05-08,150.1,154.6,148.1,152.8,110351
