,s,t,o,h,l,c,v
0,ok,2000-01-02,70.5,75.96,70.5,75.7,75120
1,ok,2000-01-03,71.0,77.0,71.0,75.46,81350
2,ok,2000-01-04,75.5,75.9,70.5,73.54,60950
3,ok,2000-01-05,74.0,79.42,74.0,78.58,196970
4,ok,2000-01-06,80.8,84.86,79.8,84.86,331070
5,ok,2000-01-09,90.0,91.64,86.5,91.22,295750
6,ok,2000-01-10,92.0,92.0,83.94,85.38,206350
7,ok,2000-01-11,90.0,90.0,86.06,88.28,93120
8,ok,2000-01-12,89.0,92.0,87.5,88.14,195260
9,ok,2000-01-13,87.26,88.0,86.4,86.98,156750
10,ok,2000-01-16,88.0,89.0,87.0,87.6,71250
11,ok,2000-01-17,87.02,89.9,86.8,88.12,125260
12,ok,2000-01-18,88.9,91.1,88.9,90.1,141080
13,ok,2000-01-19,90.7,92.0,89.36,89.58,56710
14,ok,2000-01-20,89.8,89.8,88.54,88.84,18880
15,ok,2000-01-23,88.0,89.5,85.1,88.48,63510
16,ok,2000-01-24,87.1,89.0,87.0,88.14,68590
17,ok,2000-01-26,86.6,88.5,81.08,83.04,146780
18,ok,2000-01-27,80.0,81.5,78.2,79.26,64180
19,ok,2000-01-30,77.88,78.8,72.94,74.68,54160
20,ok,2000-01-31,75.1,75.9,72.1,73.16,73470
21,ok,2000-02-01,74.0,75.2,70.0,73.12,49390
22,ok,2000-02-02,75.0,75.0,69.5,71.42,116190
23,ok,2000-02-03,72.0,72.0,70.6,71.36,131470
24,ok,2000-02-06,70.1,71.7,70.0,70.18,71950
25,ok,2000-02-07,70.4,70.4,68.0,68.56,150830
26,ok,2000-02-08,71.4,74.04,69.5,70.74,233570
27,ok,2000-02-09,71.9,73.0,70.7,71.22,113410
28,ok,2000-02-10,72.3,72.9,70.0,70.42,207950
29,ok,2000-02-13,71.0,71.1,69.0,69.06,77650
30,ok,2000-02-14,68.1,68.1,64.0,65.34,186220
31,ok,2000-02-15,67.0,68.0,66.2,67.48,108760
32,ok,2000-02-16,67.0,69.8,67.0,67.7,89260
33,ok,2000-02-17,67.0,69.5,66.1,66.72,114600
34,ok,2000-02-20,67.5,69.0,65.5,66.58,79930
35,ok,2000-02-21,67.0,67.0,65.5,65.76,111420
36,ok,2000-02-22,65.8,68.0,65.5,66.58,57930
37,ok,2000-02-23,67.5,67.7,64.2,66.22,82050
38,ok,2000-02-24,67.4,67.4,64.0,64.2,63460
39,ok,2000-02-27,64.0,65.6,60.92,63.6,90710
40,ok,2000-02-28,65.0,66.0,60.5,61.16,161830
41,ok,2000-02-29,62.5,62.5,56.26,56.26,93030
42,ok,2000-03-01,52.7,53.0,51.76,51.76,87030
43,ok,2000-03-02,47.62,54.56,47.62,50.46,263060
44,ok,2000-03-05,52.5,52.5,46.44,47.54,186090
45,ok,2000-03-06,48.0,49.0,46.2,46.94,178340
46,ok,2000-03-07,48.8,50.66,46.52,48.94,393170
47,ok,2000-03-08,50.0,50.0,47.5,49.98,349100
48,ok,2000-03-09,50.0,51.8,47.0,48.62,369350
49,ok,2000-03-12,50.0,52.0,48.7,51.2,136050
50,ok,2000-03-13,51.0,53.0,49.0,52.0,303860
51,ok,2000-03-14,52.0,56.16,52.0,54.02,166050
52,ok,2000-03-15,54.76,56.0,52.0,54.38,98790
53,ok,2000-03-20,55.0,55.5,53.52,54.5,227650
54,ok,2000-03-21,56.3,58.7,55.8,57.34,193180
55,ok,2000-03-22,59.0,59.5,57.24,57.96,190810
56,ok,2000-03-23,58.1,61.3,58.1,59.94,105170
57,ok,2000-03-26,60.9,64.2,59.5,63.66,141600
58,ok,2000-03-27,64.02,65.1,62.24,62.96,125430
59,ok,2000-03-28,65.4,67.5,62.5,64.38,190000
60,ok,2000-03-29,62.5,63.5,60.5,62.12,131170
61,ok,2000-03-30,62.4,63.0,60.5,61.98,96110
62,ok,2000-04-02,61.2,61.8,57.16,60.14,67240
63,ok,2000-04-03,57.5,58.9,55.5,56.78,146610
64,ok,2000-04-04,56.0,59.0,56.0,57.88,46330
65,ok,2000-04-05,58.12,60.0,56.62,59.06,85860
66,ok,2000-04-06,60.5,61.0,58.0,59.74,90080
67,ok,2000-04-09,60.1,60.8,57.22,58.16,80210
68,ok,2000-04-11,58.4,58.4,56.6,57.12,47650
69,ok,2000-04-12,55.52,57.5,55.52,57.2,73220
70,ok,2000-04-16,56.0,56.0,52.62,52.62,76240
71,ok,2000-04-17,53.2,53.9,49.12,50.56,205520
72,ok,2000-04-18,54.0,54.0,51.0,52.12,52840
73,ok,2000-04-19,52.5,54.8,50.32,53.02,79040
74,ok,2000-04-23,52.8,52.8,50.5,50.6,67880
75,ok,2000-04-24,50.5,52.0,50.5,50.9,162360
76,ok,2000-04-25,52.0,52.4,51.2,52.08,97040
77,ok,2000-04-26,51.1,52.0,50.7,51.02,48090
78,ok,2000-04-27,52.0,52.0,50.5,50.56,94430
79,ok,2000-05-01,50.2,51.4,49.5,50.56,109620
80,ok,2000-05-02,49.22,50.5,48.5,49.6,79940
81,ok,2000-05-03,52.0,54.6,50.6,53.34,81140
82,ok,2000-05-04,54.0,58.9,52.8,57.86,283720
83,ok,2000-05-07,59.0,60.8,58.04,59.04,194170
84,ok,2000-05-08,57.9,59.5,56.5,58.98,90580
85,ok,2000-05-09,60.8,60.8,58.0,59.02,85610
86,ok,2000-05-10,58.4,61.0,55.16,59.38,157550
87,ok,2000-05-11,59.5,60.0,56.5,57.02,148420
88,ok,2000-05-14,55.5,55.8,52.52,54.02,200100
89,ok,2000-05-15,53.1,54.5,50.52,51.6,289340
90,ok,2000-05-16,53.0,54.0,48.8,51.2,247270
91,ok,2000-05-17,51.38,51.5,50.2,51.08,28750
92,ok,2000-05-18,49.1,51.2,48.5,50.2,54960
93,ok,2000-05-21,48.12,50.28,48.12,49.92,45290
94,ok,2000-05-22,50.0,50.48,49.3,49.98,226840
95,ok,2000-05-23,49.5,50.8,49.0,50.18,57530
96,ok,2000-05-24,50.1,53.5,50.1,51.0,101670
97,ok,2000-05-25,51.0,55.08,50.42,54.96,304640
98,ok,2000-05-28,55.9,59.0,55.0,58.42,236930
99,ok,2000-05-29,59.5,60.5,57.2,59.84,177740
100,ok,2000-05-30,60.0,63.5,59.26,62.04,243620
101,ok,2000-05-31,60.0,61.44,60.0,60.72,98680
102,ok,2000-06-01,60.0,62.7,59.0,62.0,117150
103,ok,2000-06-04,62.9,64.7,61.0,61.28,77520
104,ok,2000-06-05,61.2,61.92,60.04,61.3,62710
105,ok,2000-06-06,60.6,61.0,59.8,60.22,54700
106,ok,2000-06-07,60.4,60.4,58.4,59.16,48390
107,ok,2000-06-08,58.6,60.3,58.5,58.9,35240
108,ok,2000-06-11,59.4,59.4,58.3,58.62,20570
109,ok,2000-06-12,60.0,60.0,57.5,58.5,45250
110,ok,2000-06-13,59.5,63.0,59.1,61.98,169460
111,ok,2000-06-14,60.5,62.2,60.1,61.32,85920
112,ok,2000-06-15,61.9,61.9,60.8,60.96,36750
113,ok,2000-06-18,61.5,62.1,59.5,60.4,51920
114,ok,2000-06-19,60.9,60.9,59.5,59.98,40350
115,ok,2000-06-20,59.02,61.0,58.5,58.94,132830
116,ok,2000-06-21,59.44,59.68,57.26,59.26,54510
117,ok,2000-06-22,58.9,59.0,57.8,58.04,24420
118,ok,2000-06-25,58.2,58.2,56.5,57.24,294690
119,ok,2000-06-26,57.0,58.54,57.0,57.66,80440
120,ok,2000-06-27,58.5,59.3,58.02,59.14,19920
121,ok,2000-06-28,59.2,61.36,59.12,60.9,74480
122,ok,2000-06-29,60.9,60.9,59.46,59.7,49220
123,ok,2000-07-02,61.5,62.0,60.4,61.28,80470
124,ok,2000-07-03,59.2,62.5,59.2,61.92,96770
125,ok,2000-07-04,62.0,62.94,61.26,61.8,40290
126,ok,2000-07-05,61.1,61.6,60.0,60.9,37940
127,ok,2000-07-06,60.02,61.8,60.02,61.5,146060
128,ok,2000-07-09,60.94,63.0,60.94,61.74,93520
129,ok,2000-07-10,61.5,63.98,61.0,62.88,106540
130,ok,2000-07-11,64.0,65.9,63.5,64.38,181750
131,ok,2000-07-12,65.2,65.3,63.8,65.0,344260
132,ok,2000-07-13,65.5,68.9,64.92,67.06,1047630
133,ok,2000-07-16,68.0,68.4,66.0,67.84,300770
134,ok,2000-07-17,68.0,68.0,66.52,67.62,223860
135,ok,2000-07-18,67.8,67.8,66.5,67.3,119000
136,ok,2000-07-19,67.2,67.2,66.3,66.62,80070
137,ok,2000-07-20,66.0,66.5,65.0,65.18,74990
138,ok,2000-07-23,64.24,64.5,62.6,63.7,108550
139,ok,2000-07-24,62.5,66.4,62.02,65.5,94260
140,ok,2000-07-25,67.4,68.0,65.8,67.22,175110
141,ok,2000-07-26,67.7,67.74,66.2,67.22,125010
142,ok,2000-07-27,67.0,67.9,66.5,67.56,775290
143,ok,2000-07-30,67.8,72.4,67.36,71.52,263940
144,ok,2000-07-31,71.0,71.5,68.5,69.96,152290
145,ok,2000-08-01,68.9,69.0,65.72,68.0,96470
146,ok,2000-08-02,68.2,68.2,67.1,67.58,26630
147,ok,2000-08-03,67.1,68.0,66.5,67.9,59890
148,ok,2000-08-06,67.12,67.4,66.7,67.14,23040
149,ok,2000-08-07,66.9,69.0,66.6,68.66,61450
150,ok,2000-08-08,68.9,71.0,67.6,69.76,147840
151,ok,2000-08-09,70.0,70.48,68.5,68.78,42760
152,ok,2000-08-10,69.4,69.4,68.02,68.86,34000
153,ok,2000-08-13,69.0,70.9,68.2,70.32,103930
154,ok,2000-08-15,69.5,70.5,68.02,70.22,84210
155,ok,2000-08-16,69.2,69.7,68.5,68.96,48790
156,ok,2000-08-17,68.62,69.46,68.0,69.0,39080
157,ok,2000-08-20,68.64,69.1,68.5,68.94,20210
158,ok,2000-08-21,69.0,69.06,67.5,68.2,49870
159,ok,2000-08-22,68.8,68.8,67.6,67.92,32520
160,ok,2000-08-23,67.66,68.0,66.5,67.38,27970
161,ok,2000-08-24,66.52,68.0,66.52,67.62,76250
162,ok,2000-08-27,68.8,69.0,67.0,67.4,38500
163,ok,2000-08-28,66.1,68.1,66.1,67.98,38380
164,ok,2000-08-29,68.3,68.3,67.2,67.52,39830
165,ok,2000-08-30,67.06,67.06,66.6,66.86,45030
166,ok,2000-09-03,67.02,67.36,65.1,66.18,111430
167,ok,2000-09-04,66.8,66.8,65.2,65.98,24570
168,ok,2000-09-05,67.0,67.9,65.02,66.46,143740
169,ok,2000-09-06,67.1,67.1,66.0,66.12,142450
170,ok,2000-09-07,64.16,66.4,64.02,65.0,171860
171,ok,2000-09-10,65.0,65.0,63.62,64.62,78860
172,ok,2000-09-11,63.4,64.6,62.5,62.62,69110
173,ok,2000-09-12,63.8,63.96,63.0,63.22,206390
174,ok,2000-09-13,63.88,64.98,63.42,64.28,65960
175,ok,2000-09-14,64.98,64.98,63.36,63.66,32440
176,ok,2000-09-17,64.0,65.5,62.7,64.44,136650
177,ok,2000-09-18,64.5,66.6,63.12,65.8,122670
178,ok,2000-09-19,67.5,71.0,66.56,68.9,146970
