,s,t,o,h,l,c,v
0,ok,2000-01-02,22.5,22.71,22.5,22.71,230000
1,ok,2000-01-03,24.5,24.51,21.55,24.28,1420000
2,ok,2000-01-04,22.55,25.2,22.4,23.09,1770000
3,ok,2000-01-05,24.7,24.7,21.25,22.13,1086000
4,ok,2000-01-06,20.75,21.75,20.36,20.36,314000
5,ok,2000-01-09,21.75,21.75,18.75,18.85,870000
6,ok,2000-01-10,19.45,19.5,17.35,17.43,846000
7,ok,2000-01-11,18.0,18.65,16.83,17.5,534000
8,ok,2000-01-12,17.9,18.0,16.9,17.16,296000
9,ok,2000-01-13,17.05,17.05,16.3,16.75,200000
10,ok,2000-01-16,17.0,17.65,16.63,16.98,440000
11,ok,2000-01-17,16.81,16.81,15.65,16.43,460000
12,ok,2000-01-18,16.6,17.75,16.5,17.75,186000
13,ok,2000-01-19,18.7,19.17,17.66,17.92,498000
14,ok,2000-01-20,18.0,18.95,17.75,18.68,474000
15,ok,2000-01-23,18.7,18.75,17.18,17.18,442000
16,ok,2000-01-24,15.9,16.97,15.9,16.79,566000
17,ok,2000-01-26,17.6,18.1,17.35,17.6,936000
18,ok,2000-01-27,17.55,18.1,17.0,17.91,380000
19,ok,2000-01-30,17.55,17.55,16.48,16.48,294000
20,ok,2000-01-31,16.5,16.8,15.95,16.49,592000
21,ok,2000-02-01,17.65,17.8,16.83,17.2,538000
22,ok,2000-02-02,17.25,17.26,16.25,16.59,380000
23,ok,2000-02-03,16.87,17.7,16.75,17.23,592000
24,ok,2000-02-06,17.0,17.25,16.25,16.86,630000
25,ok,2000-02-07,16.8,17.0,15.8,16.07,660000
26,ok,2000-02-08,16.7,17.13,16.41,16.7,684000
27,ok,2000-02-09,16.5,16.6,16.4,16.47,130000
28,ok,2000-02-10,16.5,16.55,15.71,16.22,226000
29,ok,2000-02-13,15.8,16.0,14.92,14.92,260000
30,ok,2000-02-14,14.5,14.85,13.73,13.8,608000
31,ok,2000-02-15,14.0,14.91,14.0,14.91,532000
32,ok,2000-02-16,15.75,16.1,15.05,16.1,240000
33,ok,2000-02-17,17.39,17.39,16.5,16.96,558000
34,ok,2000-02-20,17.23,17.23,15.6,15.69,480000
35,ok,2000-02-21,15.4,15.4,14.45,14.58,1032000
36,ok,2000-02-22,15.0,15.75,14.62,14.86,838000
37,ok,2000-02-23,15.18,15.88,14.27,15.15,510000
38,ok,2000-02-24,15.0,15.0,14.06,14.25,156000
39,ok,2000-02-27,14.5,14.5,13.12,13.44,298000
40,ok,2000-02-28,12.4,14.0,12.4,12.8,616000
41,ok,2000-02-29,13.1,13.82,12.9,13.82,252000
42,ok,2000-03-01,14.9,14.93,14.25,14.93,560000
43,ok,2000-03-02,15.1,15.1,13.75,13.75,254000
44,ok,2000-03-05,13.95,14.45,12.65,13.03,310000
45,ok,2000-03-06,13.3,13.3,11.99,12.89,634000
46,ok,2000-03-07,13.05,13.92,13.05,13.8,428000
47,ok,2000-03-08,14.7,14.7,12.78,12.98,200000
48,ok,2000-03-09,12.5,12.68,12.35,12.48,138000
49,ok,2000-03-12,11.77,11.82,11.48,11.48,132000
50,ok,2000-03-13,10.76,11.15,10.56,10.85,542000
51,ok,2000-03-14,10.62,11.7,9.98,11.65,398000
52,ok,2000-03-15,11.1,11.25,10.72,10.72,1536000
53,ok,2000-03-20,10.75,10.75,9.86,9.89,380000
54,ok,2000-03-21,10.45,10.68,10.3,10.55,206000
55,ok,2000-03-22,10.89,10.9,9.75,10.01,590000
56,ok,2000-03-23,9.8,10.09,9.75,10.05,76000
57,ok,2000-03-26,9.75,9.95,9.45,9.8,362000
58,ok,2000-03-27,10.35,10.35,9.43,9.91,220000
59,ok,2000-03-28,10.05,10.4,10.01,10.25,174000
60,ok,2000-03-29,10.05,10.18,9.57,9.71,138000
61,ok,2000-03-30,9.3,9.9,9.23,9.68,162000
62,ok,2000-04-02,9.85,9.85,8.91,8.99,98000
63,ok,2000-04-03,8.45,8.45,8.27,8.27,66000
64,ok,2000-04-04,7.8,8.0,7.61,7.63,280000
65,ok,2000-04-05,7.45,8.05,7.02,7.79,350000
66,ok,2000-04-06,8.23,8.41,8.23,8.41,188000
67,ok,2000-04-09,8.97,9.09,8.97,9.09,238000
68,ok,2000-04-11,8.71,8.71,8.28,8.37,246000
69,ok,2000-04-12,7.8,8.34,7.8,8.34,74000
70,ok,2000-04-16,7.68,7.68,7.68,7.68,66000
71,ok,2000-04-17,7.06,7.2,7.06,7.06,342000
72,ok,2000-04-18,6.75,6.8,6.5,6.5,138000
73,ok,2000-04-19,5.98,5.98,5.98,5.98,6000
74,ok,2000-04-23,5.5,5.5,5.5,5.5,12000
75,ok,2000-04-24,5.06,5.06,5.06,5.06,38000
76,ok,2000-04-25,5.05,5.47,4.7,4.99,972000
77,ok,2000-04-26,4.75,5.0,4.6,4.6,294000
78,ok,2000-04-27,4.65,4.65,4.23,4.23,244000
79,ok,2000-05-01,3.9,3.9,3.89,3.89,78000
80,ok,2000-05-02,3.58,3.63,3.58,3.59,384000
81,ok,2000-05-03,3.45,3.88,3.4,3.88,694000
82,ok,2000-05-04,4.1,4.19,4.1,4.19,52000
83,ok,2000-05-07,4.5,4.52,4.3,4.48,414000
84,ok,2000-05-08,4.4,4.5,4.14,4.46,436000
85,ok,2000-05-09,4.65,4.82,4.47,4.52,370000
86,ok,2000-05-10,4.21,4.35,4.17,4.28,144000
87,ok,2000-05-11,4.43,4.62,4.43,4.62,234000
88,ok,2000-05-14,4.85,4.85,4.26,4.5,208000
