,s,t,o,h,l,c,v
0,ok,2012-01-01,53.5,55.0,52.25,54.2,54750
1,ok,2012-01-02,52.03,53.75,52.0,53.7,92080
2,ok,2012-01-03,51.5,54.5,51.5,53.6,48184
3,ok,2012-01-04,55.2,56.0,52.38,53.38,154188
4,ok,2012-01-05,51.13,54.18,51.13,52.55,315964
5,ok,2012-01-06,53.5,53.5,52.25,52.38,20200
6,ok,2012-01-08,52.0,52.3,49.98,50.58,256582
7,ok,2012-01-09,49.5,49.5,48.05,48.43,2286
8,ok,2012-01-10,46.03,46.03,46.03,46.03,5364
9,ok,2012-01-11,43.73,43.73,43.73,43.73,36588
10,ok,2012-01-12,41.55,43.45,41.55,41.55,64380
11,ok,2012-01-15,41.98,41.98,39.55,41.85,36302
12,ok,2012-01-16,42.03,43.4,41.75,42.75,43628
13,ok,2012-01-17,42.0,43.65,41.25,43.65,160808
14,ok,2012-01-18,45.83,45.83,43.08,43.9,94526
15,ok,2012-01-19,46.08,46.08,44.75,44.9,51434
16,ok,2012-01-22,47.13,47.13,44.8,45.45,102016
17,ok,2012-01-23,45.75,46.4,45.4,46.23,57820
18,ok,2012-01-24,46.35,46.35,44.08,45.75,120180
19,ok,2012-01-26,48.0,48.0,45.0,45.75,50262
20,ok,2012-01-29,45.78,46.45,45.7,45.95,42772
21,ok,2012-01-30,46.25,48.0,45.9,48.0,121440
22,ok,2012-01-31,50.4,50.4,48.63,50.33,27990
23,ok,2012-02-01,50.75,52.5,50.4,50.75,105414
24,ok,2012-02-02,50.8,52.5,50.63,51.18,67618
25,ok,2012-02-05,51.3,53.7,49.23,52.63,72958
26,ok,2012-02-06,52.6,53.68,52.6,52.85,27202
27,ok,2012-02-07,52.63,54.0,52.45,52.48,31040
28,ok,2012-02-08,52.53,55.08,51.6,54.95,183452
29,ok,2012-02-09,55.1,55.7,54.38,54.43,52918
30,ok,2012-02-12,54.43,56.48,54.43,55.5,51894
31,ok,2012-02-13,56.0,57.8,55.53,55.95,56198
32,ok,2012-02-14,56.05,56.2,55.75,56.05,34476
33,ok,2012-02-15,56.5,57.5,55.95,55.95,37230
34,ok,2012-02-16,56.2,56.95,56.08,56.5,115600
35,ok,2012-02-20,59.33,59.33,56.0,57.9,74744
36,ok,2012-02-21,57.0,57.0,56.35,56.35,28326
37,ok,2012-02-22,59.0,59.0,55.93,55.95,41984
38,ok,2012-02-23,55.68,58.4,55.0,55.15,59980
39,ok,2012-02-26,56.0,56.0,54.75,54.75,24972
40,ok,2012-02-27,54.25,54.4,54.25,54.25,22640
41,ok,2012-02-28,54.5,54.5,54.2,54.28,38702
42,ok,2012-02-29,54.43,54.43,53.38,53.45,18696
43,ok,2012-03-01,53.05,53.05,52.75,52.75,26536
44,ok,2012-03-02,52.95,52.95,52.75,52.75,4514
45,ok,2012-03-04,52.68,53.6,51.8,53.35,121328
46,ok,2012-03-05,54.5,54.65,53.78,54.65,31320
47,ok,2012-03-06,54.78,54.93,54.73,54.88,33710
48,ok,2012-03-08,55.5,59.5,55.5,56.08,115904
49,ok,2012-03-11,56.23,56.23,55.85,55.85,39716
50,ok,2012-03-12,55.75,56.85,55.73,56.85,46500
51,ok,2012-03-13,56.75,56.75,56.15,56.15,40872
52,ok,2012-03-14,56.03,56.2,55.6,55.63,51090
53,ok,2012-03-15,55.7,55.7,55.5,55.58,53270
54,ok,2012-03-18,55.73,59.85,55.5,57.58,220928
55,ok,2012-03-19,59.25,61.0,58.0,59.38,152724
56,ok,2012-03-20,60.68,62.63,60.55,61.73,181968
57,ok,2012-03-21,62.2,64.4,61.5,62.48,170336
58,ok,2012-03-22,63.83,63.83,60.88,60.88,165110
59,ok,2012-03-25,60.5,60.55,57.38,58.95,339088
60,ok,2012-03-26,60.0,61.2,59.7,60.98,90136
61,ok,2012-03-27,61.5,63.48,60.8,61.65,459744
62,ok,2012-03-28,61.48,61.98,61.38,61.7,337880
63,ok,2012-03-29,61.63,64.95,61.4,64.75,315126
64,ok,2012-04-01,64.0,64.1,62.3,62.95,173124
65,ok,2012-04-02,62.7,62.7,62.45,62.58,106174
66,ok,2012-04-03,63.5,63.78,62.28,63.38,118752
67,ok,2012-04-08,62.5,63.13,62.4,62.58,105148
68,ok,2012-04-09,62.85,62.85,60.78,60.9,107122
69,ok,2012-04-10,60.5,60.75,60.48,60.5,88488
70,ok,2012-04-11,60.28,62.25,59.9,60.43,77474
71,ok,2012-04-12,60.5,63.2,56.5,57.43,207484
72,ok,2012-04-15,55.0,60.3,55.0,60.15,188828
73,ok,2012-04-16,60.15,61.0,59.9,60.83,66608
74,ok,2012-04-17,66.9,66.9,60.6,60.83,57126
75,ok,2012-04-18,60.85,66.9,60.65,61.93,232640
76,ok,2012-04-19,62.25,63.25,62.05,62.98,103652
77,ok,2012-04-22,62.9,63.2,62.7,63.2,65606
78,ok,2012-04-23,63.05,63.4,63.0,63.08,60620
79,ok,2012-04-24,63.1,68.6,61.83,68.1,144534
80,ok,2012-04-25,69.2,69.2,67.4,67.78,79538
81,ok,2012-04-26,67.58,67.58,66.85,66.98,86002
82,ok,2012-04-27,66.78,67.75,66.78,67.75,32200
83,ok,2012-04-29,68.0,69.45,67.53,69.1,157720
84,ok,2012-05-01,69.75,69.88,69.6,69.85,90424
85,ok,2012-05-02,69.75,70.3,69.53,70.2,71962
86,ok,2012-05-03,70.25,70.55,69.3,69.98,109462
87,ok,2012-05-06,69.28,71.0,69.28,70.98,78698
88,ok,2012-05-07,70.95,70.95,70.78,70.9,95078
89,ok,2012-05-08,70.95,71.5,70.78,70.95,104266
90,ok,2012-05-09,70.95,71.25,70.6,70.7,103650
91,ok,2012-05-10,70.75,72.0,70.6,70.98,169442
92,ok,2012-05-13,71.2,73.5,70.5,70.7,156552
93,ok,2012-05-14,68.0,71.48,68.0,70.75,95264
94,ok,2012-05-15,71.0,72.0,70.18,70.6,80424
95,ok,2012-05-16,71.0,73.25,70.5,72.23,63278
96,ok,2012-05-17,71.1,71.43,71.03,71.18,95006
97,ok,2012-05-20,71.25,71.45,71.05,71.28,98580
98,ok,2012-05-21,83.35,83.35,71.65,71.8,65510
99,ok,2012-05-22,71.7,71.7,71.43,71.5,75010
100,ok,2012-05-23,71.35,76.6,71.15,72.8,121212
101,ok,2012-05-24,72.85,74.9,72.6,74.55,160072
102,ok,2012-05-27,74.6,74.75,74.45,74.55,69280
103,ok,2012-05-28,84.35,84.35,74.15,74.2,83284
104,ok,2012-05-29,74.55,74.7,74.15,74.43,138258
105,ok,2012-05-30,73.93,74.73,73.9,74.38,99536
106,ok,2012-05-31,74.05,74.25,73.83,73.9,98142
107,ok,2012-06-03,73.43,73.43,72.95,73.03,97082
108,ok,2012-06-04,73.7,73.7,72.88,72.88,146610
109,ok,2012-06-05,73.38,73.93,73.18,73.65,108120
110,ok,2012-06-06,74.5,75.1,73.0,74.85,221400
111,ok,2012-06-07,74.83,74.93,74.63,74.73,127352
112,ok,2012-06-10,74.75,74.78,74.63,74.73,109096
113,ok,2012-06-11,74.48,74.65,74.15,74.3,148570
114,ok,2012-06-12,74.4,75.0,73.23,74.9,121508
115,ok,2012-06-13,74.93,74.95,74.83,74.85,79266
116,ok,2012-06-14,75.5,75.8,74.98,75.6,116508
117,ok,2012-06-17,75.68,75.7,74.83,74.98,92176
118,ok,2012-06-18,75.08,76.08,74.5,75.9,129008
119,ok,2012-06-19,76.2,77.5,75.9,76.23,126588
120,ok,2012-06-20,76.25,76.63,75.9,76.45,168796
121,ok,2012-06-21,75.85,77.2,75.78,76.75,199392
122,ok,2012-06-24,77.08,77.3,76.95,77.2,144962
123,ok,2012-06-25,77.25,77.4,76.95,77.03,169180
124,ok,2012-06-26,77.13,77.18,77.0,77.13,162584
125,ok,2012-06-27,77.2,77.5,77.08,77.3,113134
126,ok,2012-06-28,77.7,77.75,77.53,77.6,158598
127,ok,2012-07-01,77.65,78.2,77.58,77.9,168030
128,ok,2012-07-02,77.95,78.1,77.93,78.0,180918
129,ok,2012-07-03,77.93,78.23,77.3,77.48,107264
130,ok,2012-07-04,77.53,77.7,77.0,77.13,110788
131,ok,2012-07-05,77.08,77.25,77.03,77.23,139858
132,ok,2012-07-08,77.45,77.5,77.0,77.08,265672
133,ok,2012-07-09,76.98,77.15,76.98,77.1,123612
134,ok,2012-07-10,77.0,77.0,76.83,76.93,117024
135,ok,2012-07-11,76.65,77.5,76.65,77.4,146090
136,ok,2012-07-12,77.35,77.55,77.35,77.5,219004
137,ok,2012-07-15,78.18,79.0,78.0,78.85,155358
138,ok,2012-07-16,79.03,79.2,78.85,79.0,157468
139,ok,2012-07-17,78.98,79.15,78.85,78.98,171546
140,ok,2012-07-18,79.45,79.55,79.2,79.38,125874
141,ok,2012-07-19,79.45,79.45,79.28,79.33,140360
142,ok,2012-07-22,79.03,79.2,78.9,78.93,117826
143,ok,2012-07-23,78.98,79.15,78.85,78.95,124996
144,ok,2012-07-24,78.88,80.1,78.88,79.45,122038
145,ok,2012-07-25,79.78,80.25,79.5,79.73,106900
146,ok,2012-07-26,80.1,80.25,80.05,80.13,182432
147,ok,2012-07-29,80.28,80.9,80.28,80.85,133838
148,ok,2012-07-30,80.28,80.5,79.83,80.08,134784
149,ok,2012-07-31,80.08,80.55,80.08,80.5,145230
150,ok,2012-08-01,80.73,80.73,80.55,80.63,127012
151,ok,2012-08-02,80.45,80.45,79.88,80.25,149486
152,ok,2012-08-05,80.9,80.95,80.78,80.9,159230
153,ok,2012-08-06,81.0,81.03,80.88,80.98,149902
154,ok,2012-08-07,81.08,81.1,80.5,81.05,144500
155,ok,2012-08-08,81.05,81.13,80.95,81.08,162012
156,ok,2012-08-09,81.15,81.15,80.55,80.63,134468
157,ok,2012-08-12,80.63,81.08,80.63,81.0,118706
158,ok,2012-08-13,81.03,81.5,80.98,81.18,141070
159,ok,2012-08-15,81.03,81.13,80.93,81.03,120032
160,ok,2012-08-16,81.0,81.1,80.78,80.9,144206
161,ok,2012-08-20,80.95,81.03,80.45,80.5,151406
162,ok,2012-08-21,80.3,81.03,80.23,80.98,204490
163,ok,2012-08-22,81.0,81.4,81.0,81.33,170806
164,ok,2012-08-23,81.03,81.08,80.93,80.98,184614
165,ok,2012-08-26,81.0,81.1,80.9,81.05,125742
166,ok,2012-08-27,81.03,84.85,80.65,81.35,195912
167,ok,2012-08-28,81.98,82.13,81.93,81.98,138848
168,ok,2012-08-29,81.98,82.08,81.88,82.03,140096
169,ok,2012-08-30,81.78,82.18,81.75,82.15,199028
170,ok,2012-09-02,82.18,82.23,82.1,82.18,146574
171,ok,2012-09-03,82.2,82.25,82.15,82.2,161622
172,ok,2012-09-04,82.1,82.13,82.0,82.0,154098
173,ok,2012-09-05,82.0,82.48,81.95,82.38,144450
174,ok,2012-09-06,82.93,83.15,82.85,83.1,195352
175,ok,2012-09-07,83.23,83.25,83.15,83.2,42144
176,ok,2012-09-09,83.18,83.23,82.53,82.58,141270
177,ok,2012-09-10,82.38,82.43,82.3,82.38,136142
178,ok,2012-09-11,82.5,83.65,82.48,83.6,124394
179,ok,2012-09-12,83.6,83.63,83.53,83.63,148126
180,ok,2012-09-13,84.15,84.58,84.0,84.23,209296
181,ok,2012-09-16,84.68,85.1,84.65,84.8,194502
182,ok,2012-09-17,84.95,84.98,84.9,84.95,159766
183,ok,2012-09-19,84.25,84.33,84.23,84.28,176656
184,ok,2012-09-20,84.33,84.35,84.28,84.33,170654
185,ok,2012-09-23,84.08,84.13,84.03,84.1,180194
186,ok,2012-09-24,84.18,85.28,84.15,85.08,170586
187,ok,2012-09-25,85.48,85.5,84.95,84.98,174344
188,ok,2012-09-26,85.0,85.0,84.93,84.98,240524
189,ok,2012-09-27,85.68,86.35,85.65,86.23,186702
190,ok,2012-09-30,86.68,87.05,86.65,87.0,152080
191,ok,2012-10-02,86.9,86.95,86.45,86.55,195154
192,ok,2012-10-03,86.45,86.5,86.4,86.48,136832
193,ok,2012-10-04,86.68,86.7,86.63,86.65,162218
194,ok,2012-10-07,86.3,86.3,85.78,85.85,207888
195,ok,2012-10-08,86.08,86.63,86.05,86.53,160620
196,ok,2012-10-09,86.53,86.58,86.48,86.5,177378
197,ok,2012-10-10,86.53,86.75,86.45,86.7,182742
198,ok,2012-10-11,86.7,86.73,86.5,86.5,200874
199,ok,2012-10-14,86.5,86.55,86.3,86.35,147704
200,ok,2012-10-15,86.48,86.53,86.43,86.5,158948
201,ok,2012-10-16,86.65,86.65,86.4,86.5,196850
202,ok,2012-10-17,86.73,86.83,86.7,86.78,257752
203,ok,2012-10-18,86.6,86.63,86.15,86.18,322132
204,ok,2012-10-21,86.18,86.25,85.93,85.95,280496
205,ok,2012-10-22,86.0,86.2,85.98,86.18,203586
206,ok,2012-10-24,86.15,86.2,86.03,86.05,215308
207,ok,2012-10-25,85.83,85.85,85.25,85.75,263072
208,ok,2012-10-28,85.88,86.0,85.85,85.98,232414
209,ok,2012-10-29,86.05,86.13,85.85,85.88,215146
210,ok,2012-10-30,85.88,86.05,85.85,85.98,235570
211,ok,2012-10-31,85.95,86.38,85.93,86.33,235634
212,ok,2012-11-01,87.08,87.1,86.3,86.55,250784
213,ok,2012-11-04,87.18,87.2,87.05,87.18,193094
214,ok,2012-11-05,88.3,90.3,88.18,90.25,218004
215,ok,2012-11-06,90.53,90.63,90.5,90.63,183044
216,ok,2012-11-07,89.88,90.9,89.85,90.88,219536
