,s,t,o,h,l,c,v
0,ok,2000-07-20,125.0,129.5,121.0,124.5,1200
1,ok,2000-07-23,120.0,120.0,115.0,115.0,700
2,ok,2000-07-24,107.0,111.5,105.8,107.4,1100
3,ok,2000-07-25,115.0,116.0,115.0,116.0,2100
4,ok,2000-07-26,119.5,119.5,108.1,115.45,7600
5,ok,2000-07-27,113.0,115.5,111.0,112.85,1700
6,ok,2000-07-30,109.0,112.0,106.0,106.5,2500
7,ok,2000-07-31,107.0,107.0,104.0,104.0,900
8,ok,2000-08-01,104.0,104.0,99.05,103.0,1000
9,ok,2000-08-02,100.0,100.0,97.5,97.55,900
10,ok,2000-08-03,95.6,97.0,89.75,93.1,2500
11,ok,2000-08-06,90.0,95.0,90.0,92.9,2300
12,ok,2000-08-07,96.45,99.0,94.75,98.6,1500
13,ok,2000-08-08,104.0,104.0,99.0,102.9,2200
14,ok,2000-08-09,95.15,99.9,95.15,96.1,1000
15,ok,2000-08-10,96.95,99.95,94.1,98.0,900
16,ok,2000-08-13,100.0,101.5,96.1,98.45,1800
17,ok,2000-08-15,97.15,98.0,96.0,96.0,700
18,ok,2000-08-16,97.0,100.0,96.3,96.75,700
19,ok,2000-08-17,102.7,102.7,97.5,100.0,900
20,ok,2000-08-20,106.9,108.0,101.15,108.0,2300
21,ok,2000-08-21,110.0,116.65,110.0,116.65,2600
22,ok,2000-08-22,126.0,126.0,122.0,123.0,1500
23,ok,2000-08-23,131.0,131.0,116.0,120.9,1500
24,ok,2000-08-24,123.0,123.0,117.0,117.1,600
25,ok,2000-08-27,120.0,120.0,108.0,110.15,600
26,ok,2000-08-28,110.0,116.0,102.0,102.0,600
27,ok,2000-08-29,110.0,110.05,110.0,110.0,300
28,ok,2000-08-30,102.3,105.0,102.0,103.0,400
29,ok,2000-09-03,105.0,110.0,105.0,110.0,500
30,ok,2000-09-04,108.95,116.0,108.05,115.0,900
31,ok,2000-09-05,120.0,122.9,111.0,116.0,1000
32,ok,2000-09-06,115.95,118.0,114.0,118.0,400
33,ok,2000-09-07,119.0,119.0,118.5,118.5,300
34,ok,2000-09-10,126.95,126.95,111.1,119.9,800
35,ok,2000-09-11,112.0,120.0,112.0,113.5,500
36,ok,2000-09-12,112.05,112.05,112.05,112.05,300
37,ok,2000-09-13,117.0,119.0,117.0,119.0,200
38,ok,2000-09-14,115.0,117.0,110.0,112.0,1300
39,ok,2000-09-17,109.0,110.7,107.15,108.95,300
40,ok,2000-09-18,105.0,105.0,101.0,101.0,400
41,ok,2000-09-19,105.0,105.0,103.0,103.0,300
42,ok,2000-09-20,102.0,102.0,102.0,102.0,500
43,ok,2000-09-21,100.0,100.0,100.0,100.0,200
44,ok,2000-09-24,100.0,100.0,100.0,100.0,100
45,ok,2000-09-25,93.1,98.65,92.05,95.35,1000
46,ok,2000-09-26,97.9,98.0,95.1,97.0,1000
47,ok,2000-09-27,97.0,97.0,97.0,97.0,200
48,ok,2000-09-28,95.25,101.4,95.0,101.4,300
49,ok,2000-10-02,102.5,103.0,97.0,97.0,1000
50,ok,2000-10-03,100.0,100.0,100.0,100.0,100
51,ok,2000-10-04,99.0,99.0,92.0,92.1,1500
52,ok,2000-10-05,88.0,93.35,87.0,93.35,300
53,ok,2000-10-08,86.0,86.0,86.0,86.0,200
54,ok,2000-10-09,80.0,80.0,79.25,79.25,200
55,ok,2000-10-10,82.0,82.0,75.0,80.0,1400
56,ok,2000-10-11,80.0,86.4,80.0,86.4,1100
57,ok,2000-10-12,93.0,93.3,83.0,93.3,1400
58,ok,2000-10-15,100.0,100.0,92.65,94.9,2700
59,ok,2000-10-16,90.0,97.75,88.0,95.0,3200
60,ok,2000-10-17,97.0,102.0,91.15,98.9,1800
61,ok,2000-10-18,104.9,105.0,95.55,104.5,1900
62,ok,2000-10-19,108.4,112.9,102.0,107.35,3800
63,ok,2000-10-22,108.0,115.0,99.0,99.0,2300
64,ok,2000-10-23,98.85,100.05,94.55,97.5,1300
65,ok,2000-10-24,105.0,105.0,103.0,103.45,700
66,ok,2000-10-25,105.95,105.95,102.0,102.0,300
67,ok,2000-10-26,104.9,104.9,96.6,101.45,1700
68,ok,2000-10-29,103.75,109.0,101.3,105.1,2400
69,ok,2000-10-30,113.4,113.55,105.55,111.95,2500
70,ok,2000-10-31,119.0,120.9,118.0,120.9,3300
71,ok,2000-11-01,124.0,129.9,124.0,128.95,3400
72,ok,2000-11-02,137.0,139.3,132.0,139.3,2300
73,ok,2000-11-05,150.4,150.45,138.5,145.9,5500
74,ok,2000-11-06,154.0,154.0,137.5,141.9,2800
75,ok,2000-11-07,152.65,153.25,148.0,152.25,5500
76,ok,2000-11-08,142.0,164.45,142.0,164.05,6400
77,ok,2000-11-09,169.0,177.2,166.0,176.7,8400
78,ok,2000-11-12,173.0,175.0,162.6,162.6,4200
79,ok,2000-11-13,153.0,169.5,153.0,162.45,5500
80,ok,2000-11-14,165.0,168.0,149.45,158.7,4200
81,ok,2000-11-15,158.95,159.0,146.0,149.5,4800
82,ok,2000-11-16,152.0,156.0,145.4,152.3,5500
83,ok,2000-11-19,150.0,162.9,150.0,161.9,7100
84,ok,2000-11-20,162.0,164.5,149.0,152.4,5300
85,ok,2000-11-21,160.0,160.9,155.0,159.45,2200
86,ok,2000-11-22,159.9,167.0,152.0,164.7,4200
87,ok,2000-11-23,164.95,165.0,163.0,164.9,1100
88,ok,2000-11-26,160.0,163.75,159.0,161.7,3100
89,ok,2000-11-27,162.95,162.95,155.0,155.75,2000
90,ok,2000-11-28,162.45,162.45,155.0,155.0,700
91,ok,2000-11-29,155.0,156.0,148.5,155.8,2300
