,s,t,o,h,l,c,v
0,ok,2000-01-02,3.58,4.07,3.58,3.94,31570
1,ok,2000-01-03,3.94,4.17,3.78,3.84,69125
2,ok,2000-01-04,3.81,3.86,3.67,3.78,31570
3,ok,2000-01-05,3.67,3.75,3.48,3.68,101785
4,ok,2000-01-06,3.53,3.68,3.53,3.61,62595
5,ok,2000-01-09,3.49,3.77,3.49,3.7,63685
6,ok,2000-01-10,3.54,3.67,3.49,3.52,95800
7,ok,2000-01-11,3.77,3.79,3.67,3.79,29935
8,ok,2000-01-12,3.81,3.81,3.58,3.64,46810
9,ok,2000-01-13,3.63,3.67,3.55,3.67,25580
10,ok,2000-01-16,3.63,3.66,3.44,3.64,37555
11,ok,2000-01-17,3.33,3.67,3.33,3.47,65315
12,ok,2000-01-18,3.67,3.67,3.58,3.59,11430
13,ok,2000-01-19,3.58,3.6,3.35,3.59,24495
14,ok,2000-01-20,3.46,3.54,3.44,3.47,14150
15,ok,2000-01-23,3.6,3.6,3.4,3.41,36470
16,ok,2000-01-24,3.44,3.49,3.36,3.44,62595
17,ok,2000-01-26,3.18,3.44,3.18,3.4,25580
18,ok,2000-01-27,3.4,3.47,3.31,3.45,53885
19,ok,2000-01-30,3.47,3.67,3.44,3.49,30480
20,ok,2000-01-31,3.44,3.49,3.4,3.45,37555
21,ok,2000-02-01,3.56,3.56,3.49,3.51,14150
22,ok,2000-02-02,3.52,3.58,3.4,3.45,22315
23,ok,2000-02-03,3.4,3.56,3.39,3.49,34290
24,ok,2000-02-06,3.4,3.47,3.38,3.42,9800
25,ok,2000-02-07,3.44,3.49,3.31,3.4,34835
26,ok,2000-02-08,3.49,3.56,3.43,3.44,19595
27,ok,2000-02-09,3.49,3.49,3.34,3.36,21230
28,ok,2000-02-10,3.4,3.47,3.36,3.38,21770
29,ok,2000-02-13,3.33,3.36,3.33,3.35,9255
30,ok,2000-02-14,3.32,3.35,3.22,3.27,40825
31,ok,2000-02-15,3.44,3.44,3.22,3.34,42455
32,ok,2000-02-16,3.24,3.37,3.24,3.36,26670
33,ok,2000-02-17,3.33,3.4,3.27,3.34,12520
34,ok,2000-02-20,3.25,3.38,3.25,3.33,45720
35,ok,2000-02-21,3.34,3.34,3.22,3.22,61505
36,ok,2000-02-22,3.35,3.49,3.33,3.4,54430
37,ok,2000-02-23,3.92,4.04,3.49,3.99,101240
38,ok,2000-02-24,4.12,4.23,3.9,4.16,219900
39,ok,2000-02-27,4.06,4.35,3.86,4.12,192140
40,ok,2000-02-28,4.34,4.34,3.79,3.79,270520
41,ok,2000-02-29,3.58,3.73,3.5,3.56,71850
42,ok,2000-03-01,3.22,3.47,3.22,3.44,24495
43,ok,2000-03-02,3.31,3.47,3.27,3.41,47355
44,ok,2000-03-05,3.4,3.42,3.22,3.32,59330
45,ok,2000-03-06,3.16,3.26,3.03,3.14,60960
46,ok,2000-03-07,3.32,3.32,3.05,3.11,26670
47,ok,2000-03-08,2.94,3.12,2.94,3.08,29395
48,ok,2000-03-09,3.01,3.2,2.99,3.11,40280
49,ok,2000-03-12,3.11,3.14,3.05,3.05,40825
50,ok,2000-03-13,3.05,3.1,3.03,3.08,44090
51,ok,2000-03-14,3.47,3.47,3.16,3.17,17420
52,ok,2000-03-15,3.11,3.22,3.11,3.13,13610
53,ok,2000-03-20,2.84,3.3,2.84,3.08,49530
54,ok,2000-03-21,3.08,3.22,3.08,3.12,12520
55,ok,2000-03-22,3.12,3.15,3.08,3.12,12520
56,ok,2000-03-23,3.13,3.19,3.08,3.17,5985
57,ok,2000-03-26,3.07,3.12,3.07,3.11,9800
58,ok,2000-03-27,3.1,3.16,3.08,3.15,22860
59,ok,2000-03-28,2.96,3.26,2.96,3.17,41910
60,ok,2000-03-29,3.17,3.29,3.12,3.28,15240
61,ok,2000-03-30,3.22,3.38,3.22,3.36,21230
62,ok,2000-04-02,3.42,4.21,3.42,3.81,91990
63,ok,2000-04-03,3.53,3.86,3.53,3.61,102875
64,ok,2000-04-04,3.67,3.77,3.62,3.65,34290
65,ok,2000-04-05,3.86,3.86,3.42,3.49,17420
66,ok,2000-04-06,3.49,3.86,3.49,3.74,85455
67,ok,2000-04-09,3.84,3.84,3.64,3.68,47355
68,ok,2000-04-11,3.85,3.9,3.77,3.81,50075
69,ok,2000-04-12,3.55,3.8,3.55,3.68,21770
70,ok,2000-04-16,3.58,3.73,3.55,3.69,44090
71,ok,2000-04-17,3.67,3.78,3.65,3.75,80015
72,ok,2000-04-18,3.74,3.74,3.32,3.38,37015
73,ok,2000-04-19,3.12,3.37,3.12,3.37,15785
74,ok,2000-04-23,3.22,3.39,3.2,3.24,14695
75,ok,2000-04-24,3.22,3.4,3.22,3.31,5985
76,ok,2000-04-25,3.31,3.31,3.31,3.31,5985
77,ok,2000-04-26,3.29,3.31,3.26,3.31,3265
78,ok,2000-04-27,3.31,3.31,3.22,3.22,11430
79,ok,2000-05-01,3.11,3.25,3.11,3.22,8710
80,ok,2000-05-02,3.22,3.49,3.12,3.12,14150
81,ok,2000-05-03,3.16,3.49,3.16,3.17,12520
82,ok,2000-05-04,3.22,3.31,3.22,3.31,6530
83,ok,2000-05-07,3.13,3.23,3.12,3.13,9255
84,ok,2000-05-08,3.22,3.22,3.16,3.16,8710
85,ok,2000-05-09,3.12,3.22,3.1,3.12,7075
86,ok,2000-05-10,3.07,3.22,3.03,3.09,8710
87,ok,2000-05-11,3.12,3.25,3.1,3.1,10340
88,ok,2000-05-14,3.12,3.18,3.12,3.16,34290
89,ok,2000-05-15,3.19,3.21,3.15,3.19,20685
90,ok,2000-05-16,3.2,3.28,3.2,3.25,11430
91,ok,2000-05-17,3.22,3.31,3.22,3.31,10340
92,ok,2000-05-18,3.24,3.28,3.23,3.25,19050
93,ok,2000-05-21,3.27,3.27,2.95,3.08,47355
94,ok,2000-05-22,3.12,3.12,3.05,3.05,3810
95,ok,2000-05-23,3.08,3.18,3.08,3.11,4900
96,ok,2000-05-24,3.16,3.17,3.14,3.17,11975
97,ok,2000-05-25,3.12,3.17,3.07,3.12,17960
98,ok,2000-05-28,3.12,3.12,3.09,3.09,26670
99,ok,2000-05-29,3.26,3.29,3.05,3.15,29935
100,ok,2000-05-30,3.22,3.29,3.17,3.22,19595
101,ok,2000-05-31,3.22,3.24,3.16,3.18,9800
102,ok,2000-06-01,3.22,3.22,3.12,3.14,17960
103,ok,2000-06-04,3.22,3.31,3.17,3.19,28305
104,ok,2000-06-05,3.18,3.18,3.08,3.1,43000
105,ok,2000-06-06,3.07,3.25,3.07,3.12,16330
106,ok,2000-06-07,3.16,3.17,3.07,3.07,33745
107,ok,2000-06-08,3.12,3.12,3.09,3.1,8710
108,ok,2000-06-11,3.12,3.16,3.12,3.13,5445
109,ok,2000-06-12,3.12,3.12,3.1,3.12,7075
110,ok,2000-06-13,3.22,3.22,3.12,3.17,20685
111,ok,2000-06-14,3.12,3.19,3.12,3.19,3810
112,ok,2000-06-15,3.12,3.12,3.0,3.06,39190
113,ok,2000-06-18,3.15,3.19,3.09,3.09,5985
114,ok,2000-06-19,3.09,3.12,3.09,3.09,43545
115,ok,2000-06-20,3.12,3.12,3.09,3.1,16330
116,ok,2000-06-21,3.08,3.12,3.08,3.12,11430
117,ok,2000-06-22,3.09,3.18,3.09,3.17,11430
118,ok,2000-06-25,3.03,3.07,2.99,3.07,8165
119,ok,2000-06-26,3.07,3.1,3.03,3.06,32660
120,ok,2000-06-27,3.12,3.16,3.12,3.12,4900
121,ok,2000-06-28,3.12,3.12,3.07,3.08,8710
122,ok,2000-06-29,3.03,3.16,3.03,3.14,4900
123,ok,2000-07-02,3.09,3.12,3.03,3.12,15240
124,ok,2000-07-03,2.99,3.11,2.99,3.08,5445
125,ok,2000-07-04,3.06,3.06,2.99,3.05,4900
126,ok,2000-07-05,3.05,3.1,3.0,3.08,23405
127,ok,2000-07-06,2.94,3.11,2.94,3.11,10340
128,ok,2000-07-09,3.18,3.18,3.03,3.05,8165
129,ok,2000-07-10,3.03,3.1,3.03,3.06,12520
130,ok,2000-07-11,3.29,3.29,3.09,3.17,30480
131,ok,2000-07-12,3.05,3.17,3.05,3.14,11975
132,ok,2000-07-13,3.12,3.13,3.09,3.13,16875
133,ok,2000-07-16,3.15,3.15,3.13,3.13,2720
134,ok,2000-07-17,3.07,3.1,3.05,3.06,7075
135,ok,2000-07-18,3.11,3.12,3.11,3.11,9255
136,ok,2000-07-19,3.01,3.12,2.94,3.1,20140
137,ok,2000-07-20,3.05,3.12,3.05,3.12,9800
138,ok,2000-07-23,3.1,3.12,3.07,3.07,17420
139,ok,2000-07-24,3.05,3.1,3.05,3.09,15240
140,ok,2000-07-25,3.3,3.3,3.03,3.07,4900
141,ok,2000-07-26,3.12,3.12,3.03,3.03,23950
142,ok,2000-07-27,3.12,3.12,3.03,3.08,15785
143,ok,2000-07-30,3.05,3.05,3.03,3.03,11430
