,s,t,o,h,l,c,v
0,ok,2000-01-02,5.05,5.4,5.05,5.34,26000
1,ok,2000-01-03,5.55,5.6,5.2,5.25,45000
2,ok,2000-01-04,5.5,5.61,5.5,5.5,15000
3,ok,2000-01-05,5.21,5.4,5.21,5.4,17000
4,ok,2000-01-06,5.2,5.2,5.2,5.2,1000
5,ok,2000-01-09,5.25,5.6,5.25,5.3,18000
6,ok,2000-01-10,5.25,5.34,5.05,5.25,17000
7,ok,2000-01-11,5.65,5.65,5.05,5.07,20000
8,ok,2000-01-12,5.24,5.3,5.15,5.29,8000
9,ok,2000-01-13,5.25,5.45,5.25,5.28,10000
10,ok,2000-01-16,5.33,5.33,5.25,5.25,27000
11,ok,2000-01-17,5.2,5.2,5.1,5.16,13000
12,ok,2000-01-18,5.45,5.45,5.1,5.25,14000
13,ok,2000-01-19,5.1,5.21,5.1,5.15,6000
14,ok,2000-01-20,5.2,5.25,5.2,5.25,5000
15,ok,2000-01-23,5.25,5.25,5.0,5.15,33000
16,ok,2000-01-24,5.2,5.25,5.17,5.18,11000
17,ok,2000-01-26,5.45,5.57,5.25,5.4,17000
18,ok,2000-01-27,5.75,5.75,5.35,5.45,57000
19,ok,2000-01-30,5.2,5.4,5.05,5.25,26000
20,ok,2000-01-31,5.1,5.25,5.06,5.18,27000
21,ok,2000-02-01,5.48,5.5,5.15,5.45,26000
22,ok,2000-02-02,5.45,5.45,5.02,5.05,18000
23,ok,2000-02-03,5.25,5.28,5.15,5.15,25000
24,ok,2000-02-06,5.03,5.07,4.8,4.89,23000
25,ok,2000-02-07,5.0,5.08,4.82,4.82,23000
26,ok,2000-02-08,4.82,5.0,4.82,4.99,10000
27,ok,2000-02-09,4.88,4.9,4.85,4.85,4000
28,ok,2000-02-10,4.85,4.85,4.75,4.85,38000
29,ok,2000-02-13,4.75,4.95,4.7,4.7,6000
30,ok,2000-02-14,4.75,4.75,4.45,4.52,20000
31,ok,2000-02-15,4.6,4.79,4.41,4.51,27000
32,ok,2000-02-16,4.34,4.45,4.34,4.45,5000
33,ok,2000-02-17,4.37,4.37,4.25,4.25,14000
34,ok,2000-02-20,4.5,4.56,4.2,4.2,27000
35,ok,2000-02-21,4.05,4.2,4.0,4.05,29000
36,ok,2000-02-22,4.05,4.35,3.9,4.35,8000
37,ok,2000-02-23,4.35,4.4,4.2,4.2,8000
38,ok,2000-02-24,4.13,4.28,4.1,4.27,24000
39,ok,2000-02-27,4.05,4.3,4.05,4.29,19000
40,ok,2000-02-28,4.07,4.35,4.06,4.23,25000
41,ok,2000-02-29,4.06,4.25,4.06,4.25,3000
42,ok,2000-03-01,4.1,4.25,4.1,4.16,12000
43,ok,2000-03-02,3.86,4.1,3.85,4.1,5000
44,ok,2000-03-05,3.88,4.0,3.86,3.86,9000
45,ok,2000-03-06,4.0,4.03,3.6,3.6,50000
46,ok,2000-03-12,3.6,3.79,3.6,3.71,13000
47,ok,2000-03-13,3.5,3.75,3.5,3.75,9000
48,ok,2000-03-14,4.0,4.0,4.0,4.0,1000
49,ok,2000-03-15,4.1,4.15,3.95,4.09,22380
50,ok,2000-03-20,4.03,4.25,4.0,4.02,20240
51,ok,2000-03-21,4.29,4.29,4.09,4.21,8000
52,ok,2000-03-22,4.25,4.4,4.13,4.15,17600
53,ok,2000-03-23,4.16,4.19,4.16,4.19,2000
54,ok,2000-03-26,3.97,4.0,3.88,4.0,37480
55,ok,2000-03-27,4.0,4.32,3.83,4.32,11800
56,ok,2000-03-28,4.39,4.39,4.39,4.39,1000
57,ok,2000-03-29,4.59,4.59,4.1,4.2,23360
58,ok,2000-03-30,4.4,4.4,4.18,4.38,30580
59,ok,2000-04-02,4.25,4.34,4.2,4.22,12000
60,ok,2000-04-03,4.24,4.27,4.15,4.16,20000
61,ok,2000-04-04,4.05,4.25,4.05,4.25,5000
62,ok,2000-04-05,4.49,4.5,4.09,4.15,380
63,ok,2000-04-06,4.39,4.4,4.28,4.28,15600
64,ok,2000-04-09,4.28,4.4,4.28,4.33,24000
65,ok,2000-04-11,4.33,4.54,4.19,4.22,5420
66,ok,2000-04-12,4.1,4.5,4.1,4.5,7320
67,ok,2000-04-16,4.2,4.25,4.15,4.15,6680
68,ok,2000-04-17,4.45,4.45,4.0,4.01,33140
69,ok,2000-04-18,4.06,4.06,4.06,4.06,2000
70,ok,2000-04-19,4.28,4.28,3.86,4.07,3200
71,ok,2000-04-24,3.85,3.85,3.74,3.74,1004000
72,ok,2000-04-25,3.9,3.9,3.9,3.9,1000
73,ok,2000-04-26,3.76,4.05,3.76,4.05,6100
74,ok,2000-04-27,4.0,4.0,3.77,3.86,38480
75,ok,2000-05-01,3.84,3.84,3.66,3.74,18020
76,ok,2000-05-02,3.7,3.7,3.7,3.7,60000
77,ok,2000-05-03,3.95,3.95,3.65,3.8,4340
78,ok,2000-05-04,3.75,3.8,3.6,3.6,320880
79,ok,2000-05-07,3.38,3.38,3.38,3.38,1960
80,ok,2000-05-08,3.25,3.65,3.25,3.65,4880
81,ok,2000-05-09,3.63,3.63,3.61,3.62,7420
82,ok,2000-05-10,3.85,3.85,3.5,3.55,5600
83,ok,2000-05-11,3.5,3.5,3.5,3.5,3420
84,ok,2000-05-14,3.25,3.6,3.25,3.5,28800
85,ok,2000-05-15,3.55,3.61,3.55,3.6,11960
86,ok,2000-05-16,3.65,3.75,3.65,3.73,6100
87,ok,2000-05-17,3.75,3.77,3.54,3.54,9060
88,ok,2000-05-18,3.82,3.82,3.66,3.7,3800
89,ok,2000-05-21,3.7,3.8,3.7,3.75,3000
90,ok,2000-05-22,3.55,3.75,3.55,3.62,8200
91,ok,2000-05-23,3.79,3.9,3.55,3.9,18100
92,ok,2000-05-24,3.9,4.2,3.9,4.2,26220
93,ok,2000-05-25,4.05,4.05,3.9,4.05,16600
94,ok,2000-05-28,4.37,4.37,4.05,4.18,13480
95,ok,2000-05-29,4.1,4.18,4.06,4.08,11800
96,ok,2000-05-30,4.0,4.0,4.0,4.0,740
97,ok,2000-05-31,4.25,4.25,4.03,4.08,5280
98,ok,2000-06-01,3.76,4.13,3.75,3.76,23560
99,ok,2000-06-04,4.06,4.06,3.85,4.0,9660
100,ok,2000-06-05,4.0,4.0,3.95,3.97,11820
101,ok,2000-06-06,3.95,4.1,3.78,3.95,2880
102,ok,2000-06-07,4.26,4.26,3.8,4.1,7320
103,ok,2000-06-08,4.43,4.43,4.02,4.02,4360
104,ok,2000-06-11,4.01,4.22,4.01,4.15,6020
105,ok,2000-06-12,4.25,4.25,4.03,4.15,12080
106,ok,2000-06-13,4.15,4.33,3.82,4.07,104140
107,ok,2000-06-14,4.0,4.34,4.0,4.17,27120
108,ok,2000-06-15,3.97,4.08,3.97,4.08,2640
109,ok,2000-06-18,3.81,4.3,3.81,4.1,15620
110,ok,2000-06-19,4.1,4.18,4.06,4.06,12060
111,ok,2000-06-20,4.28,4.39,4.03,4.28,10160
112,ok,2000-06-21,4.13,4.37,4.13,4.37,3020
113,ok,2000-06-22,4.72,4.72,4.03,4.45,15480
114,ok,2000-06-25,4.45,4.8,4.45,4.8,28160
115,ok,2000-06-26,5.07,5.19,4.73,4.83,62300
116,ok,2000-06-27,5.0,5.05,4.85,4.92,58720
117,ok,2000-06-28,4.77,5.0,4.7,4.81,64700
118,ok,2000-06-29,4.8,4.95,4.8,4.81,26960
119,ok,2000-07-02,4.6,5.15,4.6,4.81,80660
120,ok,2000-07-03,4.81,5.13,4.81,4.87,76440
121,ok,2000-07-04,5.1,5.21,4.99,5.1,73260
122,ok,2000-07-05,5.3,5.33,4.75,4.8,135960
123,ok,2000-07-06,4.87,4.95,4.81,4.84,23980
124,ok,2000-07-09,4.8,4.85,4.75,4.75,27040
125,ok,2000-07-10,4.7,4.75,4.65,4.67,28100
126,ok,2000-07-11,4.65,4.87,4.65,4.8,26400
127,ok,2000-07-12,4.75,4.88,4.75,4.78,23840
128,ok,2000-07-13,4.61,4.75,4.61,4.71,4900
129,ok,2000-07-16,4.56,4.68,4.56,4.68,6640
130,ok,2000-07-17,4.75,4.78,4.56,4.57,76860
131,ok,2000-07-18,4.65,4.65,4.58,4.58,6480
132,ok,2000-07-19,4.52,4.65,4.52,4.62,5900
133,ok,2000-07-20,4.7,4.7,4.6,4.61,9920
134,ok,2000-07-23,4.45,4.7,4.45,4.51,5560
135,ok,2000-07-24,4.5,4.75,4.45,4.67,23820
136,ok,2000-07-25,4.85,4.95,4.63,4.8,27100
137,ok,2000-07-26,4.55,4.8,4.5,4.78,31980
138,ok,2000-07-27,4.7,4.78,4.7,4.7,21500
139,ok,2000-07-30,4.75,4.8,4.71,4.74,20600
140,ok,2000-07-31,4.96,4.96,4.76,4.81,24000
141,ok,2000-08-01,4.9,4.9,4.6,4.82,16360
142,ok,2000-08-02,4.75,4.8,4.75,4.77,7900
143,ok,2000-08-03,4.77,4.8,4.75,4.76,59400
144,ok,2000-08-06,4.7,4.8,4.7,4.78,17400
145,ok,2000-08-07,4.8,4.83,4.75,4.79,29060
146,ok,2000-08-08,4.83,4.95,4.83,4.88,13800
147,ok,2000-08-09,4.77,5.1,4.77,5.0,33340
148,ok,2000-08-10,4.87,5.09,4.87,5.08,22840
149,ok,2000-08-13,4.91,5.33,4.91,5.2,58200
150,ok,2000-08-15,5.0,5.13,5.0,5.06,24740
151,ok,2000-08-16,4.81,5.19,4.81,5.1,14720
152,ok,2000-08-17,5.03,5.09,5.03,5.06,17980
153,ok,2000-08-20,5.05,5.08,4.96,5.07,41140
154,ok,2000-08-21,5.0,5.09,5.0,5.06,35840
155,ok,2000-08-22,5.1,5.1,5.03,5.03,7560
156,ok,2000-08-23,4.97,5.05,4.97,5.03,30500
157,ok,2000-08-24,5.38,5.38,5.07,5.23,48040
158,ok,2000-08-27,5.19,5.3,5.04,5.2,50340
159,ok,2000-08-28,5.47,5.5,5.16,5.22,40320
160,ok,2000-08-29,5.25,5.33,5.21,5.21,20400
161,ok,2000-08-30,5.06,5.45,5.06,5.2,9920
162,ok,2000-09-03,5.15,5.25,5.15,5.25,11000
163,ok,2000-09-04,5.06,5.15,5.06,5.14,10400
164,ok,2000-09-05,5.03,5.11,5.02,5.11,25000
165,ok,2000-09-06,5.18,5.2,5.11,5.11,7720
166,ok,2000-09-07,5.11,5.2,5.1,5.12,17260
167,ok,2000-09-10,5.05,5.2,5.05,5.1,6400
168,ok,2000-09-11,5.06,5.2,5.06,5.14,8700
169,ok,2000-09-12,5.1,5.1,5.02,5.09,21920
170,ok,2000-09-13,5.01,5.15,5.0,5.15,17880
171,ok,2000-09-14,5.05,5.1,5.05,5.08,7140
172,ok,2000-09-17,5.01,5.04,5.0,5.01,12200
173,ok,2000-09-18,5.0,5.05,5.0,5.02,29040
174,ok,2000-09-19,4.98,5.03,4.98,5.03,9380
175,ok,2000-09-20,4.99,5.03,4.95,4.98,12700
176,ok,2000-09-21,5.0,5.0,5.0,5.0,3300
177,ok,2000-09-24,4.76,5.0,4.76,5.0,16140
178,ok,2000-09-25,5.0,5.04,4.9,4.96,15380
179,ok,2000-09-26,4.95,5.14,4.95,5.14,8400
180,ok,2000-09-27,5.01,5.05,4.9,5.05,30040
181,ok,2000-09-28,5.06,5.1,5.0,5.01,51440
182,ok,2000-10-02,4.95,5.3,4.95,5.14,23800
183,ok,2000-10-03,5.25,5.25,5.11,5.25,28100
184,ok,2000-10-04,5.25,5.25,5.17,5.25,9320
185,ok,2000-10-05,5.2,5.35,5.2,5.3,26000
186,ok,2000-10-08,5.2,5.32,5.15,5.32,6800
187,ok,2000-10-09,5.33,5.33,5.22,5.23,15140
188,ok,2000-10-10,5.18,5.18,5.1,5.1,7340
189,ok,2000-10-11,5.05,5.15,5.05,5.15,5100
190,ok,2000-10-12,5.18,5.2,4.93,5.05,15320
191,ok,2000-10-15,5.2,5.2,5.0,5.0,800
192,ok,2000-10-16,5.25,5.25,4.98,5.01,20000
193,ok,2000-10-17,5.15,5.15,5.1,5.1,1800
194,ok,2000-10-18,4.9,5.1,4.9,5.07,2220
195,ok,2000-10-19,5.0,5.0,5.0,5.0,160
196,ok,2000-10-22,5.0,5.01,5.0,5.0,6720
197,ok,2000-10-23,4.95,5.01,4.95,5.01,5700
198,ok,2000-10-24,5.05,5.25,5.0,5.25,6700
199,ok,2000-10-26,4.92,5.06,4.92,5.01,2760
200,ok,2000-10-29,4.97,5.1,4.96,5.1,7900
201,ok,2000-10-30,5.0,5.5,4.96,5.5,10100
202,ok,2000-10-31,5.15,5.25,5.1,5.1,4040
203,ok,2000-11-01,5.0,5.03,5.0,5.02,1460
204,ok,2000-11-02,5.12,5.12,4.94,5.1,3760
205,ok,2000-11-05,5.02,5.35,5.0,5.35,7220
206,ok,2000-11-06,5.05,5.1,5.0,5.0,3020
207,ok,2000-11-07,4.91,4.98,4.91,4.96,5120
208,ok,2000-11-08,5.01,5.2,4.98,5.0,5700
209,ok,2000-11-09,4.9,4.9,4.9,4.9,80
210,ok,2000-11-12,4.88,4.88,4.88,4.88,420
211,ok,2000-11-13,4.87,4.87,4.76,4.76,5320
212,ok,2000-11-14,4.84,4.84,4.84,4.84,620
213,ok,2000-11-15,4.85,4.95,4.57,4.72,25940
214,ok,2000-11-16,4.76,4.8,4.68,4.73,20880
215,ok,2000-11-19,4.69,4.75,4.69,4.71,10300
216,ok,2000-11-20,4.66,4.78,4.66,4.74,13400
217,ok,2000-11-21,4.62,4.65,4.56,4.6,13840
218,ok,2000-11-22,4.59,4.75,4.57,4.6,24560
219,ok,2000-11-23,4.6,4.6,4.5,4.56,8680
220,ok,2000-11-26,4.47,4.68,4.47,4.67,27460
221,ok,2000-11-27,4.64,4.8,4.6,4.6,14560
222,ok,2000-11-28,4.62,4.75,4.62,4.75,9000
223,ok,2000-11-29,4.62,4.62,4.62,4.62,1900
224,ok,2000-11-30,4.65,4.65,4.65,4.65,1000
225,ok,2000-12-03,4.48,4.48,4.48,4.48,1000
226,ok,2000-12-04,4.46,4.81,4.46,4.81,4300
227,ok,2000-12-05,4.62,4.63,4.61,4.63,7280
228,ok,2000-12-06,4.6,4.61,4.58,4.58,8060
229,ok,2000-12-07,4.65,4.75,4.63,4.66,5500
230,ok,2000-12-10,4.73,4.75,4.71,4.75,13000
231,ok,2000-12-11,4.65,4.74,4.6,4.74,18860
232,ok,2000-12-12,4.52,4.75,4.51,4.61,32860
233,ok,2000-12-13,4.5,4.56,4.5,4.51,22620
234,ok,2000-12-14,4.6,4.6,4.5,4.55,5280
235,ok,2000-12-17,4.55,4.55,4.5,4.5,3100
236,ok,2000-12-18,4.51,4.59,4.51,4.58,39320
237,ok,2000-12-19,4.5,4.59,4.5,4.56,3880
238,ok,2000-12-20,4.5,4.5,4.45,4.5,23000
239,ok,2000-12-21,4.48,4.55,4.48,4.55,5680
240,ok,2000-12-25,4.26,4.45,4.26,4.31,14600
241,ok,2000-12-28,4.26,4.35,4.25,4.3,6000
