,s,t,o,h,l,c,v
0,ok,2010-10-05,461.1,664.0,436.1,628.15,22596469
1,ok,2010-10-06,650.0,714.4,592.65,624.7,12977955
2,ok,2010-10-07,634.0,634.0,572.0,591.25,2804611
3,ok,2010-10-10,550.0,605.95,550.0,577.65,2737236
4,ok,2010-10-11,570.1,577.9,553.0,557.6,602929
5,ok,2010-10-12,559.95,562.8,527.5,530.9,545616
6,ok,2010-10-13,535.8,541.75,506.5,512.2,476942
7,ok,2010-10-14,512.0,524.4,487.0,491.7,1206540
8,ok,2010-10-17,492.0,496.75,472.1,487.2,297147
9,ok,2010-10-18,483.0,535.7,483.0,503.25,1904184
10,ok,2010-10-19,500.0,513.7,492.05,495.1,412802
11,ok,2010-10-20,499.9,511.0,497.0,505.85,230040
12,ok,2010-10-21,506.0,514.0,492.1,496.4,158976
13,ok,2010-10-24,499.8,511.95,497.0,502.15,207146
14,ok,2010-10-25,503.95,506.75,493.5,497.35,78279
15,ok,2010-10-26,497.35,498.9,481.1,483.95,69003
16,ok,2010-10-27,488.0,497.5,478.15,481.0,99799
17,ok,2010-10-28,484.0,484.0,465.0,470.45,64852
18,ok,2010-10-31,475.0,482.0,456.35,460.85,94101
19,ok,2010-11-01,460.2,505.9,451.15,480.0,477401
20,ok,2010-11-02,485.75,494.5,474.0,476.05,117238
21,ok,2010-11-03,478.4,482.5,473.0,478.8,101512
22,ok,2010-11-04,483.0,488.0,481.2,485.8,30458
23,ok,2010-11-07,480.25,484.0,475.15,480.5,40155
24,ok,2010-11-08,481.0,485.0,471.1,473.8,24630
25,ok,2010-11-09,475.4,475.4,460.1,470.3,80079
26,ok,2010-11-10,470.0,472.8,460.0,461.55,21406
27,ok,2010-11-11,457.1,466.0,446.0,449.45,29307
28,ok,2010-11-14,452.0,461.0,434.5,455.85,43236
29,ok,2010-11-15,452.75,460.0,449.75,450.35,27065
30,ok,2010-11-17,455.0,455.0,415.1,421.8,42368
31,ok,2010-11-18,425.9,432.5,408.55,411.15,84944
32,ok,2010-11-21,411.5,418.4,395.1,410.0,109758
33,ok,2010-11-22,407.3,428.0,398.6,422.55,79095
34,ok,2010-11-23,423.0,436.85,418.0,425.1,38338
35,ok,2010-11-24,420.0,425.0,398.4,401.2,41205
36,ok,2010-11-25,400.0,405.0,375.0,382.55,65622
37,ok,2010-11-28,383.0,395.0,381.0,387.2,12360
38,ok,2010-11-29,381.0,446.4,381.0,418.2,225156
39,ok,2010-11-30,418.2,437.4,416.5,420.9,71321
40,ok,2010-12-01,424.8,439.9,420.1,422.8,43101
41,ok,2010-12-02,422.0,426.6,405.25,409.3,20047
42,ok,2010-12-05,412.0,419.0,395.1,398.65,18552
43,ok,2010-12-06,399.0,399.95,390.0,393.1,14720
44,ok,2010-12-07,390.0,393.95,380.0,380.95,16154
45,ok,2010-12-08,383.05,384.9,341.0,348.85,35421
46,ok,2010-12-09,345.1,362.5,330.0,360.15,50201
47,ok,2010-12-12,360.15,379.0,355.1,373.55,15649
48,ok,2010-12-13,378.4,379.8,365.3,368.85,16725
49,ok,2010-12-14,373.75,373.8,350.0,355.85,14983
50,ok,2010-12-15,360.0,360.0,348.0,355.7,12933
51,ok,2010-12-19,354.95,354.95,348.0,350.1,10452
52,ok,2010-12-20,347.0,374.0,347.0,363.35,22107
53,ok,2010-12-21,361.2,375.0,352.3,369.05,29935
54,ok,2010-12-22,370.0,410.0,360.0,387.7,354469
55,ok,2010-12-23,388.0,395.05,380.15,383.2,67107
56,ok,2010-12-26,380.0,412.8,380.0,397.65,182436
57,ok,2010-12-27,401.9,401.9,391.05,393.6,16613
58,ok,2010-12-28,398.85,410.3,392.0,395.6,53665
59,ok,2010-12-29,398.4,404.0,389.0,390.9,14742
60,ok,2010-12-30,398.8,412.0,391.0,398.45,70871
61,ok,2011-01-02,403.7,423.6,402.0,408.2,108179
62,ok,2011-01-03,414.2,419.0,400.3,403.55,46790
63,ok,2011-01-04,404.5,409.85,398.3,400.65,26412
64,ok,2011-01-05,403.0,405.0,392.1,395.35,16164
65,ok,2011-01-06,393.2,397.0,380.0,381.65,20684
66,ok,2011-01-09,373.25,380.6,365.4,367.4,15396
67,ok,2011-01-10,371.05,377.0,355.0,356.85,20146
68,ok,2011-01-11,358.85,364.9,352.9,362.45,16372
69,ok,2011-01-12,367.45,385.95,367.45,374.4,114244
70,ok,2011-01-13,376.95,376.95,360.1,362.8,15241
71,ok,2011-01-16,362.4,366.5,355.05,356.65,11334
72,ok,2011-01-17,360.6,362.0,350.05,354.65,11708
73,ok,2011-01-18,356.0,359.95,354.15,355.9,8610
74,ok,2011-01-19,355.0,358.9,346.1,351.8,12829
75,ok,2011-01-20,354.15,362.5,313.8,357.2,34426
76,ok,2011-01-23,357.0,374.9,352.5,370.55,35822
77,ok,2011-01-24,374.0,374.65,359.0,362.3,11900
78,ok,2011-01-26,363.0,365.7,356.15,358.25,7825
79,ok,2011-01-27,350.4,357.95,344.2,347.6,13084
80,ok,2011-01-30,341.2,350.0,331.2,344.3,15797
81,ok,2011-01-31,341.0,348.0,333.0,336.4,8140
82,ok,2011-02-01,340.0,346.0,334.0,336.1,7621
83,ok,2011-02-02,343.5,345.0,332.5,337.6,9569
84,ok,2011-02-03,340.0,343.0,332.0,334.85,8583
85,ok,2011-02-06,332.15,342.75,331.05,333.65,4625
86,ok,2011-02-07,334.0,334.0,325.0,326.5,9193
87,ok,2011-02-08,320.0,321.0,300.0,303.35,16343
88,ok,2011-02-09,303.0,303.0,280.0,285.55,15072
89,ok,2011-02-10,311.0,328.85,285.05,321.45,46322
90,ok,2011-02-13,325.0,347.0,312.7,336.15,47924
91,ok,2011-02-14,339.9,347.5,330.0,342.0,14924
92,ok,2011-02-15,336.95,358.0,332.15,349.9,24535
93,ok,2011-02-16,354.0,366.85,345.0,360.95,77755
94,ok,2011-02-17,364.0,370.0,352.6,360.25,31023
95,ok,2011-02-20,351.5,365.0,348.15,364.65,10836
96,ok,2011-02-21,354.0,365.0,354.0,361.9,37067
97,ok,2011-02-22,364.75,379.0,356.35,364.9,56367
98,ok,2011-02-23,368.0,368.0,333.6,343.25,20463
99,ok,2011-02-24,354.9,355.0,321.1,333.4,10536
100,ok,2011-02-27,341.9,345.0,329.0,334.75,10439
101,ok,2011-02-28,334.0,344.75,322.35,342.6,10385
102,ok,2011-03-02,342.6,344.8,337.0,341.85,9095
103,ok,2011-03-03,341.0,344.0,333.4,335.1,7993
104,ok,2011-03-06,335.0,338.8,325.0,336.1,8408
105,ok,2011-03-07,330.5,339.0,330.5,334.6,9078
106,ok,2011-03-08,336.8,339.15,332.5,333.5,4242
107,ok,2011-03-09,336.0,336.0,326.5,328.2,7756
108,ok,2011-03-10,325.5,331.85,316.0,317.85,7262
109,ok,2011-03-13,317.2,324.0,317.2,321.75,4375
110,ok,2011-03-14,312.0,321.85,301.0,309.45,12934
111,ok,2011-03-15,309.1,321.75,309.1,317.45,6217
112,ok,2011-03-16,317.0,319.75,313.0,314.5,2044
113,ok,2011-03-17,317.5,320.0,310.0,311.25,3668
114,ok,2011-03-20,315.9,315.9,308.35,310.0,10980
115,ok,2011-03-21,310.0,318.7,310.0,315.85,4948
116,ok,2011-03-22,311.0,316.7,311.0,314.65,6816
117,ok,2011-03-23,316.0,369.9,311.5,362.5,352073
118,ok,2011-03-24,366.5,392.6,352.15,356.25,350467
119,ok,2011-03-27,356.25,358.7,330.5,333.0,80986
120,ok,2011-03-28,333.0,350.05,325.55,335.25,93216
121,ok,2011-03-29,339.4,343.95,335.1,336.9,15491
122,ok,2011-03-30,339.5,349.0,330.0,331.1,32797
123,ok,2011-03-31,335.2,340.5,327.55,337.7,18694
124,ok,2011-04-03,338.15,347.9,332.7,341.4,29088
125,ok,2011-04-04,344.0,354.95,337.5,347.7,39270
126,ok,2011-04-05,349.05,369.95,345.0,353.0,58840
127,ok,2011-04-06,358.0,365.0,350.2,356.95,35558
128,ok,2011-04-07,358.15,361.05,340.0,343.95,17673
129,ok,2011-04-10,343.9,343.9,335.05,336.45,19924
130,ok,2011-04-12,333.0,346.8,333.0,342.35,27651
131,ok,2011-04-14,343.05,349.9,338.5,343.0,14520
132,ok,2011-04-17,338.6,359.0,338.6,343.1,23691
133,ok,2011-04-18,344.0,344.0,336.8,338.2,6139
134,ok,2011-04-19,340.0,349.2,338.5,346.8,12258
135,ok,2011-04-20,350.0,357.0,345.25,349.3,11912
136,ok,2011-04-24,347.25,352.7,341.4,342.75,6466
137,ok,2011-04-25,345.0,345.0,339.0,339.65,4793
138,ok,2011-04-26,341.4,344.0,337.15,338.9,6725
139,ok,2011-04-27,342.0,342.5,332.1,334.95,9108
140,ok,2011-04-28,339.45,342.0,335.55,340.25,13921
141,ok,2011-05-01,341.0,343.95,333.0,334.3,2723
142,ok,2011-05-02,332.1,336.95,322.55,323.8,5225
143,ok,2011-05-03,328.75,328.75,311.0,322.15,18791
144,ok,2011-05-04,326.9,328.0,322.05,326.5,4654
145,ok,2011-05-05,330.0,334.8,321.0,330.7,6032
146,ok,2011-05-08,334.65,336.0,324.05,325.9,55120
147,ok,2011-05-09,324.05,329.2,322.05,323.8,4510
148,ok,2011-05-10,324.1,328.0,322.05,325.4,52603
149,ok,2011-05-11,326.1,332.85,322.2,324.45,6649
150,ok,2011-05-12,325.5,339.8,325.5,333.45,11349
151,ok,2011-05-15,310.0,338.8,310.0,325.6,8891
152,ok,2011-05-16,322.0,338.0,322.0,328.6,89480
153,ok,2011-05-17,325.5,331.8,323.2,326.1,83375
154,ok,2011-05-18,325.55,328.0,325.0,326.95,3204
155,ok,2011-05-19,324.2,329.7,324.2,325.2,2156
156,ok,2011-05-22,322.05,328.85,322.0,325.5,8398
157,ok,2011-05-23,324.0,333.0,324.0,330.6,12664
158,ok,2011-05-24,327.0,330.8,325.0,325.0,3417
159,ok,2011-05-25,325.5,329.45,325.0,325.0,4151
160,ok,2011-05-26,325.0,328.9,325.0,325.25,3740
161,ok,2011-05-29,329.8,336.0,325.5,329.5,7567
162,ok,2011-05-30,329.5,334.0,328.1,330.75,6442
163,ok,2011-05-31,329.1,333.4,329.0,330.75,1473
164,ok,2011-06-01,330.0,333.8,326.0,332.35,5407
165,ok,2011-06-02,329.0,336.95,329.0,334.45,4769
166,ok,2011-06-05,335.2,335.2,330.0,330.35,2408
167,ok,2011-06-06,328.5,335.0,328.5,334.05,1636
168,ok,2011-06-07,329.1,346.9,329.1,336.55,7003
169,ok,2011-06-08,335.5,342.5,335.25,336.95,3076
170,ok,2011-06-09,336.0,338.0,329.5,331.6,3251
171,ok,2011-06-12,331.0,332.2,328.5,330.8,1882
172,ok,2011-06-13,330.0,345.0,330.0,339.5,51263
173,ok,2011-06-14,336.5,341.0,330.0,332.8,3963
174,ok,2011-06-15,329.0,335.0,328.35,330.5,2189
175,ok,2011-06-16,329.0,338.9,328.1,331.7,6049
176,ok,2011-06-19,331.0,332.9,325.25,330.95,15889
177,ok,2011-06-20,330.0,331.95,328.6,331.0,6286
178,ok,2011-06-21,330.15,331.9,329.85,330.95,9310
179,ok,2011-06-22,330.0,337.0,328.05,333.5,11387
180,ok,2011-06-23,339.4,361.1,333.4,334.75,51154
181,ok,2011-06-26,338.3,340.95,331.0,334.85,3685
182,ok,2011-06-27,333.3,336.75,330.0,331.55,3148
183,ok,2011-06-28,331.0,335.95,330.0,332.4,5522
184,ok,2011-06-29,332.0,339.4,332.0,334.05,14329
185,ok,2011-06-30,332.05,339.0,332.05,333.1,4956
186,ok,2011-07-03,334.0,337.0,332.1,333.35,6094
187,ok,2011-07-04,331.0,334.5,328.25,329.7,4403
188,ok,2011-07-05,333.0,333.0,327.25,330.95,2364
189,ok,2011-07-06,331.0,342.0,331.0,338.35,10108
190,ok,2011-07-07,339.1,342.0,331.3,333.3,4933
191,ok,2011-07-10,333.0,336.75,328.25,329.75,3955
192,ok,2011-07-11,328.5,332.7,326.25,327.05,2960
193,ok,2011-07-12,326.0,333.0,326.0,331.0,2423
194,ok,2011-07-13,326.2,332.4,326.2,329.15,617
195,ok,2011-07-14,329.6,336.0,322.8,329.7,5720
196,ok,2011-07-17,326.1,331.7,326.05,328.05,2074
197,ok,2011-07-18,326.7,331.15,326.7,327.95,1253
198,ok,2011-07-19,328.15,332.0,326.0,327.1,4299
199,ok,2011-07-20,327.1,329.95,325.2,325.65,1612
200,ok,2011-07-21,322.1,326.6,322.0,323.35,2550
201,ok,2011-07-24,322.5,326.0,322.1,322.85,2374
202,ok,2011-07-25,323.0,329.8,318.55,325.95,12900
203,ok,2011-07-26,321.4,331.5,321.4,323.1,3158
204,ok,2011-07-27,317.15,323.9,317.15,318.8,970
205,ok,2011-07-28,315.1,322.1,312.15,319.65,5451
206,ok,2011-07-31,319.65,327.05,318.5,321.85,4788
207,ok,2011-08-01,319.0,321.0,315.2,320.45,3022
208,ok,2011-08-02,316.0,317.1,313.25,315.25,3592
209,ok,2011-08-03,315.0,319.75,313.6,315.15,1618
210,ok,2011-08-04,300.0,316.0,291.0,308.15,13284
211,ok,2011-08-07,304.2,307.95,277.65,297.35,56472
212,ok,2011-08-08,285.0,303.3,280.1,293.3,6940
213,ok,2011-08-09,294.0,304.05,294.0,297.2,17814
214,ok,2011-08-10,292.25,297.5,291.4,294.25,1096
215,ok,2011-08-11,292.65,293.95,287.0,291.35,2649
216,ok,2011-08-15,294.0,298.5,283.0,288.75,2192
217,ok,2011-08-16,296.0,296.7,276.0,281.2,3316
218,ok,2011-08-17,277.0,284.0,261.95,266.1,5687
219,ok,2011-08-18,263.0,266.0,255.0,260.1,11849
220,ok,2011-08-21,255.7,268.8,255.5,264.05,2284
221,ok,2011-08-22,262.4,286.5,261.5,282.15,8913
222,ok,2011-08-23,281.0,284.0,271.15,273.55,2508
223,ok,2011-08-24,278.8,278.8,268.0,269.5,584
224,ok,2011-08-25,269.0,272.9,260.0,260.35,1778
225,ok,2011-08-28,269.9,269.95,263.0,263.6,1042
226,ok,2011-08-29,269.75,278.8,262.1,275.05,8132
227,ok,2011-09-01,265.25,274.9,265.2,271.85,2807
228,ok,2011-09-04,270.0,286.9,265.0,282.9,6441
229,ok,2011-09-05,282.0,283.0,276.0,277.75,1478
230,ok,2011-09-06,286.0,303.05,284.0,292.2,11523
231,ok,2011-09-07,291.0,296.55,285.5,286.55,3091
232,ok,2011-09-08,288.0,291.0,282.0,282.15,2856
233,ok,2011-09-11,277.0,279.0,267.0,271.6,3063
234,ok,2011-09-12,272.1,275.0,266.1,269.0,1918
235,ok,2011-09-13,278.8,278.8,266.6,275.5,4090
236,ok,2011-09-14,265.5,281.0,265.0,276.05,6635
237,ok,2011-09-15,284.5,284.5,270.1,272.5,1498
238,ok,2011-09-18,279.85,279.85,267.75,268.4,1783
239,ok,2011-09-19,277.9,297.7,267.0,295.15,90168
240,ok,2011-09-20,296.0,332.5,295.1,299.7,442937
241,ok,2011-09-21,290.3,295.5,271.5,275.65,58910
242,ok,2011-09-22,271.0,274.8,258.0,267.35,42435
243,ok,2011-09-25,268.0,268.0,258.3,260.55,19953
244,ok,2011-09-26,266.0,287.5,263.1,271.1,66416
245,ok,2011-09-27,272.0,274.0,261.3,262.25,14684
246,ok,2011-09-28,264.0,274.8,263.85,266.05,33716
247,ok,2011-09-29,267.0,271.05,259.1,262.75,13336
248,ok,2011-10-02,262.0,262.0,251.05,252.8,6053
249,ok,2011-10-03,250.0,259.85,248.25,249.65,8028
250,ok,2011-10-04,252.8,255.85,245.0,246.3,4276
251,ok,2011-10-06,248.0,257.0,245.55,248.45,11513
252,ok,2011-10-09,246.1,249.85,245.1,248.7,6930
253,ok,2011-10-10,252.0,287.0,252.0,278.7,110297
254,ok,2011-10-11,285.0,298.0,279.95,284.75,117697
255,ok,2011-10-12,271.0,287.7,269.0,271.45,17806
256,ok,2011-10-13,270.0,275.5,268.05,269.4,8414
257,ok,2011-10-16,269.4,290.0,269.4,275.2,57682
258,ok,2011-10-17,270.0,272.65,268.0,270.35,9322
259,ok,2011-10-18,279.8,279.8,271.2,274.25,17083
260,ok,2011-10-19,267.25,279.0,267.25,269.8,4065
261,ok,2011-10-20,267.65,273.95,265.55,267.25,8482
262,ok,2011-10-23,267.1,302.0,266.15,271.75,110531
263,ok,2011-10-24,273.0,276.0,267.0,268.7,8196
264,ok,2011-10-25,272.8,275.75,268.25,273.6,5123
265,ok,2011-10-27,275.0,280.7,270.0,271.0,8898
266,ok,2011-10-30,273.5,288.5,269.5,276.45,57981
267,ok,2011-10-31,275.95,279.95,269.1,272.25,9368
268,ok,2011-11-01,273.0,275.9,269.5,274.15,7678
269,ok,2011-11-02,274.5,308.0,272.25,287.9,247450
270,ok,2011-11-03,291.4,296.9,280.5,283.25,26261
271,ok,2011-11-07,285.0,285.0,278.5,280.85,3192
272,ok,2011-11-08,283.25,308.0,281.0,285.4,93254
273,ok,2011-11-10,284.0,288.6,275.35,278.7,46762
274,ok,2011-11-13,276.0,294.75,274.6,276.9,31569
275,ok,2011-11-14,276.0,276.0,253.05,260.35,13864
276,ok,2011-11-16,264.5,264.5,251.7,253.0,1874
277,ok,2011-11-17,250.55,255.6,241.95,253.15,4954
