,s,t,o,h,l,c,v
0,ok,2015-02-08,14.0,15.5,13.5,14.4,23419
1,ok,2015-02-09,13.6,14.95,13.55,14.0,20614
2,ok,2015-02-10,14.1,14.5,13.9,14.0,13146
3,ok,2015-02-11,14.1,14.65,13.9,14.4,44939
4,ok,2015-02-12,14.35,14.7,13.7,14.5,18907
5,ok,2015-02-15,14.5,14.55,13.1,13.95,46946
6,ok,2015-02-17,14.0,14.5,13.4,14.2,73765
7,ok,2015-02-18,14.4,16.5,13.5,15.95,410507
8,ok,2015-02-19,16.3,16.3,15.25,15.95,271154
9,ok,2015-02-22,16.0,16.15,15.3,15.75,174966
10,ok,2015-02-23,16.15,16.8,15.45,16.05,493950
11,ok,2015-02-24,16.1,16.9,15.9,16.1,615888
12,ok,2015-02-25,16.1,16.2,14.8,15.1,188248
13,ok,2015-02-26,15.1,15.4,14.6,15.2,185321
14,ok,2015-02-27,14.55,15.25,14.4,14.95,126417
15,ok,2015-03-01,15.2,15.2,14.3,14.7,111615
16,ok,2015-03-02,14.7,15.2,14.15,14.75,87244
17,ok,2015-03-03,15.2,15.2,14.0,14.35,138599
18,ok,2015-03-04,14.9,14.9,13.65,14.4,291268
19,ok,2015-03-08,14.1,14.55,13.8,14.2,28257
20,ok,2015-03-09,15.4,15.4,13.95,14.6,27196
21,ok,2015-03-10,14.5,14.9,13.9,14.05,51423
22,ok,2015-03-11,14.3,14.3,13.5,13.65,133228
23,ok,2015-03-12,14.1,14.1,13.15,13.7,71783
24,ok,2015-03-15,13.55,13.6,12.9,13.45,271839
25,ok,2015-03-16,13.6,14.15,13.5,13.75,266980
26,ok,2015-03-17,13.75,14.1,13.35,14.0,201150
27,ok,2015-03-18,14.25,14.25,13.7,14.1,303448
28,ok,2015-03-19,14.95,14.95,12.3,13.0,264472
29,ok,2015-03-22,12.3,12.3,10.4,10.4,500977
30,ok,2015-03-23,10.35,10.85,8.35,8.85,734218
31,ok,2015-03-24,9.25,9.7,8.9,9.7,88886
32,ok,2015-03-25,10.3,10.65,9.1,10.05,239348
33,ok,2015-03-26,9.6,10.1,9.1,9.75,89216
