,s,t,o,h,l,c,v
0,ok,2000-01-02,48.1,51.65,48.1,51.6,52150
1,ok,2000-01-03,50.0,50.0,47.75,48.6,39550
2,ok,2000-01-04,48.45,52.5,48.45,52.5,75250
3,ok,2000-01-05,54.0,56.7,52.15,56.65,94700
4,ok,2000-01-06,60.5,60.95,53.5,55.7,51300
5,ok,2000-01-09,58.0,58.5,53.5,56.7,64750
6,ok,2000-01-10,55.05,56.45,52.2,52.2,86600
7,ok,2000-01-11,55.9,55.9,50.0,52.45,196750
8,ok,2000-01-12,53.0,56.65,53.0,56.65,22850
9,ok,2000-01-13,58.75,61.2,53.0,58.1,259750
10,ok,2000-01-16,62.0,62.0,59.0,60.95,60650
11,ok,2000-01-17,58.1,65.85,57.0,65.85,256950
12,ok,2000-01-18,67.0,71.15,65.55,71.15,136650
13,ok,2000-01-19,71.1,72.0,66.0,67.55,104950
14,ok,2000-01-20,66.0,68.35,65.5,66.15,46000
15,ok,2000-01-23,65.0,69.85,61.7,69.0,100800
16,ok,2000-01-24,66.25,67.95,63.7,64.25,72100
17,ok,2000-01-26,67.0,67.8,64.0,64.55,42700
18,ok,2000-01-27,66.0,66.0,62.9,65.05,31950
19,ok,2000-01-30,62.6,67.75,62.6,64.5,39500
20,ok,2000-01-31,59.6,66.9,59.6,63.75,37700
21,ok,2000-02-01,67.0,68.85,67.0,68.85,29850
22,ok,2000-02-02,71.0,74.4,70.8,74.25,169000
23,ok,2000-02-03,76.15,76.8,70.5,72.95,68100
24,ok,2000-02-06,73.0,74.9,68.15,70.85,43300
25,ok,2000-02-07,68.2,71.75,66.75,68.05,33950
26,ok,2000-02-08,66.7,69.8,65.1,67.7,23750
27,ok,2000-02-09,65.5,65.75,63.6,64.2,12000
28,ok,2000-02-10,63.5,64.7,59.6,63.7,38050
29,ok,2000-02-13,65.0,66.0,61.0,63.0,45750
30,ok,2000-02-14,61.0,63.85,60.75,61.45,34950
31,ok,2000-02-15,63.25,66.4,62.95,66.4,54500
32,ok,2000-02-16,66.0,68.75,65.0,66.95,31750
33,ok,2000-02-17,65.1,65.95,62.4,62.9,13750
34,ok,2000-02-20,67.55,67.55,58.0,58.75,31650
35,ok,2000-02-21,59.9,60.9,54.15,54.25,32550
36,ok,2000-02-22,57.8,57.8,52.2,53.3,15200
37,ok,2000-02-23,55.0,57.0,52.85,53.1,12500
38,ok,2000-02-24,54.0,57.35,53.2,57.35,23500
39,ok,2000-02-27,57.5,61.95,54.2,61.95,18300
40,ok,2000-02-28,65.0,66.9,60.0,65.3,55800
41,ok,2000-02-29,61.75,63.9,61.6,63.0,7950
42,ok,2000-03-01,62.5,62.5,58.0,59.35,18300
43,ok,2000-03-02,58.0,59.0,54.6,56.5,8750
44,ok,2000-03-05,52.5,57.0,52.1,52.7,5850
45,ok,2000-03-06,55.0,55.0,48.75,49.35,21750
46,ok,2000-03-07,49.95,52.0,47.0,47.8,13200
47,ok,2000-03-08,48.0,48.0,44.0,45.4,24850
48,ok,2000-03-09,46.0,46.0,42.5,42.75,21550
49,ok,2000-03-12,43.5,43.95,40.6,42.4,11100
50,ok,2000-03-13,42.0,43.8,40.35,41.15,35800
51,ok,2000-03-14,44.45,44.45,44.45,44.45,419
52,ok,2000-03-15,48.05,48.05,48.05,48.05,4100
53,ok,2000-03-20,51.85,51.85,46.05,49.55,7780
54,ok,2000-03-21,53.5,53.5,46.85,52.05,4177
55,ok,2000-03-22,52.0,52.0,48.3,49.25,2907
56,ok,2000-03-23,47.8,49.5,46.1,49.45,2499
57,ok,2000-03-26,49.9,50.0,48.1,48.6,1473
58,ok,2000-03-27,48.05,49.55,47.0,49.05,2628
59,ok,2000-03-28,50.45,50.45,48.5,49.7,3042
60,ok,2000-03-29,49.0,49.0,48.0,48.55,1165
61,ok,2000-03-30,51.0,52.4,50.0,51.95,2322
62,ok,2000-04-02,52.0,54.0,51.9,53.7,3160
63,ok,2000-04-03,52.0,53.8,49.4,49.55,10809
64,ok,2000-04-04,52.1,52.1,48.8,51.0,3600
65,ok,2000-04-05,51.55,52.0,47.6,48.8,1060
66,ok,2000-04-06,52.0,52.7,50.2,52.7,2907
67,ok,2000-04-09,53.5,56.95,53.5,53.9,4885
68,ok,2000-04-11,52.0,52.05,50.0,50.9,2695
69,ok,2000-04-12,50.0,51.75,49.55,49.55,1953
70,ok,2000-04-16,47.75,51.45,46.1,51.45,4064
71,ok,2000-04-17,52.0,53.5,48.5,49.65,58393
72,ok,2000-04-18,52.35,52.35,45.7,46.9,11056
73,ok,2000-04-19,45.65,46.6,43.5,43.7,2570
74,ok,2000-04-23,43.5,46.0,42.0,43.05,3353
75,ok,2000-04-24,42.25,42.75,39.65,40.9,3403
76,ok,2000-04-25,43.5,44.2,42.5,43.35,295274
77,ok,2000-04-26,43.7,43.7,39.9,40.65,6740
78,ok,2000-04-27,41.0,41.0,37.4,39.75,11241
79,ok,2000-05-01,39.0,39.75,37.0,37.3,7363
80,ok,2000-05-02,35.0,40.1,35.0,40.0,1707
81,ok,2000-05-03,40.0,42.65,39.0,42.3,990
82,ok,2000-05-04,42.0,45.0,41.6,44.55,3280
83,ok,2000-05-07,46.0,46.5,42.5,42.75,7716
84,ok,2000-05-08,42.5,42.5,40.05,41.1,5097
85,ok,2000-05-09,41.25,42.5,41.25,42.35,1275
86,ok,2000-05-10,42.75,42.75,40.5,40.65,1361
87,ok,2000-05-11,39.25,40.85,38.0,38.05,2455
88,ok,2000-05-14,38.0,38.9,37.2,38.5,1000
89,ok,2000-05-15,36.25,39.0,36.25,38.45,3692
90,ok,2000-05-16,38.5,40.25,38.25,39.6,53690
91,ok,2000-05-17,39.0,39.9,39.0,39.9,321
92,ok,2000-05-18,40.0,40.15,37.15,37.85,1943
93,ok,2000-05-21,38.0,38.0,36.05,37.75,1400
94,ok,2000-05-22,37.5,38.5,37.0,38.15,4375
95,ok,2000-05-23,39.9,40.4,38.25,40.35,1782
96,ok,2000-05-24,41.0,43.6,39.8,41.5,5500
97,ok,2000-05-25,41.9,42.0,39.3,40.0,3280
98,ok,2000-05-28,40.5,41.45,40.4,40.55,1001
99,ok,2000-05-29,43.45,43.45,40.85,42.7,3669
100,ok,2000-05-30,45.85,46.0,43.2,43.2,3257
101,ok,2000-05-31,44.0,44.0,39.75,40.0,7110
102,ok,2000-06-01,42.85,42.85,37.5,37.5,21760
103,ok,2000-06-04,39.75,39.75,36.0,36.35,10425
104,ok,2000-06-05,36.05,38.5,36.05,38.15,8840
105,ok,2000-06-06,38.95,39.0,36.8,36.95,9325
106,ok,2000-06-07,36.5,36.85,35.9,36.5,24975
107,ok,2000-06-08,35.5,38.0,34.0,35.6,22636
108,ok,2000-06-11,36.5,37.5,36.3,37.05,14125
109,ok,2000-06-12,36.0,37.6,35.6,36.0,321335
110,ok,2000-06-13,37.2,38.9,37.2,38.5,6692
111,ok,2000-06-14,40.0,40.5,37.75,38.0,5795
112,ok,2000-06-15,38.5,39.0,37.5,37.8,5572
113,ok,2000-06-18,37.25,38.7,37.2,37.4,4116
114,ok,2000-06-19,38.5,38.5,37.0,37.2,11724
115,ok,2000-06-20,38.0,38.0,35.0,36.35,21483
116,ok,2000-06-21,36.5,36.5,34.8,35.0,21960
117,ok,2000-06-22,36.15,36.2,33.0,33.5,25095
118,ok,2000-06-25,34.0,34.0,33.25,33.95,4850
119,ok,2000-06-26,33.1,33.9,33.0,33.6,12266
120,ok,2000-06-27,34.7,34.7,33.5,34.3,5908
121,ok,2000-06-28,35.4,35.4,34.2,34.35,4987
122,ok,2000-06-29,34.6,37.1,34.5,36.0,17080
123,ok,2000-07-02,37.45,37.5,34.7,35.05,20910
124,ok,2000-07-03,35.3,35.8,34.8,35.1,26803
125,ok,2000-07-04,35.7,35.7,34.05,34.65,21162
126,ok,2000-07-05,33.2,35.75,33.2,34.65,6996
127,ok,2000-07-06,35.0,35.0,34.3,34.75,4683
128,ok,2000-07-09,34.7,34.75,33.55,33.95,9829
129,ok,2000-07-10,33.35,33.55,33.0,33.0,10921
130,ok,2000-07-11,33.0,34.5,33.0,34.4,11799
131,ok,2000-07-12,34.4,34.6,33.55,33.85,8843
132,ok,2000-07-13,33.6,34.0,32.5,32.9,20738
133,ok,2000-07-16,32.6,32.8,32.0,32.3,9773
134,ok,2000-07-17,32.2,32.5,30.35,30.8,20051
135,ok,2000-07-18,32.05,32.7,31.2,32.5,6440
136,ok,2000-07-19,32.75,34.85,32.25,32.9,3881
137,ok,2000-07-20,32.9,32.9,31.3,31.55,5343
138,ok,2000-07-23,29.1,30.6,29.1,30.1,4350
139,ok,2000-07-24,29.5,32.4,29.1,31.7,9609
140,ok,2000-07-25,30.1,32.9,30.1,32.8,4909
141,ok,2000-07-26,32.8,32.8,31.35,32.25,2958
142,ok,2000-07-27,30.75,30.9,29.8,30.3,8178
143,ok,2000-07-30,30.1,30.1,27.9,27.95,14185
