,s,t,o,h,l,c,v
0,ok,2000-01-02,70.0,74.0,69.25,73.15,36750
1,ok,2000-01-03,74.0,74.0,70.0,70.1,18250
2,ok,2000-01-04,70.0,70.7,68.0,69.0,10500
3,ok,2000-01-05,70.75,73.8,69.2,71.0,16350
4,ok,2000-01-06,73.2,73.2,67.5,68.2,10850
5,ok,2000-01-09,70.9,70.9,68.0,70.05,12650
6,ok,2000-01-10,68.05,69.5,67.05,67.55,13950
7,ok,2000-01-11,70.0,70.0,68.0,69.95,4100
8,ok,2000-01-12,67.1,70.8,67.1,67.2,11500
9,ok,2000-01-13,67.0,69.8,65.0,65.4,9150
10,ok,2000-01-16,66.5,68.1,64.15,65.0,15600
11,ok,2000-01-17,64.5,67.0,63.25,63.95,13950
12,ok,2000-01-18,67.5,67.5,63.6,64.85,28950
13,ok,2000-01-19,65.0,65.0,63.0,63.8,4500
14,ok,2000-01-20,63.2,64.45,62.15,64.0,21250
15,ok,2000-01-23,62.5,64.5,62.5,63.15,10050
16,ok,2000-01-24,66.4,66.4,63.0,63.5,18550
17,ok,2000-01-26,65.0,68.6,65.0,68.6,9300
18,ok,2000-01-27,73.5,74.1,69.0,74.1,52100
19,ok,2000-01-30,78.9,80.0,75.25,76.15,78400
20,ok,2000-01-31,75.95,76.9,72.8,73.15,38050
21,ok,2000-02-01,76.0,76.0,69.55,69.9,39550
22,ok,2000-02-02,71.0,71.0,64.35,65.15,24250
23,ok,2000-02-03,63.75,68.8,63.0,67.65,23050
24,ok,2000-02-06,64.1,65.9,63.0,63.8,12300
25,ok,2000-02-07,62.0,64.85,61.5,62.4,13250
26,ok,2000-02-08,64.7,65.0,63.0,63.3,12550
27,ok,2000-02-09,63.1,64.0,62.25,62.6,5450
28,ok,2000-02-10,62.1,62.1,60.0,61.0,5500
29,ok,2000-02-13,62.5,62.5,57.2,57.6,9100
30,ok,2000-02-14,56.5,58.0,55.55,57.4,11200
31,ok,2000-02-15,59.2,59.25,57.4,58.0,3300
32,ok,2000-02-16,58.5,59.05,55.0,56.45,20500
33,ok,2000-02-17,57.0,57.8,55.0,55.35,9300
34,ok,2000-02-20,52.05,54.9,51.0,51.5,12050
35,ok,2000-02-21,50.0,53.85,48.5,48.75,17000
36,ok,2000-02-22,50.0,50.9,48.5,48.95,17400
37,ok,2000-02-23,49.0,50.0,47.0,47.5,24100
38,ok,2000-02-24,47.9,48.0,46.0,46.8,10100
39,ok,2000-02-27,45.05,50.0,45.05,48.9,34150
40,ok,2000-02-28,50.85,52.8,48.05,48.45,29150
41,ok,2000-02-29,51.05,51.05,45.7,47.65,10600
42,ok,2000-03-01,49.0,50.9,45.5,46.15,15750
43,ok,2000-03-02,45.0,45.7,42.9,44.05,8400
44,ok,2000-03-05,44.0,45.0,40.55,40.55,22500
45,ok,2000-03-06,38.0,39.95,37.35,37.65,28900
46,ok,2000-03-07,35.05,38.1,34.65,34.65,33100
47,ok,2000-03-08,34.5,35.0,32.1,34.9,67400
48,ok,2000-03-09,33.5,37.7,33.5,37.7,40600
49,ok,2000-03-12,39.8,40.5,38.6,39.95,39950
50,ok,2000-03-13,40.0,41.7,38.0,40.1,64550
51,ok,2000-03-14,43.35,43.35,42.0,43.35,14460
52,ok,2000-03-15,46.85,46.85,46.85,46.85,2920
53,ok,2000-03-20,50.5,50.6,46.0,49.55,34335
54,ok,2000-03-21,53.0,53.55,52.0,53.55,3420
55,ok,2000-03-22,57.0,57.85,51.3,52.25,22290
56,ok,2000-03-23,52.5,53.65,50.25,52.65,7785
57,ok,2000-03-26,53.0,53.6,50.75,51.7,9355
58,ok,2000-03-27,50.9,51.5,49.0,50.1,20285
59,ok,2000-03-28,54.0,54.15,51.9,54.15,13490
60,ok,2000-03-29,53.55,54.9,52.0,53.6,19275
61,ok,2000-03-30,53.05,57.9,53.05,55.35,25410
62,ok,2000-04-02,55.0,59.0,55.0,58.7,25540
63,ok,2000-04-03,56.35,59.75,54.0,56.15,44419
64,ok,2000-04-04,55.5,55.5,50.1,53.5,20640
65,ok,2000-04-05,52.45,53.0,51.25,51.5,3880
66,ok,2000-04-06,49.25,55.35,49.25,54.75,16960
67,ok,2000-04-09,55.0,56.9,53.5,53.7,6540
68,ok,2000-04-11,52.9,52.9,51.95,52.45,3431
69,ok,2000-04-12,51.9,52.45,50.0,51.6,3750
70,ok,2000-04-16,51.5,52.4,50.2,51.45,5955
71,ok,2000-04-17,52.0,53.0,51.1,51.25,6232
72,ok,2000-04-18,53.9,55.0,52.0,52.55,14569
73,ok,2000-04-19,50.25,52.55,49.05,49.15,14745
74,ok,2000-04-23,51.8,51.9,48.05,48.75,4300
75,ok,2000-04-24,46.0,46.0,44.85,44.85,8931
76,ok,2000-04-25,44.0,48.45,44.0,48.45,2830
77,ok,2000-04-26,51.0,52.3,47.0,47.95,15085
78,ok,2000-04-27,48.1,49.25,45.0,45.65,14980
79,ok,2000-05-01,46.75,46.75,42.0,42.05,7989
80,ok,2000-05-02,42.1,45.0,40.15,44.45,5500
81,ok,2000-05-03,43.0,45.95,43.0,44.3,3890
82,ok,2000-05-04,44.5,44.5,43.3,43.55,3545
83,ok,2000-05-07,45.5,45.5,41.0,41.25,12700
84,ok,2000-05-08,41.1,42.65,40.05,42.1,8345
85,ok,2000-05-09,43.0,43.0,42.5,42.75,4965
86,ok,2000-05-10,40.15,43.3,40.15,43.2,4540
87,ok,2000-05-11,43.4,43.4,41.0,41.0,5856
88,ok,2000-05-14,40.3,42.6,38.1,39.85,14694
89,ok,2000-05-15,41.0,41.65,39.0,39.3,12486
90,ok,2000-05-16,40.35,41.6,39.6,39.75,4476
91,ok,2000-05-17,40.45,42.9,37.0,37.65,17127
92,ok,2000-05-18,37.15,38.5,37.15,38.05,2220
93,ok,2000-05-21,40.8,40.8,36.65,37.6,8577
94,ok,2000-05-22,38.0,38.0,36.7,37.75,4120
