,s,t,o,h,l,c,v
0,ok,2007-11-04,74.45,77.5,66.8,70.78,1576
1,ok,2007-11-05,69.0,71.0,68.05,68.78,360
2,ok,2007-11-06,68.13,75.0,68.0,73.25,624
3,ok,2007-11-07,69.5,75.0,69.5,74.35,138
4,ok,2007-11-11,74.85,74.85,61.38,73.75,424
5,ok,2007-11-12,65.75,74.85,65.75,70.7,274
6,ok,2007-11-13,75.0,75.0,70.5,70.5,126
7,ok,2007-11-14,67.5,75.0,67.5,71.68,532
8,ok,2007-11-15,71.95,71.95,67.63,68.28,698
9,ok,2007-11-18,70.0,70.0,68.25,70.0,356
10,ok,2007-11-19,74.5,77.5,70.05,76.0,11502
11,ok,2007-11-20,70.13,74.0,70.13,74.0,2100
12,ok,2007-11-21,62.55,75.0,62.55,75.0,1804
13,ok,2007-11-22,74.95,74.95,74.95,74.95,20
14,ok,2007-11-25,74.0,74.0,74.0,74.0,20
15,ok,2007-11-26,66.0,73.5,66.0,73.48,500
16,ok,2007-11-27,72.5,72.5,72.5,72.5,10
17,ok,2007-11-28,72.5,72.5,72.5,72.5,2
18,ok,2007-11-29,72.5,72.5,72.5,72.5,2
19,ok,2007-12-02,58.05,74.98,58.05,70.23,928
20,ok,2007-12-03,69.0,72.0,69.0,70.85,510
21,ok,2007-12-04,73.73,73.73,73.73,73.73,4
22,ok,2007-12-05,72.0,85.0,72.0,76.03,2406
23,ok,2007-12-06,80.0,80.0,70.05,72.5,5644
24,ok,2007-12-09,75.0,75.0,71.0,71.0,246
25,ok,2007-12-10,77.5,77.5,71.05,74.98,1638
26,ok,2007-12-11,71.05,76.0,71.05,75.85,1750
27,ok,2007-12-12,79.48,84.95,75.5,81.63,9788
28,ok,2007-12-13,89.45,96.45,87.5,90.38,10436
29,ok,2007-12-16,105.0,105.0,81.03,84.98,6926
30,ok,2007-12-17,89.0,89.95,80.0,86.35,7754
31,ok,2007-12-18,73.5,97.5,73.5,75.65,11962
32,ok,2007-12-19,62.0,85.0,62.0,83.55,6248
33,ok,2007-12-23,89.98,90.0,81.63,86.58,4372
34,ok,2007-12-25,86.0,92.5,81.05,86.6,2384
35,ok,2007-12-26,93.0,93.9,85.13,85.73,4060
36,ok,2007-12-27,89.95,89.95,84.03,84.85,3328
37,ok,2007-12-30,92.5,101.83,92.5,101.5,22014
38,ok,2007-12-31,105.0,114.5,103.5,109.5,26506
39,ok,2008-01-01,105.1,112.95,105.05,107.3,5930
40,ok,2008-01-02,110.0,112.0,103.65,105.3,4922
41,ok,2008-01-03,109.0,109.0,103.0,104.13,3536
42,ok,2008-01-06,100.0,104.5,100.0,100.0,1072
43,ok,2008-01-07,100.0,101.15,86.55,94.75,2080
44,ok,2008-01-08,110.0,110.0,85.05,92.75,3776
45,ok,2008-01-09,98.43,98.43,88.0,88.58,2050
46,ok,2008-01-10,84.0,89.0,82.1,85.18,666
47,ok,2008-01-13,85.0,85.0,83.28,84.63,546
48,ok,2008-01-14,81.03,83.4,81.03,83.13,48
49,ok,2008-01-15,85.0,85.5,84.0,85.05,356
50,ok,2008-01-16,98.5,98.5,81.5,85.5,252
51,ok,2008-01-17,85.0,95.23,83.08,85.45,590
52,ok,2008-01-20,75.0,85.05,71.38,71.93,552
53,ok,2008-01-21,60.1,74.5,59.5,74.5,622
54,ok,2008-01-22,67.5,74.5,67.5,70.05,416
55,ok,2008-01-23,66.1,77.25,66.1,69.78,8168
56,ok,2008-01-24,75.0,83.75,70.5,83.75,1284
57,ok,2008-01-27,74.05,84.0,67.5,75.25,8168
58,ok,2008-01-28,77.5,77.5,72.1,72.1,58
59,ok,2008-01-29,75.0,75.0,68.5,69.43,364
60,ok,2008-01-30,68.5,70.25,68.5,70.25,258
61,ok,2008-01-31,78.5,78.5,66.03,72.65,264
62,ok,2008-02-04,72.5,82.45,72.5,74.0,322
63,ok,2008-02-05,88.5,88.75,73.45,73.6,328
64,ok,2008-02-06,84.5,85.9,72.5,73.13,1242
65,ok,2008-02-07,73.5,73.5,72.5,72.5,260
66,ok,2008-02-10,73.5,73.5,71.0,71.0,582
67,ok,2008-02-11,64.0,69.0,63.0,63.0,8
68,ok,2008-02-12,74.0,74.0,58.28,61.4,1586
69,ok,2008-02-13,63.0,68.95,58.0,61.08,776
70,ok,2008-02-14,63.25,69.0,61.0,66.5,864
71,ok,2008-02-17,70.0,70.0,62.15,63.6,232
72,ok,2008-02-18,67.5,67.5,65.0,67.5,1258
73,ok,2008-02-19,67.5,67.5,67.5,67.5,2
74,ok,2008-02-21,61.0,67.0,61.0,65.0,202
75,ok,2008-02-24,64.9,69.95,63.0,67.98,108
76,ok,2008-02-25,80.0,80.0,55.03,66.23,3422
77,ok,2008-02-26,65.75,66.0,62.5,64.43,1420
78,ok,2008-02-27,68.5,68.5,61.5,64.5,6706
79,ok,2008-02-28,61.5,61.5,61.5,61.5,18
80,ok,2008-03-02,66.0,67.0,59.0,59.15,16984
81,ok,2008-03-03,59.0,60.45,59.0,60.45,170
82,ok,2008-03-04,58.03,61.9,57.25,57.5,17172
83,ok,2008-03-06,61.5,61.5,53.08,53.5,390
84,ok,2008-03-09,51.0,64.0,51.0,58.28,18902
85,ok,2008-03-10,65.0,65.0,55.5,60.0,550
86,ok,2008-03-11,55.5,67.5,55.5,60.0,56
87,ok,2008-03-12,55.5,60.75,55.5,60.75,12000
88,ok,2008-03-13,57.0,64.0,56.6,59.0,8696
89,ok,2008-03-16,60.0,60.0,57.5,59.0,30022
90,ok,2008-03-17,67.5,67.5,53.0,55.18,12602
91,ok,2008-03-18,55.0,55.0,55.0,55.0,186
92,ok,2008-03-23,59.0,59.0,55.0,55.3,282
93,ok,2008-03-24,59.5,59.5,55.0,57.1,1004
94,ok,2008-03-25,58.5,58.5,55.0,55.6,550
95,ok,2008-03-26,55.5,57.33,55.0,55.13,364
96,ok,2008-03-27,55.0,55.0,55.0,55.0,390
97,ok,2008-03-31,56.0,61.98,55.0,60.5,86
98,ok,2008-04-01,58.0,60.0,58.0,60.0,96
99,ok,2008-04-02,56.75,57.75,55.73,56.23,596
100,ok,2008-04-06,55.0,59.0,55.0,59.0,12
101,ok,2008-04-07,62.0,62.0,62.0,62.0,4
102,ok,2008-04-08,55.5,61.5,55.0,56.55,2338
103,ok,2008-04-09,58.5,59.0,57.0,59.0,280
104,ok,2008-04-10,56.5,56.5,56.1,56.15,108
105,ok,2008-04-14,64.5,64.5,58.55,58.55,458
106,ok,2008-04-15,56.0,60.0,56.0,60.0,598
107,ok,2008-04-16,59.0,62.5,59.0,60.8,614
108,ok,2008-04-20,60.8,61.75,57.6,60.15,976
109,ok,2008-04-21,64.95,65.75,64.95,65.75,680
110,ok,2008-04-23,72.25,72.25,62.33,62.33,10590
111,ok,2008-04-24,62.6,62.6,62.6,62.6,14
112,ok,2008-04-27,65.0,65.0,65.0,65.0,200
113,ok,2008-04-28,65.0,65.0,61.5,65.0,10
114,ok,2008-04-29,67.45,67.45,60.75,64.98,224
115,ok,2008-05-05,61.5,65.0,61.5,65.0,552
116,ok,2008-05-06,64.5,71.8,60.0,66.95,13720
117,ok,2008-05-07,62.5,66.98,62.5,62.5,320
118,ok,2008-05-08,63.0,66.6,60.6,66.6,4200
119,ok,2008-05-11,60.55,62.5,60.53,61.0,714
120,ok,2008-05-12,61.0,61.0,61.0,61.0,20
121,ok,2008-05-13,61.0,65.0,60.13,61.18,300
122,ok,2008-05-14,60.5,60.5,60.5,60.5,550
123,ok,2008-05-15,61.05,61.05,61.0,61.05,200
124,ok,2008-05-19,65.0,66.53,62.5,64.1,1230
125,ok,2008-05-20,74.0,74.0,63.05,63.05,1154
126,ok,2008-05-21,60.25,66.5,60.25,61.65,294
127,ok,2008-05-22,63.68,66.5,61.05,61.05,214
128,ok,2008-05-25,66.0,67.0,61.05,64.1,1042
129,ok,2008-05-26,67.25,67.25,63.13,63.13,1992
130,ok,2008-05-27,63.7,63.7,63.6,63.6,600
131,ok,2008-05-28,67.5,67.5,61.0,61.0,106
132,ok,2008-05-29,67.5,67.5,60.05,60.98,1378
133,ok,2008-06-01,62.43,62.43,60.0,60.03,3872
134,ok,2008-06-02,60.0,60.0,60.0,60.0,50
135,ok,2008-06-03,60.5,64.9,60.0,60.0,946
136,ok,2008-06-04,62.6,62.6,60.8,61.7,2000
137,ok,2008-06-08,60.0,62.5,52.9,59.13,3274
138,ok,2008-06-09,60.0,64.0,60.0,62.5,146
139,ok,2008-06-10,54.6,59.0,54.03,55.65,158
140,ok,2008-06-11,53.5,65.13,53.5,63.7,15298
141,ok,2008-06-12,61.53,65.0,60.25,62.03,7358
142,ok,2008-06-15,62.03,63.0,58.58,62.6,126
143,ok,2008-06-16,69.95,69.95,60.03,67.93,2130
144,ok,2008-06-17,60.0,68.9,60.0,65.0,1282
145,ok,2008-06-18,65.45,69.0,64.53,65.0,404
146,ok,2008-06-19,62.5,62.5,58.0,58.0,30
147,ok,2008-06-22,69.1,69.1,55.58,62.68,4012
148,ok,2008-06-23,67.5,67.5,61.2,61.5,2944
149,ok,2008-06-24,60.0,66.48,60.0,65.0,1072
150,ok,2008-06-25,66.5,66.5,62.5,62.5,392
151,ok,2008-06-26,60.93,65.0,60.9,61.0,3292
152,ok,2008-06-29,56.0,63.5,56.0,60.0,153922
153,ok,2008-06-30,57.5,57.5,56.03,56.03,176
154,ok,2008-07-01,61.0,63.25,54.5,62.15,1254
155,ok,2008-07-02,66.5,67.0,60.0,65.35,1206
156,ok,2008-07-03,65.23,68.5,61.25,61.6,2104
157,ok,2008-07-06,62.5,62.5,62.5,62.5,200
158,ok,2008-07-08,69.95,69.98,61.7,66.98,8874
159,ok,2008-07-09,62.55,62.55,62.55,62.55,182
160,ok,2008-07-10,60.5,69.0,60.5,62.1,1060
161,ok,2008-07-14,66.5,66.9,62.5,62.5,144
162,ok,2008-07-15,60.0,66.0,59.0,62.5,4628
163,ok,2008-07-16,58.5,58.5,58.5,58.5,2
164,ok,2008-07-17,65.0,65.0,59.5,60.0,800
165,ok,2008-07-20,59.0,59.0,59.0,59.0,200
166,ok,2008-07-21,59.0,66.85,59.0,59.08,464
167,ok,2008-07-22,69.95,69.95,57.5,63.98,588
168,ok,2008-07-23,67.45,67.45,60.0,60.55,226
169,ok,2008-07-24,61.0,61.0,61.0,61.0,72
170,ok,2008-07-27,68.18,68.18,60.5,65.5,796
171,ok,2008-07-28,67.0,67.5,62.5,67.05,2082
172,ok,2008-07-29,67.25,67.25,60.88,64.98,300
173,ok,2008-07-30,66.98,66.98,61.15,61.5,130
174,ok,2008-07-31,66.0,67.0,60.5,66.0,304
175,ok,2008-08-03,67.5,67.5,61.28,62.6,234
