,s,t,o,h,l,c,v
0,ok,2000-01-02,3.6,3.75,3.51,3.65,430500
1,ok,2000-01-03,3.55,3.6,3.46,3.52,336000
2,ok,2000-01-04,3.52,3.52,3.25,3.31,328500
3,ok,2000-01-05,3.4,3.43,3.3,3.35,404000
4,ok,2000-01-06,3.33,3.45,3.3,3.39,105500
5,ok,2000-01-09,3.43,3.53,3.4,3.48,288000
6,ok,2000-01-10,3.48,3.49,3.25,3.28,436500
7,ok,2000-01-11,3.35,3.44,3.3,3.35,109500
8,ok,2000-01-12,3.42,3.42,3.3,3.3,266500
9,ok,2000-01-13,3.25,3.34,3.2,3.3,108500
10,ok,2000-01-16,3.2,3.34,3.2,3.23,65500
11,ok,2000-01-17,3.05,3.25,3.05,3.17,227500
12,ok,2000-01-18,3.16,3.28,3.16,3.2,123000
13,ok,2000-01-19,3.2,3.25,3.11,3.16,105000
14,ok,2000-01-20,3.11,3.34,3.1,3.22,198500
15,ok,2000-01-23,3.29,3.29,3.01,3.07,196000
16,ok,2000-01-24,3.13,3.13,2.95,3.03,327500
17,ok,2000-01-26,3.19,3.19,2.79,2.83,502000
18,ok,2000-01-27,2.75,2.82,2.65,2.77,499000
19,ok,2000-01-30,2.7,2.81,2.65,2.68,267000
20,ok,2000-01-31,2.65,2.74,2.61,2.72,335000
21,ok,2000-02-01,2.7,2.8,2.65,2.73,333000
22,ok,2000-02-02,2.78,2.78,2.6,2.66,348000
23,ok,2000-02-03,2.72,2.72,2.6,2.65,213500
24,ok,2000-02-06,2.65,2.7,2.55,2.57,164500
25,ok,2000-02-07,2.6,2.63,2.45,2.6,301500
26,ok,2000-02-08,2.6,2.79,2.6,2.72,220500
27,ok,2000-02-09,2.78,2.78,2.66,2.71,143000
28,ok,2000-02-10,2.63,2.93,2.63,2.93,208000
29,ok,2000-02-13,3.0,3.0,2.71,2.72,318500
30,ok,2000-02-14,2.7,2.8,2.6,2.67,436500
