,s,t,o,h,l,c,v
0,ok,2019-02-06,294.0,300.0,250.0,291.7,9442180
1,ok,2019-02-07,285.0,293.0,275.0,291.4,1032528
2,ok,2019-02-10,292.0,292.0,279.5,282.55,249222
3,ok,2019-02-11,284.0,286.15,273.8,280.75,242930
4,ok,2019-02-12,281.0,289.9,281.0,285.55,87941
5,ok,2019-02-13,285.15,289.0,281.9,286.35,170221
6,ok,2019-02-14,286.75,286.95,280.05,284.2,57245
7,ok,2019-02-17,282.9,286.0,276.4,278.65,1054880
8,ok,2019-02-18,277.0,282.0,272.0,280.2,26602
9,ok,2019-02-19,284.95,284.95,279.0,280.75,434312
10,ok,2019-02-20,279.55,280.9,279.15,280.6,29462
11,ok,2019-02-21,283.95,283.95,277.55,280.4,800420
12,ok,2019-02-24,283.7,287.95,278.9,284.75,164694
13,ok,2019-02-25,280.15,283.95,276.0,280.0,289732
14,ok,2019-02-26,282.2,283.0,278.0,280.05,7812
15,ok,2019-02-27,281.2,281.25,270.0,276.2,8662
16,ok,2019-02-28,273.2,279.2,272.5,273.2,10626
17,ok,2019-03-04,273.25,282.0,271.25,280.75,66163
18,ok,2019-03-05,281.05,282.1,276.35,282.0,122163
19,ok,2019-03-06,283.05,285.0,280.85,283.15,2031175
20,ok,2019-03-07,275.55,289.0,275.55,283.2,502139
21,ok,2019-03-10,277.0,321.05,277.0,301.8,301849
22,ok,2019-03-11,303.8,319.9,301.1,314.7,210806
23,ok,2019-03-12,317.0,335.0,312.0,329.5,120412
24,ok,2019-03-13,333.55,343.35,316.05,319.35,88710
25,ok,2019-03-14,328.0,331.55,313.05,315.95,341980
26,ok,2019-03-17,310.15,321.95,296.25,318.35,80365
27,ok,2019-03-18,318.5,327.45,313.25,323.5,192178
28,ok,2019-03-19,318.0,327.8,318.0,323.0,15690
29,ok,2019-03-21,316.55,327.7,314.45,321.15,30388
30,ok,2019-03-24,315.0,325.0,315.0,321.6,264388
31,ok,2019-03-25,330.0,352.05,323.15,338.2,102171
32,ok,2019-03-26,343.8,355.0,330.0,337.85,27975
33,ok,2019-03-27,341.95,347.0,335.15,338.8,19931
