,s,t,o,h,l,c,v
0,ok,2019-12-25,206.0,222.0,206.0,212.75,884
1,ok,2019-12-26,215.95,222.0,208.0,214.95,559
2,ok,2019-12-29,222.2,222.2,210.0,219.5,1527
3,ok,2019-12-30,221.0,221.0,205.0,208.7,5837
4,ok,2019-12-31,208.75,212.9,203.1,205.75,3664
5,ok,2020-01-01,208.0,214.95,206.95,209.3,2736
6,ok,2020-01-02,215.95,215.95,207.3,209.95,2840
7,ok,2020-01-05,209.95,210.0,203.0,206.15,2170
8,ok,2020-01-06,210.0,213.95,206.5,212.9,3975
9,ok,2020-01-07,221.0,249.9,213.95,220.95,22550
10,ok,2020-01-08,235.0,235.0,218.0,225.05,4674
11,ok,2020-01-09,216.05,230.0,215.0,229.85,3853
12,ok,2020-01-12,223.0,231.3,222.25,229.65,986
13,ok,2020-01-13,227.0,234.75,222.0,226.7,3141
14,ok,2020-01-14,224.8,230.0,224.8,230.0,6290
15,ok,2020-01-15,228.0,233.0,220.3,231.0,10271
16,ok,2020-01-16,237.25,245.0,227.0,240.6,5283
17,ok,2020-01-19,235.0,245.0,235.0,244.25,4160
18,ok,2020-01-20,247.95,247.95,233.0,242.75,1619
19,ok,2020-01-21,242.75,242.75,236.4,241.7,2057
20,ok,2020-01-22,240.0,242.0,235.0,235.0,3822
21,ok,2020-01-23,235.0,239.5,231.6,233.95,2701
22,ok,2020-01-26,230.0,237.0,224.0,226.0,1617
23,ok,2020-01-27,226.1,231.95,225.9,230.0,3915
24,ok,2020-01-28,223.55,236.0,223.55,233.8,2062
25,ok,2020-01-29,229.0,244.95,224.0,229.65,888
26,ok,2020-01-30,225.9,240.95,225.5,225.55,1104
27,ok,2020-01-31,231.95,238.5,226.0,229.1,1540
28,ok,2020-02-02,223.0,230.0,223.0,229.65,3132
29,ok,2020-02-03,230.0,230.0,225.25,229.95,1399
30,ok,2020-02-04,231.95,232.0,223.0,226.4,5646
31,ok,2020-02-05,229.95,230.0,218.0,224.95,8248
32,ok,2020-02-06,220.0,224.2,215.1,217.0,2327
33,ok,2020-02-09,218.0,226.9,210.0,215.15,1714
34,ok,2020-02-10,220.0,222.8,212.05,215.5,2956
35,ok,2020-02-11,219.45,219.45,212.0,215.95,4068
36,ok,2020-02-12,210.0,215.0,207.25,211.3,1090
37,ok,2020-02-13,207.5,213.35,207.3,210.05,2162
38,ok,2020-02-16,208.8,211.4,200.0,203.65,3407
39,ok,2020-02-17,205.0,206.95,189.15,204.9,6783
40,ok,2020-02-18,206.2,206.2,195.0,200.6,3907
41,ok,2020-02-19,201.9,205.0,191.6,205.0,1550
42,ok,2020-02-23,232.0,232.0,190.4,197.6,3465
43,ok,2020-02-24,194.0,201.8,192.0,199.35,679
44,ok,2020-02-25,192.35,199.3,190.35,198.25,563
45,ok,2020-02-26,202.25,202.25,193.0,197.45,410
46,ok,2020-02-27,198.5,198.5,185.95,189.75,6646
47,ok,2020-03-01,195.0,195.0,171.0,181.3,17624
48,ok,2020-03-02,183.0,184.0,171.0,178.45,1741
49,ok,2020-03-03,185.0,187.45,174.0,178.2,846
50,ok,2020-03-04,186.45,189.25,175.25,180.75,499
51,ok,2020-03-05,177.15,192.05,172.0,191.1,455
52,ok,2020-03-08,201.0,201.0,180.0,190.25,1639
53,ok,2020-03-10,193.0,193.0,175.05,185.0,887
54,ok,2020-03-11,175.0,175.0,151.0,152.8,7733
55,ok,2020-03-12,133.0,180.9,130.0,180.8,4067
56,ok,2020-03-15,165.2,185.75,158.0,166.05,3823
57,ok,2020-03-16,177.7,179.9,162.45,165.95,2596
58,ok,2020-03-17,168.95,171.45,153.0,169.05,1101
59,ok,2020-03-18,160.0,166.0,135.55,163.15,1389
60,ok,2020-03-19,160.0,160.0,146.0,159.25,1498
61,ok,2020-03-22,160.0,160.0,127.4,136.35,1826
62,ok,2020-03-23,149.0,149.0,120.0,142.3,1474
63,ok,2020-03-24,147.0,147.0,122.0,139.2,986
64,ok,2020-03-25,147.0,149.45,134.0,146.45,1049
65,ok,2020-03-26,154.85,158.8,142.0,147.85,2885
66,ok,2020-03-29,136.1,149.75,136.1,146.75,3165
67,ok,2020-03-30,147.0,155.0,142.1,146.8,135
68,ok,2020-03-31,146.8,150.05,133.7,140.85,1897
69,ok,2020-04-02,135.1,145.05,122.65,128.55,1688
70,ok,2020-04-06,132.9,141.15,130.55,135.05,955
71,ok,2020-04-07,145.0,145.0,130.55,140.7,838
72,ok,2020-04-08,154.7,158.2,138.0,153.75,3620
73,ok,2020-04-12,154.0,159.75,143.0,147.25,2447
74,ok,2020-04-14,131.5,160.15,131.5,148.85,1826
75,ok,2020-04-15,148.05,149.0,136.25,147.45,1642
76,ok,2020-04-16,151.0,154.4,145.35,153.8,2341
77,ok,2020-04-19,149.9,162.0,145.0,147.65,17450
