,s,t,o,h,l,c,v
0,ok,2020-09-30,731.0,731.25,584.8,584.8,15779162
1,ok,2020-10-04,551.1,566.7,516.6,524.0,6106225
2,ok,2020-10-05,525.0,550.0,522.65,524.95,2427474
3,ok,2020-10-06,527.5,534.5,503.2,517.05,2097097
4,ok,2020-10-07,522.85,526.75,503.0,507.05,1268918
5,ok,2020-10-08,506.0,508.75,481.75,486.25,1595506
6,ok,2020-10-11,482.75,482.75,432.0,435.4,2003739
7,ok,2020-10-12,428.0,469.0,415.5,455.2,3039642
8,ok,2020-10-13,457.05,458.7,437.0,440.85,759728
9,ok,2020-10-14,443.9,445.0,417.05,418.9,572018
10,ok,2020-10-15,420.25,429.6,398.05,404.8,1015056
11,ok,2020-10-18,410.75,425.0,408.0,411.1,525563
12,ok,2020-10-19,413.9,416.9,404.05,407.65,469310
13,ok,2020-10-20,411.0,442.85,407.5,431.65,1908099
14,ok,2020-10-21,431.9,440.0,427.1,434.85,605260
15,ok,2020-10-22,437.45,438.45,427.0,430.2,327446
16,ok,2020-10-25,432.0,432.5,415.0,417.85,302308
17,ok,2020-10-26,416.3,418.8,407.05,411.9,267206
18,ok,2020-10-27,411.0,426.8,411.0,418.75,373310
19,ok,2020-10-28,412.1,415.0,398.0,399.15,657919
20,ok,2020-10-29,400.0,427.65,400.0,411.6,909478
21,ok,2020-11-01,418.1,431.0,413.15,425.8,630946
22,ok,2020-11-02,429.5,437.5,421.0,424.0,421713
23,ok,2020-11-03,422.9,436.0,416.5,430.7,389432
24,ok,2020-11-04,434.95,439.9,430.0,434.15,303240
25,ok,2020-11-05,435.1,456.0,434.15,444.4,743919
26,ok,2020-11-08,433.8,434.0,416.5,421.25,617657
27,ok,2020-11-09,422.0,425.95,414.0,414.9,442656
28,ok,2020-11-10,416.9,419.85,412.15,413.75,185957
29,ok,2020-11-11,414.0,421.45,413.75,415.75,186211
30,ok,2020-11-12,416.95,425.9,415.85,418.55,284246
31,ok,2020-11-13,422.7,424.7,419.0,421.85,56608
32,ok,2020-11-16,424.4,424.4,415.0,415.25,247578
33,ok,2020-11-17,415.75,418.95,412.5,416.0,263475
34,ok,2020-11-18,414.95,424.4,413.0,414.4,296620
35,ok,2020-11-19,417.7,421.05,413.1,418.65,304779
36,ok,2020-11-22,418.65,421.65,416.0,416.55,177145
37,ok,2020-11-23,419.35,434.0,414.75,423.7,458285
38,ok,2020-11-24,424.45,428.3,415.0,416.75,224691
39,ok,2020-11-25,418.0,422.7,415.4,418.3,119786
40,ok,2020-11-26,421.0,423.0,416.8,418.3,156651
41,ok,2020-11-30,421.75,421.75,417.2,418.35,129453
42,ok,2020-12-01,418.95,425.9,416.15,420.25,251934
43,ok,2020-12-02,421.95,428.0,420.05,422.9,231081
44,ok,2020-12-03,425.9,460.85,424.05,445.45,1480268
45,ok,2020-12-06,447.9,466.0,445.05,453.35,690652
46,ok,2020-12-07,456.55,459.85,441.3,446.0,305777
47,ok,2020-12-08,449.3,449.85,438.15,440.3,170482
48,ok,2020-12-09,438.0,445.1,431.05,436.2,141156
49,ok,2020-12-10,436.6,444.9,428.95,431.15,202943
50,ok,2020-12-13,432.6,434.05,424.0,425.75,196683
51,ok,2020-12-14,425.95,435.9,424.15,429.15,182628
52,ok,2020-12-15,432.95,441.65,429.05,431.75,237265
53,ok,2020-12-16,433.0,439.0,428.25,429.7,226051
54,ok,2020-12-17,435.0,435.0,424.5,426.45,223254
55,ok,2020-12-20,428.3,428.3,403.0,407.85,437985
56,ok,2020-12-21,411.0,416.8,400.05,408.3,375210
