,s,t,o,h,l,c,v
0,ok,2022-04-07,150.5,156.43,148.5,150.63,699034
1,ok,2022-04-10,153.93,159.5,150.5,152.93,340462
2,ok,2022-04-11,153.45,154.48,150.5,152.3,174604
3,ok,2022-04-12,154.98,158.93,152.55,153.78,198338
4,ok,2022-04-17,153.43,154.9,152.25,153.88,152770
5,ok,2022-04-18,155.0,155.0,151.0,151.48,243204
6,ok,2022-04-19,152.0,152.68,150.75,151.65,156442
7,ok,2022-04-20,154.5,154.5,150.85,151.65,135272
8,ok,2022-04-21,151.5,153.5,150.25,150.68,144184
9,ok,2022-04-24,150.7,152.5,148.6,150.18,175140
10,ok,2022-04-25,150.78,152.58,150.03,151.3,190314
11,ok,2022-04-26,151.45,154.9,150.38,152.53,174116
12,ok,2022-04-27,153.8,159.78,152.5,155.9,166756
13,ok,2022-04-28,155.9,159.4,155.0,157.08,112134
14,ok,2022-05-01,160.53,160.55,156.5,157.45,101662
15,ok,2022-05-03,160.9,160.9,157.33,158.08,92282
16,ok,2022-05-04,159.35,165.78,158.45,162.2,154628
17,ok,2022-05-05,160.0,162.5,150.98,160.53,114372
18,ok,2022-05-08,161.88,161.88,158.05,159.65,65470
19,ok,2022-05-09,159.5,163.5,157.58,160.98,96108
20,ok,2022-05-10,161.05,161.75,153.43,155.08,124644
21,ok,2022-05-11,154.5,157.03,152.4,152.95,106772
22,ok,2022-05-12,155.0,157.5,154.5,156.23,77268
23,ok,2022-05-15,156.23,159.0,156.0,157.13,89898
24,ok,2022-05-16,157.48,159.0,156.0,158.15,70582
25,ok,2022-05-17,160.0,161.25,157.5,159.9,99822
26,ok,2022-05-18,158.78,159.2,156.0,158.0,78082
27,ok,2022-05-19,159.0,163.7,158.0,162.6,96204
28,ok,2022-05-22,164.43,192.5,163.3,170.18,148942
29,ok,2022-05-23,170.0,170.3,162.55,167.58,106582
30,ok,2022-05-24,175.3,178.0,170.03,170.88,139402
31,ok,2022-05-25,174.75,174.9,167.38,172.63,92616
32,ok,2022-05-26,175.0,175.5,173.0,173.13,87576
33,ok,2022-05-29,173.5,176.6,169.4,170.35,126788
34,ok,2022-05-30,170.98,172.48,166.4,170.98,156346
35,ok,2022-05-31,170.23,175.0,170.03,173.65,86632
36,ok,2022-06-01,173.95,176.73,172.5,173.88,66222
37,ok,2022-06-02,172.53,175.7,172.53,173.58,58766
38,ok,2022-06-05,177.05,177.05,172.5,173.03,211428
39,ok,2022-06-06,172.65,175.3,172.65,173.55,53366
40,ok,2022-06-07,173.85,174.98,171.3,173.63,86798
41,ok,2022-06-08,176.5,176.5,172.68,174.93,57880
42,ok,2022-06-09,174.63,174.88,172.5,172.95,64402
43,ok,2022-06-12,170.53,173.0,169.1,170.8,82078
44,ok,2022-06-13,170.0,171.73,169.55,170.13,55056
45,ok,2022-06-14,171.35,182.0,171.0,180.63,154396
46,ok,2022-06-15,180.15,187.4,177.5,183.2,168314
47,ok,2022-06-16,185.0,185.0,180.08,181.68,92376
48,ok,2022-06-19,179.88,184.18,175.25,177.0,80948
49,ok,2022-06-20,177.4,182.15,177.4,180.25,72008
50,ok,2022-06-21,180.5,185.6,177.8,184.8,101366
51,ok,2022-06-22,183.38,190.0,181.98,188.23,87942
52,ok,2022-06-23,190.0,197.5,188.3,190.08,171274
53,ok,2022-06-26,192.5,196.2,190.58,194.13,86584
54,ok,2022-06-27,193.05,194.75,191.03,193.93,79036
55,ok,2022-06-28,192.75,195.0,191.5,192.88,62252
56,ok,2022-06-29,192.15,194.95,192.0,192.85,42308
57,ok,2022-06-30,194.48,194.48,190.53,192.05,36782
58,ok,2022-07-03,194.35,196.53,192.78,195.38,533156
59,ok,2022-07-04,197.0,201.93,188.08,194.8,621636
60,ok,2022-07-05,194.0,198.5,194.0,197.55,480518
61,ok,2022-07-06,198.9,200.45,197.03,198.5,906566
62,ok,2022-07-07,199.4,203.5,196.25,200.2,971346
63,ok,2022-07-10,204.0,207.15,199.0,200.33,1024596
64,ok,2022-07-11,200.98,202.4,198.0,199.05,110354
65,ok,2022-07-12,201.5,202.5,198.5,198.85,66258
66,ok,2022-07-13,199.98,200.8,198.35,199.38,51506
67,ok,2022-07-14,200.0,200.9,198.23,199.18,55748
68,ok,2022-07-17,198.65,203.55,198.65,199.68,47384
69,ok,2022-07-18,199.5,201.3,197.5,197.95,62300
70,ok,2022-07-19,198.5,200.93,197.5,198.85,51716
71,ok,2022-07-20,197.75,199.85,197.5,199.03,70242
72,ok,2022-07-21,200.8,201.5,198.5,198.58,45404
73,ok,2022-07-24,198.5,199.68,195.55,198.08,52376
74,ok,2022-07-25,199.35,199.58,197.5,197.85,107286
75,ok,2022-07-26,198.7,199.5,197.5,199.0,66888
76,ok,2022-07-27,201.5,206.98,198.55,204.58,107560
77,ok,2022-07-28,202.85,204.95,201.0,204.08,35036
78,ok,2022-07-31,210.5,217.5,210.5,216.33,185464
79,ok,2022-08-01,219.35,221.0,215.0,216.65,203678
80,ok,2022-08-02,217.5,219.0,215.83,217.6,85744
81,ok,2022-08-03,219.25,220.95,214.18,216.65,104182
82,ok,2022-08-04,216.9,220.0,215.0,215.28,97602
83,ok,2022-08-07,216.75,218.23,215.0,216.48,51746
84,ok,2022-08-09,216.95,216.95,214.0,214.38,49384
85,ok,2022-08-10,216.0,219.0,214.5,217.88,48090
86,ok,2022-08-11,219.95,220.98,213.5,215.75,96320
87,ok,2022-08-15,217.05,217.45,215.0,216.53,44350
88,ok,2022-08-16,221.0,221.0,216.0,216.78,45288
89,ok,2022-08-17,218.0,218.7,215.5,216.13,45390
90,ok,2022-08-18,215.05,219.5,215.05,216.23,30180
91,ok,2022-08-21,218.0,218.0,215.5,215.63,48680
92,ok,2022-08-22,217.48,217.48,215.03,215.93,37416
93,ok,2022-08-23,219.0,219.0,215.5,216.03,34748
94,ok,2022-08-24,217.98,217.98,215.0,215.78,38408
95,ok,2022-08-25,217.5,218.03,215.78,217.3,39376
96,ok,2022-08-28,215.8,217.0,212.53,213.88,67506
97,ok,2022-08-29,215.98,219.3,215.25,215.8,41996
98,ok,2022-08-31,219.0,219.0,211.5,212.23,55238
99,ok,2022-09-01,212.6,217.53,212.6,216.78,42092
100,ok,2022-09-04,217.5,218.5,215.5,216.48,36022
101,ok,2022-09-05,218.75,218.75,216.18,218.08,41016
102,ok,2022-09-06,218.0,218.0,214.5,215.2,41894
103,ok,2022-09-07,215.0,220.0,215.0,218.6,94116
104,ok,2022-09-08,220.0,220.5,218.0,219.88,47960
105,ok,2022-09-11,220.5,231.75,219.5,229.3,140640
106,ok,2022-09-12,232.75,238.68,227.05,231.5,101928
107,ok,2022-09-13,234.0,238.5,232.53,234.9,134584
108,ok,2022-09-14,237.98,240.5,230.75,236.73,87090
109,ok,2022-09-15,238.0,239.3,228.0,230.58,68794
110,ok,2022-09-18,234.0,234.85,227.2,227.53,106490
111,ok,2022-09-19,230.7,233.0,225.0,228.43,87838
112,ok,2022-09-20,232.35,234.0,225.5,232.03,77036
113,ok,2022-09-21,246.0,257.9,236.0,245.15,58992
114,ok,2022-09-22,247.6,248.0,237.55,239.35,18597
115,ok,2022-09-25,234.5,236.8,225.0,227.95,29128
116,ok,2022-09-26,227.95,230.95,221.4,222.3,29974
117,ok,2022-09-27,220.0,232.65,219.05,231.95,27398
118,ok,2022-09-28,231.0,234.45,229.0,229.5,20492
119,ok,2022-09-29,230.35,233.75,228.0,229.15,16698
120,ok,2022-10-02,233.0,233.0,219.05,222.7,42391
121,ok,2022-10-03,223.65,230.05,219.0,229.1,55249
122,ok,2022-10-05,230.0,239.0,225.1,236.05,42051
123,ok,2022-10-06,236.9,249.85,234.75,245.65,80722
124,ok,2022-10-09,245.75,245.75,241.25,244.35,26551
125,ok,2022-10-10,240.7,248.45,238.9,242.1,26107
126,ok,2022-10-11,243.8,245.1,237.0,239.0,23088
127,ok,2022-10-12,240.05,244.8,236.0,241.1,37391
128,ok,2022-10-13,245.0,260.95,243.0,249.3,107047
129,ok,2022-10-16,256.9,258.6,247.0,253.05,28792
130,ok,2022-10-17,247.0,255.5,244.0,250.45,35073
131,ok,2022-10-18,251.95,253.65,249.0,249.65,27420
132,ok,2022-10-19,252.15,252.4,249.0,251.2,16540
133,ok,2022-10-20,251.9,252.85,249.25,250.1,20410
134,ok,2022-10-23,252.0,260.0,251.0,257.5,27102
135,ok,2022-10-24,252.1,258.0,252.1,254.85,24311
136,ok,2022-10-26,255.0,260.0,254.6,256.95,20372
137,ok,2022-10-27,260.0,265.0,258.1,264.15,59859
138,ok,2022-10-30,267.5,275.8,264.55,274.5,75730
139,ok,2022-10-31,276.0,280.85,276.0,279.85,46032
140,ok,2022-11-01,285.0,288.0,281.05,285.6,64259
141,ok,2022-11-02,289.0,299.4,282.6,289.8,84210
142,ok,2022-11-03,291.6,296.0,288.1,290.0,91554
143,ok,2022-11-06,294.0,294.95,279.3,281.85,77147
144,ok,2022-11-08,285.0,285.0,275.0,277.95,35440
145,ok,2022-11-09,273.8,278.8,270.0,272.1,33060
146,ok,2022-11-10,276.7,277.95,269.0,272.6,28906
