,s,t,o,h,l,c,v
0,ok,2000-01-02,112.8,116.59,110.4,116.59,263250
1,ok,2000-01-03,122.96,122.96,114.4,117.22,377688
2,ok,2000-01-04,117.92,117.92,109.2,114.8,422488
3,ok,2000-01-05,114.72,114.8,107.92,108.47,413538
4,ok,2000-01-06,109.6,111.19,99.79,99.8,831700
5,ok,2000-01-09,103.04,103.92,95.28,96.47,1323900
6,ok,2000-01-10,98.0,98.0,88.76,89.14,2337188
7,ok,2000-01-11,94.8,96.27,94.8,96.27,92700
8,ok,2000-01-12,103.98,103.98,102.5,103.76,1129738
9,ok,2000-01-13,103.92,104.36,97.6,102.46,884113
10,ok,2000-01-16,106.8,107.2,100.01,101.6,686725
11,ok,2000-01-17,103.52,103.52,96.0,97.61,646138
12,ok,2000-01-18,94.0,97.59,90.56,96.31,1658363
13,ok,2000-01-19,96.4,97.84,96.08,96.7,557525
14,ok,2000-01-20,96.8,96.8,92.8,96.09,539600
15,ok,2000-01-23,97.44,97.91,94.8,96.96,849125
16,ok,2000-01-24,95.6,96.64,94.08,95.54,823138
17,ok,2000-01-26,98.0,98.0,94.8,95.22,419363
18,ok,2000-01-27,96.8,97.2,93.68,94.7,322925
19,ok,2000-01-30,92.96,94.79,92.4,93.85,380913
20,ok,2000-01-31,94.8,98.56,92.8,97.56,716700
21,ok,2000-02-01,99.92,103.6,99.2,101.67,844313
22,ok,2000-02-02,103.12,103.92,98.8,99.47,363850
23,ok,2000-02-03,99.6,100.0,95.69,97.29,378600
24,ok,2000-02-06,97.6,99.6,95.6,97.66,988425
25,ok,2000-02-07,96.08,98.76,94.82,96.45,842075
26,ok,2000-02-08,98.8,101.2,96.88,97.45,361763
27,ok,2000-02-09,96.0,96.96,94.8,95.81,356588
28,ok,2000-02-10,96.0,96.0,92.0,93.25,282500
29,ok,2000-02-13,92.4,93.52,88.0,92.2,710225
30,ok,2000-02-14,90.48,92.72,89.6,92.14,457163
31,ok,2000-02-15,93.2,94.4,92.0,93.18,154250
32,ok,2000-02-16,95.52,100.64,92.64,100.63,851725
33,ok,2000-02-17,103.1,103.1,94.8,96.09,993825
34,ok,2000-02-20,97.2,99.04,91.2,93.34,626988
35,ok,2000-02-21,92.8,94.4,88.88,90.14,722988
36,ok,2000-02-22,93.92,96.0,90.8,91.47,484538
37,ok,2000-02-23,90.8,93.52,90.8,91.96,259288
38,ok,2000-02-24,91.19,91.6,89.6,90.78,176138
39,ok,2000-02-27,88.0,97.92,88.0,95.64,701888
40,ok,2000-02-28,96.48,100.8,87.99,91.96,977200
41,ok,2000-02-29,90.8,90.8,84.6,84.6,412500
42,ok,2000-03-01,80.21,82.08,77.84,77.84,531738
43,ok,2000-03-02,71.61,77.2,71.61,71.61,622563
44,ok,2000-03-05,70.08,76.0,69.68,74.37,1021713
45,ok,2000-03-06,76.56,76.56,71.2,73.98,1008325
46,ok,2000-03-07,75.92,78.56,71.99,74.19,566038
47,ok,2000-03-08,74.32,75.6,70.4,72.11,338200
48,ok,2000-03-09,76.4,77.88,72.0,77.88,541850
49,ok,2000-03-12,79.2,84.12,79.04,84.12,217175
50,ok,2000-03-13,84.8,90.85,79.2,90.85,736800
51,ok,2000-03-14,97.92,98.12,90.0,92.03,1182863
52,ok,2000-03-15,94.0,94.0,84.8,85.06,382438
53,ok,2000-03-20,87.92,91.87,83.92,90.81,972500
54,ok,2000-03-21,92.08,94.8,89.6,93.43,723088
55,ok,2000-03-22,92.4,94.4,89.68,93.21,425475
56,ok,2000-03-23,90.42,93.52,86.88,89.45,264500
57,ok,2000-03-26,90.4,90.56,82.32,85.15,310388
58,ok,2000-03-27,83.2,85.56,80.0,82.21,309850
59,ok,2000-03-28,86.96,87.6,82.8,83.87,335575
60,ok,2000-03-29,81.76,85.52,80.88,84.06,375863
61,ok,2000-03-30,86.0,90.79,82.0,90.67,894313
62,ok,2000-04-02,94.32,97.92,91.28,96.09,1740438
63,ok,2000-04-03,92.8,97.91,88.49,92.92,1988288
64,ok,2000-04-04,93.6,96.88,92.8,93.54,814450
65,ok,2000-04-05,94.88,94.88,88.4,91.87,1070625
66,ok,2000-04-06,92.0,99.22,91.28,99.16,1376888
67,ok,2000-04-09,100.0,106.62,100.0,104.12,1595475
68,ok,2000-04-11,104.0,104.0,98.0,99.04,340213
69,ok,2000-04-12,97.78,98.4,92.8,97.03,724213
70,ok,2000-04-16,94.56,94.56,89.28,90.65,834275
71,ok,2000-04-17,92.8,97.2,90.4,91.69,784950
72,ok,2000-04-18,94.72,94.72,85.6,87.81,492800
73,ok,2000-04-19,84.8,88.0,80.78,82.78,463825
74,ok,2000-04-23,83.26,83.26,76.16,76.36,399213
75,ok,2000-04-24,72.1,80.8,70.25,76.32,543000
76,ok,2000-04-25,81.6,82.42,77.6,80.56,771225
77,ok,2000-04-26,80.96,80.96,75.2,77.47,400175
78,ok,2000-04-27,73.2,73.2,71.27,71.27,234363
79,ok,2000-05-01,65.7,65.7,62.72,62.72,423375
80,ok,2000-05-02,62.96,64.64,55.2,62.08,1310175
81,ok,2000-05-03,65.12,69.54,65.12,67.3,916275
82,ok,2000-05-04,68.08,69.12,65.44,65.56,993238
83,ok,2000-05-07,67.12,67.12,64.56,66.14,1243950
84,ok,2000-05-08,64.8,66.8,64.0,65.6,531550
85,ok,2000-05-09,67.83,69.2,65.44,65.95,391038
86,ok,2000-05-10,64.4,65.12,61.68,63.38,415913
87,ok,2000-05-11,64.0,68.0,61.2,62.05,550200
88,ok,2000-05-14,60.8,63.92,57.2,63.17,560700
89,ok,2000-05-15,64.0,66.4,61.13,63.76,506275
90,ok,2000-05-16,66.0,66.72,62.08,63.21,470075
91,ok,2000-05-17,61.2,62.72,60.08,61.66,148075
92,ok,2000-05-18,60.4,65.6,60.0,64.45,737363
93,ok,2000-05-21,59.62,65.6,59.62,61.52,355425
94,ok,2000-05-22,61.36,61.44,54.14,54.56,941375
95,ok,2000-05-23,55.92,56.32,52.08,55.78,370925
96,ok,2000-05-24,56.72,57.2,52.0,54.44,1345575
97,ok,2000-05-25,53.44,56.4,52.43,55.79,725875
98,ok,2000-05-28,55.04,57.92,55.04,56.44,338588
99,ok,2000-05-29,58.48,59.2,56.0,57.7,310088
100,ok,2000-05-30,59.82,63.76,59.2,61.84,606388
101,ok,2000-05-31,62.0,65.2,60.8,62.16,778113
102,ok,2000-06-01,63.6,63.96,62.49,63.32,325038
103,ok,2000-06-04,64.0,67.84,59.61,61.2,636063
104,ok,2000-06-05,60.0,61.6,58.0,58.88,675825
105,ok,2000-06-06,59.2,60.8,58.64,59.39,467663
106,ok,2000-06-07,60.0,60.72,59.52,59.91,242313
107,ok,2000-06-08,61.92,62.8,58.8,61.88,499513
108,ok,2000-06-11,61.2,62.79,60.0,62.05,416763
109,ok,2000-06-12,62.4,64.3,61.16,63.69,435788
110,ok,2000-06-13,64.96,65.2,62.4,63.38,348263
111,ok,2000-06-14,62.4,63.6,60.88,63.27,289288
112,ok,2000-06-15,61.68,69.52,61.68,68.14,1058950
113,ok,2000-06-18,69.44,72.72,68.64,70.53,643600
114,ok,2000-06-19,71.34,76.18,71.2,74.9,984525
115,ok,2000-06-20,74.0,77.6,68.0,68.66,1609263
116,ok,2000-06-21,69.92,70.32,67.2,69.88,429738
117,ok,2000-06-22,68.24,69.6,67.6,69.16,271013
118,ok,2000-06-25,69.92,69.92,66.41,68.71,199550
119,ok,2000-06-26,69.44,69.92,68.16,68.44,474438
120,ok,2000-06-27,68.0,71.91,67.93,68.48,426238
121,ok,2000-06-28,69.6,72.16,68.41,69.37,534188
122,ok,2000-06-29,69.6,70.0,68.82,69.16,148313
123,ok,2000-07-02,69.2,70.4,69.2,70.12,198250
124,ok,2000-07-03,70.4,78.0,70.4,77.38,1119725
125,ok,2000-07-04,77.84,77.84,72.0,73.14,689625
126,ok,2000-07-05,72.01,75.51,70.8,74.44,1063313
127,ok,2000-07-06,74.72,75.58,74.4,74.64,298338
128,ok,2000-07-09,74.48,76.8,74.48,75.02,390463
129,ok,2000-07-10,73.46,75.2,72.4,72.64,753050
130,ok,2000-07-11,72.8,72.8,65.61,66.83,1908588
131,ok,2000-07-12,67.2,68.32,66.4,66.74,1286663
132,ok,2000-07-13,66.8,66.96,62.97,64.26,1217263
133,ok,2000-07-16,64.0,64.96,63.3,63.74,1194988
134,ok,2000-07-17,63.6,64.32,60.0,60.3,1811875
135,ok,2000-07-18,60.48,60.48,58.0,58.84,2048238
136,ok,2000-07-19,58.56,60.8,58.4,59.2,943275
137,ok,2000-07-20,59.9,60.24,56.8,57.13,1554000
138,ok,2000-07-23,54.8,56.24,53.68,54.76,1416675
139,ok,2000-07-24,54.0,58.24,52.0,56.62,2100638
140,ok,2000-07-25,57.6,59.46,56.72,57.06,1506700
141,ok,2000-07-26,56.56,58.0,55.68,57.59,952538
142,ok,2000-07-27,56.8,57.44,55.78,56.57,788788
143,ok,2000-07-30,56.25,58.71,56.02,58.09,1409288
144,ok,2000-07-31,58.4,59.84,57.81,58.7,1075488
145,ok,2000-08-01,59.5,59.76,57.92,59.02,660613
146,ok,2000-08-02,58.48,61.76,58.4,59.48,1505438
147,ok,2000-08-03,59.6,60.32,57.01,57.7,1575163
148,ok,2000-08-06,58.24,58.32,56.88,57.54,478175
149,ok,2000-08-07,58.07,58.24,57.2,57.93,629338
150,ok,2000-08-08,58.08,58.95,58.0,58.64,474913
151,ok,2000-08-09,58.32,59.52,58.32,58.71,573100
152,ok,2000-08-10,58.42,58.72,58.0,58.45,394688
153,ok,2000-08-13,58.02,58.64,56.97,58.17,1064800
154,ok,2000-08-15,58.4,62.8,58.4,62.38,1576675
155,ok,2000-08-16,62.0,62.16,60.56,61.63,547750
156,ok,2000-08-17,60.48,62.79,60.26,61.66,618413
157,ok,2000-08-20,62.0,64.31,60.64,63.23,1043888
158,ok,2000-08-21,64.24,64.24,62.64,63.42,822988
159,ok,2000-08-22,61.76,64.22,61.76,63.26,416725
160,ok,2000-08-23,62.82,65.68,62.4,65.3,899500
161,ok,2000-08-24,65.61,68.0,65.6,67.24,1968125
162,ok,2000-08-27,67.52,69.12,65.77,66.36,849275
163,ok,2000-08-28,66.08,66.8,65.44,66.39,552675
164,ok,2000-08-29,66.08,67.36,64.16,64.88,532975
165,ok,2000-08-30,64.16,65.28,64.0,64.92,344575
166,ok,2000-09-03,65.2,66.8,65.2,66.2,412475
167,ok,2000-09-04,66.8,66.8,65.28,65.97,559188
168,ok,2000-09-05,68.48,68.48,65.43,65.58,561238
169,ok,2000-09-06,65.04,66.24,64.08,64.63,736363
170,ok,2000-09-07,65.28,65.28,63.44,63.62,1152588
171,ok,2000-09-10,63.36,65.52,62.4,63.04,1565788
172,ok,2000-09-11,62.41,62.41,60.72,61.08,1215163
173,ok,2000-09-12,63.12,63.12,60.16,60.72,1134750
174,ok,2000-09-13,61.19,61.2,59.52,60.06,820213
175,ok,2000-09-14,59.68,60.41,56.97,57.48,1459388
176,ok,2000-09-17,56.88,59.2,56.08,56.71,1028488
177,ok,2000-09-18,56.24,57.43,54.41,55.29,2100525
178,ok,2000-09-19,56.8,56.8,52.17,54.73,1434988
179,ok,2000-09-20,54.73,55.79,52.8,54.32,1078838
180,ok,2000-09-21,53.6,53.92,52.0,52.23,1467500
181,ok,2000-09-24,52.8,55.75,52.4,55.34,1389225
182,ok,2000-09-25,55.84,55.92,53.2,54.8,1736188
183,ok,2000-09-26,54.32,55.92,54.32,54.51,1244275
184,ok,2000-09-27,54.78,55.36,54.24,54.53,529475
185,ok,2000-09-28,54.95,55.36,54.42,55.08,458050
186,ok,2000-10-02,54.4,57.95,53.36,56.6,1306888
187,ok,2000-10-03,56.8,61.51,56.8,60.62,2321050
188,ok,2000-10-04,60.8,63.76,60.42,62.95,2970113
189,ok,2000-10-05,61.93,65.99,61.01,65.38,5765038
190,ok,2000-10-08,66.0,69.2,65.61,66.61,5467975
191,ok,2000-10-09,66.6,67.46,64.93,66.26,3759238
192,ok,2000-10-10,64.18,65.6,62.0,62.37,3444675
193,ok,2000-10-11,61.68,63.6,61.12,63.0,2017413
194,ok,2000-10-12,62.48,63.2,61.38,62.58,2262375
195,ok,2000-10-15,63.92,67.58,62.89,63.25,1124750
196,ok,2000-10-16,62.48,65.1,62.48,64.54,1432725
197,ok,2000-10-17,64.64,64.72,62.81,63.67,604900
198,ok,2000-10-18,63.76,64.0,62.97,63.68,351238
199,ok,2000-10-19,64.4,65.12,63.33,64.5,921800
200,ok,2000-10-22,64.48,64.96,63.6,64.21,557988
201,ok,2000-10-23,64.0,65.2,63.36,64.93,672588
202,ok,2000-10-24,66.4,71.91,66.0,69.29,2634700
203,ok,2000-10-25,69.2,72.8,69.2,71.85,1203888
204,ok,2000-10-26,72.79,72.79,70.4,72.16,1197213
205,ok,2000-10-29,72.24,72.24,69.36,69.63,956325
206,ok,2000-10-30,69.22,71.2,69.04,70.9,841300
207,ok,2000-10-31,71.68,71.76,69.6,70.0,806713
208,ok,2000-11-01,69.6,71.92,69.44,71.47,818463
209,ok,2000-11-02,71.92,74.72,70.98,74.21,2553975
210,ok,2000-11-05,73.65,75.2,72.96,73.22,925988
211,ok,2000-11-06,72.88,74.8,72.56,74.18,1126650
212,ok,2000-11-07,74.32,80.11,74.0,79.23,5977775
213,ok,2000-11-08,78.8,81.6,78.4,79.42,2937713
214,ok,2000-11-09,79.84,79.84,78.4,78.93,1327338
215,ok,2000-11-12,78.56,78.88,76.0,76.88,1616788
216,ok,2000-11-13,77.04,80.72,76.93,80.26,2727975
217,ok,2000-11-14,81.6,84.72,80.0,80.92,3246400
218,ok,2000-11-15,81.6,81.6,78.4,79.16,1516750
219,ok,2000-11-16,78.08,78.72,76.08,78.03,2591025
220,ok,2000-11-19,76.4,78.24,75.6,77.4,1391038
221,ok,2000-11-20,76.8,79.0,76.44,77.8,2155175
222,ok,2000-11-21,76.88,78.72,76.88,78.2,994088
223,ok,2000-11-22,77.62,79.6,77.6,79.01,1434075
224,ok,2000-11-23,79.84,81.12,78.96,79.72,2350200
225,ok,2000-11-26,80.34,82.24,79.84,81.75,2220150
226,ok,2000-11-27,81.6,85.52,81.6,85.1,2875213
227,ok,2000-11-28,84.8,84.8,81.68,82.81,1355350
228,ok,2000-11-29,82.81,84.13,78.4,79.11,2512338
229,ok,2000-11-30,78.44,82.69,77.04,82.08,3513513
230,ok,2000-12-03,82.64,82.64,80.57,81.27,1018025
231,ok,2000-12-04,81.59,82.4,81.2,81.58,1591938
232,ok,2000-12-05,84.72,84.72,80.96,81.33,781675
233,ok,2000-12-06,81.21,82.0,80.0,81.03,878813
234,ok,2000-12-07,81.52,82.07,80.5,80.96,995075
235,ok,2000-12-10,81.44,81.76,79.39,81.12,1551188
236,ok,2000-12-11,81.6,87.61,81.6,86.11,5238350
237,ok,2000-12-12,86.4,90.0,86.4,87.48,3852113
238,ok,2000-12-13,87.6,89.52,86.53,87.1,1845438
239,ok,2000-12-14,86.56,88.39,81.76,83.66,2515188
240,ok,2000-12-17,82.0,83.52,80.08,82.28,1431050
241,ok,2000-12-18,82.72,83.96,79.6,80.09,1614950
