,s,t,o,h,l,c,v
0,ok,2010-10-03,18.0,18.56,18.0,18.56,8350
1,ok,2010-10-04,18.94,19.49,18.94,19.49,4400
2,ok,2010-10-05,19.81,20.47,19.28,20.47,1465
3,ok,2010-10-06,20.63,21.49,20.63,21.0,4345
4,ok,2010-10-07,21.0,22.05,21.0,22.05,9370
5,ok,2010-10-10,22.5,23.16,22.5,23.16,14110
6,ok,2010-10-11,23.38,23.87,23.13,23.22,3585
7,ok,2010-10-12,23.01,23.01,22.06,22.06,12050
8,ok,2010-10-13,23.13,23.13,20.96,20.96,72760
9,ok,2010-10-14,21.94,22.0,19.92,21.48,6310
10,ok,2010-10-17,21.61,21.63,20.59,21.56,41280
11,ok,2010-10-18,21.61,21.68,20.63,20.63,14950
12,ok,2010-10-19,21.63,21.63,20.75,21.09,20065
13,ok,2010-10-21,20.88,20.88,20.88,20.88,400
14,ok,2010-10-24,21.25,21.92,21.25,21.86,162760
15,ok,2010-10-25,20.91,21.88,20.79,21.0,46230
16,ok,2010-10-26,20.63,21.13,20.63,21.06,88400
17,ok,2010-10-27,21.21,21.75,20.63,21.21,73080
18,ok,2010-10-28,20.38,21.5,20.38,21.13,184450
19,ok,2010-10-31,20.63,22.19,20.62,22.19,437640
20,ok,2010-11-01,22.49,23.3,22.49,23.3,242585
21,ok,2010-11-02,24.12,24.46,23.63,24.15,128770
22,ok,2010-11-03,23.38,24.24,23.03,23.9,13175
23,ok,2010-11-04,24.37,26.29,24.37,25.76,373230
24,ok,2010-11-07,25.36,27.75,25.36,27.33,424670
25,ok,2010-11-08,26.94,28.5,26.88,27.98,941110
26,ok,2010-11-09,28.1,28.44,25.63,26.58,38240
27,ok,2010-11-10,26.38,26.97,24.91,25.59,296210
28,ok,2010-11-11,25.51,27.82,25.51,27.14,74920
29,ok,2010-11-14,27.14,29.86,27.13,29.86,2251935
30,ok,2010-11-15,30.73,31.12,29.25,29.68,1174510
31,ok,2010-11-17,29.13,30.58,27.5,29.54,940560
32,ok,2010-11-18,29.5,29.84,26.59,29.23,1479430
33,ok,2010-11-21,29.75,30.13,27.63,29.5,94400
34,ok,2010-11-22,28.13,29.75,28.13,29.2,252990
35,ok,2010-11-23,29.63,32.13,28.75,29.31,12370
