,s,t,o,h,l,c,v
0,ok,2000-01-02,26.26,28.34,26.26,28.34,42900
1,ok,2000-01-03,27.87,27.87,27.34,27.87,80700
2,ok,2000-01-04,26.8,26.8,25.94,25.94,16623
3,ok,2000-01-05,26.06,26.7,24.66,24.66,26090
4,ok,2000-01-06,26.62,26.62,25.09,25.88,14878
5,ok,2000-01-09,25.59,25.59,23.91,24.12,37965
6,ok,2000-01-10,24.66,24.66,22.19,22.55,81120
7,ok,2000-01-11,23.8,24.34,23.8,24.34,7185
8,ok,2000-01-12,25.72,26.26,24.98,25.6,52678
9,ok,2000-01-13,26.8,26.8,25.73,26.26,69450
10,ok,2000-01-16,27.77,27.77,26.58,26.79,269963
11,ok,2000-01-17,26.8,28.94,26.8,28.85,123835
12,ok,2000-01-18,29.8,31.14,28.2,28.63,446725
13,ok,2000-01-19,29.59,29.96,28.41,28.48,86865
14,ok,2000-01-20,29.48,29.48,27.61,27.82,88808
15,ok,2000-01-23,28.09,28.09,26.06,26.74,61045
16,ok,2000-01-24,25.84,26.8,25.84,26.42,100150
17,ok,2000-01-26,27.66,28.54,27.34,27.82,65438
18,ok,2000-01-27,27.55,30.02,26.26,29.69,73788
19,ok,2000-01-30,28.42,29.27,28.09,28.27,52008
20,ok,2000-01-31,28.09,28.09,26.39,26.78,115898
21,ok,2000-02-01,27.02,27.71,26.8,27.02,114235
22,ok,2000-02-02,27.34,28.22,26.8,27.82,186420
23,ok,2000-02-03,27.71,28.36,26.8,28.06,324840
24,ok,2000-02-06,28.4,28.73,27.39,27.6,114208
25,ok,2000-02-07,26.83,27.87,25.86,26.86,155225
26,ok,2000-02-08,28.3,28.3,26.26,26.39,132510
27,ok,2000-02-09,25.19,26.38,25.19,25.91,39850
28,ok,2000-02-10,25.2,25.73,24.66,25.07,25898
29,ok,2000-02-13,24.23,24.93,24.02,24.37,55970
30,ok,2000-02-14,23.61,25.61,22.42,25.16,105188
31,ok,2000-02-15,24.69,25.62,24.69,25.19,48985
32,ok,2000-02-16,24.98,25.94,24.66,25.85,28920
33,ok,2000-02-17,25.22,26.26,25.19,26.26,15850
34,ok,2000-02-20,26.7,26.7,24.34,25.27,106090
35,ok,2000-02-21,24.66,25.18,23.26,23.34,221025
36,ok,2000-02-22,24.66,24.66,23.37,24.02,18013
37,ok,2000-02-23,23.06,23.56,22.84,22.87,10495
38,ok,2000-02-24,23.48,23.48,22.09,22.33,21560
39,ok,2000-02-27,21.55,22.84,21.44,21.96,15345
40,ok,2000-02-28,23.26,23.72,21.93,23.38,56110
41,ok,2000-02-29,23.38,24.44,22.51,22.62,13900
42,ok,2000-03-01,21.77,21.98,20.9,21.22,14085
43,ok,2000-03-02,20.37,21.66,19.94,20.15,22120
44,ok,2000-03-05,20.37,20.37,19.62,19.62,7883
45,ok,2000-03-06,18.25,19.3,18.12,18.25,56063
46,ok,2000-03-07,19.3,19.3,16.94,17.47,9050
47,ok,2000-03-08,16.85,17.15,16.08,16.09,7698
48,ok,2000-03-09,15.54,17.38,15.54,17.15,89553
49,ok,2000-03-12,16.19,18.53,16.19,18.53,12873
50,ok,2000-03-13,19.73,19.73,17.15,18.06,65113
51,ok,2000-03-14,17.15,19.41,17.15,18.44,89878
52,ok,2000-03-15,18.45,19.83,18.45,19.42,27565
53,ok,2000-03-20,18.22,18.45,17.96,18.02,1058350
54,ok,2000-03-21,19.3,19.3,18.34,19.24,1400
55,ok,2000-03-22,19.3,20.48,19.3,19.3,6063
56,ok,2000-03-23,18.87,20.8,18.35,20.46,2805198
57,ok,2000-03-26,21.22,21.77,18.87,20.42,22715
58,ok,2000-03-27,20.37,20.37,18.79,18.79,38248
59,ok,2000-03-28,18.87,18.87,18.87,18.87,840
60,ok,2000-03-29,18.44,18.44,17.37,17.67,2190
61,ok,2000-03-30,18.22,18.34,16.62,17.15,7928
62,ok,2000-04-02,17.15,17.69,17.15,17.69,1400
63,ok,2000-04-03,17.15,17.8,16.41,16.91,13853
64,ok,2000-04-04,17.69,17.69,16.99,17.46,2435
65,ok,2000-04-05,17.15,17.26,16.08,16.42,52565
66,ok,2000-04-06,17.69,17.69,16.89,17.69,5215
67,ok,2000-04-09,17.69,19.03,17.69,18.22,236698
68,ok,2000-04-16,18.12,18.22,17.69,17.81,3450
69,ok,2000-04-17,18.22,18.26,17.93,18.26,8265
70,ok,2000-04-18,18.17,18.66,18.17,18.28,2890
71,ok,2000-04-19,18.17,18.17,17.37,17.69,58440
72,ok,2000-04-23,17.48,18.12,17.37,18.12,2800
73,ok,2000-04-24,17.37,17.64,16.67,17.64,24208
74,ok,2000-04-25,18.95,18.95,18.22,18.82,2333
75,ok,2000-04-26,18.22,18.22,17.69,17.69,1025
76,ok,2000-04-27,18.22,19.08,18.01,18.98,14878
77,ok,2000-05-01,18.44,19.08,17.64,18.13,19915
78,ok,2000-05-02,18.01,18.01,17.96,17.96,29385
79,ok,2000-05-03,18.01,18.01,18.01,18.01,465
80,ok,2000-05-04,19.19,19.3,18.22,18.28,8398
81,ok,2000-05-07,18.22,18.22,17.8,18.04,6158
82,ok,2000-05-08,18.01,18.76,17.9,18.22,6158
83,ok,2000-05-09,17.9,17.93,17.9,17.93,9188
84,ok,2000-05-11,18.66,18.76,16.73,17.12,3590
85,ok,2000-05-14,16.73,17.69,16.73,17.27,15485
86,ok,2000-05-15,17.37,17.37,16.94,17.15,1165
87,ok,2000-05-16,17.15,17.15,17.15,17.15,840
88,ok,2000-05-17,17.69,17.69,16.94,16.94,1400
89,ok,2000-05-18,17.37,17.37,16.08,17.13,32528
90,ok,2000-05-21,17.37,17.37,16.3,16.3,3590
91,ok,2000-05-22,16.67,16.89,16.08,16.65,8628
92,ok,2000-05-23,16.61,17.15,15.87,17.1,7790
93,ok,2000-05-24,16.62,17.1,16.62,17.01,95615
94,ok,2000-05-25,16.08,17.69,16.08,17.59,3450
95,ok,2000-05-29,17.69,18.34,17.69,18.34,475
96,ok,2000-05-30,17.69,18.34,17.21,17.24,187538
97,ok,2000-12-17,16.63,17.15,16.63,17.15,19508
98,ok,2000-12-18,17.15,17.15,16.78,17.1,7463
99,ok,2000-12-19,17.02,17.02,16.62,16.94,9973
100,ok,2000-12-20,16.09,16.94,16.09,16.78,3220
101,ok,2000-12-21,16.94,17.26,16.73,17.26,12958
102,ok,2000-12-25,16.62,17.15,16.62,17.08,19103
103,ok,2000-12-26,17.67,18.66,17.67,18.63,24310
104,ok,2000-12-27,18.22,18.22,17.85,17.85,11753
