,s,t,o,h,l,c,v
0,ok,2000-01-02,71.0,71.2,68.5,71.2,24500
1,ok,2000-01-03,76.75,76.75,68.0,71.0,69500
2,ok,2000-01-04,76.0,76.0,67.25,68.45,51100
3,ok,2000-01-05,69.0,70.9,68.1,68.7,49700
4,ok,2000-01-06,69.75,69.75,63.35,65.15,24000
5,ok,2000-01-09,65.5,65.85,61.05,62.5,30800
6,ok,2000-01-10,63.5,63.5,57.5,58.0,58500
7,ok,2000-01-11,61.0,62.65,60.9,62.45,32900
8,ok,2000-01-12,63.5,63.9,60.0,60.75,20500
9,ok,2000-01-13,60.4,60.4,57.0,58.15,21000
10,ok,2000-01-16,58.0,61.2,57.5,57.7,14000
11,ok,2000-01-17,56.35,58.7,55.6,58.05,45900
12,ok,2000-01-18,62.65,62.7,59.15,61.65,78300
13,ok,2000-01-19,61.0,66.6,61.0,65.25,143500
14,ok,2000-01-20,69.8,70.5,67.3,70.5,282700
15,ok,2000-01-23,75.9,75.9,64.9,64.95,166500
16,ok,2000-01-24,61.2,67.0,61.2,64.4,96800
17,ok,2000-01-26,66.0,67.7,64.5,64.95,70500
18,ok,2000-01-27,65.0,65.5,62.8,63.65,44600
19,ok,2000-01-30,62.9,62.9,58.6,58.6,12100
20,ok,2000-01-31,54.1,59.55,53.95,58.85,70200
21,ok,2000-02-01,61.5,63.0,59.1,60.7,63800
22,ok,2000-02-02,61.25,61.25,59.15,60.05,16800
23,ok,2000-02-03,58.6,59.6,58.0,59.25,18800
24,ok,2000-02-06,57.1,58.0,56.0,56.75,25200
25,ok,2000-02-07,56.85,57.6,54.1,54.75,53400
26,ok,2000-02-08,58.0,58.0,55.55,55.95,35600
27,ok,2000-02-09,56.75,56.75,54.1,55.0,13800
28,ok,2000-02-10,54.0,55.0,53.0,54.0,22000
29,ok,2000-02-13,54.5,56.9,50.25,50.35,24700
30,ok,2000-02-14,49.25,50.45,47.5,49.25,38100
31,ok,2000-02-15,50.5,53.2,49.15,53.05,34300
32,ok,2000-02-16,54.0,56.75,52.0,53.85,38100
33,ok,2000-02-17,52.8,53.0,51.0,51.15,11300
34,ok,2000-02-20,49.3,51.9,49.0,49.25,27600
35,ok,2000-02-21,47.1,49.5,47.1,48.75,59200
36,ok,2000-02-22,51.75,52.5,49.35,49.9,30400
