,s,t,o,h,l,c,v
0,ok,2017-04-11,75.75,83.75,75.75,83.25,564800
1,ok,2017-04-12,84.3,87.0,84.05,85.45,196800
2,ok,2017-04-16,86.35,92.2,86.0,86.95,68800
3,ok,2017-04-17,87.8,89.0,87.5,88.2,96000
4,ok,2017-04-18,90.5,91.25,88.5,88.5,52800
5,ok,2017-04-19,90.0,95.0,89.85,94.0,33600
6,ok,2017-04-20,97.8,102.5,96.6,100.35,38400
7,ok,2017-04-23,103.2,107.95,103.2,103.5,28800
8,ok,2017-04-24,106.0,115.0,106.0,114.0,28800
9,ok,2017-04-25,118.0,119.95,116.0,119.0,14400
10,ok,2017-04-26,122.5,125.0,122.0,124.15,24000
11,ok,2017-04-27,129.0,144.0,129.0,137.1,44800
12,ok,2017-05-01,145.0,146.0,126.75,127.1,57600
13,ok,2017-05-02,136.0,137.6,125.0,125.65,35200
14,ok,2017-05-03,133.0,133.2,126.05,127.15,46400
15,ok,2017-05-04,127.65,128.85,127.15,128.0,20800
16,ok,2017-05-07,128.6,132.5,128.6,129.0,17600
17,ok,2017-05-08,133.0,133.75,131.0,131.1,17600
18,ok,2017-05-09,134.5,134.65,129.15,129.2,8000
19,ok,2017-05-10,133.0,133.3,129.5,129.5,25600
20,ok,2017-05-11,132.5,132.6,129.6,131.85,27200
21,ok,2017-05-14,130.25,130.7,126.25,126.25,8000
22,ok,2017-05-15,127.3,129.45,123.0,123.05,35200
23,ok,2017-05-16,125.0,126.5,120.0,120.4,32000
24,ok,2017-05-17,123.0,123.0,115.0,115.0,8000
25,ok,2017-05-18,120.0,120.0,111.0,111.0,6400
26,ok,2017-05-21,117.5,118.0,107.1,107.55,9600
27,ok,2017-05-22,112.0,112.1,108.5,111.95,12800
28,ok,2017-05-23,117.5,117.5,108.2,115.5,16000
29,ok,2017-05-24,120.0,120.0,118.05,119.0,4800
30,ok,2017-05-25,121.5,121.5,112.5,112.5,8000
31,ok,2017-05-28,114.5,114.5,113.4,114.0,4800
32,ok,2017-05-29,118.8,118.8,118.05,118.3,4800
33,ok,2017-05-30,126.0,126.15,113.0,113.0,6400
34,ok,2017-05-31,120.5,120.5,115.05,119.6,8000
35,ok,2017-06-01,121.8,121.8,121.2,121.2,4800
36,ok,2017-06-04,129.25,129.25,116.0,118.7,8000
37,ok,2017-06-05,121.0,121.8,120.0,120.0,11200
38,ok,2017-06-06,123.5,123.5,122.0,122.0,6400
39,ok,2017-06-07,123.0,123.2,123.0,123.1,4800
40,ok,2017-06-08,125.0,125.5,120.5,120.7,11200
41,ok,2017-06-11,124.0,124.2,123.5,123.5,6400
42,ok,2017-06-12,124.0,124.25,123.5,124.25,4800
43,ok,2017-06-13,125.0,125.1,125.0,125.1,4800
44,ok,2017-06-14,125.25,125.25,125.15,125.2,4800
45,ok,2017-06-15,126.0,126.0,125.5,125.75,4800
46,ok,2017-06-18,125.5,125.8,122.4,122.4,6400
47,ok,2017-06-19,125.0,125.25,125.0,125.25,4800
48,ok,2017-06-20,124.75,125.25,124.75,125.25,4800
49,ok,2017-06-21,126.0,126.25,126.0,126.1,4800
50,ok,2017-06-22,126.5,127.5,126.35,127.5,4800
51,ok,2017-06-26,125.0,125.0,124.8,124.95,4800
52,ok,2017-06-27,140.0,140.5,117.8,117.8,9600
53,ok,2017-06-28,125.0,125.2,125.0,125.1,4800
54,ok,2017-06-29,127.95,127.95,123.0,123.0,6400
55,ok,2017-07-02,125.0,125.1,125.0,125.1,4800
56,ok,2017-07-03,124.5,124.6,117.25,120.0,8000
57,ok,2017-07-04,122.2,122.35,115.1,115.1,6400
58,ok,2017-07-05,124.0,124.0,116.0,116.0,12800
59,ok,2017-07-06,122.0,122.25,121.3,121.3,4800
60,ok,2017-07-09,134.0,134.0,133.6,133.6,4800
61,ok,2017-07-10,126.0,126.0,125.1,125.1,4800
62,ok,2017-07-11,122.0,122.6,122.0,122.6,4800
63,ok,2017-07-12,122.0,122.5,116.1,116.1,6400
64,ok,2017-07-13,122.5,122.65,115.0,115.0,8000
65,ok,2017-07-16,123.0,123.0,122.0,122.0,4800
66,ok,2017-07-17,119.0,119.25,117.1,117.1,6400
67,ok,2017-07-18,122.0,122.5,121.5,122.5,4800
68,ok,2017-07-19,122.0,123.0,116.05,116.25,11200
69,ok,2017-07-20,123.0,123.25,117.0,117.0,6400
70,ok,2017-07-23,122.5,122.7,115.0,115.0,9600
71,ok,2017-07-24,115.6,117.0,115.5,117.0,6400
72,ok,2017-07-25,116.5,117.5,114.5,114.5,11200
73,ok,2017-07-26,113.7,113.7,113.6,113.6,4800
74,ok,2017-07-27,115.8,116.0,115.5,116.0,6400
75,ok,2017-07-30,121.8,121.8,113.0,113.0,11200
76,ok,2017-07-31,113.5,115.75,113.0,113.0,14400
77,ok,2017-08-01,113.7,113.7,113.35,113.35,6400
78,ok,2017-08-02,113.7,114.0,113.5,114.0,6400
79,ok,2017-08-03,113.6,114.05,113.5,114.05,4800
80,ok,2017-08-06,113.5,114.25,113.2,114.25,4800
81,ok,2017-08-07,107.5,114.5,107.5,111.6,6400
82,ok,2017-08-08,107.5,111.0,107.5,111.0,4800
83,ok,2017-08-09,107.0,109.0,107.0,109.0,4800
84,ok,2017-08-10,107.1,108.0,107.0,108.0,19200
85,ok,2017-08-13,107.1,108.05,107.05,108.05,4800
86,ok,2017-08-15,107.05,107.5,107.0,107.0,6400
87,ok,2017-08-16,112.0,112.0,111.75,111.95,6400
88,ok,2017-08-17,114.0,114.5,114.0,114.5,4800
89,ok,2017-08-20,115.0,115.5,115.0,115.5,4800
90,ok,2017-08-21,114.0,114.8,106.0,106.0,12800
91,ok,2017-08-22,114.0,114.5,113.9,113.9,4800
92,ok,2017-08-23,114.0,114.0,106.1,106.5,8000
93,ok,2017-08-27,112.0,114.5,108.0,108.0,32000
94,ok,2017-08-28,112.0,112.0,110.8,110.8,4800
95,ok,2017-08-29,112.5,112.5,109.0,109.0,4800
96,ok,2017-08-30,109.5,109.5,108.5,108.5,4800
97,ok,2017-08-31,110.0,110.0,105.5,107.5,16000
98,ok,2017-09-03,109.5,110.0,109.0,109.0,4800
99,ok,2017-09-04,112.0,112.0,111.5,111.75,4800
100,ok,2017-09-05,112.25,113.35,108.0,108.0,27200
101,ok,2017-09-06,111.0,111.1,110.7,110.7,6400
102,ok,2017-09-07,111.5,112.0,110.9,112.0,4800
103,ok,2017-09-10,113.0,120.0,113.0,120.0,8000
104,ok,2017-09-11,120.2,120.35,119.8,119.8,4800
105,ok,2017-09-12,118.0,118.35,118.0,118.35,4800
106,ok,2017-09-13,119.0,119.0,113.0,113.0,6400
107,ok,2017-09-14,116.0,116.0,114.0,115.0,9600
108,ok,2017-09-17,117.6,117.6,117.0,117.0,4800
109,ok,2017-09-18,118.0,118.0,117.2,118.0,8000
110,ok,2017-09-19,119.0,119.0,118.25,118.4,4800
111,ok,2017-09-20,119.0,120.5,119.0,120.5,6400
112,ok,2017-09-21,119.5,119.75,119.5,119.75,4800
113,ok,2017-09-24,119.0,119.1,118.9,118.9,4800
114,ok,2017-09-25,119.0,119.0,118.0,118.0,4800
115,ok,2017-09-26,118.0,118.25,111.0,111.0,6400
116,ok,2017-09-27,114.0,114.25,114.0,114.1,4800
117,ok,2017-09-28,117.5,118.0,117.4,117.4,4800
118,ok,2017-10-02,115.0,115.1,114.9,114.9,4800
119,ok,2017-10-03,116.5,116.8,107.0,107.0,6400
120,ok,2017-10-04,112.5,113.0,112.5,112.8,4800
121,ok,2017-10-05,114.0,114.5,114.0,114.25,4800
122,ok,2017-10-08,115.5,116.0,115.5,115.85,4800
123,ok,2017-10-09,116.0,116.0,115.85,115.85,4800
124,ok,2017-10-10,115.0,115.1,107.0,107.0,11200
125,ok,2017-10-11,109.5,109.75,106.8,109.0,12800
126,ok,2017-10-12,109.25,109.6,109.25,109.25,4800
127,ok,2017-10-15,109.6,109.6,109.4,109.4,4800
128,ok,2017-10-18,109.5,109.6,109.25,109.25,4800
129,ok,2017-10-25,107.3,107.3,107.3,107.3,1600
130,ok,2017-10-26,107.25,107.25,107.25,107.25,1600
131,ok,2017-11-01,107.0,107.0,107.0,107.0,1600
132,ok,2017-11-02,107.0,107.0,107.0,107.0,1600
133,ok,2017-11-12,107.0,107.0,107.0,107.0,1600
134,ok,2017-11-13,107.0,107.0,105.0,105.0,4800
135,ok,2017-11-15,102.25,102.25,102.25,102.25,1600
136,ok,2017-11-20,102.0,102.5,102.0,102.5,3200
137,ok,2017-11-22,102.0,102.0,102.0,102.0,1600
138,ok,2017-11-23,108.0,108.2,108.0,108.2,3200
139,ok,2017-11-27,101.5,101.5,101.0,101.05,6400
140,ok,2017-11-28,100.1,100.1,100.1,100.1,1600
141,ok,2017-12-11,98.0,98.0,98.0,98.0,4800
142,ok,2017-12-14,98.5,98.5,98.0,98.0,4800
143,ok,2017-12-20,98.0,98.0,98.0,98.0,1600
144,ok,2017-12-21,98.0,98.0,98.0,98.0,1600
145,ok,2017-12-28,100.0,101.0,100.0,101.0,6400
146,ok,2017-12-31,102.0,102.0,102.0,102.0,1600
147,ok,2018-01-02,98.55,98.55,98.55,98.55,1600
148,ok,2018-01-03,105.0,110.45,105.0,110.0,16000
149,ok,2018-01-04,110.5,115.2,106.0,107.25,16000
150,ok,2018-01-07,110.0,128.7,110.0,128.7,41600
151,ok,2018-01-08,143.8,154.4,140.0,154.4,96000
152,ok,2018-01-09,167.3,167.3,154.3,155.4,19200
153,ok,2018-01-10,160.25,164.0,154.05,156.0,46400
154,ok,2018-01-11,171.0,171.0,156.0,156.15,30400
155,ok,2018-01-14,160.0,160.15,156.05,156.25,16000
156,ok,2018-01-15,160.0,160.6,156.0,160.6,17600
157,ok,2018-01-16,166.0,166.05,157.0,157.0,9600
158,ok,2018-01-17,159.9,160.0,157.0,157.1,14400
159,ok,2018-01-18,171.0,171.0,157.0,157.0,11200
160,ok,2018-01-21,164.0,164.0,157.0,157.0,12800
161,ok,2018-01-22,168.5,169.5,164.0,165.5,11200
162,ok,2018-01-23,163.0,163.25,163.0,163.15,6400
163,ok,2018-01-24,164.0,164.1,162.9,162.9,6400
164,ok,2018-01-28,167.5,168.0,166.7,167.9,6400
165,ok,2018-01-29,166.0,166.4,157.0,157.0,8000
166,ok,2018-01-30,164.0,164.05,162.5,163.9,6400
167,ok,2018-01-31,163.25,163.6,157.15,157.15,8000
168,ok,2018-02-01,162.5,162.5,157.0,157.0,11200
169,ok,2018-02-04,160.5,160.5,152.3,152.3,14400
170,ok,2018-02-05,137.5,137.5,137.5,137.5,1600
171,ok,2018-02-06,144.35,144.35,144.35,144.35,1600
172,ok,2018-02-22,151.0,151.1,150.9,150.9,4800
173,ok,2018-03-07,144.0,144.0,143.4,143.45,27200
174,ok,2018-03-11,147.0,147.15,146.85,146.85,9600
175,ok,2018-03-12,148.5,148.75,148.5,148.75,4800
176,ok,2018-03-18,141.35,141.35,141.35,141.35,1600
177,ok,2018-03-19,134.3,134.3,134.3,134.3,1600
178,ok,2018-03-20,136.0,140.4,134.0,139.8,22400
179,ok,2018-05-15,133.0,133.0,133.0,133.0,1600
180,ok,2018-05-16,126.35,130.0,126.35,130.0,3200
181,ok,2018-05-21,136.3,136.35,136.25,136.25,4800
182,ok,2018-05-24,135.0,135.0,135.0,135.0,3200
183,ok,2018-05-28,129.05,129.05,129.0,129.0,22400
184,ok,2018-05-29,135.05,135.05,134.95,135.0,4800
185,ok,2018-05-31,129.0,130.5,129.0,130.5,32000
186,ok,2018-06-04,124.5,124.5,124.0,124.0,3200
187,ok,2018-06-07,129.9,129.9,125.0,125.0,11200
188,ok,2018-07-11,129.0,129.0,125.0,125.0,9600
189,ok,2018-07-25,118.75,118.75,118.75,118.75,1600
190,ok,2018-08-07,115.0,115.0,112.85,112.85,3200
191,ok,2018-08-09,118.45,118.45,118.0,118.0,9600
192,ok,2018-08-15,123.9,123.9,123.9,123.9,1600
193,ok,2018-08-16,129.0,129.0,129.0,129.0,1600
194,ok,2018-08-19,122.55,122.55,122.55,122.55,1600
195,ok,2018-08-23,123.45,128.65,123.45,128.65,3200
196,ok,2018-08-30,122.25,122.25,122.25,122.25,3200
197,ok,2018-09-02,116.15,116.15,116.15,116.15,1600
198,ok,2018-09-03,110.35,110.35,110.35,110.35,1600
199,ok,2018-09-06,115.85,115.85,104.85,107.15,30400
200,ok,2018-09-11,111.95,111.95,111.95,111.95,1600
201,ok,2018-09-13,117.5,117.5,117.5,117.5,1600
202,ok,2018-09-16,123.35,123.35,123.35,123.35,1600
203,ok,2018-09-20,117.2,117.2,117.2,117.2,1600
204,ok,2018-09-25,111.35,111.35,111.35,111.35,1600
205,ok,2018-09-26,105.8,105.8,105.8,105.8,1600
206,ok,2018-09-30,100.55,100.55,100.55,100.55,4800
207,ok,2018-10-02,96.1,105.0,96.1,105.0,3200
208,ok,2018-10-04,100.5,109.0,100.5,104.75,3200
209,ok,2018-10-08,99.55,100.9,99.55,100.9,3200
210,ok,2018-10-21,95.9,95.9,95.9,95.9,1600
211,ok,2018-10-22,91.15,91.15,91.15,91.15,1600
212,ok,2018-10-23,95.7,95.7,86.7,95.5,4800
213,ok,2018-10-24,90.75,90.75,90.75,90.75,1600
214,ok,2018-10-29,95.25,95.25,86.3,95.0,8000
215,ok,2018-11-01,92.0,92.0,92.0,92.0,1600
216,ok,2018-11-29,87.4,87.4,87.4,87.4,1600
217,ok,2018-12-13,90.0,90.1,90.0,90.05,4800
218,ok,2018-12-16,94.1,94.55,94.0,94.55,8000
219,ok,2018-12-17,95.0,95.1,95.0,95.1,4800
220,ok,2018-12-18,96.0,99.85,95.0,95.0,8000
221,ok,2018-12-19,99.0,99.1,99.0,99.05,4800
222,ok,2018-12-20,104.0,104.0,95.0,95.0,3200
223,ok,2018-12-23,99.0,99.0,99.0,99.0,1600
224,ok,2018-12-25,100.0,100.0,100.0,100.0,1600
225,ok,2018-12-26,103.0,104.0,100.5,100.5,6400
226,ok,2018-12-27,102.0,103.0,102.0,103.0,3200
227,ok,2018-12-30,105.5,105.5,105.5,105.5,1600
228,ok,2018-12-31,108.0,108.0,105.6,105.6,3200
229,ok,2019-01-01,110.0,110.0,106.0,106.0,8000
230,ok,2019-01-02,110.1,111.1,110.1,111.0,11200
231,ok,2019-01-03,112.5,112.5,112.5,112.5,4800
232,ok,2019-01-06,114.75,115.5,113.9,113.9,12800
233,ok,2019-01-07,117.1,117.9,114.5,114.5,4800
234,ok,2019-01-08,114.0,115.0,112.5,112.5,4800
235,ok,2019-01-09,113.0,114.0,111.0,111.0,4800
236,ok,2019-01-10,113.1,114.5,112.5,112.5,8000
237,ok,2019-01-13,114.0,114.5,114.0,114.5,3200
238,ok,2019-01-14,114.5,115.0,114.5,115.0,3200
239,ok,2019-01-15,115.5,116.0,114.5,114.5,4800
240,ok,2019-01-16,117.0,117.9,116.0,116.95,6400
241,ok,2019-01-17,116.5,117.0,116.5,117.0,3200
242,ok,2019-01-20,116.0,118.5,115.6,117.05,11200
243,ok,2019-01-21,117.1,117.5,115.5,115.5,4800
244,ok,2019-01-22,116.1,116.4,116.1,116.4,3200
245,ok,2019-01-23,117.0,117.5,115.0,115.0,6400
246,ok,2019-01-24,113.1,115.5,113.1,115.0,4800
247,ok,2019-01-27,115.0,115.0,113.0,115.0,4800
248,ok,2019-01-28,116.1,120.0,115.0,115.0,25600
249,ok,2019-01-29,115.5,116.0,115.5,116.0,3200
250,ok,2019-01-30,116.0,116.5,114.0,114.0,4800
251,ok,2019-01-31,115.7,115.7,115.7,115.7,1600
252,ok,2019-02-03,116.0,116.0,114.25,114.25,6400
253,ok,2019-02-04,114.0,114.0,114.0,114.0,1600
254,ok,2019-02-05,112.9,112.9,112.9,112.9,1600
255,ok,2019-02-06,114.0,114.0,114.0,114.0,1600
256,ok,2019-02-07,114.25,114.25,114.25,114.25,1600
257,ok,2019-02-10,114.5,114.5,111.0,111.0,3200
258,ok,2019-02-11,111.0,111.0,111.0,111.0,1600
259,ok,2019-02-12,111.25,111.25,111.25,111.25,1600
