,s,t,o,h,l,c,v
0,ok,2019-12-03,275.0,306.8,275.0,300.05,37124674
1,ok,2019-12-04,303.9,313.5,294.0,297.6,7896739
2,ok,2019-12-05,297.85,297.85,267.25,274.3,5530725
3,ok,2019-12-08,270.0,277.0,262.0,269.25,2573011
4,ok,2019-12-09,266.65,271.0,258.15,259.45,1177652
5,ok,2019-12-10,256.0,258.75,238.1,240.7,2763231
6,ok,2019-12-11,241.0,243.8,216.5,222.9,4606237
7,ok,2019-12-12,220.15,239.0,218.5,235.7,5067316
8,ok,2019-12-15,236.8,244.4,228.0,240.5,2294567
9,ok,2019-12-16,243.0,249.75,240.0,245.65,1704620
10,ok,2019-12-17,245.0,245.0,237.35,239.8,856066
11,ok,2019-12-18,236.5,242.0,234.65,238.6,534437
12,ok,2019-12-19,239.0,244.9,237.05,241.95,465629
13,ok,2019-12-22,241.0,243.25,239.0,240.2,386104
14,ok,2019-12-23,242.0,242.45,235.8,237.05,319736
15,ok,2019-12-25,237.5,239.05,230.5,231.7,230536
16,ok,2019-12-26,232.2,235.75,229.0,230.75,216093
17,ok,2019-12-29,230.6,233.45,224.0,224.75,370598
18,ok,2019-12-30,224.0,225.8,215.15,216.45,580382
19,ok,2019-12-31,215.0,218.75,206.2,206.9,873909
20,ok,2020-01-01,206.5,217.95,206.5,211.3,1329504
21,ok,2020-01-02,211.3,211.3,206.3,208.05,538331
22,ok,2020-01-05,206.1,207.0,198.3,199.9,582365
23,ok,2020-01-06,201.9,209.9,201.5,207.85,733142
24,ok,2020-01-07,204.0,206.3,200.55,203.85,378647
25,ok,2020-01-08,207.0,208.25,203.1,204.1,298193
26,ok,2020-01-09,205.0,206.4,200.55,201.55,312393
27,ok,2020-01-12,203.5,204.0,197.05,197.85,393382
28,ok,2020-01-13,200.0,200.0,192.25,192.95,590178
29,ok,2020-01-14,198.75,202.0,192.85,195.55,2377078
30,ok,2020-01-15,194.0,198.8,192.75,193.3,821724
31,ok,2020-01-16,194.4,205.0,192.25,201.6,2193648
