,s,t,o,h,l,c,v
0,ok,2000-01-02,1.43,1.51,1.43,1.43,106012
1,ok,2000-01-03,1.38,1.38,1.32,1.37,77236
2,ok,2000-01-04,1.38,1.38,1.3,1.33,86325
3,ok,2000-01-05,1.35,1.36,1.33,1.35,77236
4,ok,2000-01-06,1.27,1.35,1.25,1.31,57549
5,ok,2000-01-09,1.32,1.32,1.21,1.22,18174
6,ok,2000-01-10,1.32,1.32,1.21,1.23,86325
7,ok,2000-01-11,1.22,1.25,1.22,1.25,19688
8,ok,2000-01-12,1.25,1.25,1.21,1.22,24231
9,ok,2000-01-13,1.22,1.22,1.22,1.22,4543
10,ok,2000-01-16,1.32,1.35,1.25,1.27,24231
11,ok,2000-01-17,1.29,1.31,1.22,1.25,81781
12,ok,2000-01-18,1.25,1.31,1.25,1.25,18174
13,ok,2000-01-19,1.25,1.29,1.25,1.26,28774
14,ok,2000-01-20,1.25,1.27,1.21,1.22,27261
15,ok,2000-01-23,1.25,1.26,1.22,1.22,45433
16,ok,2000-01-24,1.19,1.25,1.19,1.22,63607
17,ok,2000-01-26,1.25,1.48,1.25,1.41,231712
18,ok,2000-01-27,1.33,1.48,1.32,1.43,187792
19,ok,2000-01-30,1.36,1.48,1.36,1.4,157503
20,ok,2000-01-31,1.48,1.51,1.37,1.48,331666
21,ok,2000-02-01,1.58,1.6,1.54,1.6,378614
22,ok,2000-02-02,1.69,1.73,1.68,1.71,421019
23,ok,2000-02-03,1.72,1.78,1.62,1.7,386186
24,ok,2000-02-06,1.68,1.83,1.65,1.79,510372
25,ok,2000-02-07,1.85,1.85,1.65,1.66,387700
26,ok,2000-02-08,1.72,1.72,1.55,1.55,84809
27,ok,2000-02-09,1.52,1.67,1.48,1.67,274117
28,ok,2000-02-10,1.77,1.78,1.54,1.57,116613
29,ok,2000-02-13,1.47,1.52,1.45,1.48,46948
30,ok,2000-02-14,1.45,1.46,1.36,1.41,168105
31,ok,2000-02-15,1.47,1.52,1.38,1.38,74209
32,ok,2000-02-16,1.44,1.49,1.44,1.48,63607
33,ok,2000-02-17,1.38,1.45,1.38,1.41,37862
34,ok,2000-02-20,1.43,1.52,1.43,1.51,115098
35,ok,2000-02-21,1.45,1.48,1.39,1.43,186278
36,ok,2000-02-22,1.43,1.52,1.34,1.46,125701
37,ok,2000-02-23,1.42,1.5,1.42,1.43,46948
38,ok,2000-02-24,1.48,1.48,1.39,1.39,51492
39,ok,2000-02-27,1.45,1.45,1.3,1.32,116613
40,ok,2000-02-28,1.32,1.38,1.25,1.27,189307
41,ok,2000-02-29,1.36,1.43,1.36,1.42,49978
42,ok,2000-03-01,1.45,1.51,1.34,1.38,149932
43,ok,2000-03-02,1.34,1.42,1.3,1.42,77236
44,ok,2000-03-05,1.43,1.43,1.35,1.36,68150
45,ok,2000-03-06,1.31,1.37,1.25,1.26,102983
46,ok,2000-03-07,1.52,1.52,1.25,1.27,31803
47,ok,2000-03-08,1.27,1.31,1.25,1.25,9087
48,ok,2000-03-09,1.24,1.31,1.24,1.26,10602
49,ok,2000-03-12,1.25,1.31,1.19,1.25,25745
50,ok,2000-03-13,1.25,1.32,1.25,1.26,37862
51,ok,2000-03-14,1.45,1.45,1.3,1.31,37862
52,ok,2000-03-15,1.26,1.32,1.25,1.25,86325
53,ok,2000-03-20,1.14,1.19,1.14,1.18,69666
54,ok,2000-03-21,1.38,1.38,1.19,1.25,49978
55,ok,2000-03-22,1.21,1.25,1.21,1.25,9087
56,ok,2000-03-23,1.25,1.25,1.19,1.21,57549
57,ok,2000-03-26,1.06,1.32,1.06,1.31,53006
58,ok,2000-03-27,1.19,1.35,1.19,1.35,130243
59,ok,2000-03-28,1.35,1.35,1.25,1.31,49978
60,ok,2000-03-29,1.19,1.31,1.19,1.31,12116
61,ok,2000-03-30,1.31,1.31,1.26,1.26,6058
62,ok,2000-04-02,1.35,1.35,1.25,1.32,51492
63,ok,2000-04-03,1.25,1.27,1.22,1.22,24231
64,ok,2000-04-04,1.22,1.22,1.22,1.22,28774
65,ok,2000-04-05,1.22,1.22,1.17,1.17,45433
66,ok,2000-04-06,1.24,1.25,1.22,1.22,71179
67,ok,2000-04-09,1.24,1.25,1.18,1.21,30288
68,ok,2000-04-11,1.25,1.25,1.19,1.22,30288
69,ok,2000-04-12,1.19,1.25,1.19,1.23,28774
70,ok,2000-04-16,1.17,1.18,1.16,1.18,16659
71,ok,2000-04-17,1.25,1.25,1.15,1.19,72693
72,ok,2000-04-18,1.25,1.25,1.19,1.25,21202
73,ok,2000-04-19,1.17,1.17,1.17,1.17,1514
74,ok,2000-04-23,1.25,1.32,1.25,1.25,46948
75,ok,2000-04-24,1.24,1.25,1.02,1.21,89353
76,ok,2000-04-25,1.19,1.22,1.15,1.19,162046
77,ok,2000-04-26,1.25,1.25,1.19,1.21,53006
78,ok,2000-04-27,1.19,1.22,1.19,1.22,96925
79,ok,2000-05-01,1.22,1.25,1.16,1.19,125701
80,ok,2000-05-02,1.05,1.19,1.05,1.19,54520
81,ok,2000-05-03,1.19,1.22,1.17,1.2,42405
82,ok,2000-05-04,1.21,1.21,1.19,1.21,16659
83,ok,2000-05-07,1.15,1.22,1.15,1.19,25745
84,ok,2000-05-08,1.22,1.25,1.19,1.2,34833
85,ok,2000-05-09,1.18,1.22,1.18,1.21,12116
86,ok,2000-05-10,1.18,1.22,1.18,1.19,22717
87,ok,2000-05-11,1.19,1.21,1.13,1.16,72693
88,ok,2000-05-14,1.11,1.18,1.11,1.18,9087
89,ok,2000-05-15,1.16,1.16,1.13,1.13,34833
90,ok,2000-05-16,1.15,1.15,1.14,1.14,3030
91,ok,2000-05-17,1.13,1.14,1.13,1.14,7572
92,ok,2000-05-18,1.14,1.14,1.13,1.13,24231
93,ok,2000-05-21,1.14,1.14,1.11,1.11,7572
94,ok,2000-05-22,1.07,1.14,1.07,1.12,6058
95,ok,2000-05-23,1.19,1.19,1.11,1.15,12116
96,ok,2000-05-24,1.14,1.14,1.13,1.13,6058
97,ok,2000-05-25,1.11,1.14,1.11,1.14,15145
98,ok,2000-05-28,1.14,1.18,1.14,1.18,30288
99,ok,2000-05-29,1.17,1.38,1.16,1.27,45433
100,ok,2000-05-30,1.19,1.19,1.13,1.15,36347
101,ok,2000-05-31,1.18,1.19,1.14,1.14,10602
102,ok,2000-06-01,1.15,1.19,1.13,1.14,86325
103,ok,2000-06-04,1.16,1.18,1.16,1.16,36347
104,ok,2000-06-05,1.17,1.17,1.15,1.16,63607
105,ok,2000-06-06,1.19,1.25,1.19,1.22,59064
