,s,t,o,h,l,c,v
0,ok,2000-01-02,6.0,6.9,6.0,6.55,9900
1,ok,2000-01-03,6.35,6.85,5.3,5.35,15600
2,ok,2000-01-04,5.75,5.9,5.6,5.6,4100
3,ok,2000-01-05,5.5,5.5,5.45,5.45,1000
4,ok,2000-01-06,5.5,5.55,4.6,5.1,2100
5,ok,2000-01-09,4.55,5.2,4.55,5.0,2300
6,ok,2000-01-10,4.5,4.5,4.0,4.0,3600
7,ok,2000-01-11,4.45,4.8,4.45,4.8,3400
8,ok,2000-01-13,4.35,4.35,4.35,4.35,1000
9,ok,2000-01-16,4.55,4.55,4.5,4.5,400
10,ok,2000-01-17,4.25,5.1,4.25,4.4,1800
11,ok,2000-01-18,4.0,4.5,4.0,4.5,3300
12,ok,2000-01-19,4.8,4.8,4.8,4.8,300
13,ok,2000-01-20,4.3,5.0,4.3,5.0,800
14,ok,2000-01-23,4.0,4.55,4.0,4.5,1400
15,ok,2000-01-24,4.0,4.0,3.65,3.75,2700
16,ok,2000-01-26,3.3,3.3,3.3,3.3,100
17,ok,2000-01-27,3.3,4.0,3.3,4.0,600
18,ok,2000-01-31,3.7,3.7,3.05,3.05,4700
19,ok,2000-02-01,3.5,3.5,3.5,3.5,700
20,ok,2000-02-03,3.9,3.9,3.9,3.9,2000
21,ok,2000-02-06,2.75,2.75,2.5,2.5,6600
22,ok,2000-02-07,2.6,3.5,2.4,3.1,10400
23,ok,2000-02-08,3.5,4.5,3.5,3.75,2500
24,ok,2000-02-09,3.9,5.35,3.9,5.3,3400
25,ok,2000-02-10,4.15,4.15,3.5,3.5,3300
26,ok,2000-02-13,3.5,3.6,3.5,3.6,1200
27,ok,2000-02-14,3.1,3.85,3.1,3.85,2700
28,ok,2000-02-15,3.3,3.45,3.25,3.25,700
29,ok,2000-02-16,3.75,4.9,3.75,4.9,4200
30,ok,2000-02-17,5.85,5.85,3.6,3.6,2100
31,ok,2000-02-20,4.05,4.05,4.0,4.0,800
32,ok,2000-02-21,3.75,4.6,3.75,4.55,1300
33,ok,2000-02-22,4.8,5.9,4.8,5.0,9100
34,ok,2000-02-23,4.6,5.75,4.6,5.0,4700
35,ok,2000-02-24,4.9,5.0,4.7,4.75,5200
36,ok,2000-02-27,4.45,4.65,4.1,4.1,1500
37,ok,2000-02-28,4.45,5.0,4.25,4.5,7100
38,ok,2000-03-01,4.5,4.9,4.05,4.05,1400
39,ok,2000-03-02,4.25,4.3,4.0,4.0,3500
40,ok,2000-03-05,3.9,3.9,3.9,3.9,300
41,ok,2000-03-06,3.9,4.25,3.4,3.4,3800
42,ok,2000-03-09,4.5,4.5,4.0,4.0,5100
43,ok,2000-03-12,3.25,3.25,3.15,3.2,1600
44,ok,2000-03-13,4.1,4.2,3.5,3.9,2000
45,ok,2000-03-14,4.0,4.0,4.0,4.0,100
46,ok,2000-03-20,3.1,3.1,3.1,3.1,200
47,ok,2000-03-21,3.8,3.8,3.0,3.05,1500
48,ok,2000-03-22,2.65,2.65,2.65,2.65,200
49,ok,2000-03-23,3.65,3.65,3.5,3.5,800
50,ok,2000-03-26,2.75,2.75,2.75,2.75,200
51,ok,2000-03-27,2.75,2.75,2.55,2.55,1000
52,ok,2000-04-03,2.5,2.5,2.5,2.5,200
53,ok,2000-04-06,3.35,3.35,3.0,3.0,1100
54,ok,2000-04-09,3.0,3.0,3.0,3.0,100
55,ok,2000-04-11,3.0,3.0,3.0,3.0,200
56,ok,2000-04-25,2.9,2.9,2.9,2.9,600
57,ok,2000-04-26,2.35,2.35,2.0,2.0,2500
58,ok,2000-04-27,2.65,2.65,1.3,2.6,700
59,ok,2000-05-03,2.1,2.1,2.1,2.1,100
60,ok,2000-05-04,2.7,2.7,2.5,2.5,1100
61,ok,2000-05-07,2.5,2.5,2.5,2.5,1000
62,ok,2000-05-09,2.5,2.5,2.5,2.5,400
63,ok,2000-05-11,2.5,2.5,2.5,2.5,1300
64,ok,2000-05-15,2.1,2.1,2.1,2.1,2000
65,ok,2000-05-16,2.25,2.25,2.25,2.25,800
66,ok,2000-05-21,2.1,2.15,2.1,2.15,700
