,s,t,o,h,l,c,v
0,ok,2000-01-02,82.86,86.29,82.86,85.77,16905
1,ok,2000-01-03,87.42,87.42,82.14,84.57,9975
2,ok,2000-01-04,82.86,84.86,81.43,83.28,3997
3,ok,2000-01-05,85.0,85.72,82.43,82.56,18025
4,ok,2000-01-06,82.86,85.22,82.79,82.86,14945
5,ok,2000-01-09,84.0,84.0,82.86,82.86,5537
6,ok,2000-01-10,82.14,82.86,78.57,79.25,25493
7,ok,2000-01-11,83.72,83.72,80.86,82.06,5446
8,ok,2000-01-12,82.86,82.86,81.43,82.82,14350
9,ok,2000-01-13,83.57,83.72,81.72,83.14,11753
10,ok,2000-01-16,82.43,83.43,82.14,82.14,4025
11,ok,2000-01-17,81.42,82.43,80.93,81.76,9240
12,ok,2000-01-18,81.72,83.43,81.57,82.89,19292
13,ok,2000-01-19,82.86,83.54,82.86,83.43,2870
14,ok,2000-01-20,84.29,84.29,81.43,82.68,3815
15,ok,2000-01-23,83.14,83.86,82.86,83.53,15582
16,ok,2000-01-24,82.86,83.86,82.0,83.86,1316
17,ok,2000-01-26,83.57,86.57,83.29,84.45,85468
18,ok,2000-01-27,85.72,87.86,85.44,86.17,66121
19,ok,2000-01-30,88.57,90.0,85.72,89.31,200056
20,ok,2000-01-31,90.14,90.14,86.43,87.42,62306
21,ok,2000-02-01,87.86,91.43,87.86,88.24,50161
22,ok,2000-02-02,84.29,87.0,84.29,87.0,1008
23,ok,2000-02-03,84.29,86.57,84.29,85.72,8533
24,ok,2000-02-06,83.72,85.0,82.14,83.57,8043
25,ok,2000-02-07,84.29,86.43,80.0,85.51,17955
26,ok,2000-02-08,85.43,85.43,80.0,81.36,3864
27,ok,2000-02-09,81.07,81.43,77.14,77.37,10710
28,ok,2000-02-10,77.29,79.89,75.0,78.56,51666
29,ok,2000-02-13,77.29,78.56,76.57,78.27,7140
30,ok,2000-02-14,74.29,78.57,73.57,76.28,141747
31,ok,2000-02-15,77.14,77.14,73.86,75.72,6951
32,ok,2000-02-16,77.14,78.29,74.29,75.5,53024
33,ok,2000-02-17,72.72,75.0,72.72,72.86,224766
34,ok,2000-02-20,74.29,74.29,72.14,72.82,34124
35,ok,2000-02-21,72.14,73.57,68.72,72.23,12775
36,ok,2000-02-22,71.72,72.86,71.29,72.56,8190
37,ok,2000-02-23,70.86,71.14,67.39,67.39,6720
38,ok,2000-02-24,70.72,70.72,67.86,68.57,3325
39,ok,2000-02-27,65.72,68.43,65.72,67.54,4914
40,ok,2000-02-28,68.14,71.43,67.86,68.79,8309
41,ok,2000-02-29,70.0,70.0,64.29,65.43,9520
42,ok,2000-03-01,65.72,65.72,60.32,61.69,15085
43,ok,2000-03-02,60.0,60.0,56.94,56.94,3549
44,ok,2000-03-05,55.72,56.72,54.29,55.7,13363
45,ok,2000-03-06,54.3,59.22,54.3,57.03,12894
46,ok,2000-03-07,53.57,57.86,53.57,54.29,19264
47,ok,2000-03-08,50.0,57.0,50.0,53.14,14945
48,ok,2000-03-09,50.72,52.14,50.0,50.16,9226
49,ok,2000-03-12,50.72,51.29,50.18,50.86,11256
50,ok,2000-03-13,50.86,54.86,50.72,54.84,27614
51,ok,2000-03-14,56.84,59.14,56.43,57.13,14539
52,ok,2000-03-15,59.29,59.29,54.29,54.86,11550
53,ok,2000-03-20,55.72,55.72,53.43,53.53,15890
54,ok,2000-03-21,56.29,56.29,55.72,55.72,700
55,ok,2000-03-22,56.0,56.0,53.0,55.47,2478
56,ok,2000-03-23,54.29,56.72,54.29,55.92,14840
57,ok,2000-03-26,55.29,57.43,55.29,55.72,267612
58,ok,2000-03-27,54.29,56.43,54.14,55.09,10570
59,ok,2000-03-28,55.0,55.72,55.0,55.37,1050
60,ok,2000-03-29,56.57,56.72,53.72,55.29,2744
61,ok,2000-03-30,53.57,56.43,53.57,55.83,2464
62,ok,2000-04-02,55.72,57.86,55.72,57.86,3885
63,ok,2000-04-03,57.86,57.86,53.57,53.77,11116
64,ok,2000-04-04,55.71,55.72,53.57,54.29,9205
65,ok,2000-04-05,51.44,53.57,51.43,53.49,3920
66,ok,2000-04-06,54.43,57.14,53.57,56.59,5495
67,ok,2000-04-09,57.86,60.29,57.14,59.89,16415
68,ok,2000-04-11,58.27,58.29,56.86,57.57,1386
69,ok,2000-04-12,55.0,58.29,55.0,57.14,1785
70,ok,2000-04-16,53.72,56.43,53.72,56.32,1232
71,ok,2000-04-17,55.43,55.43,54.29,54.72,3080
72,ok,2000-04-18,55.72,55.73,53.44,53.44,3255
73,ok,2000-04-19,53.57,57.14,53.57,57.14,9520
74,ok,2000-04-23,55.87,56.43,55.72,55.77,5033
75,ok,2000-04-24,55.72,56.43,54.29,54.43,74780
76,ok,2000-04-25,53.72,55.72,53.57,55.47,3535
77,ok,2000-04-26,54.43,54.43,53.43,53.43,1400
78,ok,2000-04-27,54.29,54.29,53.29,53.29,1470
79,ok,2000-05-01,53.57,53.57,53.57,53.57,7245
80,ok,2000-05-02,54.29,54.29,53.0,53.0,2086
81,ok,2000-05-03,53.43,53.93,53.0,53.89,2485
82,ok,2000-05-04,57.18,57.18,53.72,53.78,1554
83,ok,2000-05-07,54.43,54.43,54.29,54.29,1085
84,ok,2000-05-08,53.57,53.57,50.86,51.43,2072
85,ok,2000-05-09,51.57,54.29,50.0,52.29,2940
86,ok,2000-05-10,52.29,53.0,51.86,53.0,4690
87,ok,2000-05-11,52.86,52.86,52.14,52.14,420
88,ok,2000-05-14,52.16,52.16,50.72,50.73,2485
89,ok,2000-05-15,51.57,54.0,51.43,51.89,11760
90,ok,2000-05-16,51.86,53.43,51.57,51.6,4725
91,ok,2000-05-17,52.14,52.14,52.14,52.14,350
92,ok,2000-05-18,51.89,51.89,51.86,51.86,1015
93,ok,2000-05-21,51.43,52.18,51.43,52.18,315
94,ok,2000-05-22,51.43,53.43,50.72,50.84,6006
95,ok,2000-05-23,50.0,54.91,50.0,54.47,4557
96,ok,2000-05-24,58.57,59.72,57.43,57.57,29301
97,ok,2000-05-25,58.21,58.21,54.72,57.09,26949
98,ok,2000-05-28,55.72,56.86,55.72,56.51,1505
99,ok,2000-05-29,57.13,57.86,56.07,57.74,8575
100,ok,2000-05-30,60.72,60.86,55.86,55.87,11340
101,ok,2000-05-31,57.13,57.72,56.43,56.43,2450
102,ok,2000-06-01,54.43,57.14,54.0,57.0,71910
103,ok,2000-06-04,58.57,58.86,57.0,57.29,3710
104,ok,2000-06-05,56.0,56.84,52.86,55.68,4375
105,ok,2000-06-06,56.99,57.0,56.99,57.0,1925
106,ok,2000-06-07,56.43,57.14,56.43,56.93,882
107,ok,2000-06-08,56.43,57.86,56.43,57.14,1127
108,ok,2000-06-11,57.86,57.86,57.0,57.0,2107
109,ok,2000-06-12,55.72,57.43,55.72,57.0,665
110,ok,2000-06-13,59.0,59.29,57.72,57.79,14210
111,ok,2000-06-14,58.0,58.0,55.72,57.57,2800
112,ok,2000-06-15,56.64,57.14,55.72,56.06,53374
113,ok,2000-06-18,56.43,57.86,56.43,57.86,37239
114,ok,2000-06-19,57.86,58.29,56.72,57.46,10472
115,ok,2000-06-20,59.29,60.0,58.86,59.0,10710
116,ok,2000-06-21,60.0,66.0,60.0,64.97,103871
117,ok,2000-06-22,65.72,69.7,65.0,67.4,84957
118,ok,2000-06-25,68.57,69.29,65.72,68.59,37407
119,ok,2000-06-26,68.43,68.57,66.57,67.29,33578
120,ok,2000-06-27,67.0,67.0,65.79,66.7,9765
121,ok,2000-06-28,65.0,66.63,64.72,64.95,12040
122,ok,2000-06-29,63.57,64.72,62.0,62.89,9765
123,ok,2000-07-02,62.14,64.69,61.59,61.92,14455
124,ok,2000-07-03,64.14,71.46,63.64,71.19,34733
125,ok,2000-07-04,74.14,74.14,66.32,67.72,20685
126,ok,2000-07-05,65.86,68.43,65.72,67.57,12313
127,ok,2000-07-06,70.0,78.27,68.14,76.75,144680
128,ok,2000-07-09,74.14,77.0,72.73,74.15,38905
129,ok,2000-07-10,74.22,74.72,71.42,73.94,49587
130,ok,2000-07-11,72.43,72.86,68.87,71.14,27726
131,ok,2000-07-12,70.72,70.72,69.04,69.59,19929
132,ok,2000-07-13,70.7,70.7,67.14,68.08,40459
133,ok,2000-07-16,67.87,68.84,67.29,67.37,11830
134,ok,2000-07-17,67.51,68.29,66.43,66.79,14700
135,ok,2000-07-18,67.57,67.72,65.79,67.59,21077
136,ok,2000-07-19,67.14,67.41,64.72,65.83,13097
137,ok,2000-07-20,66.43,66.43,63.88,64.37,16590
