,s,t,o,h,l,c,v
0,ok,2000-01-02,1203.4,1203.4,1170.0,1203.4,59996
1,ok,2000-01-03,1289.0,1299.7,1270.0,1299.7,21315
2,ok,2000-01-04,1350.0,1403.7,1195.75,1401.3,123275
3,ok,2000-01-05,1498.0,1499.0,1350.0,1404.1,94453
4,ok,2000-01-06,1360.0,1469.0,1291.8,1314.05,139727
5,ok,2000-01-09,1390.0,1405.0,1209.0,1218.75,52227
6,ok,2000-01-10,1150.0,1250.0,1121.25,1121.25,29182
7,ok,2000-01-11,1133.0,1210.0,1036.0,1132.65,17223
8,ok,2000-01-12,1133.0,1133.0,1042.05,1042.05,8248
9,ok,2000-01-13,1099.0,1099.0,958.7,1006.85,12089
10,ok,2000-01-16,1024.0,1087.0,1024.0,1065.55,9389
11,ok,2000-01-17,1070.0,1090.0,982.0,989.55,5737
12,ok,2000-01-18,1015.0,1068.0,910.4,1040.6,17620
13,ok,2000-01-19,1055.0,1090.0,1025.0,1043.05,3703
14,ok,2000-01-20,1048.0,1060.0,980.0,1005.2,8198
15,ok,2000-01-23,1020.0,1045.0,950.0,979.05,3907
16,ok,2000-01-24,1000.0,1057.0,921.0,1037.3,26807
17,ok,2000-01-26,1020.0,1050.0,975.1,1000.4,10913
18,ok,2000-01-27,1005.0,1060.0,1000.0,1045.65,7792
19,ok,2000-01-30,1020.0,1065.9,1000.0,1047.5,11788
20,ok,2000-01-31,1075.0,1090.0,1051.0,1068.35,10459
21,ok,2000-02-01,1119.0,1153.85,1118.0,1153.85,14713
22,ok,2000-02-02,1225.0,1246.2,1225.0,1246.2,34079
23,ok,2000-02-03,1256.0,1345.9,1256.0,1284.2,7132
24,ok,2000-02-06,1344.5,1369.95,1295.0,1308.85,11022
25,ok,2000-02-07,1313.0,1413.0,1215.15,1232.95,12656
26,ok,2000-02-08,1300.0,1300.0,1188.0,1210.25,14352
27,ok,2000-02-09,1200.0,1307.0,1135.0,1178.55,9690
28,ok,2000-02-10,1200.0,1249.95,1084.3,1102.15,8027
29,ok,2000-02-13,1185.0,1185.0,1014.0,1014.0,4022
30,ok,2000-02-14,960.0,1095.1,960.0,1052.4,13935
31,ok,2000-02-15,1066.0,1130.0,1066.0,1099.15,15477
32,ok,2000-02-16,1185.0,1187.1,1150.0,1187.1,7977
33,ok,2000-02-17,1282.1,1282.1,1205.0,1241.95,18179
34,ok,2000-02-20,1313.0,1341.35,1250.0,1341.35,11018
35,ok,2000-02-21,1400.0,1448.7,1400.0,1448.7,23739
36,ok,2000-02-22,1564.6,1564.6,1333.0,1359.8,29414
37,ok,2000-02-23,652.7,652.7,652.7,652.7,476
38,ok,2000-02-24,704.95,704.95,670.1,704.95,24348
39,ok,2000-02-27,725.0,725.0,650.0,693.4,20236
40,ok,2000-02-28,697.0,738.0,637.95,651.2,49733
41,ok,2000-02-29,681.0,698.0,620.0,677.7,24724
42,ok,2000-03-01,694.15,730.0,676.0,682.65,21205
43,ok,2000-03-02,678.0,678.0,635.0,638.55,17157
44,ok,2000-03-05,650.0,650.0,588.95,594.8,15750
45,ok,2000-03-06,609.0,609.0,548.0,563.7,14686
46,ok,2000-03-07,575.0,575.0,518.7,518.7,5679
47,ok,2000-03-08,529.95,529.95,477.45,496.15,5461
