,s,t,o,h,l,c,v
0,ok,2018-09-17,9.93,10.93,9.0,10.83,2568000
1,ok,2018-09-18,10.73,11.62,10.3,11.44,1824000
2,ok,2018-09-20,11.99,12.4,11.07,12.13,2544000
3,ok,2018-09-23,12.0,13.05,12.0,12.71,1200000
4,ok,2018-09-24,12.67,13.7,12.67,13.61,1608000
5,ok,2018-09-25,14.13,14.3,13.22,13.58,912000
6,ok,2018-09-26,13.93,14.43,13.2,14.16,4776000
7,ok,2018-09-27,14.52,14.52,13.07,13.17,2640000
8,ok,2018-09-30,13.6,13.6,13.2,13.42,1560000
9,ok,2018-10-02,13.67,14.2,13.55,13.6,480000
10,ok,2018-10-03,13.51,13.73,13.37,13.73,312000
11,ok,2018-10-04,13.42,14.0,13.33,13.92,792000
12,ok,2018-10-07,13.5,13.83,13.42,13.74,216000
13,ok,2018-10-08,13.6,13.65,13.48,13.58,720000
14,ok,2018-10-09,13.6,13.86,13.6,13.83,216000
15,ok,2018-10-10,13.6,13.96,13.53,13.55,240000
16,ok,2018-10-11,13.69,14.47,13.69,14.26,528000
17,ok,2018-10-14,14.4,15.07,14.4,14.88,408000
18,ok,2018-10-15,14.97,15.07,14.97,15.07,48000
19,ok,2018-10-16,14.93,14.93,14.73,14.73,192000
20,ok,2018-10-18,14.54,14.54,14.35,14.47,312000
21,ok,2018-10-21,14.31,14.93,14.23,14.8,288000
22,ok,2018-10-22,14.3,14.72,14.3,14.51,120000
23,ok,2018-10-23,14.33,14.33,14.2,14.23,120000
24,ok,2018-10-24,14.27,14.27,14.03,14.03,144000
25,ok,2018-10-25,14.0,14.0,13.93,14.0,312000
26,ok,2018-10-28,14.0,14.0,13.69,13.71,576000
27,ok,2018-10-29,13.7,13.87,13.61,13.7,240000
28,ok,2018-10-30,13.69,13.77,13.69,13.73,144000
29,ok,2018-10-31,13.68,13.83,13.53,13.62,312000
30,ok,2018-11-01,13.6,13.86,13.53,13.86,264000
31,ok,2018-11-04,13.8,13.8,13.67,13.67,144000
32,ok,2018-11-05,13.75,13.75,13.75,13.75,96000
33,ok,2018-11-06,14.02,14.02,13.87,13.96,96000
34,ok,2018-11-08,14.0,14.0,14.0,14.0,72000
35,ok,2018-11-11,14.03,14.03,14.03,14.03,48000
36,ok,2018-11-12,13.82,13.95,13.82,13.95,48000
37,ok,2018-11-13,14.25,14.25,14.25,14.25,24000
38,ok,2018-11-14,13.97,13.98,13.87,13.87,120000
39,ok,2018-11-15,13.8,13.8,13.8,13.8,24000
40,ok,2018-11-18,13.91,13.93,13.91,13.92,72000
41,ok,2018-11-19,13.93,13.93,13.8,13.8,72000
42,ok,2018-11-20,13.73,13.73,13.73,13.73,24000
43,ok,2018-11-21,13.67,13.73,13.67,13.73,48000
44,ok,2018-11-25,13.74,13.74,13.73,13.73,48000
45,ok,2018-11-26,13.76,13.76,13.74,13.74,48000
46,ok,2018-11-27,13.74,13.74,13.67,13.7,96000
47,ok,2018-11-28,13.67,14.0,13.53,14.0,360000
48,ok,2018-12-02,13.7,13.7,13.7,13.7,24000
49,ok,2018-12-03,13.67,13.67,13.47,13.47,216000
50,ok,2018-12-04,13.67,13.89,13.67,13.89,72000
51,ok,2018-12-05,13.67,13.67,13.53,13.53,72000
52,ok,2018-12-06,13.6,13.6,13.33,13.44,408000
53,ok,2018-12-09,13.47,13.67,13.4,13.67,96000
54,ok,2018-12-11,13.6,13.6,13.4,13.4,168000
55,ok,2018-12-12,13.53,13.53,13.53,13.53,24000
56,ok,2018-12-16,13.54,13.54,13.53,13.53,72000
57,ok,2018-12-17,13.54,13.54,13.47,13.47,144000
58,ok,2018-12-19,13.47,13.79,13.45,13.6,216000
59,ok,2018-12-20,13.53,13.53,13.53,13.53,24000
60,ok,2018-12-26,13.55,13.55,13.47,13.47,120000
61,ok,2018-12-30,13.53,13.53,13.53,13.53,48000
62,ok,2018-12-31,13.47,13.47,13.4,13.4,120000
63,ok,2019-01-01,13.47,13.47,13.47,13.47,24000
64,ok,2019-01-02,13.47,13.47,13.47,13.47,24000
65,ok,2019-01-07,13.47,13.47,13.4,13.4,96000
66,ok,2019-01-08,13.4,13.4,13.4,13.4,24000
67,ok,2019-01-15,13.4,13.4,13.4,13.4,24000
68,ok,2019-01-16,13.27,13.27,13.27,13.27,24000
69,ok,2019-01-20,13.41,13.41,13.41,13.41,192000
70,ok,2019-01-21,13.42,13.42,13.42,13.42,144000
71,ok,2019-01-22,13.2,13.2,13.07,13.07,96000
72,ok,2019-01-23,13.2,13.2,12.47,12.47,480000
73,ok,2019-01-24,12.67,12.67,12.67,12.67,24000
74,ok,2019-01-28,12.4,12.4,12.4,12.4,24000
75,ok,2019-02-03,12.4,12.4,12.4,12.4,24000
76,ok,2019-02-07,12.33,12.33,12.2,12.23,72000
77,ok,2019-02-10,12.33,12.33,12.27,12.27,48000
78,ok,2019-02-11,12.27,12.27,12.27,12.27,24000
79,ok,2019-02-12,12.3,12.3,12.3,12.3,24000
80,ok,2019-02-21,12.27,12.27,12.27,12.27,24000
81,ok,2019-02-24,12.2,12.2,12.2,12.2,24000
82,ok,2019-02-26,12.2,12.2,12.2,12.2,24000
83,ok,2019-02-27,12.13,12.13,12.0,12.0,72000
84,ok,2019-03-04,12.23,12.83,12.23,12.83,216000
85,ok,2019-03-05,13.0,14.26,12.83,12.83,264000
86,ok,2019-03-10,14.62,14.62,12.37,13.31,72000
87,ok,2019-03-14,13.33,13.36,13.33,13.36,240000
88,ok,2019-03-24,12.21,13.13,12.13,12.79,84000
89,ok,2019-03-26,12.2,12.2,12.13,12.18,84000
90,ok,2019-03-28,12.33,12.33,12.33,12.33,12000
91,ok,2019-03-31,12.2,12.2,12.2,12.2,12000
92,ok,2019-04-02,12.67,12.67,12.67,12.67,60000
93,ok,2019-04-03,12.13,14.01,12.07,14.01,72000
94,ok,2019-04-07,12.2,12.2,12.2,12.2,12000
95,ok,2019-04-24,12.13,12.13,12.13,12.13,12000
96,ok,2019-04-29,12.13,12.15,12.13,12.15,48000
97,ok,2019-05-01,12.07,12.07,12.07,12.07,36000
98,ok,2019-05-06,12.14,12.14,12.14,12.14,48000
99,ok,2019-05-15,12.13,12.13,12.13,12.13,24000
100,ok,2019-05-20,12.14,12.14,12.13,12.13,24000
101,ok,2019-05-22,12.13,12.13,12.13,12.13,12000
