,s,t,o,h,l,c,v
0,ok,2022-09-20,173.3,176.9,167.0,167.95,92883
1,ok,2022-09-21,174.0,184.85,170.0,172.15,363497
2,ok,2022-09-22,172.9,173.1,159.0,162.8,174560
3,ok,2022-09-25,159.0,159.45,152.0,152.95,110791
4,ok,2022-09-26,156.65,157.3,141.4,144.7,166572
5,ok,2022-09-27,140.5,152.0,140.5,149.65,263677
6,ok,2022-09-28,154.9,154.9,148.0,150.3,100369
7,ok,2022-09-29,147.35,153.8,147.35,150.45,278214
8,ok,2022-10-02,153.4,153.4,141.05,142.6,119804
9,ok,2022-10-03,144.1,147.45,140.8,142.45,138677
10,ok,2022-10-05,143.4,148.9,143.0,145.55,302839
11,ok,2022-10-06,145.6,163.6,145.6,156.75,362452
12,ok,2022-10-09,155.0,172.4,154.15,167.55,393695
13,ok,2022-10-10,169.0,174.5,167.55,168.65,268734
14,ok,2022-10-11,168.3,172.0,166.5,168.2,95174
15,ok,2022-10-12,168.0,168.45,162.15,163.65,94166
16,ok,2022-10-13,165.95,168.0,159.1,161.0,95534
17,ok,2022-10-16,161.0,161.9,156.6,159.7,86875
18,ok,2022-10-17,159.7,161.1,155.25,156.2,80315
19,ok,2022-10-18,157.45,164.45,156.4,158.3,110507
20,ok,2022-10-19,158.5,165.4,156.5,164.2,117595
21,ok,2022-10-20,161.2,164.25,156.2,156.8,80363
22,ok,2022-10-23,158.4,162.6,158.4,160.3,43845
23,ok,2022-10-24,159.95,164.95,158.55,161.1,90811
24,ok,2022-10-26,162.0,167.5,159.65,164.3,222898
25,ok,2022-10-27,162.0,166.0,162.0,163.8,147316
26,ok,2022-10-30,165.8,165.8,158.1,163.1,313821
27,ok,2022-10-31,161.3,164.45,161.0,163.0,125473
28,ok,2022-11-01,163.0,174.85,163.0,171.5,445884
29,ok,2022-11-02,174.25,174.25,167.6,168.7,270447
30,ok,2022-11-03,169.0,175.05,168.1,169.75,263310
31,ok,2022-11-06,172.0,181.35,169.5,174.45,393041
32,ok,2022-11-08,176.0,179.3,168.1,170.05,270348
33,ok,2022-11-09,168.5,172.95,163.5,165.05,238018
34,ok,2022-11-10,167.15,168.05,161.1,165.25,186959
35,ok,2022-11-13,166.0,168.5,160.0,161.8,150670
36,ok,2022-11-14,164.6,174.0,161.3,168.9,287629
37,ok,2022-11-15,169.8,190.9,165.0,184.0,1043511
38,ok,2022-11-16,184.55,193.0,182.5,186.75,697738
39,ok,2022-11-17,187.2,188.25,178.65,181.2,254871
40,ok,2022-11-20,179.9,186.65,177.35,181.8,167538
41,ok,2022-11-21,181.95,182.5,175.0,175.75,133301
42,ok,2022-11-22,174.55,177.0,170.5,171.0,111505
43,ok,2022-11-23,172.5,182.65,172.5,178.2,208951
44,ok,2022-11-24,180.9,187.9,177.05,186.4,248233
45,ok,2022-11-27,188.7,188.7,180.15,184.95,121203
46,ok,2022-11-28,184.95,199.0,183.3,197.9,821609
47,ok,2022-11-29,200.5,208.0,199.35,201.0,544926
48,ok,2022-11-30,202.25,214.7,196.35,206.1,517270
49,ok,2022-12-01,207.4,212.55,205.2,210.1,336163
50,ok,2022-12-04,212.2,213.45,201.0,202.05,178492
51,ok,2022-12-05,207.0,212.2,202.65,205.8,298641
52,ok,2022-12-06,208.0,209.7,201.8,203.5,114569
53,ok,2022-12-07,205.7,205.7,198.0,199.15,125930
54,ok,2022-12-08,198.2,201.65,190.1,194.35,157191
55,ok,2022-12-11,194.0,196.3,188.5,192.45,131238
56,ok,2022-12-12,194.2,198.25,189.1,190.2,163233
57,ok,2022-12-13,192.4,195.35,191.25,193.1,101249
58,ok,2022-12-14,195.45,198.7,192.85,193.5,94778
59,ok,2022-12-15,192.0,207.9,190.2,206.1,561984
60,ok,2022-12-18,208.95,229.0,208.1,219.45,984435
61,ok,2022-12-19,221.95,222.75,211.0,214.1,259667
62,ok,2022-12-20,216.0,219.7,196.0,198.45,288875
63,ok,2022-12-21,199.95,204.3,191.0,197.85,268077
64,ok,2022-12-22,192.65,196.1,181.0,182.25,296833
65,ok,2022-12-25,183.0,191.55,182.6,186.1,194298
66,ok,2022-12-26,191.5,208.9,190.95,201.7,506962
67,ok,2022-12-27,203.5,204.9,197.55,201.45,194619
68,ok,2022-12-28,201.8,209.9,199.95,205.4,259334
69,ok,2022-12-29,205.95,207.95,200.1,202.5,146978
70,ok,2023-01-01,203.3,209.6,201.8,208.0,189157
71,ok,2023-01-02,208.8,209.7,200.55,202.85,114338
72,ok,2023-01-03,203.0,205.4,198.0,199.55,96860
73,ok,2023-01-04,199.85,202.0,191.2,193.85,173127
74,ok,2023-01-05,194.3,196.55,187.1,188.55,215698
75,ok,2023-01-08,190.0,193.7,188.6,191.05,131991
76,ok,2023-01-09,191.5,193.3,185.0,186.8,130411
77,ok,2023-01-10,187.5,193.0,186.25,189.7,162300
78,ok,2023-01-11,190.3,190.75,183.1,187.25,175344
79,ok,2023-01-12,188.7,188.7,184.1,185.9,95394
80,ok,2023-01-15,186.0,186.45,183.0,184.3,80968
81,ok,2023-01-16,184.35,186.0,181.1,183.6,109150
82,ok,2023-01-17,183.9,189.9,182.0,183.4,156068
