,s,t,o,h,l,c,v
0,ok,2012-02-28,104.9,104.9,99.2,99.85,91809
1,ok,2012-02-29,100.2,103.7,100.2,100.5,66449
2,ok,2012-03-01,100.95,100.95,100.2,100.35,85530
3,ok,2012-03-02,100.3,100.35,100.3,100.3,25200
4,ok,2012-03-04,100.3,100.35,100.15,100.3,94186
5,ok,2012-03-05,99.1,99.95,99.1,99.65,119560
6,ok,2012-03-06,99.45,99.6,99.4,99.5,107176
7,ok,2012-03-08,99.3,99.9,99.3,99.8,109987
8,ok,2012-03-11,99.65,99.85,99.45,99.5,80294
9,ok,2012-03-12,99.45,99.5,99.3,99.35,128787
10,ok,2012-03-13,99.4,99.5,99.35,99.5,118002
11,ok,2012-03-14,99.1,99.15,98.9,99.1,104012
12,ok,2012-03-15,99.0,99.05,98.8,99.0,67967
13,ok,2012-03-18,99.05,99.15,98.85,98.9,91915
14,ok,2012-03-19,98.95,99.1,98.85,99.0,111416
15,ok,2012-03-20,99.0,99.05,98.9,99.0,74917
16,ok,2012-03-21,98.85,99.05,98.8,98.85,51707
17,ok,2012-03-22,98.85,99.1,98.4,98.6,77258
18,ok,2012-03-25,98.65,98.9,97.95,98.0,71526
19,ok,2012-03-26,98.0,99.5,96.75,97.75,43364
20,ok,2012-03-27,97.1,97.2,96.95,97.1,131254
21,ok,2012-03-28,96.95,97.15,96.75,97.05,38224
22,ok,2012-03-29,96.95,97.05,96.85,96.95,45479
23,ok,2012-04-01,96.9,116.0,96.75,105.5,72949
24,ok,2012-04-02,97.15,97.25,96.9,96.95,67554
25,ok,2012-04-03,97.1,97.2,97.0,97.0,70805
26,ok,2012-04-08,97.05,97.15,96.85,96.85,84694
27,ok,2012-04-09,96.9,97.05,96.85,97.0,48921
28,ok,2012-04-10,96.8,96.95,96.75,96.8,78150
29,ok,2012-04-11,96.85,97.0,96.8,97.0,94488
30,ok,2012-04-12,97.05,97.1,96.95,97.0,100487
31,ok,2012-04-15,96.85,96.95,96.85,96.9,102497
32,ok,2012-04-16,96.8,96.95,96.75,96.9,81783
33,ok,2012-04-17,96.85,96.95,96.85,96.95,97109
34,ok,2012-04-18,97.0,97.1,96.95,97.05,105969
35,ok,2012-04-19,96.85,96.95,96.8,96.8,105117
36,ok,2012-04-22,96.95,97.0,96.8,96.8,89750
37,ok,2012-04-23,96.8,96.95,96.8,96.9,105435
38,ok,2012-04-24,96.7,96.8,96.7,96.8,108733
39,ok,2012-04-25,96.85,96.9,96.8,96.9,106481
40,ok,2012-04-26,96.85,97.0,96.8,96.9,106667
41,ok,2012-04-27,96.9,96.9,96.9,96.9,15100
42,ok,2012-04-29,96.9,96.95,96.85,96.95,107994
43,ok,2012-05-01,97.0,97.05,97.0,97.05,99000
44,ok,2012-05-02,96.95,97.0,96.95,97.0,115000
45,ok,2012-05-03,96.8,96.9,96.75,96.9,105848
46,ok,2012-05-06,96.75,96.8,96.55,96.7,145148
47,ok,2012-05-07,96.7,96.75,96.6,96.7,110891
48,ok,2012-05-08,96.65,96.75,96.55,96.7,128011
49,ok,2012-05-09,96.7,96.8,96.6,96.75,126595
50,ok,2012-05-10,96.6,96.7,96.5,96.65,137309
51,ok,2012-05-13,96.7,96.75,96.65,96.7,126406
52,ok,2012-05-14,96.6,96.65,96.5,96.65,104260
53,ok,2012-05-15,96.5,96.55,96.3,96.5,105117
54,ok,2012-05-16,96.6,96.7,96.5,96.6,135777
55,ok,2012-05-17,96.35,96.45,96.15,96.35,121645
56,ok,2012-05-20,96.3,96.35,96.1,96.35,111850
57,ok,2012-05-21,96.35,96.4,96.0,96.2,134094
58,ok,2012-05-22,96.2,96.3,96.0,96.2,88250
59,ok,2012-05-23,96.25,96.35,95.95,96.3,108473
60,ok,2012-05-24,96.2,96.3,95.8,96.3,118625
61,ok,2012-05-27,96.3,96.35,95.95,96.35,117825
62,ok,2012-05-28,96.3,96.4,96.0,96.35,103750
63,ok,2012-05-29,96.25,96.35,96.05,96.05,120663
64,ok,2012-05-30,95.85,95.9,95.0,95.0,120969
65,ok,2012-05-31,94.85,94.95,94.5,94.5,104361
66,ok,2012-06-03,94.4,94.45,94.0,94.2,127957
67,ok,2012-06-04,94.35,94.45,93.8,94.4,119823
68,ok,2012-06-05,94.4,94.5,94.0,94.4,98478
69,ok,2012-06-06,94.35,94.6,94.3,94.4,100081
70,ok,2012-06-07,94.4,94.5,94.3,94.4,119997
71,ok,2012-06-10,94.45,94.55,94.0,94.45,129927
72,ok,2012-06-11,94.4,94.55,94.35,94.55,31875
73,ok,2012-06-12,94.5,94.6,94.45,94.45,20975
74,ok,2012-06-13,94.4,94.65,94.4,94.6,24550
75,ok,2012-06-14,94.55,94.75,94.5,94.6,22498
76,ok,2012-06-17,94.8,94.85,94.75,94.8,38994
77,ok,2012-06-18,94.75,94.85,94.7,94.8,31612
78,ok,2012-06-19,94.75,94.8,94.7,94.75,36165
79,ok,2012-06-20,94.7,95.05,94.7,94.75,64476
80,ok,2012-06-21,94.6,94.75,94.6,94.7,50216
81,ok,2012-06-24,94.7,94.8,94.6,94.7,45282
82,ok,2012-06-25,94.75,94.75,94.65,94.65,42760
83,ok,2012-06-26,94.75,94.8,94.45,94.7,60689
84,ok,2012-06-27,94.8,96.05,94.45,95.55,72498
85,ok,2012-06-28,96.55,98.35,96.55,98.35,67868
86,ok,2012-07-01,99.25,99.35,99.2,99.3,63666
87,ok,2012-07-02,100.4,100.5,100.3,100.35,64747
