,s,t,o,h,l,c,v
0,ok,2017-09-20,350.0,367.5,333.2,352.05,1718707
1,ok,2017-09-21,345.0,345.0,334.45,334.75,551969
2,ok,2017-09-24,322.0,334.8,318.05,329.9,558820
3,ok,2017-09-25,320.0,326.0,313.45,313.45,295170
4,ok,2017-09-26,305.0,313.45,297.8,306.35,360172
5,ok,2017-09-27,300.0,321.65,291.05,321.65,738254
6,ok,2017-09-28,324.9,337.7,324.9,337.7,706606
7,ok,2017-10-02,347.8,347.8,322.2,337.9,249948
8,ok,2017-10-03,332.05,340.0,321.05,327.75,99059
9,ok,2017-10-04,328.0,332.0,311.4,323.25,167534
10,ok,2017-10-05,330.0,344.0,324.05,327.0,278393
11,ok,2017-10-08,325.0,329.9,314.3,316.75,175505
12,ok,2017-10-09,316.1,321.85,293.7,301.35,202788
13,ok,2017-10-10,301.0,305.35,295.1,296.8,144848
14,ok,2017-10-11,298.0,299.0,293.0,296.2,133374
15,ok,2017-10-12,298.95,299.9,291.25,294.9,85816
16,ok,2017-10-15,296.75,320.0,290.0,309.5,314744
17,ok,2017-10-16,301.5,308.1,299.0,300.4,118592
18,ok,2017-10-17,298.1,307.25,297.05,300.4,136200
19,ok,2017-10-18,300.4,304.0,296.15,298.55,39115
20,ok,2017-10-22,300.0,303.9,293.1,297.75,165510
21,ok,2017-10-23,300.4,310.5,296.25,302.7,288776
22,ok,2017-10-24,302.55,308.65,295.5,296.8,88617
23,ok,2017-10-25,296.55,299.85,293.0,295.15,88335
24,ok,2017-10-26,295.0,298.45,293.05,295.7,77851
25,ok,2017-10-29,297.05,297.05,291.5,295.3,93823
26,ok,2017-10-30,295.85,298.35,293.1,297.15,94174
27,ok,2017-10-31,296.0,299.05,293.2,296.8,138981
28,ok,2017-11-01,295.1,307.4,294.35,303.55,168978
29,ok,2017-11-02,305.05,313.8,303.4,308.8,321811
30,ok,2017-11-05,308.0,308.65,302.0,306.9,74365
31,ok,2017-11-06,306.1,307.0,296.0,301.0,125349
32,ok,2017-11-07,301.0,304.2,292.0,297.95,90519
33,ok,2017-11-08,300.05,305.65,283.2,287.15,242145
34,ok,2017-11-09,297.5,309.0,286.95,305.65,452927
35,ok,2017-11-12,305.0,305.0,290.1,292.15,215384
36,ok,2017-11-13,293.0,294.95,286.25,291.0,79781
37,ok,2017-11-14,291.0,294.0,281.0,282.85,104399
38,ok,2017-11-15,287.95,288.0,277.0,278.5,75365
39,ok,2017-11-16,280.9,285.0,274.95,282.25,124076
40,ok,2017-11-19,285.0,285.0,276.35,282.85,57676
41,ok,2017-11-20,283.65,293.95,282.6,292.35,145621
42,ok,2017-11-21,295.05,296.95,290.5,292.05,113218
43,ok,2017-11-22,297.1,305.0,297.1,300.85,252457
44,ok,2017-11-23,296.25,308.5,296.25,305.85,157486
45,ok,2017-11-26,303.0,306.6,296.0,303.05,97840
46,ok,2017-11-27,304.65,304.65,297.5,298.9,64437
47,ok,2017-11-28,299.05,306.6,297.5,304.2,132151
48,ok,2017-11-29,300.0,315.1,298.1,309.95,232366
49,ok,2017-11-30,309.95,310.55,298.5,299.6,119082
50,ok,2017-12-03,300.0,304.95,295.0,298.45,118089
51,ok,2017-12-04,299.75,300.0,292.55,297.3,71072
52,ok,2017-12-05,299.0,301.75,291.7,299.5,162356
53,ok,2017-12-06,297.1,307.45,295.0,303.5,236779
54,ok,2017-12-07,300.0,311.9,297.7,305.45,191997
55,ok,2017-12-10,308.95,310.1,298.05,300.75,63714
56,ok,2017-12-11,306.0,306.0,295.25,296.4,54834
57,ok,2017-12-12,297.9,298.85,291.05,293.45,59946
58,ok,2017-12-13,295.05,305.6,284.0,300.15,387516
59,ok,2017-12-14,300.0,305.4,294.1,297.0,112456
60,ok,2017-12-17,294.95,299.0,291.05,293.85,183603
61,ok,2017-12-18,295.5,310.0,293.5,305.7,177827
62,ok,2017-12-19,309.0,317.7,302.1,310.4,209126
63,ok,2017-12-20,317.0,317.0,303.4,307.6,98539
64,ok,2017-12-21,309.65,312.0,304.6,306.6,117663
65,ok,2017-12-25,308.0,329.9,302.5,323.95,384375
66,ok,2017-12-26,328.8,338.0,322.0,325.3,291002
67,ok,2017-12-27,325.0,329.0,316.8,326.05,110917
68,ok,2017-12-28,326.05,332.0,320.5,325.05,62554
69,ok,2017-12-31,326.1,327.85,318.0,320.6,78280
70,ok,2018-01-01,322.0,324.0,313.35,317.6,49630
71,ok,2018-01-02,319.35,325.65,315.0,316.45,106764
72,ok,2018-01-03,324.0,332.0,319.0,329.1,203744
73,ok,2018-01-04,335.0,342.0,325.0,340.4,228521
74,ok,2018-01-07,335.25,352.7,335.25,341.35,213361
75,ok,2018-01-08,344.0,347.6,333.35,340.2,110891
76,ok,2018-01-09,340.65,344.8,333.0,336.85,89214
77,ok,2018-01-10,339.1,339.1,328.0,329.9,71761
78,ok,2018-01-11,329.95,339.1,329.95,336.2,93928
79,ok,2018-01-14,336.2,352.0,331.8,347.1,356162
80,ok,2018-01-15,350.85,368.35,335.1,361.65,770185
81,ok,2018-01-16,360.0,378.1,352.25,364.85,630358
82,ok,2018-01-17,369.0,369.7,344.8,349.15,411269
83,ok,2018-01-18,345.0,365.0,345.0,360.95,553212
84,ok,2018-01-21,373.95,392.4,369.5,384.75,1135439
85,ok,2018-01-22,390.0,396.4,380.0,390.05,306055
86,ok,2018-01-23,389.0,392.0,365.0,376.85,303988
87,ok,2018-01-24,375.0,395.8,364.0,383.0,365017
88,ok,2018-01-28,380.0,390.95,373.0,377.8,238490
89,ok,2018-01-29,375.0,379.95,370.5,374.1,141578
90,ok,2018-01-30,375.0,385.0,360.0,375.8,200734
91,ok,2018-01-31,374.85,382.15,370.0,375.85,414095
92,ok,2018-02-01,373.1,374.4,352.15,358.75,497335
93,ok,2018-02-04,350.95,357.35,336.0,354.6,212719
94,ok,2018-02-05,327.45,351.0,320.15,346.35,162641
95,ok,2018-02-06,350.0,354.5,340.9,346.85,130043
96,ok,2018-02-07,348.7,355.5,340.05,348.65,209811
97,ok,2018-02-08,340.5,348.0,333.05,344.75,82174
98,ok,2018-02-11,345.0,350.1,342.35,345.15,66517
99,ok,2018-02-13,349.9,349.9,342.35,343.75,212630
100,ok,2018-02-14,348.15,348.15,330.3,333.5,52191
101,ok,2018-02-15,334.15,345.0,334.15,338.2,87253
102,ok,2018-02-18,336.0,337.95,332.0,333.65,115848
103,ok,2018-02-19,330.0,338.05,329.95,335.6,43757
104,ok,2018-02-20,337.0,340.5,331.15,337.2,45276
105,ok,2018-02-21,335.0,335.2,330.1,331.25,53275
106,ok,2018-02-22,332.75,338.1,322.55,329.35,89993
107,ok,2018-02-25,332.0,343.0,330.0,340.2,173150
108,ok,2018-02-26,339.0,344.9,337.1,342.85,184767
109,ok,2018-02-27,343.0,343.0,334.0,336.25,73500
