,s,t,o,h,l,c,v
0,ok,2006-10-26,35.0,48.7,35.0,47.45,81863292
1,ok,2006-10-29,47.5,47.5,44.35,45.05,10926131
2,ok,2006-10-30,45.0,45.4,41.5,42.2,4896552
3,ok,2006-10-31,43.9,47.35,41.0,46.55,13725104
4,ok,2006-11-01,46.55,49.15,45.6,47.3,13062234
5,ok,2006-11-02,47.45,47.45,44.55,45.05,3628222
6,ok,2006-11-05,45.3,46.4,44.0,44.9,2555226
7,ok,2006-11-06,45.1,52.9,45.1,50.6,21274408
8,ok,2006-11-07,50.5,51.8,47.4,48.7,8100403
9,ok,2006-11-08,49.0,54.15,47.8,51.1,10396992
10,ok,2006-11-09,51.15,54.45,50.8,51.95,7635122
11,ok,2006-11-12,52.0,54.2,52.0,52.5,4137494
12,ok,2006-11-13,52.35,57.6,52.35,55.15,11892374
13,ok,2006-11-14,56.0,56.25,54.1,54.35,4291384
14,ok,2006-11-15,54.8,57.15,54.05,54.4,5955549
15,ok,2006-11-16,54.9,55.0,50.65,51.7,4026967
16,ok,2006-11-19,52.5,54.3,50.8,52.7,5897835
17,ok,2006-11-20,52.0,63.25,52.0,63.15,22324491
18,ok,2006-11-21,64.15,66.7,61.25,61.8,12022404
19,ok,2006-11-22,62.0,64.35,60.1,61.05,7031423
20,ok,2006-11-23,61.2,64.5,61.1,62.3,7340803
21,ok,2006-11-26,62.3,63.45,60.65,60.9,3168583
22,ok,2006-11-27,60.0,62.2,58.7,59.1,3896031
23,ok,2006-11-28,59.8,60.9,59.1,59.4,2225741
24,ok,2006-11-29,60.0,61.0,58.15,58.6,1727205
25,ok,2006-11-30,59.4,61.2,58.1,59.25,3067895
26,ok,2006-12-03,59.65,60.25,58.3,58.5,1193747
27,ok,2006-12-04,58.75,59.25,56.8,57.25,1060102
28,ok,2006-12-05,57.3,62.3,55.6,60.7,4250668
29,ok,2006-12-06,61.3,62.1,59.1,59.95,4039540
30,ok,2006-12-07,60.0,61.0,59.2,59.5,2592079
31,ok,2006-12-10,59.1,59.1,55.1,56.3,1817452
32,ok,2006-12-11,56.5,56.6,50.55,52.1,1777666
33,ok,2006-12-12,52.5,57.4,50.0,56.75,2801835
34,ok,2006-12-13,57.5,60.0,56.5,59.35,1915542
35,ok,2006-12-14,59.95,61.15,58.6,59.05,1855148
36,ok,2006-12-17,59.25,60.25,57.5,58.75,1605854
37,ok,2006-12-18,58.75,58.9,55.45,56.6,1244773
38,ok,2006-12-19,57.0,57.45,54.65,54.95,1637211
39,ok,2006-12-20,51.9,56.1,51.9,55.2,1118641
40,ok,2006-12-21,55.45,58.2,54.6,56.6,1671060
41,ok,2006-12-25,56.5,58.2,56.0,56.8,929567
42,ok,2006-12-26,57.15,58.2,56.5,57.05,747806
43,ok,2006-12-27,57.3,57.55,55.8,55.95,643980
44,ok,2006-12-28,56.0,57.15,56.0,56.6,551314
45,ok,2007-01-01,57.25,62.25,57.0,60.6,3531841
46,ok,2007-01-02,61.0,71.75,59.0,69.6,14989522
47,ok,2007-01-03,70.05,72.8,66.2,66.9,6712146
48,ok,2007-01-04,66.6,72.25,62.6,67.85,11225108
49,ok,2007-01-07,67.0,69.45,65.55,66.45,3699818
50,ok,2007-01-08,67.4,68.4,65.2,65.85,1711751
51,ok,2007-01-09,66.2,67.0,63.4,63.8,3297125
52,ok,2007-01-10,64.2,66.95,64.0,66.3,1977087
53,ok,2007-01-11,67.0,70.25,66.7,67.9,3695418
54,ok,2007-01-14,68.0,68.55,66.6,67.0,1235131
55,ok,2007-01-15,67.45,74.0,66.1,71.7,8568414
56,ok,2007-01-16,71.5,74.4,70.45,72.7,4282860
57,ok,2007-01-17,73.0,86.4,73.0,82.8,16943523
58,ok,2007-01-18,83.2,83.85,78.0,78.45,4745384
59,ok,2007-01-21,78.45,83.8,77.65,78.9,5990026
60,ok,2007-01-22,78.6,80.8,77.55,78.05,2185101
61,ok,2007-01-23,78.0,80.65,78.0,78.85,1607596
62,ok,2007-01-24,79.1,82.2,78.55,79.7,2480083
63,ok,2007-01-28,80.0,82.3,79.15,80.35,3319348
64,ok,2007-01-30,80.35,82.0,78.85,79.65,2642713
65,ok,2007-01-31,80.0,80.7,75.4,76.45,1857501
66,ok,2007-02-01,77.2,79.15,76.15,76.85,1308187
67,ok,2007-02-04,77.25,79.2,76.6,77.5,1387293
