,s,t,o,h,l,c,v
0,ok,2000-01-02,7.6,7.7,7.3,7.38,17000
1,ok,2000-01-03,7.4,7.4,7.1,7.16,41000
2,ok,2000-01-04,7.1,7.1,7.0,7.0,19000
3,ok,2000-01-05,7.0,7.0,7.0,7.0,3000
4,ok,2000-01-06,6.9,7.18,6.6,7.18,3000
5,ok,2000-01-09,7.1,7.1,7.0,7.1,5000
6,ok,2000-01-10,6.9,6.9,6.8,6.89,10500
7,ok,2000-01-11,7.05,7.05,7.05,7.05,500
8,ok,2000-01-12,6.9,6.9,6.8,6.8,2500
9,ok,2000-01-13,6.8,7.05,6.8,7.05,10500
10,ok,2000-01-16,6.9,7.2,6.9,7.2,12000
11,ok,2000-01-17,6.95,6.95,6.85,6.9,11000
12,ok,2000-01-18,7.35,7.38,7.0,7.0,4000
13,ok,2000-01-19,6.8,6.81,6.8,6.81,2000
14,ok,2000-01-20,6.8,6.8,6.8,6.8,1000
15,ok,2000-01-23,6.75,6.8,6.43,6.71,11000
16,ok,2000-01-24,6.7,6.85,6.5,6.85,12000
17,ok,2000-01-26,7.35,7.35,7.01,7.06,15000
18,ok,2000-01-27,7.01,7.2,7.0,7.15,13000
19,ok,2000-01-30,6.9,7.1,6.9,6.92,3000
20,ok,2000-01-31,6.63,6.99,6.63,6.79,14500
21,ok,2000-02-01,6.6,6.7,6.6,6.61,12500
22,ok,2000-02-02,6.8,6.9,6.5,6.5,11500
23,ok,2000-02-03,6.5,6.5,6.5,6.5,500
24,ok,2000-02-06,6.4,6.6,6.2,6.5,10000
25,ok,2000-02-07,6.4,6.4,6.0,6.02,12000
26,ok,2000-02-08,5.9,6.3,5.9,6.3,6000
27,ok,2000-02-10,6.01,6.01,6.0,6.0,2500
28,ok,2000-02-13,6.1,6.1,6.1,6.1,2000
29,ok,2000-02-14,6.0,6.1,5.8,6.0,11500
30,ok,2000-02-15,6.0,6.05,6.0,6.05,6500
31,ok,2000-02-16,6.0,6.01,6.0,6.0,6500
32,ok,2000-02-17,6.0,6.0,6.0,6.0,2500
33,ok,2000-02-20,6.0,6.0,6.0,6.0,5500
34,ok,2000-02-21,5.8,5.8,5.53,5.63,10500
35,ok,2000-02-22,5.51,5.51,5.35,5.5,28500
36,ok,2000-02-23,5.6,5.7,5.6,5.7,3000
37,ok,2000-02-24,5.6,5.8,5.6,5.8,3500
38,ok,2000-02-27,5.5,5.7,5.5,5.7,5500
39,ok,2000-02-28,5.51,5.7,5.5,5.7,10500
40,ok,2000-02-29,5.7,5.7,5.41,5.41,1500
41,ok,2000-03-01,5.49,5.8,5.4,5.63,22000
42,ok,2000-03-05,5.65,5.65,5.61,5.62,1500
43,ok,2000-03-06,5.61,5.61,5.6,5.6,3500
44,ok,2000-03-07,5.65,5.65,5.65,5.65,5000
45,ok,2000-03-08,5.5,5.6,5.31,5.37,7500
46,ok,2000-03-09,5.1,5.1,5.1,5.1,2500
47,ok,2000-03-12,4.76,4.76,4.7,4.75,8500
48,ok,2000-03-13,4.99,4.99,4.8,4.8,1500
49,ok,2000-03-14,4.91,4.91,4.61,4.61,493000
50,ok,2000-03-15,4.68,4.68,4.68,4.68,1000
51,ok,2000-03-20,5.01,5.01,5.0,5.0,2000
52,ok,2000-03-21,5.15,5.15,5.11,5.11,2500
53,ok,2000-03-22,5.5,5.5,5.5,5.5,40
54,ok,2000-03-26,5.55,5.55,5.5,5.5,4000
55,ok,2000-03-27,5.31,5.31,5.31,5.31,200
56,ok,2000-03-28,5.07,5.1,4.91,5.0,19720
57,ok,2000-03-29,4.81,4.81,4.81,4.81,1000
58,ok,2000-03-30,5.1,5.1,5.1,5.1,1000
59,ok,2000-04-02,5.25,5.43,5.25,5.43,5500
60,ok,2000-04-03,5.5,5.5,5.0,5.2,16010
61,ok,2000-04-04,5.14,5.3,5.14,5.28,3000
62,ok,2000-04-05,5.3,5.3,5.3,5.3,500
63,ok,2000-04-06,5.3,5.32,5.3,5.32,6500
64,ok,2000-04-09,5.3,5.5,5.3,5.37,1470
65,ok,2000-04-11,5.4,5.4,5.23,5.24,6620
66,ok,2000-04-12,5.25,5.25,5.25,5.25,710
67,ok,2000-04-16,5.2,5.57,5.2,5.57,783200
68,ok,2000-04-17,5.27,5.5,5.27,5.35,1910
69,ok,2000-04-18,5.49,5.49,5.49,5.49,1000
70,ok,2000-04-19,5.6,5.6,5.6,5.6,100
71,ok,2000-04-23,5.3,5.55,5.3,5.55,1500
72,ok,2000-04-24,5.33,5.5,5.33,5.38,5710
73,ok,2000-04-25,5.3,5.4,5.3,5.4,310
74,ok,2000-04-26,5.35,5.35,5.35,5.35,230
75,ok,2000-04-27,5.2,5.2,5.2,5.2,250
76,ok,2000-05-01,5.0,5.5,4.8,5.5,5970
77,ok,2000-05-02,5.3,5.37,5.3,5.34,1000
78,ok,2000-05-03,5.0,5.4,5.0,5.39,2120
79,ok,2000-05-04,5.0,5.4,5.0,5.36,3660
80,ok,2000-05-07,5.1,5.5,5.05,5.3,2180
81,ok,2000-05-08,5.01,5.38,5.01,5.38,1000
82,ok,2000-05-09,5.3,5.7,5.3,5.41,4600
83,ok,2000-05-10,5.6,5.6,5.6,5.6,1820
84,ok,2000-05-11,5.28,5.33,5.18,5.27,4000
85,ok,2000-05-15,5.2,5.39,5.1,5.1,6020
86,ok,2000-05-21,5.15,5.15,5.15,5.15,40
87,ok,2000-05-22,4.83,4.83,4.83,4.83,1740
88,ok,2000-05-23,4.8,5.0,4.8,5.0,1180
89,ok,2000-05-28,5.0,5.4,5.0,5.4,1650
90,ok,2000-05-29,5.0,5.8,5.0,5.4,1190
91,ok,2000-05-30,5.4,5.4,5.4,5.4,130
92,ok,2000-05-31,5.4,5.5,5.4,5.5,500
93,ok,2000-06-01,5.3,5.4,5.3,5.4,1080
94,ok,2000-06-04,5.3,5.3,5.3,5.3,710
95,ok,2000-06-05,5.1,5.11,5.1,5.11,1300
96,ok,2000-06-06,4.9,5.09,4.9,5.09,1000
97,ok,2000-06-07,4.95,5.49,4.95,5.49,1230
98,ok,2000-06-08,5.49,5.49,5.1,5.18,1100
99,ok,2000-06-11,5.3,5.4,5.3,5.4,865500
100,ok,2000-06-12,5.05,5.3,5.05,5.3,520
101,ok,2000-06-13,5.3,5.69,5.3,5.69,2020
102,ok,2000-06-14,5.31,5.32,5.31,5.32,650
103,ok,2000-06-18,5.21,5.5,5.21,5.5,3610
104,ok,2000-06-19,5.25,5.55,5.25,5.55,1030
105,ok,2000-06-20,5.77,5.77,5.5,5.76,210
106,ok,2000-06-21,5.76,5.76,5.3,5.63,800
107,ok,2000-06-22,5.3,5.3,5.3,5.3,200
108,ok,2000-06-25,4.9,5.1,4.9,5.1,710
109,ok,2000-06-26,4.81,5.16,4.81,4.96,1210
110,ok,2000-06-28,4.85,4.85,4.85,4.85,370
