,s,t,o,h,l,c,v
0,ok,2000-01-02,24.25,25.65,24.25,25.65,12000
1,ok,2000-01-03,27.5,27.5,23.6,23.65,39600
2,ok,2000-01-04,24.0,25.55,24.0,24.55,21700
3,ok,2000-01-05,26.5,26.5,25.0,25.8,26500
4,ok,2000-01-06,25.0,26.0,24.25,24.5,25100
5,ok,2000-01-09,24.05,24.98,23.5,24.0,16300
6,ok,2000-01-10,24.38,24.38,22.4,22.45,8900
7,ok,2000-01-11,22.55,24.2,21.55,21.93,8500
8,ok,2000-01-12,22.0,22.5,21.5,21.58,9100
9,ok,2000-01-13,21.0,21.88,20.75,21.8,7400
10,ok,2000-01-16,21.0,22.0,21.0,21.13,3500
11,ok,2000-01-17,21.0,21.25,20.0,20.23,11300
12,ok,2000-01-18,20.75,21.75,20.75,21.63,11700
13,ok,2000-01-19,22.0,22.5,21.53,21.6,11600
14,ok,2000-01-20,21.25,21.85,21.25,21.68,12100
15,ok,2000-01-23,21.38,21.38,19.98,19.98,9200
16,ok,2000-01-24,19.0,20.93,18.43,18.75,12600
17,ok,2000-01-26,17.25,19.08,17.25,18.9,6800
18,ok,2000-01-27,18.0,19.0,18.0,19.0,1800
19,ok,2000-01-30,18.0,18.38,17.5,17.93,11000
20,ok,2000-01-31,17.3,17.5,17.0,17.0,4500
21,ok,2000-02-01,17.5,18.38,16.55,18.38,6900
22,ok,2000-02-02,19.75,19.85,19.25,19.53,14200
23,ok,2000-02-03,19.45,19.75,19.45,19.5,5500
24,ok,2000-02-06,20.0,20.08,19.25,19.25,8000
25,ok,2000-02-07,18.53,19.35,18.5,18.65,15300
26,ok,2000-02-08,20.0,20.15,19.55,20.15,11200
27,ok,2000-02-09,20.95,21.13,19.88,20.05,7600
28,ok,2000-02-10,18.53,19.5,18.5,19.4,4500
29,ok,2000-02-13,17.85,18.4,17.85,18.38,2400
30,ok,2000-02-14,17.13,18.5,16.95,17.75,12600
31,ok,2000-02-15,16.9,18.0,16.78,17.5,5000
32,ok,2000-02-16,17.05,18.5,17.03,18.35,6900
33,ok,2000-02-17,19.23,19.75,17.55,19.1,6400
34,ok,2000-02-20,17.58,18.98,17.58,18.28,8400
35,ok,2000-02-21,17.7,17.7,16.83,16.83,16700
36,ok,2000-02-22,17.98,18.0,15.83,16.08,53300
37,ok,2000-02-23,17.13,17.13,14.8,14.95,59200
38,ok,2000-02-24,16.0,16.0,14.3,14.85,63900
39,ok,2000-02-27,15.0,16.05,14.28,16.05,105900
40,ok,2000-02-28,16.5,17.35,16.13,17.08,37300
41,ok,2000-02-29,17.0,18.45,17.0,18.45,8400
42,ok,2000-03-01,18.55,19.88,17.0,17.05,34800
43,ok,2000-03-02,16.5,16.98,15.83,16.73,4700
44,ok,2000-03-05,15.5,15.75,15.4,15.4,10800
45,ok,2000-03-06,14.18,16.4,14.18,14.5,14800
46,ok,2000-03-07,14.0,15.3,13.35,14.0,50400
47,ok,2000-03-08,13.0,13.93,12.9,12.95,21300
48,ok,2000-03-09,13.28,13.93,12.0,12.83,27600
49,ok,2000-03-12,12.03,13.43,12.03,12.4,15200
50,ok,2000-03-13,12.5,13.4,12.5,13.4,12200
51,ok,2000-03-14,12.4,14.2,12.4,14.2,700
