,s,t,o,h,l,c,v
0,ok,2011-06-27,40.0,84.4,38.0,69.9,72089
1,ok,2011-06-28,66.4,73.4,66.4,66.4,9016
2,ok,2011-06-29,64.0,64.0,63.1,63.1,5749
3,ok,2011-06-30,59.95,62.5,59.95,60.0,10173
4,ok,2011-07-03,57.5,62.9,57.0,58.0,7099
5,ok,2011-07-04,55.5,56.05,55.1,56.05,231
6,ok,2011-07-05,54.0,58.85,54.0,58.85,1353
7,ok,2011-07-06,59.0,61.8,59.0,61.8,754
8,ok,2011-07-07,64.9,64.9,64.9,64.9,3106
9,ok,2011-07-10,66.0,68.15,66.0,68.15,3375
10,ok,2011-07-11,74.85,81.8,70.0,81.8,28656
11,ok,2011-07-12,90.0,97.45,81.25,87.0,108480
12,ok,2011-07-13,85.5,92.7,81.05,87.9,30453
13,ok,2011-07-14,87.0,87.0,83.0,84.45,9193
14,ok,2011-07-17,83.1,86.0,81.45,84.0,8725
15,ok,2011-07-18,83.0,85.9,82.0,84.4,3212
16,ok,2011-07-19,83.25,86.0,82.1,84.0,6631
17,ok,2011-07-20,83.0,85.95,82.9,84.2,2906
18,ok,2011-07-21,83.4,85.0,80.25,83.4,4554
19,ok,2011-07-24,82.15,82.95,75.0,78.35,2027
20,ok,2011-07-25,76.0,81.0,74.15,76.1,5436
21,ok,2011-07-26,79.9,79.9,76.0,76.15,592
22,ok,2011-07-27,76.0,82.65,76.0,78.6,6731
23,ok,2011-07-28,78.1,82.0,78.1,80.9,4093
24,ok,2011-07-31,90.0,90.0,79.0,82.05,6553
25,ok,2011-08-01,80.0,85.0,80.0,84.0,2365
26,ok,2011-08-02,80.0,90.0,80.0,88.25,7609
27,ok,2011-08-03,89.9,89.9,83.25,84.45,3413
28,ok,2011-08-04,76.1,86.7,75.0,81.15,2520
29,ok,2011-08-07,77.0,82.75,75.25,80.55,2452
30,ok,2011-08-08,80.0,82.0,80.0,80.8,1270
31,ok,2011-08-09,78.25,84.5,78.25,83.7,1638
32,ok,2011-08-10,86.9,86.9,83.15,84.2,727
33,ok,2011-08-11,81.2,82.8,81.2,81.55,314
34,ok,2011-08-15,80.5,84.35,80.0,82.0,3946
35,ok,2011-08-16,79.9,83.5,79.9,80.85,560
36,ok,2011-08-17,80.5,83.2,78.25,79.9,2658
37,ok,2011-08-18,77.5,79.9,72.25,79.8,1603
38,ok,2011-08-21,76.0,78.0,75.0,76.0,168
39,ok,2011-08-22,79.0,79.0,75.5,76.7,211
40,ok,2011-08-23,78.9,79.0,74.25,74.25,374
41,ok,2011-08-24,79.0,79.0,74.45,74.45,104
42,ok,2011-08-25,74.25,78.95,68.55,73.7,1010
43,ok,2011-08-28,83.75,83.75,79.7,79.85,100
44,ok,2011-08-29,79.0,81.5,74.25,79.45,1632
45,ok,2011-09-01,79.5,80.0,76.5,77.0,115
46,ok,2011-09-04,81.9,82.0,73.0,75.9,477
47,ok,2011-09-05,82.5,82.5,75.1,76.5,675
48,ok,2011-09-06,78.85,78.9,78.85,78.9,150
49,ok,2011-09-07,77.0,82.0,76.15,76.2,362
50,ok,2011-09-08,75.0,79.0,73.25,79.0,45106
51,ok,2011-09-11,77.1,84.0,77.1,83.6,1992
52,ok,2011-09-12,84.0,84.9,84.0,84.0,190
53,ok,2011-09-13,82.0,90.0,80.05,81.0,569
54,ok,2011-09-14,79.0,79.2,79.0,79.2,60
55,ok,2011-09-18,79.15,79.15,75.1,76.55,269
56,ok,2011-09-19,78.8,83.0,75.6,81.6,178
57,ok,2011-09-20,78.0,82.0,78.0,78.35,1013
58,ok,2011-09-21,83.0,83.0,77.0,79.9,1359
59,ok,2011-09-22,79.9,81.1,77.0,81.0,3727
60,ok,2011-09-25,78.0,78.0,75.55,77.0,224
61,ok,2011-09-26,75.15,77.0,70.55,75.05,1819
62,ok,2011-09-27,74.1,74.1,74.1,74.1,100
63,ok,2011-09-28,70.05,72.55,70.05,72.5,116
64,ok,2011-09-29,76.45,77.85,70.55,70.55,310
65,ok,2011-10-02,67.3,76.0,67.3,71.05,464
66,ok,2011-10-03,69.0,77.0,66.3,77.0,16
67,ok,2011-10-04,73.0,74.0,70.55,71.0,1188
68,ok,2011-10-06,68.0,76.0,68.0,76.0,140
69,ok,2011-10-09,74.9,74.9,70.55,70.55,211
70,ok,2011-10-10,73.0,73.0,68.15,68.8,500
71,ok,2011-10-11,69.0,69.0,68.65,68.65,117
72,ok,2011-10-12,69.0,71.5,69.0,70.05,208
73,ok,2011-10-13,67.25,72.5,67.25,68.5,168
74,ok,2011-10-16,68.05,68.05,68.05,68.05,159
75,ok,2011-10-17,72.9,73.0,67.5,72.95,24
76,ok,2011-10-18,73.0,73.95,67.5,71.45,179
77,ok,2011-10-19,69.0,72.0,66.25,67.05,599
78,ok,2011-10-20,70.0,70.0,70.0,70.0,2000
79,ok,2011-10-23,67.5,67.5,67.5,67.5,200
80,ok,2011-10-24,65.25,65.25,62.55,63.85,126
81,ok,2011-10-25,75.0,75.0,64.05,69.55,27
82,ok,2011-10-27,67.0,72.95,65.25,67.1,433
83,ok,2011-10-30,69.5,69.5,69.5,69.5,50
84,ok,2011-10-31,69.0,69.0,67.5,67.5,166
85,ok,2011-11-02,64.85,70.0,64.5,64.5,539
86,ok,2011-11-03,65.1,69.5,65.1,65.1,81
87,ok,2011-11-07,66.0,66.0,63.05,64.0,142
88,ok,2011-11-08,64.0,70.2,64.0,68.0,228
89,ok,2011-11-10,66.1,66.1,62.55,64.1,2834
90,ok,2011-11-13,65.5,65.5,63.0,64.75,766
91,ok,2011-11-14,62.0,62.05,61.2,62.05,371
92,ok,2011-11-16,60.05,61.35,60.05,61.35,24
93,ok,2011-11-17,58.1,67.4,55.1,67.2,26
94,ok,2011-11-20,65.0,67.95,54.35,59.75,1087
95,ok,2011-11-21,61.95,61.95,58.05,58.05,50
96,ok,2011-11-22,57.05,57.05,52.55,56.25,302
97,ok,2011-11-23,67.0,67.0,57.0,57.75,111
98,ok,2011-11-24,56.15,60.9,56.15,60.05,10
99,ok,2011-11-27,65.0,67.0,61.25,63.25,4873
100,ok,2011-11-28,62.0,64.9,55.55,63.0,153
101,ok,2011-11-29,63.0,63.0,63.0,63.0,122
102,ok,2011-12-01,69.5,69.5,69.5,69.5,8
103,ok,2011-12-04,67.0,67.0,60.55,60.6,64
104,ok,2011-12-06,62.0,64.0,62.0,64.0,39
105,ok,2011-12-07,64.0,64.0,64.0,64.0,76
106,ok,2011-12-08,64.0,64.5,61.6,61.6,94
107,ok,2011-12-11,61.1,64.75,61.0,62.05,262
108,ok,2011-12-12,63.8,63.8,61.0,63.7,1131
109,ok,2011-12-13,61.15,61.15,61.15,61.15,66
110,ok,2011-12-14,63.0,68.35,58.05,60.1,1203
111,ok,2011-12-15,58.05,58.05,52.4,53.7,143
112,ok,2011-12-18,52.45,52.45,51.5,51.5,238
113,ok,2011-12-19,52.0,52.2,50.1,51.25,1045
114,ok,2011-12-20,50.2,52.5,41.0,41.4,5315
115,ok,2011-12-21,44.95,45.5,44.95,45.5,2823
116,ok,2011-12-22,50.0,50.05,50.0,50.05,480
117,ok,2011-12-25,51.0,55.05,51.0,55.05,200
118,ok,2011-12-26,55.0,57.55,54.05,55.15,575
119,ok,2011-12-27,53.0,53.0,52.55,52.7,100
120,ok,2011-12-28,55.0,55.3,55.0,55.3,474
121,ok,2011-12-29,55.3,57.9,55.3,56.9,234
122,ok,2012-01-01,55.5,55.5,55.0,55.0,200
123,ok,2012-01-02,57.7,57.7,55.0,55.0,559
124,ok,2012-01-03,55.15,55.15,55.0,55.0,132
125,ok,2012-01-05,55.0,55.0,55.0,55.0,199
126,ok,2012-01-08,54.5,54.5,52.25,52.25,264
127,ok,2012-01-09,54.0,54.85,54.0,54.85,367
128,ok,2012-01-10,54.05,54.1,54.0,54.0,967
