,s,t,o,h,l,c,v
0,ok,2000-01-02,29.95,30.0,29.0,29.8,1900
1,ok,2000-01-03,30.0,30.0,28.0,29.05,2900
2,ok,2000-01-04,26.8,29.75,26.8,27.5,2500
3,ok,2000-01-05,28.0,28.75,28.0,28.75,800
4,ok,2000-01-06,28.0,28.0,27.55,27.55,400
5,ok,2000-01-09,27.5,27.5,25.35,25.35,600
6,ok,2000-01-10,26.5,27.25,24.0,24.0,2300
7,ok,2000-01-11,25.0,25.0,24.95,25.0,700
8,ok,2000-01-12,25.1,25.1,25.1,25.1,100
9,ok,2000-01-13,27.1,27.1,26.5,26.9,300
10,ok,2000-01-16,26.0,26.0,25.0,25.05,1600
11,ok,2000-01-17,24.25,24.25,23.8,24.0,800
12,ok,2000-01-18,24.55,24.7,22.6,24.7,2500
13,ok,2000-01-19,24.5,24.5,23.1,23.1,1000
14,ok,2000-01-20,23.5,24.7,23.5,24.05,700
15,ok,2000-01-23,22.65,24.3,22.6,24.3,700
16,ok,2000-01-24,22.75,23.75,22.45,22.45,2500
17,ok,2000-01-26,22.25,22.25,22.25,22.25,100
18,ok,2000-01-27,21.15,24.0,21.1,22.65,1300
19,ok,2000-01-30,21.2,21.55,21.2,21.55,700
20,ok,2000-01-31,20.8,21.5,20.75,21.25,1200
21,ok,2000-02-01,21.95,22.85,21.5,22.5,2200
22,ok,2000-02-02,21.25,22.0,21.25,22.0,500
23,ok,2000-02-03,22.95,22.95,22.0,22.0,1100
24,ok,2000-02-06,23.4,23.7,22.1,22.1,1700
25,ok,2000-02-07,22.0,22.0,20.5,20.85,3100
26,ok,2000-02-08,21.85,21.9,21.85,21.9,200
27,ok,2000-02-09,23.0,23.25,23.0,23.25,500
28,ok,2000-02-10,23.9,23.9,22.5,22.5,400
29,ok,2000-02-13,22.0,23.1,20.7,20.7,3700
30,ok,2000-02-14,20.0,20.0,19.05,19.05,4700
31,ok,2000-02-15,20.0,20.0,14.95,17.2,43900
32,ok,2000-02-16,18.9,18.9,17.3,18.5,5300
33,ok,2000-02-17,19.4,19.4,17.55,18.0,6200
34,ok,2000-02-20,18.0,18.2,17.5,17.5,4100
35,ok,2000-02-21,16.6,19.0,16.6,18.0,4800
36,ok,2000-02-22,16.5,16.5,16.5,16.5,100
37,ok,2000-02-23,19.95,19.95,18.5,19.4,2400
38,ok,2000-02-24,21.8,21.8,16.1,18.05,4600
39,ok,2000-02-27,16.5,18.75,16.5,17.2,700
40,ok,2000-02-28,19.5,19.5,17.0,17.15,2200
41,ok,2000-02-29,18.0,18.8,17.5,18.4,1600
42,ok,2000-03-01,20.0,20.0,18.0,18.0,2000
43,ok,2000-03-02,18.0,19.2,18.0,18.95,1100
44,ok,2000-03-05,19.0,19.0,17.15,17.65,3500
45,ok,2000-03-06,15.5,17.0,15.0,16.45,4900
46,ok,2000-03-07,17.25,19.0,17.2,17.55,900
47,ok,2000-03-08,15.8,16.3,15.8,16.3,200
48,ok,2000-03-09,16.75,16.75,16.0,16.0,1100
49,ok,2000-03-12,16.0,17.0,16.0,17.0,500
50,ok,2000-03-13,15.05,18.9,15.05,16.0,1700
51,ok,2000-03-15,14.25,16.25,14.25,14.9,300
52,ok,2000-03-20,14.5,14.8,14.5,14.8,300
53,ok,2000-03-21,16.75,16.75,16.75,16.75,100
54,ok,2000-03-22,17.0,17.0,14.5,14.5,1500
55,ok,2000-03-23,14.25,14.25,13.0,13.0,4200
56,ok,2000-03-26,14.5,14.5,14.5,14.5,600
57,ok,2000-03-27,14.4,14.4,13.5,14.0,1400
58,ok,2000-03-28,14.2,14.25,14.2,14.25,300
59,ok,2000-03-29,14.0,15.25,14.0,15.25,600
60,ok,2000-03-30,15.3,15.3,15.3,15.3,200
61,ok,2000-04-02,15.0,15.25,15.0,15.0,400
62,ok,2000-04-03,13.55,14.0,13.0,13.65,1400
63,ok,2000-04-04,14.0,14.0,14.0,14.0,100
64,ok,2000-04-05,14.1,14.9,14.1,14.9,200
65,ok,2000-04-06,14.85,15.0,14.85,15.0,900
66,ok,2000-04-09,15.0,15.0,15.0,15.0,100
67,ok,2000-04-11,14.0,14.0,14.0,14.0,100
68,ok,2000-04-16,14.0,15.5,14.0,15.5,300
69,ok,2000-04-17,14.05,14.75,13.8,14.25,800
70,ok,2000-04-18,14.0,14.0,13.35,13.35,800
71,ok,2000-04-19,12.8,12.8,11.6,11.6,2200
72,ok,2000-04-23,11.15,11.15,11.15,11.15,100
73,ok,2000-04-24,11.0,11.85,11.0,11.8,900
74,ok,2000-04-25,12.5,12.5,11.0,12.0,1400
75,ok,2000-04-26,11.0,11.85,11.0,11.85,1100
76,ok,2000-05-01,10.5,10.5,10.5,10.5,100
77,ok,2000-05-03,12.75,12.75,12.75,12.75,100
78,ok,2000-05-04,11.2,11.2,11.2,11.2,200
79,ok,2000-05-07,11.5,11.5,11.5,11.5,100
80,ok,2000-05-08,11.6,11.6,11.05,11.6,600
81,ok,2000-05-09,10.0,11.2,10.0,11.2,1600
82,ok,2000-05-11,11.5,11.5,11.0,11.2,1000
83,ok,2000-05-14,11.25,11.45,11.25,11.4,1600
84,ok,2000-05-15,10.5,10.5,10.25,10.3,300
85,ok,2000-05-16,11.0,11.0,11.0,11.0,1000
86,ok,2000-05-17,10.0,10.0,9.5,9.5,1600
87,ok,2000-05-18,10.0,10.0,10.0,10.0,200
88,ok,2000-05-22,10.0,10.0,10.0,10.0,100
89,ok,2000-05-23,10.45,10.5,10.45,10.5,500
90,ok,2000-05-24,10.4,10.4,10.4,10.4,100
91,ok,2000-05-25,10.0,10.0,10.0,10.0,1000
92,ok,2000-05-28,11.25,11.25,11.25,11.25,500
93,ok,2000-05-29,10.9,10.9,10.0,10.9,1400
94,ok,2000-05-30,10.5,10.5,10.5,10.5,800
95,ok,2000-05-31,10.0,10.0,10.0,10.0,100
96,ok,2000-06-01,10.5,11.0,10.5,11.0,300
97,ok,2000-06-04,11.2,11.2,11.2,11.2,100
98,ok,2000-06-05,9.6,10.0,9.6,10.0,300
99,ok,2000-06-08,10.0,10.0,10.0,10.0,200
100,ok,2000-06-11,10.95,10.95,10.95,10.95,100
101,ok,2000-06-12,10.5,10.55,10.5,10.5,400
102,ok,2000-06-13,12.0,12.0,11.0,11.0,500
103,ok,2000-06-14,10.0,10.75,10.0,10.7,600
104,ok,2000-06-18,10.25,10.5,10.0,10.5,2000
105,ok,2000-06-19,10.5,11.5,10.5,11.4,2100
106,ok,2000-06-20,14.25,14.25,12.5,14.25,1800
107,ok,2000-06-21,12.55,14.0,12.55,14.0,805
108,ok,2000-06-22,13.5,14.4,13.2,14.35,1405
109,ok,2000-06-25,13.4,13.4,13.4,13.4,110
110,ok,2000-06-26,14.25,14.25,13.95,14.0,945
111,ok,2000-06-27,14.0,14.0,14.0,14.0,1
112,ok,2000-06-28,12.5,12.5,12.5,12.5,5
113,ok,2000-06-29,10.05,11.05,10.05,11.05,110
114,ok,2000-07-02,11.0,11.0,11.0,11.0,155
115,ok,2000-07-03,13.0,13.0,13.0,13.0,37
116,ok,2000-07-04,14.0,14.0,12.6,12.6,200
117,ok,2000-07-05,13.4,13.4,13.4,13.4,1
118,ok,2000-07-09,11.6,11.6,11.6,11.6,18
119,ok,2000-07-10,12.0,13.5,11.65,12.1,1702
120,ok,2000-07-13,14.75,14.75,11.25,11.25,2000
121,ok,2000-07-16,13.5,13.5,13.5,13.5,100
122,ok,2000-07-18,12.05,12.05,12.0,12.0,200
123,ok,2000-07-19,11.1,12.1,11.1,12.1,60
124,ok,2000-07-24,11.95,12.0,9.25,10.5,1295
125,ok,2000-07-25,12.5,12.5,12.5,12.5,10
126,ok,2000-07-26,10.5,10.5,10.5,10.5,100
127,ok,2000-07-31,10.3,10.3,10.3,10.3,5
128,ok,2000-08-02,11.75,11.75,11.75,11.75,100
129,ok,2000-08-09,9.25,10.9,9.05,10.8,1500
130,ok,2000-08-10,10.5,10.5,10.5,10.5,200
131,ok,2000-08-13,9.9,9.9,9.15,9.15,200
132,ok,2000-08-15,9.5,9.75,9.5,9.75,500
133,ok,2000-08-16,10.0,10.0,10.0,10.0,300
134,ok,2000-08-20,10.0,10.0,10.0,10.0,100
135,ok,2000-08-21,10.0,10.0,10.0,10.0,255
136,ok,2000-08-24,9.1,9.1,9.1,9.1,100
137,ok,2000-08-27,10.05,10.05,9.15,9.15,360
138,ok,2000-08-29,11.9,11.9,10.05,10.05,300
139,ok,2000-09-03,10.5,10.5,10.25,10.25,355
140,ok,2000-09-04,9.35,9.35,7.8,7.9,18850
141,ok,2000-09-05,8.4,9.4,7.0,7.55,22254
142,ok,2000-09-06,7.65,8.2,7.5,8.2,7030
143,ok,2000-09-07,8.25,9.3,7.0,8.0,72224
144,ok,2000-09-10,8.55,8.55,7.35,8.5,16058
145,ok,2000-09-11,8.0,8.5,8.0,8.05,8140
146,ok,2000-09-13,8.75,8.8,8.15,8.8,2900
147,ok,2000-09-14,8.25,8.25,8.2,8.2,3345
148,ok,2000-09-17,8.0,8.25,7.9,8.0,5205
149,ok,2000-09-18,8.05,8.75,8.0,8.25,1730
150,ok,2000-09-19,8.25,8.25,8.25,8.25,2000
151,ok,2000-09-20,8.1,8.45,8.1,8.45,2200
152,ok,2000-09-21,8.1,8.35,8.0,8.05,700
153,ok,2000-09-24,8.2,8.5,8.2,8.4,1700
154,ok,2000-09-25,8.45,8.75,8.45,8.75,3000
155,ok,2000-09-27,8.1,8.1,8.1,8.1,55
156,ok,2000-09-28,8.0,8.0,8.0,8.0,400
157,ok,2000-10-02,8.5,8.55,8.0,8.0,3500
158,ok,2000-10-03,8.5,8.75,8.5,8.6,200
159,ok,2000-10-04,8.0,8.0,7.7,7.7,50
160,ok,2000-10-05,7.8,7.8,7.8,7.8,10
161,ok,2000-10-08,7.8,7.8,7.8,7.8,100
162,ok,2000-10-12,8.2,8.2,8.0,8.0,2
