,s,t,o,h,l,c,v
0,ok,2016-12-28,369.0,369.0,350.79,358.84,1015
1,ok,2016-12-29,359.99,360.01,346.4,355.45,2310
2,ok,2017-01-01,345.0,364.0,345.0,363.91,360
3,ok,2017-01-02,360.4,360.4,357.4,358.0,2180
4,ok,2017-01-03,366.0,366.0,352.0,355.41,1330
5,ok,2017-01-04,355.41,359.2,354.0,355.5,1190
6,ok,2017-01-05,355.01,371.0,355.0,366.63,3255
7,ok,2017-01-08,410.0,410.0,368.0,384.94,1475
8,ok,2017-01-09,394.97,397.02,385.52,389.32,3830
9,ok,2017-01-10,391.99,391.99,385.0,389.96,1240
10,ok,2017-01-11,389.98,396.0,382.82,386.69,4040
11,ok,2017-01-12,386.6,391.8,378.48,380.26,665
12,ok,2017-01-15,385.0,387.99,377.6,387.94,1110
13,ok,2017-01-16,394.0,409.8,394.0,402.49,2075
14,ok,2017-01-17,403.0,419.8,402.4,411.95,8655
15,ok,2017-01-18,404.0,425.0,404.0,413.49,5405
16,ok,2017-01-19,402.01,422.0,402.01,418.22,2915
17,ok,2017-01-22,420.0,428.99,410.8,417.18,760
18,ok,2017-01-23,413.02,420.0,400.0,409.19,1100
19,ok,2017-01-24,419.98,420.0,403.0,412.44,590
20,ok,2017-01-26,401.04,417.6,395.94,398.75,1115
21,ok,2017-01-29,396.4,404.0,391.2,395.59,1300
22,ok,2017-01-30,391.6,405.0,390.0,394.75,2285
23,ok,2017-01-31,390.88,401.98,387.01,392.14,1010
24,ok,2017-02-01,400.0,400.0,380.8,391.7,5650
25,ok,2017-02-02,363.11,398.99,363.11,378.76,7700
26,ok,2017-02-05,371.18,387.74,371.18,373.81,5090
27,ok,2017-02-06,379.79,379.8,359.6,360.26,1225
28,ok,2017-02-07,358.2,369.2,358.2,363.0,695
29,ok,2017-02-08,368.0,370.6,349.0,363.09,720
30,ok,2017-02-09,365.0,393.6,365.0,379.91,3790
31,ok,2017-02-12,391.3,402.7,377.99,378.0,880
32,ok,2017-02-13,373.0,388.4,373.0,380.53,320
33,ok,2017-02-14,383.75,383.75,377.9,378.58,915
34,ok,2017-02-15,371.03,382.4,371.03,380.55,1090
35,ok,2017-02-16,379.0,382.0,372.0,376.78,125
36,ok,2017-02-19,374.21,392.6,365.0,368.67,3780
37,ok,2017-02-20,375.99,376.0,364.25,366.29,1060
38,ok,2017-02-21,373.4,379.6,365.16,374.18,1880
39,ok,2017-02-22,379.0,396.64,370.02,378.0,1715
40,ok,2017-02-26,377.99,390.98,375.0,384.35,695
41,ok,2017-02-27,373.0,377.75,349.76,368.25,1400
42,ok,2017-02-28,376.55,377.6,367.02,374.46,335
43,ok,2017-03-01,377.98,391.8,366.86,366.98,1305
44,ok,2017-03-02,361.02,368.8,361.0,364.78,865
45,ok,2017-03-05,375.0,375.72,358.81,360.4,1925
46,ok,2017-03-06,364.16,366.0,356.0,358.15,2700
47,ok,2017-03-07,360.0,360.01,351.0,358.95,4620
48,ok,2017-03-08,356.14,358.2,349.02,349.28,2165
49,ok,2017-03-09,357.83,358.01,328.31,355.26,5620
50,ok,2017-03-13,355.0,358.0,342.01,347.42,690
51,ok,2017-03-14,347.5,349.8,342.99,349.62,10720
52,ok,2017-03-15,342.62,350.0,342.62,345.16,6595
53,ok,2017-03-16,347.0,359.59,340.46,341.51,4385
54,ok,2017-03-19,348.84,356.99,344.99,353.74,6675
55,ok,2017-03-20,350.0,352.39,345.99,346.15,5990
56,ok,2017-03-21,342.2,355.0,339.95,342.32,7185
57,ok,2017-03-22,351.59,351.6,340.0,345.12,765
58,ok,2017-03-23,355.4,360.0,338.01,343.62,10095
59,ok,2017-03-26,350.8,350.8,341.22,342.23,5705
60,ok,2017-03-27,336.6,345.2,332.2,341.86,5650
61,ok,2017-03-28,347.0,350.0,336.0,341.35,17205
62,ok,2017-03-29,341.66,349.4,341.66,345.73,2485
63,ok,2017-03-30,349.57,350.0,342.9,347.78,4970
64,ok,2017-04-02,349.99,350.0,344.0,345.04,4005
65,ok,2017-04-04,349.59,349.8,341.0,342.46,5580
66,ok,2017-04-05,343.4,346.0,335.0,338.82,6675
67,ok,2017-04-06,344.19,347.0,335.21,338.08,2315
68,ok,2017-04-09,340.47,344.0,338.2,338.71,4535
69,ok,2017-04-10,339.54,339.54,330.4,333.93,2120
70,ok,2017-04-11,332.1,336.6,305.02,329.0,4305
71,ok,2017-04-12,335.54,335.54,325.0,329.89,5625
72,ok,2017-04-16,329.31,329.6,316.71,323.41,7025
73,ok,2017-04-17,323.39,332.4,323.39,330.94,1450
74,ok,2017-04-18,327.85,333.2,324.0,332.0,4080
75,ok,2017-04-19,332.2,332.2,320.0,324.54,3815
76,ok,2017-04-20,327.15,327.99,322.0,325.29,3040
77,ok,2017-04-23,325.0,329.0,322.8,326.98,4080
78,ok,2017-04-24,323.01,330.0,323.01,328.0,4675
79,ok,2017-04-25,330.0,330.0,323.2,324.0,2110
80,ok,2017-04-26,325.15,330.6,324.59,329.67,19500
81,ok,2017-04-27,323.2,334.7,323.01,323.01,1415
82,ok,2017-05-01,329.99,329.99,315.2,320.83,8495
83,ok,2017-05-02,320.4,323.0,317.6,319.88,4220
84,ok,2017-05-03,320.0,324.6,316.26,320.11,9605
85,ok,2017-05-04,323.54,335.4,323.54,324.01,9355
86,ok,2017-05-07,333.74,335.8,320.26,331.01,9545
87,ok,2017-05-08,338.78,338.78,328.1,331.23,6735
88,ok,2017-05-09,332.61,341.16,331.12,339.28,9675
89,ok,2017-05-10,349.4,349.4,340.0,344.44,16725
90,ok,2017-05-11,345.0,348.8,333.6,336.59,8425
91,ok,2017-05-14,330.0,340.0,330.0,333.16,7850
92,ok,2017-05-15,337.73,337.73,330.24,334.83,2500
93,ok,2017-05-16,342.95,344.68,330.6,332.77,3560
94,ok,2017-05-17,331.99,336.85,320.0,322.21,5160
95,ok,2017-05-18,331.0,331.0,317.4,321.5,1765
96,ok,2017-05-21,317.61,323.8,314.44,315.38,1545
97,ok,2017-05-22,310.89,322.8,295.0,297.87,9040
98,ok,2017-05-23,301.6,315.6,288.89,297.87,2505
99,ok,2017-05-24,299.7,299.7,292.22,298.73,1570
100,ok,2017-05-25,290.2,291.6,272.4,282.0,7895
101,ok,2017-05-28,280.0,282.8,255.2,259.43,13905
102,ok,2017-05-29,259.43,275.8,242.0,243.08,14755
103,ok,2017-05-30,249.8,250.0,239.0,242.5,9790
104,ok,2017-05-31,242.49,246.96,237.4,239.23,6600
105,ok,2017-06-01,237.82,241.0,234.0,234.75,5710
106,ok,2017-06-04,241.79,241.79,231.68,234.59,6975
107,ok,2017-06-05,232.2,236.99,226.2,231.5,6500
108,ok,2017-06-06,227.21,232.4,224.0,226.15,40730
109,ok,2017-06-07,226.0,271.38,224.0,271.38,85540
110,ok,2017-06-08,280.0,282.1,261.0,264.4,185465
111,ok,2017-06-11,264.9,264.9,252.0,256.51,18645
112,ok,2017-06-12,254.36,264.0,251.0,252.9,38700
113,ok,2017-06-13,250.21,253.66,238.67,241.63,39385
114,ok,2017-06-14,241.53,244.94,236.2,241.02,33135
115,ok,2017-06-15,243.39,255.9,238.53,251.94,33915
116,ok,2017-06-18,250.0,274.62,250.0,269.69,33205
117,ok,2017-06-19,272.0,280.0,264.61,279.93,46200
118,ok,2017-06-20,278.24,283.0,271.2,279.96,287120
119,ok,2017-06-21,286.0,294.77,273.02,282.22,1553225
120,ok,2017-06-22,283.2,285.2,273.0,274.49,71265
121,ok,2017-06-26,278.0,279.6,268.0,277.82,92395
122,ok,2017-06-27,280.0,286.99,272.24,284.43,89695
123,ok,2017-06-28,287.0,294.4,284.91,292.72,136795
124,ok,2017-06-29,289.66,295.7,286.0,289.55,31695
125,ok,2017-07-02,289.0,292.24,283.59,286.55,30700
126,ok,2017-07-03,286.81,286.81,272.21,277.58,22030
127,ok,2017-07-04,277.41,280.15,272.2,274.96,21155
128,ok,2017-07-05,276.02,280.0,272.0,273.44,22690
129,ok,2017-07-06,274.81,277.0,272.0,274.38,21025
130,ok,2017-07-09,277.2,279.19,273.76,276.55,7915
131,ok,2017-07-10,283.38,283.38,274.6,276.73,35110
132,ok,2017-07-11,274.19,279.6,274.19,276.52,15475
133,ok,2017-07-12,272.4,285.6,272.4,281.05,65845
134,ok,2017-07-13,288.0,288.0,282.01,284.3,44310
135,ok,2017-07-16,288.0,304.0,280.22,302.35,156910
136,ok,2017-07-17,306.6,313.98,302.42,309.97,71130
137,ok,2017-07-18,314.86,317.6,300.44,304.06,45190
138,ok,2017-07-19,309.9,315.96,303.79,311.44,31750
139,ok,2017-07-20,306.1,314.4,306.1,312.21,24270
140,ok,2017-07-23,318.86,318.86,310.0,312.75,14030
141,ok,2017-07-24,306.72,313.48,300.5,304.45,18830
142,ok,2017-07-25,301.4,310.0,298.4,303.97,11420
143,ok,2017-07-26,298.65,306.24,298.65,301.9,8175
144,ok,2017-07-27,302.1,305.88,297.51,301.12,11340
145,ok,2017-07-30,295.0,322.0,295.0,320.41,59735
146,ok,2017-07-31,324.85,325.18,315.0,321.38,18445
147,ok,2017-08-01,321.5,323.8,308.44,314.63,11175
148,ok,2017-08-02,313.98,317.39,304.0,308.26,12255
149,ok,2017-08-03,314.45,314.49,300.0,305.97,22935
150,ok,2017-08-06,308.01,324.0,308.01,321.06,26890
151,ok,2017-08-07,322.0,323.99,309.61,316.77,8190
152,ok,2017-08-08,320.0,323.6,312.02,319.38,27825
153,ok,2017-08-09,314.0,314.0,282.0,284.18,44860
154,ok,2017-08-10,284.0,289.87,276.0,278.89,21085
155,ok,2017-08-13,281.6,281.98,274.1,276.79,13060
156,ok,2017-08-15,284.8,293.4,281.26,289.82,23945
157,ok,2017-08-16,289.76,289.76,281.51,284.42,9925
158,ok,2017-08-17,284.71,286.8,280.0,283.65,5165
159,ok,2017-08-20,289.6,289.6,274.22,275.44,9960
160,ok,2017-08-21,275.0,281.49,267.18,269.54,9150
161,ok,2017-08-22,277.62,287.86,274.78,280.57,11010
162,ok,2017-08-23,284.8,284.8,276.06,281.39,3385
163,ok,2017-08-27,278.43,283.0,278.41,279.82,6130
164,ok,2017-08-28,284.8,284.8,277.39,278.61,3470
165,ok,2017-08-29,278.98,280.6,275.0,276.52,4515
166,ok,2017-08-30,280.23,280.23,268.0,273.84,12215
167,ok,2017-08-31,273.99,280.21,273.99,278.62,7450
168,ok,2017-09-03,276.49,279.8,258.1,263.95,30790
169,ok,2017-09-04,270.39,276.4,263.0,273.62,14615
170,ok,2017-09-05,272.76,284.6,272.76,281.58,26335
171,ok,2017-09-06,283.98,293.8,279.0,284.16,28430
172,ok,2017-09-07,287.76,288.48,276.8,281.06,14170
173,ok,2017-09-10,281.19,286.0,278.0,278.68,43540
174,ok,2017-09-11,285.0,285.0,275.04,278.04,13635
175,ok,2017-09-12,284.8,284.8,270.0,271.04,19575
176,ok,2017-09-13,273.8,278.79,264.67,275.34,28905
177,ok,2017-09-14,274.74,279.21,268.76,273.13,17990
178,ok,2017-09-17,274.98,280.06,271.14,274.16,37230
179,ok,2017-09-18,274.16,289.6,273.74,286.85,35815
180,ok,2017-09-19,286.3,309.0,286.0,295.26,53310
181,ok,2017-09-20,295.0,297.0,276.02,279.94,50135
182,ok,2017-09-21,284.0,299.2,264.0,265.94,85995
183,ok,2017-09-24,269.0,270.8,254.81,259.71,34840
184,ok,2017-09-25,265.0,269.8,258.44,268.72,15615
185,ok,2017-09-26,266.92,276.78,256.04,270.95,18905
186,ok,2017-09-27,271.0,273.98,267.01,273.3,7975
187,ok,2017-09-28,270.6,282.0,269.19,277.65,33810
188,ok,2017-10-02,276.36,285.17,272.45,282.42,9475
189,ok,2017-10-03,280.0,309.0,280.0,292.58,68085
190,ok,2017-10-04,298.93,308.8,290.4,297.19,115050
191,ok,2017-10-05,298.8,306.0,293.51,301.35,36015
192,ok,2017-10-08,304.0,304.0,292.4,295.66,19630
193,ok,2017-10-09,299.6,301.8,292.0,298.95,31475
194,ok,2017-10-10,304.0,304.0,295.2,300.78,22365
195,ok,2017-10-11,299.98,322.54,298.77,317.9,70145
196,ok,2017-10-12,320.0,324.0,315.0,315.7,15935
197,ok,2017-10-15,323.6,323.6,311.01,311.64,12665
198,ok,2017-10-16,314.96,318.1,311.0,313.98,18650
199,ok,2017-10-17,315.0,318.0,310.43,311.18,9615
200,ok,2017-10-18,312.03,317.79,304.22,312.36,10555
201,ok,2017-10-22,310.35,312.8,308.92,311.61,1795
202,ok,2017-10-23,314.0,324.96,311.61,322.26,25135
203,ok,2017-10-24,322.42,340.98,321.91,324.34,48810
204,ok,2017-10-25,319.51,339.0,319.0,335.64,48120
205,ok,2017-10-26,329.61,347.0,329.61,344.24,68560
206,ok,2017-10-29,345.0,357.0,339.0,349.8,48880
207,ok,2017-10-30,344.51,399.0,344.51,385.06,193105
208,ok,2017-10-31,386.0,392.0,374.02,383.51,41200
209,ok,2017-11-01,380.02,384.0,374.0,375.78,14645
210,ok,2017-11-02,373.79,389.8,363.2,383.03,34885
211,ok,2017-11-05,380.0,390.0,375.0,379.93,51145
212,ok,2017-11-06,389.76,389.8,375.31,380.21,19785
213,ok,2017-11-07,376.0,392.0,376.0,388.21,43635
