,s,t,o,h,l,c,v
0,ok,2000-01-02,26.75,26.75,26.75,26.75,1250
1,ok,2000-01-03,28.9,28.9,28.9,28.9,4950
2,ok,2000-01-04,31.2,31.25,28.9,31.25,22050
3,ok,2000-01-05,33.65,33.75,33.0,33.75,22400
4,ok,2000-01-06,34.05,34.05,31.05,31.1,39950
5,ok,2000-01-09,31.5,31.5,28.75,28.75,15400
6,ok,2000-01-10,26.6,29.25,26.6,27.9,25500
7,ok,2000-01-11,28.4,29.9,27.8,28.2,4150
8,ok,2000-01-12,26.4,28.0,26.2,28.0,4850
9,ok,2000-01-13,28.0,28.0,26.8,27.0,1600
10,ok,2000-01-16,29.0,29.0,26.7,27.25,4800
11,ok,2000-01-17,26.55,27.3,26.1,26.3,6650
12,ok,2000-01-18,25.0,26.65,25.0,26.55,3350
13,ok,2000-01-19,26.1,26.1,24.65,24.8,11050
14,ok,2000-01-20,25.5,25.6,24.15,25.3,2950
15,ok,2000-01-23,24.2,25.25,24.2,25.0,2550
16,ok,2000-01-24,24.5,24.9,24.0,24.65,4300
17,ok,2000-01-26,24.05,25.1,24.05,24.2,3500
18,ok,2000-01-27,24.9,24.9,24.05,24.1,3750
19,ok,2000-01-30,24.25,24.25,22.65,22.65,1850
20,ok,2000-01-31,23.45,23.45,22.5,22.65,3650
21,ok,2000-02-01,23.4,24.0,22.7,23.0,5150
22,ok,2000-02-02,22.75,23.25,22.55,23.25,5650
23,ok,2000-02-03,23.9,24.0,22.8,23.35,3650
24,ok,2000-02-06,23.5,23.65,22.5,22.55,5600
25,ok,2000-02-07,22.1,22.5,21.5,22.35,7500
26,ok,2000-02-08,24.15,24.15,24.15,24.15,500
27,ok,2000-02-09,26.1,26.1,26.1,26.1,1150
28,ok,2000-02-10,28.2,28.2,28.2,28.2,1650
29,ok,2000-02-13,30.25,30.45,27.0,28.35,38000
30,ok,2000-02-14,27.0,27.85,26.1,26.1,15850
31,ok,2000-02-15,28.2,28.2,28.2,28.2,12200
32,ok,2000-02-16,27.5,28.4,26.2,27.15,29600
33,ok,2000-02-17,27.5,28.8,27.3,28.0,24400
34,ok,2000-02-20,28.15,28.15,27.1,27.6,8300
35,ok,2000-02-21,27.05,28.0,27.0,27.35,8700
36,ok,2000-02-22,27.45,27.9,26.25,27.3,7200
37,ok,2000-02-23,26.5,27.25,26.5,26.8,7750
38,ok,2000-02-24,25.5,27.85,25.4,27.0,3550
39,ok,2000-02-27,26.9,27.6,26.75,26.95,13600
40,ok,2000-02-28,25.0,27.5,25.0,27.1,18800
41,ok,2000-02-29,26.65,27.5,26.5,27.2,11100
42,ok,2000-03-01,28.0,28.0,27.2,27.25,7600
43,ok,2000-03-02,26.0,26.05,25.3,25.55,4050
