,s,t,o,h,l,c,v
0,ok,2011-06-28,92.6,96.95,87.0,89.05,121987
1,ok,2011-06-29,90.7,90.7,87.0,88.6,37830
2,ok,2011-06-30,83.0,90.0,83.0,89.0,48253
3,ok,2011-07-03,91.0,91.0,88.0,89.0,40203
4,ok,2011-07-04,88.8,90.85,88.25,88.7,40502
5,ok,2011-07-05,87.3,93.5,87.3,93.15,112367
6,ok,2011-07-06,94.5,94.8,90.7,91.9,81526
7,ok,2011-07-07,91.9,92.95,89.6,90.95,76381
8,ok,2011-07-10,91.05,92.0,87.4,89.55,69265
9,ok,2011-07-11,88.0,89.95,88.0,89.85,38382
10,ok,2011-07-12,90.2,97.0,90.05,94.4,111046
11,ok,2011-07-13,92.1,96.0,92.1,93.55,63123
12,ok,2011-07-14,96.7,98.8,94.5,95.95,85341
13,ok,2011-07-17,97.85,99.4,96.05,98.05,51901
14,ok,2011-07-18,97.2,104.0,97.2,103.0,216147
15,ok,2011-07-19,103.8,108.5,103.6,106.85,199341
16,ok,2011-07-20,106.2,112.3,99.6,102.35,272083
17,ok,2011-07-21,103.45,109.7,103.45,108.65,101569
18,ok,2011-07-24,107.8,110.05,106.4,107.8,69163
19,ok,2011-07-25,107.35,108.75,103.35,104.35,87772
20,ok,2011-07-26,105.35,114.45,103.4,111.4,252707
21,ok,2011-07-27,110.85,112.5,107.1,109.6,125382
22,ok,2011-07-28,108.0,111.6,105.1,105.85,80395
23,ok,2011-07-31,105.0,111.9,105.0,110.0,102614
24,ok,2011-08-01,112.0,112.05,107.15,110.15,71389
25,ok,2011-08-02,103.0,113.4,103.0,110.2,97488
26,ok,2011-08-03,108.55,113.8,108.55,109.9,72302
27,ok,2011-08-04,104.05,109.9,103.0,105.3,151453
28,ok,2011-08-07,103.0,104.8,99.6,103.45,64426
29,ok,2011-08-08,98.2,103.8,98.2,100.4,76689
30,ok,2011-08-09,100.5,110.0,100.5,107.35,184612
31,ok,2011-08-10,106.25,108.95,104.0,104.75,72241
32,ok,2011-08-11,101.1,109.55,101.1,103.3,66853
33,ok,2011-08-15,104.75,105.0,100.2,100.65,65715
34,ok,2011-08-16,100.8,102.9,100.0,100.35,40545
