,s,t,o,h,l,c,v
0,ok,2017-03-20,600.0,648.9,558.3,641.6,85728445
1,ok,2017-03-21,641.55,657.45,625.1,638.55,15817671
2,ok,2017-03-22,637.9,648.0,628.15,634.85,4690121
3,ok,2017-03-23,635.45,640.45,612.6,616.9,4865013
4,ok,2017-03-26,615.0,623.0,602.35,614.4,3535098
5,ok,2017-03-27,617.2,633.4,615.1,628.8,2981122
6,ok,2017-03-28,632.9,637.0,622.4,628.25,2407007
7,ok,2017-03-29,624.2,635.0,622.2,631.85,1324054
8,ok,2017-03-30,634.4,652.3,630.0,637.85,2075789
9,ok,2017-04-02,638.0,643.0,633.0,634.25,992545
10,ok,2017-04-04,636.0,645.1,628.3,632.15,820437
11,ok,2017-04-05,632.0,668.4,630.2,664.4,5166823
12,ok,2017-04-06,665.9,761.35,664.0,751.2,16504569
13,ok,2017-04-09,769.0,806.9,759.05,774.1,14333464
14,ok,2017-04-10,778.9,791.1,768.35,778.55,4283589
15,ok,2017-04-11,779.0,782.9,755.0,762.2,2435513
16,ok,2017-04-12,756.9,806.9,756.0,783.25,6262741
17,ok,2017-04-16,785.9,789.7,766.6,774.05,2786771
18,ok,2017-04-17,774.9,774.9,725.1,730.15,4750180
19,ok,2017-04-18,735.0,752.0,722.0,732.8,2052184
20,ok,2017-04-19,740.0,765.0,732.4,756.3,3218061
21,ok,2017-04-20,760.0,765.0,739.0,743.2,1237439
22,ok,2017-04-23,748.0,748.0,724.15,726.3,1249610
23,ok,2017-04-24,731.0,739.9,721.15,734.8,1519949
24,ok,2017-04-25,736.45,753.95,731.0,747.9,2080565
25,ok,2017-04-26,749.0,749.7,736.1,740.1,614735
26,ok,2017-04-27,743.85,747.0,735.0,736.5,516172
27,ok,2017-05-01,737.25,762.9,737.25,752.3,1808851
28,ok,2017-05-02,753.0,762.0,746.8,756.85,1083002
29,ok,2017-05-03,762.2,793.0,762.2,773.25,2607954
30,ok,2017-05-04,778.0,814.4,766.1,808.9,4332891
31,ok,2017-05-07,823.65,824.5,770.2,780.15,3972924
32,ok,2017-05-08,782.9,793.0,775.6,780.05,1199297
33,ok,2017-05-09,781.9,795.0,780.0,790.85,1251054
34,ok,2017-05-10,789.7,790.5,756.0,761.8,1038372
35,ok,2017-05-11,763.9,768.0,736.7,751.8,1137225
36,ok,2017-05-14,755.5,761.45,744.0,752.15,617269
37,ok,2017-05-15,752.1,757.9,741.0,750.4,600525
38,ok,2017-05-16,751.7,756.9,742.9,744.9,458274
39,ok,2017-05-17,739.95,748.0,724.5,727.45,698857
40,ok,2017-05-18,730.0,738.65,713.65,722.9,686573
41,ok,2017-05-21,729.4,734.5,720.1,721.55,361363
42,ok,2017-05-22,724.95,725.0,691.55,708.4,1362902
43,ok,2017-05-23,710.4,722.9,701.0,714.2,748251
44,ok,2017-05-24,720.0,720.0,705.5,712.4,508214
45,ok,2017-05-25,714.0,732.0,709.45,714.9,790476
46,ok,2017-05-28,715.0,719.75,710.0,714.8,307830
