,s,t,o,h,l,c,v
0,ok,2008-05-19,2.97,2.97,2.97,2.97,14186
1,ok,2008-05-20,2.82,3.12,2.82,3.12,330000
2,ok,2008-05-21,3.26,3.28,2.96,2.96,256744
3,ok,2008-05-22,2.82,2.82,2.82,2.82,29070
4,ok,2008-05-25,2.68,2.68,2.67,2.67,15116
5,ok,2008-05-26,2.54,2.54,2.54,2.54,3488
6,ok,2008-05-27,2.41,2.41,2.41,2.41,18837
7,ok,2008-05-28,2.29,2.36,2.29,2.29,500930
8,ok,2008-05-29,2.2,2.41,2.18,2.18,114419
9,ok,2008-06-01,2.09,2.09,2.07,2.07,101628
10,ok,2008-06-02,1.97,2.15,1.97,2.0,122326
11,ok,2008-06-03,2.06,2.15,2.04,2.06,53256
12,ok,2008-06-04,2.06,2.11,2.0,2.0,14186
13,ok,2008-06-05,1.92,1.99,1.92,1.94,31628
14,ok,2008-06-08,1.93,1.93,1.84,1.93,49302
15,ok,2008-06-09,2.02,2.02,1.88,2.02,9535
16,ok,2008-06-10,2.02,2.02,1.92,1.98,19070
17,ok,2008-06-11,1.88,2.05,1.88,2.05,14419
18,ok,2008-06-12,1.98,2.15,1.98,2.15,16279
19,ok,2008-06-15,2.25,2.25,2.18,2.2,40000
20,ok,2008-06-16,2.13,2.27,2.13,2.16,92791
21,ok,2008-06-17,2.18,2.22,2.18,2.18,4186
22,ok,2008-06-18,2.18,2.18,2.08,2.09,8140
23,ok,2008-06-19,2.18,2.18,1.98,1.98,9767
24,ok,2008-06-22,1.89,1.91,1.89,1.9,28372
25,ok,2008-06-23,1.81,1.81,1.81,1.81,29070
26,ok,2008-06-24,1.72,1.9,1.72,1.9,34419
27,ok,2008-06-25,1.9,1.9,1.81,1.81,6744
28,ok,2008-06-26,1.81,1.9,1.72,1.72,17907
29,ok,2008-06-29,1.78,1.78,1.63,1.63,12791
30,ok,2008-07-01,1.57,1.73,1.57,1.73,45814
31,ok,2008-07-02,1.81,1.81,1.64,1.64,24884
32,ok,2008-07-06,1.56,1.59,1.55,1.59,11163
33,ok,2008-07-07,1.74,1.74,1.6,1.6,13256
34,ok,2008-07-08,1.76,1.76,1.76,1.76,233
35,ok,2008-07-09,1.93,1.93,1.68,1.68,11163
36,ok,2008-07-10,1.68,1.68,1.68,1.68,1628
37,ok,2008-07-14,1.76,1.8,1.63,1.63,2558
38,ok,2008-07-15,1.84,1.84,1.55,1.74,32093
39,ok,2008-07-16,1.84,1.85,1.67,1.82,21395
40,ok,2008-07-17,1.72,1.72,1.69,1.69,1628
41,ok,2008-07-20,1.53,1.67,1.52,1.67,8837
42,ok,2008-07-21,1.68,1.68,1.53,1.68,930
43,ok,2008-07-22,1.8,1.8,1.51,1.59,33023
44,ok,2008-07-23,1.71,1.75,1.47,1.68,24884
45,ok,2008-07-24,1.68,1.68,1.55,1.59,16744
46,ok,2008-07-27,1.74,1.74,1.46,1.55,40930
47,ok,2008-07-28,1.59,1.63,1.51,1.59,9302
48,ok,2008-07-29,1.63,1.63,1.53,1.62,47442
