,s,t,o,h,l,c,v
0,ok,2022-09-05,508.7,549.0,448.0,462.4,26837695
1,ok,2022-09-06,459.8,474.9,438.05,451.65,6692726
2,ok,2022-09-07,457.0,462.85,446.5,453.05,1777443
3,ok,2022-09-08,458.0,458.0,423.75,430.4,1488527
4,ok,2022-09-11,429.0,429.05,404.8,407.75,1848396
5,ok,2022-09-12,410.0,436.9,407.05,424.65,2725630
6,ok,2022-09-13,414.9,421.7,410.2,411.8,873939
7,ok,2022-09-14,413.9,423.0,407.85,409.15,681335
8,ok,2022-09-15,410.0,414.15,388.0,395.55,642712
9,ok,2022-09-18,396.0,402.95,386.15,389.45,509436
10,ok,2022-09-19,398.0,417.95,393.35,402.9,974664
11,ok,2022-09-20,400.3,410.65,390.5,392.25,426519
12,ok,2022-09-21,390.1,399.45,389.05,391.95,307885
13,ok,2022-09-22,394.95,394.95,385.6,388.35,297626
14,ok,2022-09-25,387.9,387.9,365.0,366.9,367723
15,ok,2022-09-26,370.1,383.45,370.1,375.25,228650
16,ok,2022-09-27,371.0,374.9,364.55,366.7,151683
17,ok,2022-09-28,374.85,381.8,368.0,369.4,314609
18,ok,2022-09-29,370.0,380.85,366.2,372.6,253218
19,ok,2022-10-02,372.6,378.0,367.0,368.8,409371
20,ok,2022-10-03,374.0,376.0,364.0,365.3,205203
21,ok,2022-10-05,367.3,379.1,365.0,375.15,447338
22,ok,2022-10-06,374.0,378.4,370.3,374.75,184405
23,ok,2022-10-09,370.55,373.95,366.3,368.5,176765
24,ok,2022-10-10,370.0,394.5,368.9,391.85,648458
25,ok,2022-10-11,388.1,394.75,378.0,390.25,295696
26,ok,2022-10-12,389.95,393.7,381.25,386.8,148129
27,ok,2022-10-13,393.0,410.9,385.8,399.7,859279
28,ok,2022-10-16,398.3,409.4,395.85,405.8,355141
29,ok,2022-10-17,403.0,413.65,400.0,402.0,306611
30,ok,2022-10-18,402.95,409.0,395.65,398.7,218134
31,ok,2022-10-19,396.5,414.45,394.55,411.9,569142
32,ok,2022-10-20,413.0,413.9,400.1,401.55,111891
33,ok,2022-10-23,404.8,418.0,401.1,414.55,178157
34,ok,2022-10-24,412.5,413.95,406.3,408.1,116482
35,ok,2022-10-26,409.0,431.9,407.9,429.85,733962
36,ok,2022-10-27,432.95,433.0,415.05,419.4,221120
37,ok,2022-10-30,422.7,428.0,415.5,418.65,182737
38,ok,2022-10-31,419.3,420.2,406.45,407.85,170133
39,ok,2022-11-01,409.65,413.95,404.0,406.1,188453
40,ok,2022-11-02,409.65,410.55,399.5,404.65,187121
41,ok,2022-11-03,409.9,449.0,407.15,438.05,1087711
42,ok,2022-11-06,452.0,457.6,430.05,433.7,566070
43,ok,2022-11-08,434.7,439.5,418.65,421.25,236823
44,ok,2022-11-09,420.0,421.25,401.0,405.2,228531
45,ok,2022-11-10,410.0,414.0,392.0,394.45,293743
46,ok,2022-11-13,400.0,401.8,384.0,385.7,195484
47,ok,2022-11-14,389.0,389.0,380.0,380.6,143703
48,ok,2022-11-15,384.95,386.55,375.5,378.0,270307
49,ok,2022-11-16,380.0,382.0,362.85,371.15,275629
50,ok,2022-11-17,375.0,384.95,372.2,381.0,151413
51,ok,2022-11-20,384.35,391.85,377.4,384.6,254661
52,ok,2022-11-21,388.8,388.8,371.15,379.65,134829
53,ok,2022-11-22,384.0,385.15,376.15,382.15,146539
54,ok,2022-11-23,381.8,385.3,373.75,375.75,106768
55,ok,2022-11-24,379.7,379.95,370.4,371.15,104265
56,ok,2022-11-27,374.0,374.85,370.0,370.9,88698
57,ok,2022-11-28,373.0,378.35,366.85,369.8,138734
58,ok,2022-11-29,367.1,375.8,366.15,367.8,298697
59,ok,2022-11-30,370.0,371.95,364.1,365.9,339204
60,ok,2022-12-01,368.0,377.9,364.05,374.4,413948
61,ok,2022-12-04,379.0,379.0,370.5,373.55,112704
62,ok,2022-12-05,377.85,387.0,376.2,378.5,337057
63,ok,2022-12-06,378.3,384.65,375.0,379.75,269787
64,ok,2022-12-07,382.0,382.0,375.0,377.25,96864
65,ok,2022-12-08,384.95,384.95,373.0,375.25,114560
66,ok,2022-12-11,378.0,383.0,373.65,376.2,157834
67,ok,2022-12-12,375.0,378.95,373.4,376.4,118334
68,ok,2022-12-13,378.0,381.9,375.8,378.15,99884
69,ok,2022-12-14,379.9,384.0,376.3,378.4,121102
70,ok,2022-12-15,377.8,385.95,375.75,383.5,115708
71,ok,2022-12-18,383.2,414.4,380.1,407.0,579019
72,ok,2022-12-19,411.0,433.75,408.05,416.9,1514690
73,ok,2022-12-20,416.9,419.85,397.0,401.55,654224
74,ok,2022-12-21,402.25,403.95,375.55,378.6,254310
75,ok,2022-12-22,375.95,377.2,365.2,366.1,171349
76,ok,2022-12-25,365.0,371.7,359.65,362.15,165871
77,ok,2022-12-26,369.4,371.0,348.0,353.55,345633
78,ok,2022-12-27,356.35,369.9,353.65,365.3,175335
79,ok,2022-12-28,363.0,368.7,361.8,362.7,61267
80,ok,2022-12-29,365.0,370.0,363.5,364.4,36936
81,ok,2023-01-01,364.85,371.85,359.35,368.4,115642
82,ok,2023-01-02,370.0,374.5,366.6,373.1,53082
83,ok,2023-01-03,374.0,384.55,368.9,380.1,115991
84,ok,2023-01-04,384.0,384.25,373.85,378.2,54907
85,ok,2023-01-05,384.0,384.0,374.3,377.45,64988
86,ok,2023-01-08,382.8,387.0,380.8,385.05,81818
87,ok,2023-01-09,385.0,393.7,375.6,378.95,81823
88,ok,2023-01-10,383.0,383.0,378.0,379.95,24068
89,ok,2023-01-11,380.1,380.25,370.9,372.05,42148
90,ok,2023-01-12,380.0,380.0,370.8,373.95,103275
91,ok,2023-01-15,374.4,375.0,371.0,373.05,74202
92,ok,2023-01-16,375.0,375.0,371.0,371.55,35221
93,ok,2023-01-17,382.0,388.25,377.0,386.6,259123
