,s,t,o,h,l,c,v
0,ok,2004-01-26,489.0,499.0,488.75,491.2,185
1,ok,2004-01-27,485.0,518.0,480.0,480.0,579
2,ok,2004-01-28,476.0,509.3,472.5,490.35,1097
3,ok,2004-01-29,485.0,529.0,475.0,481.15,182
4,ok,2004-02-02,484.9,484.9,448.0,452.75,435
5,ok,2004-02-03,475.0,481.0,462.0,470.0,166
6,ok,2004-02-04,550.0,550.0,470.5,479.0,1505
7,ok,2004-02-05,508.95,509.0,478.0,480.6,644
8,ok,2004-02-08,500.0,500.0,485.3,490.0,331
9,ok,2004-02-09,490.0,495.0,477.0,480.9,466
10,ok,2004-02-10,487.9,489.0,470.0,470.75,717
11,ok,2004-02-11,510.0,510.0,465.5,474.45,1233
12,ok,2004-02-12,494.85,498.0,480.4,490.6,1315
13,ok,2004-02-15,509.0,529.8,496.0,504.1,2358
14,ok,2004-02-16,500.1,521.95,482.05,487.85,1490
15,ok,2004-02-17,455.0,517.5,455.0,516.05,2820
16,ok,2004-02-18,520.0,540.0,511.1,520.7,4492
17,ok,2004-02-19,525.0,534.95,513.25,524.95,1081
18,ok,2004-02-22,602.0,602.0,507.65,521.95,3121
19,ok,2004-02-23,525.0,536.35,510.0,532.9,3679
20,ok,2004-02-24,485.0,486.0,432.0,455.25,21838
21,ok,2004-02-25,494.9,494.9,462.0,468.7,13673
22,ok,2004-02-26,470.0,479.4,462.0,473.15,5122
23,ok,2004-02-29,488.8,500.0,480.0,491.85,5963
24,ok,2004-03-02,528.8,545.5,476.1,480.95,2324
25,ok,2004-03-03,490.0,508.0,484.0,489.55,6793
26,ok,2004-03-04,492.8,587.5,492.8,587.5,39735
27,ok,2004-03-07,605.0,648.0,583.0,606.05,67531
28,ok,2004-03-08,598.7,644.9,560.0,596.55,101023
29,ok,2004-03-09,597.8,619.0,580.0,594.0,48912
30,ok,2004-03-10,597.0,612.9,566.0,575.15,29540
31,ok,2004-03-11,573.0,573.8,550.0,563.05,18391
32,ok,2004-03-14,565.0,585.0,532.05,545.1,13651
33,ok,2004-03-15,547.0,568.8,511.25,521.7,17397
34,ok,2004-03-16,522.0,529.5,505.0,509.85,12709
35,ok,2004-03-17,517.7,517.7,465.0,499.9,60162
36,ok,2004-03-18,462.0,522.85,456.0,503.1,298386
37,ok,2004-03-21,502.0,502.0,438.0,460.25,556638
38,ok,2004-03-22,460.0,474.4,460.0,467.95,191646
39,ok,2004-03-23,466.0,500.0,445.0,474.6,97251
40,ok,2004-03-24,480.0,483.8,472.0,479.65,59341
41,ok,2004-03-25,481.0,486.0,472.5,480.2,68276
42,ok,2004-03-28,452.0,485.0,452.0,480.55,48282
43,ok,2004-03-29,480.0,503.1,480.0,498.2,71357
44,ok,2004-03-30,508.95,514.0,500.0,510.15,111505
45,ok,2004-03-31,519.0,521.4,500.3,509.15,167474
46,ok,2004-04-01,506.2,515.0,503.9,511.65,63279
47,ok,2004-04-04,518.0,528.0,510.0,516.65,65600
48,ok,2004-04-05,520.0,525.0,511.6,519.45,80821
49,ok,2004-04-06,515.0,524.0,512.6,516.35,35252
50,ok,2004-04-07,510.0,515.0,502.0,510.05,48748
51,ok,2004-04-11,505.5,558.0,505.5,531.5,169471
52,ok,2004-04-12,535.0,550.0,524.1,540.8,78360
53,ok,2004-04-14,544.35,573.0,537.0,564.25,128928
54,ok,2004-04-15,569.0,575.0,550.0,562.05,106689
55,ok,2004-04-16,569.8,570.0,550.1,552.45,14502
56,ok,2004-04-18,552.45,584.0,550.5,568.5,114184
57,ok,2004-04-19,569.9,569.9,561.85,562.2,60023
58,ok,2004-04-20,557.0,572.0,550.0,560.65,85116
59,ok,2004-04-21,558.0,568.5,556.0,562.2,43857
60,ok,2004-04-22,560.0,567.0,557.0,562.1,53360
61,ok,2004-04-26,511.5,564.0,510.0,536.9,95530
62,ok,2004-04-27,521.0,540.0,521.0,536.55,31537
63,ok,2004-04-28,545.0,546.0,526.1,537.65,21635
64,ok,2004-04-29,520.0,549.0,520.0,543.1,18707
65,ok,2004-05-02,525.0,530.0,500.0,508.1,42528
66,ok,2004-05-03,510.0,534.5,508.5,522.2,34423
67,ok,2004-05-04,526.0,529.95,524.0,525.15,16518
68,ok,2004-05-05,555.0,625.0,526.8,527.05,20295
69,ok,2004-05-06,526.8,531.0,522.0,529.4,13089
70,ok,2004-05-09,510.05,535.0,505.0,527.85,18413
71,ok,2004-05-10,501.0,531.0,501.0,525.7,25616
72,ok,2004-05-11,520.0,531.0,512.0,526.95,42175
73,ok,2004-05-12,495.0,524.9,495.0,522.4,61999
74,ok,2004-05-13,515.1,517.9,449.0,460.3,61987
75,ok,2004-05-16,410.0,418.85,369.0,391.05,15969
76,ok,2004-05-17,390.0,399.0,381.0,394.35,37254
77,ok,2004-05-18,429.95,441.0,404.0,407.85,33168
78,ok,2004-05-19,434.0,435.0,416.0,425.15,38128
79,ok,2004-05-20,435.0,440.0,391.0,426.85,48006
80,ok,2004-05-23,440.0,440.0,420.0,428.95,18254
81,ok,2004-05-24,420.0,430.0,420.0,429.0,6201
82,ok,2004-05-25,422.0,438.0,420.0,430.2,6037
83,ok,2004-05-26,440.0,440.0,410.05,433.85,7835
84,ok,2004-05-27,425.1,432.1,410.05,414.75,24342
85,ok,2004-05-30,405.0,405.0,380.1,392.45,29559
86,ok,2004-05-31,388.0,408.0,385.5,389.3,26974
87,ok,2004-06-01,396.2,400.0,385.1,397.95,18510
88,ok,2004-06-02,390.0,414.9,390.0,411.85,12613
89,ok,2004-06-03,420.0,422.0,405.15,418.65,7172
90,ok,2004-06-06,439.95,439.95,414.0,425.75,23116
91,ok,2004-06-07,422.0,422.8,415.05,420.05,13778
92,ok,2004-06-08,420.0,435.0,420.0,431.35,8063
93,ok,2004-06-09,425.0,450.0,425.0,448.6,15893
94,ok,2004-06-10,444.5,459.0,440.0,450.65,20721
95,ok,2004-06-13,447.0,453.0,441.5,445.35,11256
96,ok,2004-06-14,425.0,456.3,425.0,454.95,6840
97,ok,2004-06-15,451.1,455.25,450.0,454.2,6689
98,ok,2004-06-16,455.0,461.0,448.3,460.05,4289
99,ok,2004-06-17,452.0,461.75,450.1,461.4,10906
100,ok,2004-06-20,452.0,460.0,452.0,455.05,9683
101,ok,2004-06-21,457.0,457.0,448.0,451.0,4727
102,ok,2004-06-22,445.0,455.0,445.0,445.3,7853
103,ok,2004-06-23,445.0,445.0,430.0,434.1,25114
104,ok,2004-06-24,395.05,441.0,395.05,434.2,11226
105,ok,2004-06-27,424.25,433.0,424.25,430.05,9098
106,ok,2004-06-28,430.05,445.0,421.1,431.35,4145
107,ok,2004-06-29,430.0,436.0,426.15,429.85,9868
108,ok,2004-06-30,425.6,433.0,425.5,430.1,2195
109,ok,2004-07-01,425.5,431.0,425.5,426.7,12170
110,ok,2004-07-04,426.0,428.0,418.0,422.6,6128
111,ok,2004-07-05,420.05,425.0,417.35,424.15,17515
112,ok,2004-07-06,426.0,430.0,421.0,425.05,6585
113,ok,2004-07-07,427.0,439.0,414.15,416.55,21933
114,ok,2004-07-08,372.0,419.95,372.0,414.1,8945
115,ok,2004-07-11,420.0,420.0,406.0,407.65,8605
116,ok,2004-07-12,410.0,415.0,407.5,409.85,3491
117,ok,2004-07-13,424.95,424.95,409.25,417.5,4945
118,ok,2004-07-14,424.8,424.8,410.05,414.55,4405
119,ok,2004-07-15,415.0,422.8,415.0,420.05,12955
120,ok,2004-07-18,420.0,426.9,418.1,424.9,14053
121,ok,2004-07-19,425.0,427.95,423.0,425.25,1874
122,ok,2004-07-20,425.0,429.0,422.0,423.25,13878
123,ok,2004-07-21,438.0,480.0,405.0,412.2,28200
124,ok,2004-07-22,410.9,419.0,397.1,400.0,76151
125,ok,2004-07-25,405.0,415.0,403.0,407.55,34033
126,ok,2004-07-26,412.0,418.0,411.0,414.5,11395
127,ok,2004-07-27,410.0,425.0,410.0,422.05,13295
128,ok,2004-07-28,413.55,433.8,413.55,427.55,12064
129,ok,2004-07-29,425.0,429.75,420.0,425.85,5906
130,ok,2004-08-01,406.25,428.0,406.25,410.65,7929
131,ok,2004-08-02,407.0,415.0,407.0,410.5,6980
132,ok,2004-08-03,411.0,418.0,411.0,415.6,17783
133,ok,2004-08-04,406.0,416.5,406.0,410.0,4476
134,ok,2004-08-05,408.0,421.9,408.0,419.45,40668
135,ok,2004-08-08,408.1,418.0,408.1,413.15,3202
136,ok,2004-08-09,413.0,417.0,410.05,410.6,4180
137,ok,2004-08-10,418.0,418.0,411.5,416.55,13825
138,ok,2004-08-11,406.0,417.9,402.75,404.0,7478
139,ok,2004-08-12,409.0,410.0,402.0,405.25,9372
140,ok,2004-08-15,409.1,411.0,405.05,407.8,2926
141,ok,2004-08-16,408.0,413.0,403.1,405.5,126615
142,ok,2004-08-17,406.0,407.85,400.0,401.4,14313
143,ok,2004-08-18,402.0,407.0,399.0,400.0,37113
144,ok,2004-08-19,402.0,404.85,399.0,400.65,4064
145,ok,2004-08-22,401.0,403.8,398.1,399.2,7126
146,ok,2004-08-23,399.0,406.0,398.0,400.7,12551
147,ok,2004-08-24,408.0,408.0,392.05,395.05,8314
148,ok,2004-08-25,403.0,404.0,394.1,395.05,11082
149,ok,2004-08-26,399.7,399.7,390.0,394.7,19449
