,s,t,o,h,l,c,v
0,ok,2017-07-18,136.5,136.5,127.2,131.25,20693
1,ok,2017-07-19,130.1,132.95,125.0,128.2,13302
2,ok,2017-07-20,126.65,129.6,123.2,127.15,7795
3,ok,2017-07-23,127.15,137.0,127.0,131.75,34046
4,ok,2017-07-24,132.0,134.0,129.55,131.65,11439
5,ok,2017-07-25,131.65,131.65,128.3,129.65,9084
6,ok,2017-07-26,129.65,129.65,125.1,125.8,11829
7,ok,2017-07-27,125.0,130.0,123.0,128.0,12208
8,ok,2017-07-30,133.0,137.0,129.0,131.7,84899
9,ok,2017-07-31,133.7,133.7,128.5,129.95,12689
10,ok,2017-08-01,139.6,139.6,134.0,134.9,92750
11,ok,2017-08-02,135.4,135.4,129.8,130.8,16729
12,ok,2017-08-03,130.8,132.7,128.0,128.6,19100
13,ok,2017-08-06,129.5,129.8,126.0,126.7,18961
14,ok,2017-08-07,126.2,128.9,124.0,125.35,14121
15,ok,2017-08-08,124.5,126.0,122.05,122.7,6676
16,ok,2017-08-09,124.65,124.65,102.0,109.85,26066
17,ok,2017-08-10,102.35,119.7,102.35,114.7,15655
18,ok,2017-08-13,118.0,121.75,114.95,117.7,13860
19,ok,2017-08-15,117.15,121.05,117.0,119.95,5113
20,ok,2017-08-16,123.9,124.5,117.05,118.65,10348
21,ok,2017-08-17,120.0,120.25,117.0,119.4,5384
22,ok,2017-08-20,123.35,123.35,118.05,118.25,5942
23,ok,2017-08-21,118.0,119.0,115.15,115.75,8394
24,ok,2017-08-22,116.0,120.0,116.0,117.25,1449
25,ok,2017-08-23,119.95,119.95,115.05,118.5,4324
26,ok,2017-08-27,122.15,122.15,117.0,118.0,5754
27,ok,2017-08-28,117.5,119.7,117.0,117.05,3607
28,ok,2017-08-29,120.0,121.0,116.2,117.75,8915
29,ok,2017-08-30,117.5,119.5,116.55,118.85,14350
30,ok,2017-08-31,120.0,121.8,119.0,120.0,15190
31,ok,2017-09-03,121.0,122.75,117.0,119.2,13913
32,ok,2017-09-04,120.0,123.0,117.3,118.9,14595
33,ok,2017-09-05,118.0,122.0,118.0,120.55,8553
34,ok,2017-09-06,122.4,122.95,120.0,122.1,8160
35,ok,2017-09-07,124.0,126.0,122.05,124.2,8915
36,ok,2017-09-10,128.1,135.0,127.5,131.95,76322
37,ok,2017-09-11,122.05,132.5,122.05,127.75,21455
38,ok,2017-09-12,128.5,130.3,126.0,126.75,8925
39,ok,2017-09-13,127.0,127.75,124.1,125.9,14101
40,ok,2017-09-14,124.1,127.0,123.25,124.6,9009
41,ok,2017-09-17,124.0,124.6,119.1,121.15,38299
42,ok,2017-09-18,122.0,124.75,120.0,123.3,23617
43,ok,2017-09-19,124.4,124.4,121.0,122.25,17977
44,ok,2017-09-20,124.4,124.4,119.6,121.15,13062
45,ok,2017-09-21,119.95,122.45,118.0,118.75,10677
46,ok,2017-09-24,118.75,120.0,110.1,114.75,14758
47,ok,2017-09-25,112.5,120.0,112.5,118.55,7729
48,ok,2017-09-26,117.0,120.0,114.1,116.2,3019
