,s,t,o,h,l,c,v
0,ok,2000-01-02,23.63,23.8,23.19,23.63,2629
1,ok,2000-01-03,22.14,23.19,21.88,23.19,3200
2,ok,2000-01-04,23.63,23.63,21.92,22.44,1143
3,ok,2000-01-05,23.54,23.63,22.75,23.63,1143
4,ok,2000-01-06,22.75,22.75,22.14,22.14,571
5,ok,2000-01-09,21.96,21.96,21.88,21.88,2857
6,ok,2000-01-10,20.17,21.61,20.17,20.78,343
7,ok,2000-01-11,21.88,21.88,21.88,21.88,800
8,ok,2000-01-16,22.84,22.88,22.84,22.88,229
9,ok,2000-01-17,22.75,22.75,22.75,22.75,114
10,ok,2000-01-18,21.61,21.61,21.61,21.61,2286
11,ok,2000-01-20,21.44,21.44,21.44,21.44,457
12,ok,2000-01-23,21.0,21.66,21.0,21.66,686
13,ok,2000-01-24,21.0,21.88,20.56,21.39,914
14,ok,2000-01-26,20.61,20.61,20.17,20.61,1143
15,ok,2000-01-27,21.35,21.35,19.95,21.31,457
16,ok,2000-01-30,21.0,21.22,21.0,21.22,686
17,ok,2000-01-31,20.13,20.13,19.69,19.69,1143
18,ok,2000-02-01,20.13,20.13,19.86,19.86,914
19,ok,2000-02-02,19.47,19.47,19.38,19.38,229
20,ok,2000-02-03,20.13,20.13,19.34,19.99,1257
21,ok,2000-02-06,18.59,19.25,18.59,19.25,3543
22,ok,2000-02-07,19.25,19.99,17.94,18.81,8800
23,ok,2000-02-08,17.94,18.16,17.94,18.03,800
24,ok,2000-02-09,18.38,19.12,18.38,18.81,1029
25,ok,2000-02-10,19.03,19.03,19.03,19.03,457
26,ok,2000-02-13,18.38,18.38,17.94,17.94,800
27,ok,2000-02-14,16.63,18.03,16.63,16.63,2857
28,ok,2000-02-15,17.94,17.94,17.28,17.28,457
29,ok,2000-02-16,16.63,17.06,16.63,16.76,2629
30,ok,2000-02-17,16.63,16.63,16.19,16.63,2171
31,ok,2000-02-20,16.63,16.63,15.4,15.75,1371
32,ok,2000-02-21,16.63,16.63,15.75,16.41,2286
33,ok,2000-02-23,16.63,16.63,16.63,16.63,686
34,ok,2000-02-24,18.29,18.38,18.29,18.33,571
35,ok,2000-02-27,18.33,19.69,18.33,19.69,2171
36,ok,2000-02-28,18.64,18.64,18.46,18.46,2514
37,ok,2000-02-29,19.25,19.25,17.59,17.59,229
38,ok,2000-03-02,18.73,18.81,18.73,18.81,1029
39,ok,2000-03-05,19.56,19.56,19.56,19.56,114
40,ok,2000-03-08,18.29,19.08,18.29,19.08,1257
41,ok,2000-03-12,18.29,18.29,18.29,18.29,114
42,ok,2000-03-13,17.33,17.33,17.33,17.33,229
43,ok,2000-03-14,17.41,17.5,16.28,16.28,343
44,ok,2000-03-15,16.19,16.19,16.19,16.19,229
45,ok,2000-03-20,16.19,16.19,16.19,16.19,229
46,ok,2000-03-21,17.94,18.99,17.72,18.99,800
47,ok,2000-03-22,17.5,17.5,17.5,17.5,343
48,ok,2000-03-23,16.54,16.54,16.49,16.49,229
49,ok,2000-03-26,17.5,17.5,17.5,17.5,1143
50,ok,2000-03-27,16.23,16.23,16.1,16.1,800
51,ok,2000-03-28,14.92,16.01,14.88,15.53,1486
52,ok,2000-04-03,15.53,15.53,15.53,15.53,114
53,ok,2000-04-06,15.44,17.06,15.44,17.06,1143
54,ok,2000-04-12,17.5,17.5,17.5,17.5,229
55,ok,2000-04-16,16.23,16.23,16.23,16.23,229
56,ok,2000-04-18,17.33,17.33,17.33,17.33,114
57,ok,2000-04-24,15.09,15.09,14.96,14.96,229
58,ok,2000-04-26,14.96,14.96,14.96,14.96,114
59,ok,2000-04-27,15.05,15.05,15.05,15.05,114
60,ok,2000-05-02,17.28,17.28,17.28,17.28,114
61,ok,2000-05-09,13.17,13.17,13.13,13.13,229
62,ok,2000-05-10,14.0,14.0,14.0,14.0,114
63,ok,2000-05-15,14.96,14.96,14.96,14.96,114
64,ok,2000-05-16,15.31,15.31,15.31,15.31,571
65,ok,2000-05-17,16.58,16.63,16.58,16.63,1143
66,ok,2000-05-18,14.0,15.66,12.69,15.66,457
67,ok,2000-05-22,15.75,17.5,15.75,17.5,229
68,ok,2000-05-28,16.63,16.63,16.63,16.63,571
69,ok,2000-05-29,17.5,17.5,17.5,17.5,114
70,ok,2000-06-04,18.38,18.38,16.63,16.84,2629
71,ok,2000-06-05,14.53,14.53,14.53,14.53,457
72,ok,2000-06-07,14.88,14.88,14.88,14.88,114
73,ok,2000-06-11,16.45,16.45,16.45,16.45,114
74,ok,2000-06-12,12.82,14.88,12.82,14.88,914
75,ok,2000-06-15,17.46,17.46,17.46,17.46,114
76,ok,2000-06-19,15.31,15.53,14.96,15.53,1143
77,ok,2000-06-22,14.88,14.88,14.35,14.35,457
78,ok,2000-06-26,16.19,16.19,16.19,16.19,114
79,ok,2000-06-28,15.01,15.01,15.01,15.01,114
80,ok,2000-07-05,14.96,15.31,14.96,15.31,457
81,ok,2000-07-10,14.7,14.7,14.0,14.0,1600
82,ok,2000-07-16,14.26,14.26,13.96,13.96,4914
83,ok,2000-07-17,14.88,14.88,13.91,13.96,343
84,ok,2000-07-18,14.0,14.0,14.0,14.0,114
85,ok,2000-07-19,14.22,14.22,14.22,14.22,457
86,ok,2000-07-20,14.22,14.22,14.22,14.22,229
87,ok,2000-07-24,14.88,14.88,14.88,14.88,114
88,ok,2000-07-26,15.31,15.31,15.31,15.31,229
89,ok,2000-07-30,14.0,14.0,13.3,13.3,1029
90,ok,2000-07-31,14.0,14.0,13.56,13.56,1029
91,ok,2000-08-01,12.38,12.95,12.38,12.95,229
92,ok,2000-08-03,12.95,12.95,12.95,12.95,114
93,ok,2000-08-06,12.95,12.95,12.95,12.95,114
94,ok,2000-08-07,13.96,14.0,13.96,14.0,457
95,ok,2000-08-08,13.13,13.13,12.6,12.6,343
96,ok,2000-08-09,13.13,13.13,13.13,13.13,457
97,ok,2000-08-10,14.88,14.88,14.88,14.88,114
98,ok,2000-08-13,15.75,15.75,15.75,15.75,114
99,ok,2000-08-15,15.31,16.41,13.83,16.41,6057
100,ok,2000-08-16,16.19,16.63,14.66,16.63,1943
101,ok,2000-08-17,16.19,16.19,14.61,14.61,914
102,ok,2000-08-21,13.21,13.21,13.17,13.21,343
103,ok,2000-08-28,15.58,15.58,15.58,15.58,114
104,ok,2000-08-29,15.58,15.58,14.61,14.61,457
105,ok,2000-08-30,17.46,17.46,15.75,15.75,571
106,ok,2000-09-03,16.63,16.63,16.58,16.58,343
107,ok,2000-09-04,17.06,17.19,16.63,17.02,1486
108,ok,2000-09-05,16.71,16.71,16.71,16.71,571
109,ok,2000-09-07,17.06,17.06,16.63,16.63,800
110,ok,2000-09-10,15.84,15.84,15.84,15.84,229
111,ok,2000-09-14,15.31,15.31,15.31,15.31,343
112,ok,2000-09-17,15.31,15.31,15.31,15.31,800
113,ok,2000-09-20,14.88,14.88,14.88,14.88,1143
114,ok,2000-09-21,15.31,15.31,14.88,14.88,1257
115,ok,2000-09-25,13.13,14.13,13.13,14.13,686
116,ok,2000-10-02,12.43,12.43,11.42,12.43,1143
117,ok,2000-10-08,11.55,11.55,11.55,11.55,114
118,ok,2000-10-09,12.69,13.21,12.69,13.21,686
119,ok,2000-10-10,13.56,13.56,13.56,13.56,114
120,ok,2000-10-11,13.13,13.13,13.13,13.13,229
121,ok,2000-10-12,14.0,14.0,14.0,14.0,114
122,ok,2000-10-17,13.56,13.56,13.21,13.21,229
123,ok,2000-10-18,13.21,15.36,13.21,15.36,457
124,ok,2000-10-19,12.69,12.69,12.69,12.69,114
125,ok,2000-10-22,13.04,13.13,13.04,13.13,229
126,ok,2000-10-23,13.21,13.21,13.21,13.21,229
127,ok,2000-10-30,13.56,13.56,13.21,13.21,571
128,ok,2000-11-07,14.09,14.09,14.0,14.0,343
129,ok,2000-11-09,14.0,14.0,14.0,14.0,457
130,ok,2000-11-21,14.0,14.0,14.0,14.0,457
131,ok,2000-11-27,14.26,14.88,14.26,14.88,229
132,ok,2000-11-28,15.53,16.19,15.53,16.19,343
