,s,t,o,h,l,c,v
0,ok,2005-12-14,40.2,46.18,39.72,40.39,52760050
1,ok,2005-12-15,40.7,48.47,39.62,48.47,46141755
2,ok,2005-12-18,50.0,57.78,49.6,55.44,56195245
3,ok,2005-12-19,56.0,56.0,50.05,50.98,23900085
4,ok,2005-12-20,50.6,57.76,50.6,55.11,52972985
5,ok,2005-12-21,54.6,56.7,53.64,54.23,15165360
6,ok,2005-12-22,54.41,55.56,53.52,53.76,10324645
7,ok,2005-12-25,53.94,54.16,49.66,51.11,12372075
8,ok,2005-12-26,51.4,54.08,50.4,53.38,10948540
9,ok,2005-12-27,53.6,58.26,53.12,57.18,21020225
10,ok,2005-12-28,57.2,58.35,55.73,56.14,9761050
11,ok,2005-12-29,56.4,57.12,55.04,55.85,5233470
12,ok,2006-01-01,56.0,56.69,55.06,55.41,1824965
13,ok,2006-01-02,55.6,56.71,55.4,55.76,1702645
14,ok,2006-01-03,56.05,59.46,55.58,58.43,6666065
15,ok,2006-01-04,58.8,60.79,57.85,58.47,8388820
16,ok,2006-01-05,58.88,59.5,57.8,58.09,2345645
17,ok,2006-01-08,58.46,59.08,57.42,57.98,1021720
18,ok,2006-01-09,58.0,69.48,58.0,67.91,26604050
19,ok,2006-01-11,67.4,70.85,65.7,66.6,11397725
20,ok,2006-01-12,66.76,71.74,66.65,68.47,13098440
21,ok,2006-01-15,70.0,75.36,69.0,70.55,9474540
22,ok,2006-01-16,71.2,71.68,66.92,69.09,6639510
23,ok,2006-01-17,55.4,70.58,55.4,68.19,3662255
24,ok,2006-01-18,68.4,69.48,67.33,67.71,2214950
25,ok,2006-01-19,68.24,70.77,67.64,68.74,3240695
26,ok,2006-01-22,68.4,70.4,67.8,68.16,2951375
27,ok,2006-01-23,68.57,70.4,68.3,68.5,2003115
28,ok,2006-01-24,69.19,70.16,66.64,67.07,1159090
29,ok,2006-01-26,67.87,79.8,67.6,77.97,13334970
30,ok,2006-01-29,70.02,80.2,70.02,72.26,7207235
31,ok,2006-01-30,72.74,81.27,71.46,77.13,24423835
32,ok,2006-01-31,77.1,77.5,72.09,72.7,7858675
33,ok,2006-02-01,73.0,77.27,72.93,75.97,6928550
34,ok,2006-02-02,76.3,77.0,73.09,76.42,4802465
35,ok,2006-02-05,76.6,80.74,75.6,79.34,11612685
36,ok,2006-02-06,79.59,79.8,76.44,76.93,3977120
37,ok,2006-02-07,77.07,77.07,75.0,75.42,1767550
38,ok,2006-02-09,75.8,78.38,75.6,77.69,2512225
39,ok,2006-02-12,77.4,78.35,75.27,76.39,1084210
