,s,t,o,h,l,c,v
0,ok,2022-12-29,244.0,245.0,225.6,227.65,8019373
1,ok,2023-01-01,231.3,233.75,217.7,225.05,1510429
2,ok,2023-01-02,228.5,229.8,224.0,226.25,647195
3,ok,2023-01-03,226.3,232.9,222.0,229.6,733226
4,ok,2023-01-04,228.9,228.95,224.0,225.45,164666
5,ok,2023-01-05,224.0,228.75,221.1,222.1,232216
6,ok,2023-01-08,223.05,227.95,221.0,223.05,217849
7,ok,2023-01-09,222.85,222.9,217.6,218.1,171571
8,ok,2023-01-10,218.2,219.9,213.8,214.3,123642
9,ok,2023-01-11,214.7,215.85,209.0,209.45,174598
10,ok,2023-01-12,209.0,222.0,207.1,220.0,511083
11,ok,2023-01-15,221.0,233.0,221.0,231.7,567851
12,ok,2023-01-16,233.7,233.7,224.0,224.75,119485
13,ok,2023-01-17,225.3,226.7,221.0,223.2,85922
