,s,t,o,h,l,c,v
0,ok,2022-10-16,90.0,91.0,83.1,84.5,88025637
1,ok,2022-10-17,86.05,92.95,84.5,92.95,20753358
2,ok,2022-10-18,102.2,102.2,102.2,102.2,1766673
3,ok,2022-10-19,100.95,103.65,92.05,93.8,46568289
4,ok,2022-10-20,96.05,98.0,86.5,87.5,12293211
5,ok,2022-10-23,89.4,89.4,84.45,85.75,3580759
6,ok,2022-10-24,86.4,91.25,83.55,88.7,10314141
7,ok,2022-10-26,89.75,93.9,89.35,91.2,6389929
8,ok,2022-10-27,91.8,93.75,90.15,91.85,5198999
9,ok,2022-10-30,92.9,93.0,88.6,89.95,3284592
10,ok,2022-10-31,89.45,91.4,88.5,88.6,3467171
11,ok,2022-11-01,88.5,97.45,88.5,96.45,13728813
12,ok,2022-11-02,93.85,98.4,93.6,94.55,8029435
13,ok,2022-11-03,95.3,97.5,94.15,96.45,4362854
14,ok,2022-11-06,97.0,98.5,94.85,96.35,5027714
15,ok,2022-11-08,96.8,101.2,95.25,98.75,9603298
16,ok,2022-11-09,98.0,100.15,95.5,96.5,3091224
17,ok,2022-11-10,97.9,97.9,86.85,88.4,7035866
18,ok,2022-11-13,85.1,89.5,84.9,86.95,3775747
19,ok,2022-11-14,87.35,87.7,85.75,86.15,1878638
20,ok,2022-11-15,85.75,86.85,83.5,85.25,2253857
21,ok,2022-11-16,85.25,90.3,84.0,87.1,4064842
22,ok,2022-11-17,87.6,88.9,85.1,86.4,2787333
23,ok,2022-11-20,87.0,87.95,83.5,84.4,1616407
24,ok,2022-11-21,84.8,85.2,80.0,81.3,1796376
25,ok,2022-11-22,82.2,83.55,78.25,80.25,2733998
26,ok,2022-11-23,80.95,86.8,78.7,85.75,4411449
27,ok,2022-11-24,86.0,86.85,83.75,85.7,2243553
28,ok,2022-11-27,85.3,86.7,85.05,86.05,1360398
29,ok,2022-11-28,85.95,86.5,84.0,84.3,945551
30,ok,2022-11-29,84.35,87.25,84.35,85.95,1469988
31,ok,2022-11-30,86.4,86.9,85.2,85.7,833264
32,ok,2022-12-01,85.5,86.45,84.35,85.5,725396
33,ok,2022-12-04,85.95,87.1,84.55,84.9,894904
34,ok,2022-12-05,84.7,85.3,84.0,84.15,539607
35,ok,2022-12-06,84.15,86.3,83.4,85.0,1470547
36,ok,2022-12-07,85.3,86.6,84.75,85.05,1097220
37,ok,2022-12-08,85.4,86.6,83.5,86.15,1896428
38,ok,2022-12-11,85.95,91.3,84.0,90.55,4754039
39,ok,2022-12-12,90.85,92.3,89.35,90.25,2532217
40,ok,2022-12-13,90.45,91.8,88.4,90.2,1683095
41,ok,2022-12-14,89.85,90.4,85.0,85.75,1898429
42,ok,2022-12-15,86.0,87.1,85.0,86.15,993015
43,ok,2022-12-18,86.15,90.2,85.5,88.45,1258350
44,ok,2022-12-19,88.0,88.9,86.15,88.15,1097795
45,ok,2022-12-20,88.05,88.4,84.5,86.05,1665225
46,ok,2022-12-21,86.35,86.6,81.95,83.95,1413397
47,ok,2022-12-22,83.8,83.8,81.0,82.45,1116505
48,ok,2022-12-25,82.3,87.5,81.15,86.2,1704634
49,ok,2022-12-26,86.65,87.4,85.2,85.85,553555
50,ok,2022-12-27,85.5,87.5,85.25,85.8,462548
51,ok,2022-12-28,85.6,86.3,85.0,85.4,277068
52,ok,2022-12-29,85.8,89.3,85.55,86.15,1000912
53,ok,2023-01-01,86.5,88.1,86.0,87.65,684237
54,ok,2023-01-02,88.0,88.1,85.9,86.05,569179
55,ok,2023-01-03,86.0,86.55,82.6,83.0,1134008
56,ok,2023-01-04,83.35,84.15,81.95,82.75,1534057
57,ok,2023-01-05,83.0,83.15,81.45,82.5,1165232
58,ok,2023-01-08,82.9,83.25,81.55,82.05,677367
59,ok,2023-01-09,82.1,82.6,80.25,80.65,915226
60,ok,2023-01-10,80.6,82.7,80.6,82.05,1797557
61,ok,2023-01-11,82.4,82.7,81.3,81.55,345119
62,ok,2023-01-12,81.85,86.25,80.95,84.15,2413324
63,ok,2023-01-15,84.4,85.4,83.45,84.75,557934
64,ok,2023-01-16,84.1,84.55,81.5,83.0,230931
65,ok,2023-01-17,83.0,83.75,81.7,81.85,402560
