,s,t,o,h,l,c,v
0,ok,2007-11-15,294.85,294.85,276.1,294.85,83474
1,ok,2007-11-18,309.6,309.6,281.55,309.6,142003
2,ok,2007-11-19,325.0,325.1,315.0,325.1,72483
3,ok,2007-11-20,334.4,341.4,325.1,339.3,127804
4,ok,2007-11-21,355.95,356.3,322.35,322.35,67569
5,ok,2007-11-22,306.25,306.25,306.25,306.25,3327
6,ok,2007-11-25,290.95,290.95,290.95,290.95,2481
7,ok,2007-11-26,276.4,276.4,276.4,276.4,2632
8,ok,2007-11-27,262.6,290.25,262.6,290.25,215954
9,ok,2007-11-28,303.4,304.75,275.75,275.75,175634
10,ok,2007-11-29,279.8,279.8,262.0,262.15,45297
11,ok,2007-12-02,250.35,275.3,250.35,275.3,37770
12,ok,2007-12-03,289.0,289.1,271.1,275.15,84969
13,ok,2007-12-04,277.0,283.0,266.0,269.4,19015
14,ok,2007-12-05,278.0,278.0,261.35,263.1,28710
15,ok,2007-12-06,267.0,268.0,254.2,260.3,22349
16,ok,2007-12-09,271.5,273.35,250.1,273.35,36595
17,ok,2007-12-10,283.85,284.0,275.2,277.35,35883
18,ok,2007-12-11,275.0,279.95,265.15,269.3,13121
19,ok,2007-12-12,260.1,274.0,260.1,265.0,10253
20,ok,2007-12-13,261.0,269.0,256.0,257.8,8621
21,ok,2007-12-16,262.8,270.7,250.25,253.65,35959
22,ok,2007-12-17,256.0,266.35,251.25,258.6,30219
23,ok,2007-12-18,258.05,271.55,258.0,265.9,43288
24,ok,2007-12-19,262.0,267.85,253.0,255.15,12000
25,ok,2007-12-23,263.0,265.85,253.55,254.95,13704
26,ok,2007-12-25,252.8,263.0,251.1,253.05,11916
27,ok,2007-12-26,262.0,262.0,251.0,252.45,8967
28,ok,2007-12-27,254.95,254.95,245.0,246.6,11644
29,ok,2007-12-30,257.0,258.95,248.0,258.95,28855
30,ok,2007-12-31,255.25,268.0,255.1,257.5,22246
31,ok,2008-01-01,257.0,266.0,254.0,257.0,11690
32,ok,2008-01-02,261.1,269.85,254.0,269.85,24512
33,ok,2008-01-03,278.4,283.35,278.4,283.35,9017
34,ok,2008-01-06,297.55,311.7,280.0,311.7,30241
35,ok,2008-01-07,342.85,342.9,290.1,307.4,113299
36,ok,2008-01-08,290.0,313.15,290.0,298.5,25219
37,ok,2008-01-09,295.0,309.6,268.7,269.1,31646
38,ok,2008-01-10,267.0,295.0,251.1,277.5,42584
39,ok,2008-01-13,280.0,301.0,280.0,294.35,41790
40,ok,2008-01-14,305.0,315.0,282.0,286.3,29059
41,ok,2008-01-15,285.0,294.8,260.0,271.05,12956
42,ok,2008-01-16,280.0,285.0,265.1,272.15,20429
43,ok,2008-01-17,260.0,274.95,245.0,248.2,16037
44,ok,2008-01-20,225.0,236.5,223.4,223.4,17209
45,ok,2008-01-21,220.0,220.0,201.1,201.1,1007
46,ok,2008-01-22,192.0,197.85,191.05,191.05,12647
47,ok,2008-01-23,189.0,189.7,181.5,181.5,8409
48,ok,2008-01-24,175.0,182.0,172.45,178.4,20587
49,ok,2008-01-27,175.1,175.1,169.5,169.65,21518
50,ok,2008-01-28,172.8,178.15,162.5,170.45,9985
51,ok,2008-01-29,168.0,173.95,163.1,164.5,10910
52,ok,2008-01-30,162.0,164.3,156.3,156.3,11079
53,ok,2008-01-31,150.0,163.4,148.5,148.7,8349
54,ok,2008-02-03,150.0,156.15,150.0,156.15,6050
55,ok,2008-02-04,163.0,164.0,161.0,164.0,1590
56,ok,2008-02-05,168.9,172.2,157.0,172.2,8095
57,ok,2008-02-06,180.85,180.85,171.1,176.4,18872
58,ok,2008-02-07,170.1,173.8,167.6,167.6,6313
59,ok,2008-02-10,160.1,168.0,159.25,159.25,1371
60,ok,2008-02-11,166.0,166.0,151.3,151.3,1366
61,ok,2008-02-12,144.1,154.0,143.75,143.75,10307
62,ok,2008-02-13,145.0,150.95,142.2,150.2,4832
63,ok,2008-02-14,153.0,157.75,144.3,154.65,6341
64,ok,2008-02-17,157.0,162.4,156.1,160.95,4099
65,ok,2008-02-18,157.7,166.9,155.0,155.4,5816
66,ok,2008-02-19,154.0,154.0,147.65,148.25,5815
67,ok,2008-02-20,154.95,154.95,147.0,150.1,4008
68,ok,2008-02-21,147.2,151.65,147.2,149.15,2305
69,ok,2008-02-24,145.1,155.7,141.7,153.65,11494
70,ok,2008-02-25,156.1,156.1,148.25,150.55,2570
71,ok,2008-02-26,155.0,155.0,146.0,150.7,3826
72,ok,2008-02-27,151.0,155.0,147.2,154.45,7824
73,ok,2008-02-28,152.0,159.0,148.3,150.6,4692
74,ok,2008-03-02,148.0,151.6,143.2,146.9,7135
75,ok,2008-03-03,141.3,144.0,139.6,139.95,5127
76,ok,2008-03-04,134.05,141.9,133.0,133.75,13279
77,ok,2008-03-06,140.0,140.0,127.1,127.1,4380
