,s,t,o,h,l,c,v
0,ok,2000-01-02,44.1,47.74,44.1,47.74,2786
1,ok,2000-01-03,46.9,47.6,43.96,45.29,10429
2,ok,2000-01-04,44.1,45.5,42.21,45.5,3214
3,ok,2000-01-05,43.82,46.2,43.4,45.47,4000
4,ok,2000-01-06,44.8,45.36,44.28,44.28,286
5,ok,2000-01-09,43.89,45.43,43.4,44.28,3286
6,ok,2000-01-10,42.35,44.1,42.35,43.54,4071
7,ok,2000-01-11,42.7,43.23,42.7,43.23,429
8,ok,2000-01-12,42.98,43.05,42.14,42.7,714
9,ok,2000-01-13,40.95,44.1,40.95,42.0,2357
10,ok,2000-01-16,42.14,44.45,41.65,44.45,3000
11,ok,2000-01-17,43.51,45.64,43.4,44.84,5357
12,ok,2000-01-18,45.5,47.57,45.5,46.76,7429
13,ok,2000-01-19,48.3,49.0,43.79,44.17,11071
14,ok,2000-01-20,44.8,46.13,43.44,45.22,4714
15,ok,2000-01-23,47.25,47.46,42.81,43.75,6071
16,ok,2000-01-24,43.75,45.5,42.21,44.24,5929
17,ok,2000-01-26,46.03,47.53,42.0,42.35,20571
18,ok,2000-01-27,41.72,44.45,41.72,42.42,14571
19,ok,2000-01-30,42.0,42.0,40.6,40.78,4286
20,ok,2000-01-31,39.2,41.9,39.06,39.66,8500
21,ok,2000-02-01,42.35,42.35,40.67,41.55,6071
22,ok,2000-02-02,43.4,43.61,41.3,42.04,6786
23,ok,2000-02-03,40.78,42.7,40.78,41.41,6500
24,ok,2000-02-06,40.78,41.69,38.89,39.38,4571
25,ok,2000-02-07,40.22,40.6,39.06,39.38,11214
26,ok,2000-02-08,40.6,42.0,38.68,39.55,3214
27,ok,2000-02-09,39.9,39.9,37.8,39.41,4000
28,ok,2000-02-10,37.17,39.52,37.1,37.84,2929
29,ok,2000-02-13,36.75,37.8,35.95,37.8,3000
30,ok,2000-02-14,38.47,38.47,35.98,37.35,6357
31,ok,2000-02-15,35.88,36.58,35.81,36.54,4571
32,ok,2000-02-16,35.81,36.47,35.63,35.7,2786
33,ok,2000-02-17,35.7,36.93,33.6,34.41,2357
34,ok,2000-02-20,32.38,32.38,31.85,31.85,2143
35,ok,2000-02-21,29.89,34.02,29.89,32.94,9643
36,ok,2000-02-22,33.95,35.56,33.25,35.0,2000
37,ok,2000-02-23,33.36,33.36,32.2,32.2,2071
38,ok,2000-02-24,29.86,30.14,29.75,30.1,5571
39,ok,2000-02-27,30.1,31.15,29.75,30.7,9357
40,ok,2000-02-28,31.15,31.68,30.77,30.8,6857
41,ok,2000-02-29,31.68,33.25,31.68,33.25,1857
42,ok,2000-03-01,34.97,35.0,30.8,30.87,9214
43,ok,2000-03-02,28.74,29.47,28.42,29.05,1786
44,ok,2000-03-05,27.2,29.75,26.74,26.74,3357
45,ok,2000-03-06,25.9,26.6,24.61,25.62,31357
46,ok,2000-03-07,25.2,25.2,23.59,23.66,3071
47,ok,2000-03-08,22.58,24.47,22.4,23.07,3857
48,ok,2000-03-09,22.05,23.73,21.35,23.24,4071
49,ok,2000-03-12,21.7,23.8,21.7,22.33,9357
50,ok,2000-03-13,21.7,22.86,21.35,21.63,15357
51,ok,2000-03-14,23.38,23.38,23.38,23.38,786
52,ok,2000-03-15,25.27,25.27,25.27,25.27,500
53,ok,2000-03-20,27.3,27.3,27.3,27.3,4143
54,ok,2000-03-21,29.4,29.51,29.05,29.4,2071
55,ok,2000-03-22,31.29,31.78,30.98,31.78,4143
56,ok,2000-03-23,31.15,34.34,30.28,34.09,4429
57,ok,2000-03-26,35.63,35.67,31.64,33.25,4786
58,ok,2000-03-27,32.27,33.6,31.57,32.31,3893
59,ok,2000-03-28,31.57,31.57,30.17,30.49,2343
60,ok,2000-03-29,30.42,30.42,28.7,28.7,1371
61,ok,2000-03-30,30.45,30.45,30.45,30.45,143
62,ok,2000-04-02,29.4,32.13,29.4,30.17,2143
63,ok,2000-04-03,31.43,31.43,27.76,27.76,2357
64,ok,2000-04-04,29.72,29.93,29.72,29.93,286
65,ok,2000-04-05,29.05,31.5,29.05,29.72,1287
66,ok,2000-04-06,29.51,32.06,29.47,31.29,2071
67,ok,2000-04-09,29.58,32.38,29.4,31.92,1480
68,ok,2000-04-11,29.4,31.43,29.4,30.8,1429
69,ok,2000-04-12,29.19,30.52,28.77,29.33,2147
70,ok,2000-04-16,29.4,30.45,29.4,30.38,146
71,ok,2000-04-17,28.0,30.45,28.0,30.45,287
72,ok,2000-04-18,30.1,30.1,29.33,30.1,429
73,ok,2000-04-19,31.5,31.5,28.04,28.04,1086
74,ok,2000-04-23,28.35,29.72,28.0,28.0,871
75,ok,2000-04-24,27.3,27.65,26.08,26.08,643
76,ok,2000-04-25,25.38,28.0,25.38,26.88,1357
77,ok,2000-04-26,26.78,26.78,26.78,26.78,143
78,ok,2000-05-01,26.78,27.3,25.24,25.38,1929
79,ok,2000-05-02,24.5,27.13,24.5,27.13,214
80,ok,2000-05-04,26.88,27.97,26.6,27.97,1571
