,s,t,o,h,l,c,v
0,ok,2000-01-02,320.0,341.95,320.0,341.95,390
1,ok,2000-01-03,320.0,341.95,315.0,341.65,548
2,ok,2000-01-04,350.0,350.0,321.5,335.0,224
3,ok,2000-01-05,317.1,335.0,310.0,335.0,845
4,ok,2000-01-06,320.0,325.0,320.0,324.95,170
5,ok,2000-01-09,325.0,342.0,301.0,326.95,665
6,ok,2000-01-10,315.25,325.0,305.0,325.0,744
7,ok,2000-01-11,303.0,323.0,303.0,323.0,365
8,ok,2000-01-12,324.0,330.0,320.0,320.0,404
9,ok,2000-01-13,333.0,333.0,332.0,332.5,150
10,ok,2000-01-16,317.1,317.5,317.1,317.5,85
11,ok,2000-01-17,335.0,335.0,313.1,313.1,378
12,ok,2000-01-18,305.1,320.0,305.0,315.05,481
13,ok,2000-01-19,310.0,310.0,310.0,310.0,92
14,ok,2000-01-20,302.25,317.0,301.0,310.05,290
15,ok,2000-01-23,301.0,317.0,300.0,303.0,1465
16,ok,2000-01-24,300.0,319.0,295.0,296.4,1129
17,ok,2000-01-26,298.0,318.0,296.0,305.5,289
18,ok,2000-01-27,300.0,305.0,281.55,281.75,652
19,ok,2000-01-30,302.0,302.0,260.05,260.05,220
20,ok,2000-01-31,280.0,280.65,251.0,255.0,622
21,ok,2000-02-01,269.0,269.0,250.0,250.0,1755
22,ok,2000-02-02,259.0,262.0,251.05,251.25,595
23,ok,2000-02-03,265.0,265.0,250.0,250.0,776
24,ok,2000-02-06,253.0,253.0,240.0,245.0,364
25,ok,2000-02-07,240.0,248.0,235.0,244.55,667
26,ok,2000-02-08,225.0,230.0,225.0,225.0,375
27,ok,2000-02-09,242.0,242.0,207.0,207.0,578
28,ok,2000-02-10,207.0,220.0,207.0,218.5,704
29,ok,2000-02-13,207.0,210.0,201.5,203.25,2089
30,ok,2000-02-14,200.0,209.0,196.1,197.3,941
31,ok,2000-02-15,200.0,210.0,195.0,199.55,1736
32,ok,2000-02-16,202.0,213.0,197.0,205.0,836
33,ok,2000-02-17,190.25,212.0,190.25,212.0,270
34,ok,2000-02-20,225.0,225.0,201.3,208.85,954
35,ok,2000-02-21,201.0,205.0,195.0,195.05,1059
36,ok,2000-02-22,185.15,188.1,185.1,188.1,96
37,ok,2000-02-23,199.9,199.9,191.0,191.0,1070
38,ok,2000-02-24,195.0,196.0,195.0,195.05,449
39,ok,2000-02-27,180.15,208.0,180.15,195.25,269
40,ok,2000-02-28,180.1,205.0,180.1,186.2,1665
41,ok,2000-02-29,176.0,200.0,176.0,200.0,51
42,ok,2000-03-01,203.0,203.0,186.0,186.05,765
43,ok,2000-03-02,182.15,192.0,180.2,190.5,169
44,ok,2000-03-05,190.0,190.0,176.5,178.0,909
45,ok,2000-03-06,175.05,182.0,164.1,168.05,1106
46,ok,2000-03-07,170.15,170.15,155.1,165.0,1623
47,ok,2000-03-08,170.1,170.1,167.0,170.0,900
48,ok,2000-03-09,160.1,165.0,158.0,160.0,1492
49,ok,2000-03-12,171.95,172.0,162.55,165.0,499
50,ok,2000-03-13,170.0,170.0,153.25,170.0,1023
51,ok,2000-03-14,172.0,172.0,159.25,159.7,1707
52,ok,2000-03-15,172.0,172.0,153.05,155.05,4446
53,ok,2000-03-20,166.45,166.8,143.0,143.1,1493
54,ok,2000-03-21,135.0,135.0,132.0,132.0,890
55,ok,2000-03-22,140.0,142.6,125.05,140.0,3450
56,ok,2000-03-23,136.0,139.4,130.0,130.0,3704
57,ok,2000-03-26,135.0,139.9,127.0,132.0,551
58,ok,2000-03-27,133.0,136.0,130.0,130.0,1694
59,ok,2000-03-28,130.0,140.0,130.0,130.0,1455
60,ok,2000-03-29,139.7,139.75,139.7,139.75,150
61,ok,2000-03-30,145.5,150.0,140.0,147.85,1846
62,ok,2000-04-02,152.0,153.0,140.0,146.6,1450
63,ok,2000-04-03,139.0,150.0,139.0,140.8,1216
64,ok,2000-04-04,150.0,150.0,135.0,145.0,768
65,ok,2000-04-05,145.0,156.0,140.0,156.0,1009
66,ok,2000-04-06,165.0,165.0,150.0,152.1,550
67,ok,2000-04-09,160.0,160.0,146.0,146.55,2763
68,ok,2000-04-11,149.5,149.5,135.0,137.05,1475
69,ok,2000-04-12,144.0,145.0,142.0,145.0,315
70,ok,2000-04-16,143.0,147.5,142.0,147.5,490
71,ok,2000-04-17,145.05,145.25,140.0,140.0,2300
72,ok,2000-04-18,142.0,149.5,141.25,149.0,324
73,ok,2000-04-19,141.2,141.25,137.1,137.6,2163
74,ok,2000-04-23,139.1,140.55,139.1,140.1,350
75,ok,2000-04-24,142.0,144.0,140.0,142.1,1410
76,ok,2000-04-25,140.0,143.95,136.3,140.0,3601
77,ok,2000-04-26,143.0,143.0,138.1,138.1,4619
78,ok,2000-04-27,136.0,139.0,130.0,135.0,6753
79,ok,2000-05-01,138.0,139.0,126.25,128.1,300
80,ok,2000-05-02,130.0,130.0,118.25,128.0,200
81,ok,2000-05-03,130.0,131.25,130.0,130.75,750
82,ok,2000-05-04,136.8,140.0,136.8,140.0,289
83,ok,2000-05-07,131.05,131.05,131.0,131.0,300
84,ok,2000-05-08,130.0,132.0,130.0,132.0,725
85,ok,2000-05-09,134.0,134.0,130.0,130.0,1790
86,ok,2000-05-10,130.0,130.0,119.6,119.75,3216
87,ok,2000-05-11,125.0,125.0,110.2,111.7,5661
88,ok,2000-05-14,115.1,117.0,110.0,115.35,1050
89,ok,2000-05-15,110.0,110.05,106.3,106.3,1156
90,ok,2000-05-16,109.95,109.95,97.8,98.6,7731
91,ok,2000-05-17,99.0,106.25,99.0,106.2,843
92,ok,2000-05-18,106.0,110.0,105.5,107.1,400
93,ok,2000-05-21,112.0,112.0,107.0,107.0,250
94,ok,2000-05-22,110.0,115.5,110.0,113.1,912
95,ok,2000-05-23,115.0,115.0,105.0,105.0,5045
96,ok,2000-05-24,113.0,113.25,108.2,113.25,300
97,ok,2000-05-25,121.9,122.0,116.1,118.65,605
98,ok,2000-05-28,120.0,127.9,120.0,127.9,980
99,ok,2000-05-29,122.0,135.5,122.0,134.35,743
100,ok,2000-05-30,135.5,140.0,132.1,134.05,923
101,ok,2000-12-17,79.0,80.9,78.0,80.0,887
102,ok,2000-12-18,79.0,79.0,76.05,76.2,1955
103,ok,2000-12-19,78.0,78.0,77.0,78.0,882
104,ok,2000-12-20,79.0,79.0,77.0,78.55,1250
105,ok,2000-12-21,78.1,78.75,77.05,78.5,591
106,ok,2000-12-25,77.0,80.0,75.1,80.0,503
107,ok,2000-12-26,78.1,78.1,75.1,76.3,499
108,ok,2000-12-27,77.0,80.95,76.35,78.0,650
109,ok,2000-12-28,77.1,80.0,77.0,80.0,350
110,ok,2000-12-31,76.2,77.0,76.1,76.9,479
111,ok,2001-01-01,76.55,77.0,76.25,76.4,849
112,ok,2001-01-02,82.5,82.5,76.5,77.0,967
113,ok,2001-01-03,78.0,78.0,76.1,78.0,3064
114,ok,2001-01-04,76.5,78.0,76.2,76.7,665
115,ok,2001-01-07,78.0,78.0,76.2,76.5,512
116,ok,2001-01-08,76.0,76.0,75.25,75.4,112
117,ok,2001-01-09,76.25,77.95,76.25,76.3,475
118,ok,2001-01-10,76.0,78.3,76.0,78.3,271
119,ok,2001-01-11,77.05,77.5,75.0,75.0,237
120,ok,2001-01-14,74.5,75.0,73.0,75.0,722
121,ok,2001-01-15,74.0,75.0,73.6,73.6,1259
122,ok,2001-01-16,75.0,75.0,73.55,73.85,1076
123,ok,2001-01-17,74.25,74.5,73.1,74.5,445
124,ok,2001-01-18,74.25,77.0,74.0,74.0,785
125,ok,2001-01-21,72.8,74.25,72.05,72.5,1287
126,ok,2001-01-22,72.1,75.0,72.1,74.5,285
127,ok,2001-01-23,74.25,74.75,73.5,73.5,674
128,ok,2001-01-24,73.0,73.25,72.25,72.95,703
129,ok,2001-01-28,72.0,73.0,70.1,72.0,670
130,ok,2001-01-29,70.55,72.0,70.15,71.8,690
