,s,t,o,h,l,c,v
0,ok,2000-01-02,11.32,11.9,10.85,11.0,93439
1,ok,2000-01-03,11.27,11.27,10.79,10.92,149502
2,ok,2000-01-04,10.84,11.08,10.69,10.72,215947
3,ok,2000-01-05,10.84,11.17,10.84,11.07,496262
4,ok,2000-01-06,10.84,11.08,10.6,10.84,882475
5,ok,2000-01-09,10.69,11.03,10.62,10.97,780731
6,ok,2000-01-10,10.98,10.98,10.35,10.59,398671
7,ok,2000-01-11,11.32,11.37,10.74,10.8,353800
8,ok,2000-01-12,11.08,11.08,10.6,10.64,433119
9,ok,2000-01-13,10.64,11.37,10.35,11.15,903052
10,ok,2000-01-16,11.03,11.21,10.86,11.08,122986
11,ok,2000-01-17,10.84,11.03,10.84,10.87,133264
12,ok,2000-01-18,11.03,11.03,10.79,10.97,633762
13,ok,2000-01-19,11.32,11.32,10.85,11.1,82662
14,ok,2000-01-20,11.12,11.17,10.84,11.02,1595806
15,ok,2000-01-23,11.08,11.22,10.84,10.88,248962
16,ok,2000-01-24,10.65,11.03,10.35,10.41,737438
17,ok,2000-01-26,10.88,11.02,10.6,10.62,345266
18,ok,2000-01-27,10.46,10.6,10.45,10.51,17836
19,ok,2000-01-30,10.24,10.24,10.11,10.11,23090
20,ok,2000-01-31,9.73,10.07,9.63,9.88,201537
21,ok,2000-02-01,10.4,10.4,9.58,9.62,134344
22,ok,2000-02-02,9.39,9.87,9.27,9.44,53156
23,ok,2000-02-03,9.42,9.63,9.1,9.14,71553
24,ok,2000-02-06,9.4,9.87,9.15,9.37,171159
25,ok,2000-02-07,9.54,9.54,9.01,9.1,99875
26,ok,2000-02-08,9.39,9.82,9.28,9.29,76620
27,ok,2000-02-09,9.58,9.58,9.15,9.41,30233
28,ok,2000-02-10,9.15,9.15,8.91,8.96,59240
29,ok,2000-02-13,8.77,8.9,8.62,8.65,45909
30,ok,2000-02-14,8.63,8.91,8.49,8.57,63497
31,ok,2000-02-15,8.85,8.86,8.53,8.66,60548
32,ok,2000-02-16,8.48,8.77,8.04,8.44,74896
33,ok,2000-02-17,7.95,8.67,7.76,7.76,132517
34,ok,2000-02-20,8.19,8.19,7.49,7.74,64597
35,ok,2000-02-21,7.85,7.85,7.61,7.68,71491
36,ok,2000-02-22,7.71,7.71,7.32,7.46,71179
37,ok,2000-02-23,7.42,7.46,7.22,7.46,47363
38,ok,2000-02-24,7.47,7.71,6.86,6.86,82226
39,ok,2000-02-27,6.74,6.94,6.65,6.74,318625
40,ok,2000-02-28,6.92,7.22,6.74,7.02,167047
41,ok,2000-02-29,6.98,7.51,6.94,7.47,128073
42,ok,2000-03-01,7.51,7.84,7.09,7.31,193065
43,ok,2000-03-02,6.94,6.98,6.72,6.77,98048
44,ok,2000-03-05,6.74,6.94,6.55,6.63,107620
45,ok,2000-03-06,6.45,6.69,6.26,6.38,106624
46,ok,2000-03-07,6.27,6.27,5.87,5.87,131229
47,ok,2000-03-08,5.88,5.97,5.4,5.4,128032
48,ok,2000-03-09,5.39,5.58,4.97,5.03,292774
49,ok,2000-03-12,5.1,5.2,4.63,4.63,931063
50,ok,2000-03-13,5.0,5.01,4.82,5.01,458160
51,ok,2000-03-14,5.36,5.4,5.31,5.4,106624
52,ok,2000-03-15,5.84,5.84,5.56,5.84,508098
53,ok,2000-03-20,6.3,6.3,5.78,5.97,362313
54,ok,2000-03-21,6.26,6.45,6.26,6.45,45847
55,ok,2000-03-22,6.94,6.94,6.36,6.72,186919
56,ok,2000-03-23,6.36,6.6,6.26,6.55,92172
57,ok,2000-03-26,6.84,7.03,6.12,6.2,78800
58,ok,2000-03-27,5.92,6.26,5.88,6.11,135797
59,ok,2000-03-28,6.1,6.1,5.78,6.1,51495
60,ok,2000-03-29,5.97,6.31,5.79,5.93,233679
61,ok,2000-03-30,6.01,6.02,5.79,5.97,82018
62,ok,2000-04-02,6.15,6.36,5.97,6.28,96865
63,ok,2000-04-03,6.07,6.16,5.81,5.83,202679
64,ok,2000-04-04,6.05,6.19,5.79,6.1,92712
65,ok,2000-04-05,6.41,6.41,5.88,6.04,95909
66,ok,2000-04-06,6.26,6.31,6.07,6.15,140262
67,ok,2000-04-09,6.6,6.63,5.97,6.01,385320
68,ok,2000-04-11,5.92,6.02,5.83,5.85,115552
69,ok,2000-04-12,5.78,5.83,5.6,5.63,285403
70,ok,2000-04-16,5.3,5.83,5.3,5.63,101557
71,ok,2000-04-17,5.68,5.83,5.62,5.79,208638
72,ok,2000-04-18,6.02,6.02,5.68,5.77,361794
73,ok,2000-04-19,5.68,5.84,5.45,5.71,199481
74,ok,2000-04-23,5.63,5.73,5.57,5.66,88974
75,ok,2000-04-24,5.54,5.62,5.49,5.59,69352
76,ok,2000-04-25,5.49,5.78,5.49,5.74,66341
77,ok,2000-04-26,5.65,5.73,5.65,5.66,27118
78,ok,2000-04-27,5.71,5.71,5.55,5.64,42650
79,ok,2000-05-01,5.88,5.88,5.54,5.63,158804
80,ok,2000-05-02,5.59,5.59,5.32,5.54,108679
81,ok,2000-05-03,5.59,5.59,5.42,5.49,86420
82,ok,2000-05-04,5.59,5.68,5.49,5.49,80814
83,ok,2000-05-07,5.54,5.68,5.54,5.63,139348
84,ok,2000-05-08,5.59,5.63,5.52,5.58,236150
85,ok,2000-05-09,5.63,5.82,5.6,5.77,141092
86,ok,2000-05-10,5.49,5.73,5.49,5.66,172778
87,ok,2000-05-11,5.54,5.66,5.54,5.58,167670
88,ok,2000-05-14,5.3,5.57,5.21,5.51,45203
89,ok,2000-05-15,5.44,5.63,5.4,5.59,88351
90,ok,2000-05-16,5.63,5.65,5.55,5.62,37998
91,ok,2000-05-17,5.39,5.62,5.39,5.54,28447
92,ok,2000-05-18,5.4,5.63,5.4,5.54,25768
93,ok,2000-05-21,5.42,5.62,5.4,5.55,51744
94,ok,2000-05-22,5.54,5.62,5.48,5.59,98837
95,ok,2000-05-23,5.87,5.87,5.59,5.6,71699
96,ok,2000-05-24,5.55,5.72,5.49,5.55,195307
97,ok,2000-05-25,5.54,5.54,5.44,5.54,55959
