,s,t,o,h,l,c,v
0,ok,2009-10-25,126.0,169.8,126.0,164.4,26247157
1,ok,2009-10-26,163.9,197.3,161.3,196.3,20307064
2,ok,2009-10-27,170.0,217.9,170.0,211.5,20217704
3,ok,2009-10-28,212.0,223.8,199.35,220.35,11128693
4,ok,2009-10-29,224.9,231.5,220.3,226.75,6075894
5,ok,2009-11-02,219.8,229.0,196.55,226.9,6928555
6,ok,2009-11-03,230.1,248.0,215.3,235.65,7785254
7,ok,2009-11-04,236.0,244.4,207.35,215.05,10052767
8,ok,2009-11-05,202.0,221.7,202.0,215.55,3846460
9,ok,2009-11-08,214.0,230.8,213.6,229.65,2924296
10,ok,2009-11-09,232.4,244.5,231.05,242.5,3429791
11,ok,2009-11-10,245.9,258.85,240.8,254.5,3468535
12,ok,2009-11-11,256.4,266.5,243.0,250.0,4254703
13,ok,2009-11-12,249.7,256.0,245.6,253.95,2192213
14,ok,2009-11-15,255.0,262.0,253.0,259.75,1307857
15,ok,2009-11-16,264.8,265.3,258.05,260.05,779818
16,ok,2009-11-17,260.5,260.8,247.4,254.45,1478793
17,ok,2009-11-18,255.25,265.1,254.15,263.0,1507732
18,ok,2009-11-19,264.0,293.3,262.2,280.25,5155758
19,ok,2009-11-22,283.0,296.8,282.5,293.75,2653106
20,ok,2009-11-23,297.4,305.25,291.75,297.95,2233779
21,ok,2009-11-24,308.7,308.7,293.5,295.8,968282
22,ok,2009-11-25,295.0,304.3,291.0,302.95,1336931
23,ok,2009-11-26,299.9,321.0,297.0,319.1,3373600
24,ok,2009-11-29,321.0,335.3,298.1,302.4,6095296
25,ok,2009-11-30,301.9,309.8,288.3,291.1,3223083
26,ok,2009-12-01,293.0,302.9,282.0,300.3,3381141
27,ok,2009-12-02,303.0,309.5,300.05,303.15,1928232
28,ok,2009-12-03,305.0,310.8,301.25,302.9,1530405
29,ok,2009-12-06,303.0,312.0,257.0,260.2,6402915
30,ok,2009-12-07,260.0,267.0,238.3,260.0,5688530
31,ok,2009-12-08,260.0,268.35,251.1,263.3,2233280
32,ok,2009-12-09,262.2,267.45,258.6,266.0,1548242
33,ok,2009-12-10,268.5,272.7,258.1,261.35,780688
34,ok,2009-12-13,262.0,281.95,253.0,278.95,3510313
35,ok,2009-12-14,281.0,296.5,275.0,285.25,4348421
36,ok,2009-12-15,287.0,295.6,285.05,291.5,2004928
37,ok,2009-12-16,293.0,298.8,291.3,294.1,1278298
38,ok,2009-12-17,294.25,298.7,290.1,292.05,625908
39,ok,2009-12-20,294.9,295.5,286.5,293.1,744260
40,ok,2009-12-21,294.9,303.7,293.1,298.55,1134913
41,ok,2009-12-22,302.0,314.4,298.0,305.9,2201063
42,ok,2009-12-23,309.7,325.0,304.15,307.05,1014318
43,ok,2009-12-28,308.8,315.9,303.0,304.5,1169202
44,ok,2009-12-29,309.2,332.6,304.25,329.2,3102096
45,ok,2009-12-30,333.7,338.9,321.05,324.35,1891802
46,ok,2010-01-03,325.7,350.9,321.05,349.0,3373466
47,ok,2010-01-04,354.65,369.0,350.35,353.35,2893651
48,ok,2010-01-05,355.6,360.5,346.0,349.45,1299634
49,ok,2010-01-06,352.7,354.85,345.1,348.5,615820
50,ok,2010-01-07,352.0,363.7,346.1,361.8,1640321
51,ok,2010-01-10,365.5,411.8,363.15,406.95,6907238
52,ok,2010-01-11,410.0,424.8,393.3,421.15,6947494
53,ok,2010-01-12,418.8,426.8,405.8,409.75,3015608
54,ok,2010-01-13,411.0,424.0,406.0,421.7,1928484
55,ok,2010-01-14,422.5,446.8,421.2,439.95,3062371
56,ok,2010-01-17,438.9,455.25,424.6,429.65,2932807
57,ok,2010-01-18,433.65,442.7,415.0,439.5,3274066
58,ok,2010-01-19,443.95,470.0,442.0,467.8,3862019
59,ok,2010-01-20,469.95,474.7,443.05,463.4,2111026
60,ok,2010-01-21,459.9,477.9,447.25,462.1,2094416
61,ok,2010-01-24,457.45,487.85,457.45,483.35,2859338
62,ok,2010-01-26,484.0,490.7,448.1,460.25,1685533
63,ok,2010-01-27,465.0,478.4,451.65,461.95,1505350
64,ok,2010-01-28,459.0,460.65,434.6,444.1,1115539
65,ok,2010-01-31,444.7,484.3,437.6,458.7,2395084
66,ok,2010-02-01,463.9,481.0,463.9,477.25,1814276
67,ok,2010-02-02,483.0,486.0,471.5,481.3,1101724
68,ok,2010-02-03,483.8,501.4,479.0,486.65,2355089
69,ok,2010-02-04,474.8,477.75,457.0,463.25,1164013
70,ok,2010-02-05,470.0,475.8,468.2,470.25,363288
71,ok,2010-02-07,475.5,506.9,464.5,502.15,2154197
72,ok,2010-02-08,504.4,523.0,501.05,507.85,2862192
73,ok,2010-02-09,514.0,540.8,511.1,527.7,2974856
74,ok,2010-02-10,534.7,570.0,510.05,513.85,3507961
75,ok,2010-02-14,519.0,522.0,490.25,496.35,1637922
76,ok,2010-02-15,499.2,499.9,397.1,397.1,1605483
77,ok,2010-02-16,390.0,390.0,317.7,317.7,82154
78,ok,2010-02-17,285.95,285.95,285.95,285.95,110376
79,ok,2010-02-18,271.65,273.0,271.65,271.65,301005
80,ok,2010-02-21,258.1,285.0,258.1,258.1,271485
81,ok,2010-02-22,245.25,245.25,245.2,245.2,5435
82,ok,2010-02-23,232.95,232.95,232.95,232.95,3941
83,ok,2010-02-24,221.3,244.6,221.3,243.75,165767
84,ok,2010-02-25,245.0,255.95,233.0,255.95,102547
85,ok,2010-03-01,266.4,268.75,265.0,268.75,190295
86,ok,2010-03-02,277.0,281.0,260.0,266.6,150118
87,ok,2010-03-03,273.25,274.9,253.3,255.8,77638
88,ok,2010-03-04,259.9,262.0,245.05,252.1,69402
89,ok,2010-03-07,257.7,258.0,246.0,248.1,48932
90,ok,2010-03-08,248.1,253.0,235.7,237.1,55807
91,ok,2010-03-09,236.0,244.9,226.5,229.6,54863
92,ok,2010-03-10,221.2,229.95,220.0,221.05,75423
93,ok,2010-03-11,215.1,225.0,210.0,210.2,75236
94,ok,2010-03-14,201.1,211.0,199.7,199.7,103781
95,ok,2010-03-15,199.0,199.0,189.75,189.75,17603
96,ok,2010-03-16,181.1,199.25,180.3,199.25,63924
97,ok,2010-03-17,204.4,209.25,204.0,209.25,145636
98,ok,2010-03-18,215.0,219.75,213.05,219.75,138271
99,ok,2010-03-21,217.1,230.0,210.0,223.05,154393
100,ok,2010-03-22,228.0,229.9,211.95,214.35,55428
101,ok,2010-03-24,216.0,216.0,204.5,206.7,33741
102,ok,2010-03-25,210.0,212.0,197.0,200.05,52248
103,ok,2010-03-28,205.0,205.5,190.5,191.7,58195
104,ok,2010-03-29,194.0,199.7,183.05,195.6,52324
105,ok,2010-03-30,193.45,198.8,187.1,189.55,38070
106,ok,2010-03-31,188.0,195.0,182.0,193.5,19870
107,ok,2010-04-04,195.0,203.2,192.0,193.55,22523
108,ok,2010-04-05,195.0,195.5,191.05,193.65,15591
109,ok,2010-04-06,191.95,196.0,190.2,191.55,18716
110,ok,2010-04-07,191.55,197.0,190.0,193.05,31197
111,ok,2010-04-08,193.0,196.0,190.1,191.4,19480
112,ok,2010-04-11,194.0,194.0,187.3,189.85,15933
113,ok,2010-04-12,190.45,192.0,188.0,188.6,13634
114,ok,2010-04-14,188.0,191.75,184.0,185.25,19165
115,ok,2010-04-15,189.95,191.9,180.1,181.8,13299
116,ok,2010-04-18,180.0,180.5,172.75,174.4,27480
117,ok,2010-04-19,175.1,177.5,167.15,171.55,25056
118,ok,2010-04-20,175.0,175.0,169.0,172.85,17408
119,ok,2010-04-21,169.0,180.0,168.1,172.8,13951
120,ok,2010-04-22,171.5,174.55,168.0,168.95,59686
121,ok,2010-04-25,168.95,171.25,165.0,166.05,52890
122,ok,2010-04-26,164.0,167.5,160.1,161.45,24829
123,ok,2010-04-27,154.1,162.0,154.1,154.95,27231
124,ok,2010-04-28,156.0,161.0,154.05,156.7,14000
125,ok,2010-04-29,158.1,161.0,155.0,156.9,21102
126,ok,2010-05-02,155.9,156.0,151.25,153.3,16868
127,ok,2010-05-03,152.0,156.0,145.65,149.1,31439
128,ok,2010-05-04,142.05,156.6,141.65,143.35,35551
129,ok,2010-05-05,140.0,145.0,140.0,142.3,14182
130,ok,2010-05-06,137.0,140.0,135.2,136.2,19154
131,ok,2010-05-09,131.5,143.05,129.45,143.05,22886
132,ok,2010-05-10,145.0,150.2,145.0,150.2,16387
133,ok,2010-05-11,156.0,157.75,156.0,157.75,12333
134,ok,2010-05-12,165.65,165.65,164.4,165.65,10395
135,ok,2010-05-13,171.7,173.95,158.0,159.45,77470
136,ok,2010-05-16,152.0,158.7,151.5,154.9,13495
137,ok,2010-05-17,155.0,158.75,147.4,152.9,11894
138,ok,2010-05-18,148.0,156.0,145.45,147.5,19425
139,ok,2010-05-19,153.6,154.7,145.0,145.85,11501
140,ok,2010-05-20,139.0,144.9,138.7,141.85,14975
141,ok,2010-05-23,141.5,148.0,140.0,141.45,12132
142,ok,2010-05-24,135.3,140.0,135.05,136.65,13252
143,ok,2010-05-25,136.7,140.7,131.05,133.9,14610
144,ok,2010-05-26,132.1,139.45,132.1,137.1,8011
145,ok,2010-05-27,140.55,141.0,137.0,138.6,11181
146,ok,2010-05-30,136.95,141.0,134.0,138.5,6904
147,ok,2010-05-31,141.0,145.0,135.5,138.7,13416
148,ok,2010-06-01,138.1,141.95,134.7,136.65,6088
149,ok,2010-06-02,139.4,139.6,136.0,137.6,9084
150,ok,2010-06-03,139.0,139.0,135.0,137.3,5993
151,ok,2010-06-06,134.0,138.0,134.0,136.2,6945
152,ok,2010-06-07,139.0,143.05,139.0,143.05,11755
153,ok,2010-06-08,150.2,150.2,150.2,150.2,4851
154,ok,2010-06-09,157.75,157.75,157.75,157.75,7336
155,ok,2010-06-10,165.65,165.65,158.0,165.65,173609
156,ok,2010-06-14,172.8,172.8,162.4,163.7,77808
157,ok,2010-06-15,164.1,170.0,163.5,164.75,62709
158,ok,2010-06-16,165.0,167.9,162.2,162.75,38963
159,ok,2010-06-17,163.0,164.8,158.05,159.75,29496
160,ok,2010-06-20,164.0,164.0,158.55,159.5,26827
161,ok,2010-06-21,159.65,160.0,156.2,158.45,19244
162,ok,2010-06-22,157.0,159.5,154.55,155.4,19045
163,ok,2010-06-23,156.05,158.0,155.1,155.9,18563
164,ok,2010-06-24,154.0,156.5,152.2,153.25,12827
165,ok,2010-06-27,154.6,156.4,150.0,153.05,17436
166,ok,2010-06-28,151.05,156.0,151.0,151.65,25143
167,ok,2010-06-29,151.0,151.0,144.1,147.8,24280
168,ok,2010-06-30,144.25,149.85,144.25,145.35,27451
169,ok,2010-07-01,146.0,147.95,142.55,144.0,22456
170,ok,2010-07-04,145.9,151.2,140.8,151.2,44132
171,ok,2010-07-05,154.4,157.3,152.0,152.6,49261
172,ok,2010-07-06,154.8,167.9,152.5,167.9,106888
173,ok,2010-07-07,178.3,184.7,173.1,174.85,768232
174,ok,2010-07-08,177.7,182.65,172.0,173.5,339592
175,ok,2010-07-11,176.0,176.25,170.0,170.9,98874
176,ok,2010-07-12,170.85,176.0,166.2,172.25,148959
177,ok,2010-07-13,173.5,174.5,168.0,168.8,63577
178,ok,2010-07-14,170.5,170.75,164.5,165.4,46735
179,ok,2010-07-15,165.4,166.8,163.0,163.45,49470
180,ok,2010-07-18,163.0,163.75,160.2,161.25,30694
181,ok,2010-07-19,162.4,164.0,160.2,161.35,27466
182,ok,2010-07-20,161.25,177.5,161.0,177.5,310979
183,ok,2010-07-21,182.6,187.3,159.75,160.4,1491007
184,ok,2010-07-22,158.7,164.0,149.0,152.4,1500070
185,ok,2010-07-25,152.0,156.7,142.4,145.65,692013
186,ok,2010-07-26,146.9,150.8,145.2,147.85,327632
187,ok,2010-07-27,148.0,150.5,146.1,146.4,164473
188,ok,2010-07-28,147.95,148.65,144.0,144.7,127947
189,ok,2010-07-29,146.5,146.5,141.9,142.7,106063
190,ok,2010-08-01,144.65,144.7,141.3,142.05,109821
191,ok,2010-08-02,144.0,144.0,141.1,141.65,104832
192,ok,2010-08-03,141.75,148.0,141.1,143.35,173902
193,ok,2010-08-04,144.35,146.5,142.7,143.15,96955
194,ok,2010-08-05,143.1,145.9,141.1,141.65,77243
195,ok,2010-08-08,142.1,144.5,141.0,142.25,73879
196,ok,2010-08-09,140.0,143.5,140.0,140.55,70214
197,ok,2010-08-10,141.0,141.75,137.9,138.55,78352
198,ok,2010-08-11,137.0,146.4,135.55,140.6,158789
199,ok,2010-08-12,141.3,143.0,138.4,138.75,86400
200,ok,2010-08-15,139.9,142.5,137.65,138.05,67633
201,ok,2010-08-16,138.4,140.0,137.1,137.2,59968
202,ok,2010-08-17,138.0,140.0,136.35,136.9,59880
203,ok,2010-08-18,139.0,139.0,135.35,135.9,69214
