,s,t,o,h,l,c,v
0,ok,2015-01-14,24.0,24.99,23.0,24.61,631430
1,ok,2015-01-15,24.4,24.4,22.61,23.6,41940
2,ok,2015-01-18,24.1,25.1,24.1,24.94,331430
3,ok,2015-01-19,25.0,25.0,24.3,24.3,1200
4,ok,2015-01-20,23.98,24.7,23.73,24.43,950
5,ok,2015-01-21,24.4,24.85,22.01,22.07,1420
6,ok,2015-01-22,24.27,24.27,23.95,24.25,5350
7,ok,2015-01-26,26.67,26.67,23.23,24.4,45180
8,ok,2015-01-27,24.3,25.1,23.52,23.87,10520
9,ok,2015-01-28,23.52,26.0,21.48,25.79,42540
10,ok,2015-01-29,26.47,26.5,25.0,25.91,993090
11,ok,2015-02-01,26.27,26.27,25.23,25.87,428980
12,ok,2015-02-02,26.4,26.47,25.6,25.93,23320
13,ok,2015-02-03,26.0,26.8,25.0,26.33,15820
14,ok,2015-02-04,26.6,26.7,25.13,25.7,18450
15,ok,2015-02-05,25.4,26.39,24.93,25.87,80330
16,ok,2015-02-08,26.6,27.0,24.91,25.34,154190
17,ok,2015-02-09,25.5,25.5,21.5,24.65,365140
18,ok,2015-02-10,24.8,27.71,23.6,27.01,337850
19,ok,2015-02-11,29.78,29.78,23.71,25.03,135030
20,ok,2015-02-12,26.79,26.79,24.1,24.97,18410
21,ok,2015-02-15,24.8,26.4,24.2,24.33,14520
22,ok,2015-02-17,23.6,27.4,23.2,25.53,16990
23,ok,2015-02-18,25.9,26.98,25.5,25.5,25555
24,ok,2015-02-19,24.66,27.58,21.4,27.01,1978215
25,ok,2015-02-22,27.56,27.96,25.9,26.33,264200
26,ok,2015-02-23,27.35,27.36,25.0,25.39,242155
27,ok,2015-02-24,25.4,28.78,25.4,26.84,460645
28,ok,2015-02-25,27.0,29.98,26.0,26.24,287560
29,ok,2015-02-26,28.0,28.4,24.8,25.2,709985
30,ok,2015-02-27,25.98,29.1,25.6,25.85,859285
31,ok,2015-03-01,26.76,27.6,25.7,25.81,790340
32,ok,2015-03-02,26.36,27.05,25.33,25.47,204755
33,ok,2015-03-03,25.8,28.0,25.51,25.79,1376435
34,ok,2015-03-04,25.98,26.74,25.01,25.98,1656320
35,ok,2015-03-08,25.4,26.37,24.8,25.26,1583035
36,ok,2015-03-09,25.8,25.8,24.19,24.4,87240
