,s,t,o,h,l,c,v
0,ok,2005-09-20,10.0,19.99,10.0,17.85,206184430
1,ok,2005-09-21,18.0,21.42,18.0,21.42,65555410
2,ok,2005-09-22,22.0,25.57,17.51,17.81,204878230
3,ok,2005-09-25,18.5,21.37,16.33,21.37,72542680
4,ok,2005-09-26,23.0,25.63,23.0,25.6,77957880
5,ok,2005-09-27,26.3,29.89,26.02,28.44,146452440
6,ok,2005-09-28,28.6,30.8,25.6,25.6,129821600
7,ok,2005-09-29,24.13,24.34,23.04,23.04,13828310
8,ok,2005-10-02,22.0,22.0,20.74,20.74,1600110
9,ok,2005-10-03,18.73,21.6,18.67,18.81,61282090
10,ok,2005-10-04,18.9,19.94,16.93,16.97,50621930
11,ok,2005-10-05,16.5,17.34,16.12,16.38,44078160
12,ok,2005-10-06,16.1,16.75,15.57,15.6,15122820
13,ok,2005-10-09,15.5,15.92,14.82,14.82,9342990
14,ok,2005-10-10,14.7,14.78,14.08,14.08,9116890
15,ok,2005-10-12,13.4,13.79,13.38,13.38,5586390
16,ok,2005-10-13,12.9,13.0,12.71,12.71,1794260
17,ok,2005-10-16,12.08,13.3,12.08,12.33,15743460
18,ok,2005-10-17,12.88,12.95,12.34,12.73,12349590
19,ok,2005-10-18,12.7,12.7,12.1,12.1,2449820
20,ok,2005-10-19,12.0,12.28,11.49,11.49,2000340
21,ok,2005-10-20,11.11,11.2,10.92,10.95,2502450
22,ok,2005-10-23,11.05,11.5,10.43,11.5,4806590
23,ok,2005-10-24,11.97,11.97,10.92,10.92,3281390
24,ok,2005-10-25,10.53,10.79,10.38,10.42,5887240
25,ok,2005-10-26,10.4,10.78,10.09,10.22,5472650
26,ok,2005-10-27,10.13,10.3,9.71,9.84,4368710
27,ok,2005-10-30,9.89,9.89,9.25,9.33,2035930
28,ok,2005-10-31,9.5,9.6,9.29,9.42,908670
29,ok,2005-11-01,9.55,9.78,9.01,9.62,2593960
30,ok,2005-11-06,9.75,10.05,9.46,9.78,2271020
31,ok,2005-11-07,9.87,10.15,9.54,9.6,2234360
32,ok,2005-11-08,9.61,9.85,9.4,9.46,1764760
33,ok,2005-11-09,9.51,9.85,9.35,9.74,4091930
34,ok,2005-11-10,9.8,10.04,9.66,9.81,3654760
35,ok,2005-11-13,9.89,10.03,9.72,9.93,1950460
36,ok,2005-11-15,9.98,10.08,9.8,9.87,1614830
37,ok,2005-11-16,9.94,9.95,9.66,9.74,721160
38,ok,2005-11-17,9.84,9.86,9.5,9.58,852910
39,ok,2005-11-20,9.63,9.69,9.37,9.42,716960
40,ok,2005-11-21,9.05,9.59,9.05,9.27,989430
41,ok,2005-11-22,9.26,9.38,9.25,9.31,553120
42,ok,2005-11-23,9.36,9.41,9.21,9.23,400460
43,ok,2005-11-24,9.2,9.49,9.2,9.29,677350
44,ok,2005-11-25,9.38,9.38,9.21,9.31,498210
45,ok,2005-11-27,9.4,9.6,9.36,9.4,1039670
46,ok,2005-11-28,9.49,9.49,9.21,9.3,686250
47,ok,2005-11-29,9.3,9.77,9.22,9.76,2591620
48,ok,2005-11-30,9.8,10.25,9.8,10.25,4174950
49,ok,2005-12-01,10.6,10.76,10.55,10.76,418720
50,ok,2005-12-04,11.28,11.3,11.27,11.3,310810
51,ok,2005-12-05,11.87,11.87,10.75,10.82,4870700
52,ok,2005-12-06,10.98,11.08,10.61,10.75,2282830
53,ok,2005-12-07,10.84,10.97,10.52,10.66,895490
54,ok,2005-12-08,10.65,10.74,10.47,10.54,791460
55,ok,2005-12-11,10.59,10.75,10.41,10.47,869040
56,ok,2005-12-12,10.56,10.58,10.1,10.15,489960
57,ok,2005-12-13,10.18,10.28,9.9,9.92,671660
58,ok,2005-12-14,9.99,10.25,9.81,9.87,982940
59,ok,2005-12-15,9.93,10.86,9.81,10.86,2464370
60,ok,2005-12-18,11.36,11.95,11.22,11.95,7962710
61,ok,2005-12-19,12.44,12.44,11.33,11.42,5233950
