,s,t,o,h,l,c,v
0,ok,2002-02-13,6.95,8.26,6.95,8.19,424448
1,ok,2002-02-14,9.83,9.83,8.14,8.81,360277
2,ok,2002-02-17,8.73,9.03,8.48,8.61,179360
3,ok,2002-02-18,8.68,8.68,8.14,8.45,90640
4,ok,2002-02-19,8.05,8.63,7.57,7.86,35093
5,ok,2002-02-20,8.14,8.5,8.04,8.15,65844
6,ok,2002-02-21,8.25,8.34,7.78,8.27,35647
7,ok,2002-02-24,8.36,9.93,8.25,9.4,622761
8,ok,2002-02-25,9.71,10.52,9.37,9.67,320937
9,ok,2002-02-26,10.12,10.12,7.94,8.42,204292
10,ok,2002-02-27,8.73,9.83,7.54,7.98,579748
11,ok,2002-02-28,8.14,9.58,8.14,9.46,340997
12,ok,2002-03-03,9.53,10.02,9.17,9.34,195189
13,ok,2002-03-04,9.7,10.4,9.08,10.07,914322
14,ok,2002-03-05,12.09,12.09,9.97,10.07,320025
15,ok,2002-03-06,10.12,10.22,9.15,9.25,495758
16,ok,2002-03-07,9.38,9.93,9.04,9.81,322091
17,ok,2002-03-10,9.96,10.1,9.35,9.49,130287
18,ok,2002-03-11,9.31,9.34,8.73,8.79,100111
19,ok,2002-03-12,8.47,9.07,8.47,8.73,125849
20,ok,2002-03-13,9.34,9.34,8.73,8.99,244574
21,ok,2002-03-14,9.21,9.51,8.93,9.1,276584
22,ok,2002-03-17,9.51,9.51,8.74,8.82,172640
23,ok,2002-03-18,8.84,9.07,8.34,8.43,97537
24,ok,2002-03-19,8.4,8.66,8.34,8.43,107557
25,ok,2002-03-20,8.68,8.73,8.44,8.49,63990
26,ok,2002-03-21,8.44,8.55,8.38,8.47,43501
27,ok,2002-03-25,8.44,8.73,8.39,8.69,54972
28,ok,2002-03-26,9.02,9.02,8.63,8.81,64126
29,ok,2002-03-27,9.23,9.23,8.66,8.76,23733
30,ok,2002-03-31,8.84,9.03,8.84,8.93,36771
31,ok,2002-04-01,8.94,9.01,8.76,8.85,43224
32,ok,2002-04-02,8.83,8.96,8.83,8.92,94302
33,ok,2002-04-03,9.1,9.12,8.76,8.91,43768
34,ok,2002-04-04,8.93,8.99,8.93,8.93,62625
35,ok,2002-04-07,8.93,8.95,8.76,8.9,19169
36,ok,2002-04-08,8.93,8.93,8.54,8.58,43839
37,ok,2002-04-09,8.52,8.73,8.49,8.58,28992
38,ok,2002-04-10,8.54,8.88,8.34,8.38,30705
39,ok,2002-04-11,8.34,8.61,8.34,8.58,23189
40,ok,2002-04-14,8.82,8.93,8.49,8.75,79945
41,ok,2002-04-15,8.73,8.88,8.34,8.42,125849
42,ok,2002-04-16,8.79,10.1,8.79,10.1,558186
43,ok,2002-04-17,10.52,10.92,9.8,9.93,584383
44,ok,2002-04-18,10.27,11.1,9.53,9.83,791280
45,ok,2002-04-21,9.94,10.21,9.68,9.82,163698
46,ok,2002-04-22,10.01,10.02,9.71,9.75,67879
47,ok,2002-04-23,9.93,11.7,9.87,11.7,774917
48,ok,2002-04-24,12.3,13.1,11.52,12.03,2163960
49,ok,2002-04-25,12.31,13.3,12.29,12.64,1061264
50,ok,2002-04-28,12.9,12.95,12.33,12.4,312287
51,ok,2002-04-29,12.38,12.69,11.92,12.14,188700
52,ok,2002-05-01,12.49,13.3,12.21,13.03,517244
53,ok,2002-05-02,13.3,13.6,12.31,12.38,506851
54,ok,2002-05-05,13.46,14.14,12.51,13.71,2306549
55,ok,2002-05-06,13.71,13.98,13.0,13.25,547753
56,ok,2002-05-07,13.49,13.5,12.74,12.95,345572
57,ok,2002-05-08,13.5,13.5,12.51,12.65,295113
